SA1_7DIGITCODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
1100701,15,3,0,0,0,0,0,14
1100702,36,3,0,0,0,0,0,41
1100703,33,3,0,0,0,0,0,39
1100704,33,8,3,0,0,0,0,40
1100705,27,7,0,0,0,0,0,34
1100706,16,0,4,0,0,0,3,22
1100707,23,3,0,0,0,0,0,24
1100708,34,3,0,0,0,0,5,48
1100709,35,6,0,0,0,0,0,43
1100710,35,3,0,0,0,0,0,41
1100801,49,3,5,0,0,0,0,55
1100802,51,6,4,0,0,0,0,63
1100803,26,0,3,0,0,0,0,30
1100804,23,4,3,0,0,0,0,33
1100805,10,0,8,0,0,0,0,15
1100806,39,3,3,4,0,0,0,48
1100807,31,3,3,0,0,0,0,42
1100808,52,9,3,0,0,0,5,70
1100809,0,0,0,0,0,0,0,0
1100810,44,0,3,0,0,0,0,49
1100811,41,0,0,0,0,0,0,43
1100812,32,3,3,0,0,0,0,32
1100813,63,0,3,0,0,0,0,68
1100814,48,9,5,0,0,0,0,62
1100815,40,0,6,0,0,0,0,42
1100816,25,3,6,0,0,0,0,39
1100817,25,3,4,0,0,0,0,30
1100818,23,0,0,0,0,0,0,25
1100819,56,7,3,0,0,0,0,71
1100820,31,9,4,0,0,0,0,46
1100821,68,11,0,3,0,0,0,80
1100822,28,3,3,0,0,0,0,34
1100823,23,0,0,0,0,0,0,26
1100901,29,0,0,0,0,0,0,29
1100902,34,0,3,0,0,0,0,40
1100904,38,7,0,0,0,0,0,44
1100905,40,3,4,0,0,0,0,48
1100907,42,3,0,0,0,0,0,45
1100908,24,0,3,0,0,0,0,32
1100909,40,0,0,0,0,0,0,42
1100910,26,3,0,0,0,0,0,32
1100911,31,0,3,0,0,0,0,38
1100912,30,3,0,0,0,0,0,32
1100913,59,5,4,0,0,0,0,72
1100914,36,6,3,0,0,0,0,47
1100915,62,3,3,0,0,0,0,65
1100916,43,3,6,0,0,0,0,51
1100917,13,0,0,0,0,0,0,13
1100918,36,3,0,0,0,0,0,45
1100919,34,0,5,0,0,0,0,38
1100920,21,0,0,0,0,0,0,21
1100921,31,0,0,0,0,0,0,37
1100923,44,3,5,0,0,0,0,54
1100924,0,0,0,0,0,0,0,0
1100925,23,3,0,0,0,0,0,27
1100926,23,3,0,0,0,0,0,25
1100927,34,0,0,0,0,0,0,40
1100928,19,3,0,0,0,0,0,23
1100929,19,3,4,0,0,0,0,27
1101001,3,4,0,0,0,0,0,11
1101002,55,3,0,0,0,0,0,58
1101003,44,0,0,0,0,0,0,50
1101004,38,3,3,0,0,0,0,48
1101006,29,0,3,0,0,0,0,37
1101007,27,0,0,0,0,0,0,28
1101008,32,0,4,0,0,0,0,33
1101009,41,4,0,0,0,0,0,44
1101010,36,0,0,0,0,0,0,39
1101011,0,0,0,0,0,0,0,3
1101012,11,0,0,0,0,0,0,13
1101013,0,0,0,0,0,0,0,0
1101014,16,0,0,0,0,0,0,21
1101015,45,4,0,0,0,0,0,51
1101016,56,3,3,0,0,0,3,71
1101017,25,0,3,0,0,0,0,34
1101101,78,5,7,3,0,0,0,87
1101102,32,3,0,0,0,0,0,33
1101103,38,3,0,0,0,0,0,37
1101104,28,3,4,0,0,0,0,36
1101105,55,4,3,0,0,0,0,64
1101106,45,5,0,0,0,0,0,52
1101107,43,3,4,0,0,0,0,50
1101108,38,6,0,0,0,0,0,50
1101109,39,4,4,0,0,0,0,45
1101110,19,0,0,0,0,0,0,24
1101111,54,3,0,0,0,0,0,56
1101112,20,3,0,0,0,0,0,23
1101113,10,0,0,0,0,0,0,11
1101115,52,4,0,0,0,0,0,57
1101116,32,3,0,0,0,0,0,31
1101117,32,4,3,0,0,0,0,36
1101118,43,4,3,0,0,0,0,48
1101119,39,0,0,0,0,0,0,47
1101120,72,7,0,0,0,0,0,75
1101122,31,0,0,3,0,0,0,42
1101123,35,0,0,0,0,0,0,35
1101125,67,6,3,0,0,0,0,76
1101126,47,4,3,0,0,0,0,53
1101127,49,3,0,0,0,0,0,55
1101128,28,3,0,0,0,0,0,36
1101129,57,0,3,0,0,0,0,64
1101130,77,10,5,0,0,0,0,90
1101131,33,0,0,0,0,0,0,35
1101132,33,0,0,0,0,0,0,37
1101133,42,3,0,0,0,0,0,48
1101134,28,0,3,0,0,0,0,29
1101135,41,3,4,0,0,0,0,51
1101136,40,3,0,0,0,0,0,47
1101137,47,0,3,0,0,0,0,45
1101139,33,9,0,0,0,0,0,38
1101140,43,8,0,0,0,0,0,54
1101141,69,10,4,3,0,0,0,81
1101142,46,5,0,0,0,0,0,57
1101143,46,0,0,0,0,0,0,52
1101144,40,0,0,0,0,0,0,45
1101145,69,11,3,0,0,0,0,76
1101146,41,4,0,0,0,0,0,49
1101147,67,0,3,0,0,0,0,67
1101148,45,6,6,0,0,0,0,53
1101149,51,3,0,0,0,0,0,54
1101150,55,0,0,0,0,0,0,55
1101151,15,0,0,0,0,0,0,19
1101152,84,3,7,0,0,0,0,94
1101201,30,0,4,0,0,0,0,32
1101202,46,3,0,0,0,0,0,48
1101203,91,10,3,0,0,0,0,105
1101204,68,3,3,0,0,0,0,70
1101205,49,6,0,0,0,0,0,60
1101206,60,8,3,0,0,0,0,76
1101207,30,3,0,0,0,0,0,35
1101208,39,10,0,0,0,0,0,46
1101209,128,8,6,0,0,0,0,146
1101210,61,3,0,0,0,0,0,65
1101211,93,15,3,0,0,0,0,111
1101212,44,7,4,0,0,0,0,54
1101213,78,3,5,0,0,0,0,92
1101214,90,9,0,0,0,0,0,99
1101215,56,0,6,0,0,0,0,66
1101216,50,7,0,0,0,0,0,61
1101217,0,0,0,0,0,0,0,3
1101218,61,0,3,0,0,0,0,67
1101219,43,3,6,0,0,0,0,56
1101220,54,7,3,0,0,0,0,69
1101221,45,0,4,0,0,0,0,54
1101222,89,7,0,0,0,0,0,94
1101223,58,9,4,0,0,0,0,73
1101224,85,0,0,0,0,0,0,87
1101225,0,0,0,0,0,0,0,0
1101226,0,0,0,0,0,0,0,0
1101227,71,4,5,0,0,0,0,83
1101228,45,7,0,0,0,0,0,55
1101229,44,8,7,0,0,0,0,57
1101230,19,3,0,0,0,0,0,16
1101231,46,4,3,0,0,0,0,54
1101232,77,3,3,0,0,0,0,86
1101301,17,3,0,0,0,0,0,25
1101302,38,0,3,0,0,0,0,41
1101303,27,3,3,0,0,0,0,33
1101304,38,3,0,0,0,0,0,44
1101305,18,5,4,0,0,0,0,22
1101306,6,0,0,0,0,0,0,6
1101307,30,0,0,0,0,0,0,35
1101308,22,0,0,0,0,0,0,25
1101401,12,3,3,0,0,0,0,20
1101402,26,0,0,0,0,0,0,25
1101403,19,4,3,0,0,0,0,26
1101404,29,0,3,0,0,0,0,35
1101405,29,0,0,0,0,0,0,30
1101406,39,0,3,0,0,0,0,51
1101407,39,4,3,0,0,0,0,48
1101408,27,0,0,0,0,0,0,27
1101409,24,5,3,0,0,0,0,25
1101410,31,0,0,0,0,0,0,31
1101411,23,3,3,0,0,0,0,25
1101412,54,3,0,0,0,0,0,59
1101413,20,4,3,0,0,0,0,25
1101414,13,0,0,0,0,0,0,14
1101415,42,4,0,0,0,0,0,46
1101417,4,0,0,0,0,0,0,4
1101418,36,0,0,0,0,0,0,42
1101419,35,6,0,0,0,0,0,41
1101501,0,0,0,0,0,0,0,0
1101502,0,0,0,0,0,0,0,0
1101503,13,3,0,0,0,0,0,16
1101505,7,0,0,0,0,0,0,7
1101511,13,0,0,0,0,0,0,16
1101512,7,0,0,0,0,0,0,9
1101514,22,3,0,0,0,0,0,22
1101515,22,4,0,0,0,0,0,27
1101516,15,0,0,0,0,0,0,13
1101517,11,0,0,0,0,0,0,18
1101518,33,0,4,0,0,0,0,37
1101519,32,5,0,0,0,0,0,40
1101520,11,0,0,0,0,0,0,14
1101521,32,3,0,0,0,0,0,40
1101522,40,0,0,0,0,0,0,47
1101523,19,3,0,0,0,0,0,25
1101524,14,0,0,0,0,0,0,17
1101601,0,0,0,0,0,0,0,0
1101602,35,7,3,0,0,0,0,46
1101603,24,0,0,0,0,0,0,27
1101604,20,0,3,0,0,0,0,20
1101605,21,0,0,0,0,0,0,21
1101606,64,3,4,0,0,0,0,69
1101607,20,3,0,0,0,0,0,24
1101608,38,4,0,0,0,0,0,47
1101609,28,0,3,0,0,0,0,35
1101610,91,3,0,0,0,0,0,98
1101611,15,3,0,0,0,0,0,19
1101612,0,0,0,0,0,0,0,0
1101613,33,0,0,0,0,0,0,33
1101614,22,0,0,0,0,0,0,26
1101615,39,0,0,0,0,0,0,42
1101616,22,4,0,0,0,0,0,22
1101617,34,0,0,0,0,0,0,30
1101618,71,7,0,0,0,0,0,74
1101619,57,3,4,0,0,0,0,64
1101620,11,0,0,0,0,0,0,11
1101701,32,4,4,0,0,0,0,42
1101702,20,3,7,0,0,0,0,28
1101703,23,3,7,0,0,0,0,32
1101704,17,0,0,3,0,0,0,25
1101705,3,0,0,0,0,0,0,9
1101706,14,0,3,0,0,0,0,21
1101707,0,0,0,0,0,0,0,0
1101708,29,0,0,0,0,0,0,26
1101709,58,4,0,0,0,0,0,67
1101710,38,3,5,0,0,0,0,47
1101711,26,3,0,0,0,0,0,30
1101712,33,3,6,0,0,0,0,45
1101713,34,0,3,0,0,0,0,34
1101714,0,0,0,0,0,0,0,0
1101715,0,0,0,0,0,0,0,0
1101716,28,0,0,0,0,0,0,27
1101717,10,0,0,0,0,0,0,10
1101718,11,0,4,0,0,0,0,19
1101719,26,0,0,0,0,0,0,29
1101720,25,0,0,0,0,0,0,26
1101721,27,4,0,0,0,0,0,35
1101722,23,0,5,0,0,0,3,32
1101801,28,6,0,0,0,0,0,32
1101802,20,3,0,0,0,0,0,29
1101803,39,3,0,0,0,0,0,46
1101804,7,0,0,0,0,0,0,5
1101805,22,0,4,0,0,0,0,26
1101806,21,3,0,0,0,0,0,23
1101807,33,6,0,0,0,0,0,39
1101808,22,3,3,0,0,0,3,29
1101809,8,0,0,0,0,0,0,9
1101810,18,3,0,0,0,0,0,23
1101811,19,9,3,0,0,0,0,28
1101812,25,0,0,0,0,0,0,26
1101813,20,3,0,0,0,0,0,21
1101814,13,0,0,0,0,0,0,13
1101815,10,3,0,0,0,0,0,14
1101816,18,3,3,0,0,0,0,28
1101817,53,6,0,0,0,0,0,63
1101818,30,3,3,0,0,0,0,33
1101819,25,3,3,0,0,0,0,35
1101820,17,3,0,0,0,0,0,20
1101821,10,0,0,0,0,0,0,18
