SA3_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
10102,16156,15820,31979,1765,1765,3533,5007,4993,10001,407,378,785,525,530,1055,141,149,292,191,181,367,31,46,76,132,129,256,3147,3194,6339,3,9,14,9578,9598,19171,1051,1056,2110,230,166,394,12622,12581,25204,1715,1579,3295,30492,29980,60479
10103,5424,5118,10544,1178,1169,2350,1503,1531,3037,128,140,268,184,172,350,27,21,54,60,54,112,11,9,20,20,23,44,218,203,420,3,0,4,2148,2155,4299,373,356,728,80,44,124,3779,3726,7505,1009,726,1737,10212,9573,19785
10104,19715,20315,40029,3816,4059,7880,6214,6780,12995,795,850,1639,373,406,773,52,53,102,94,109,203,27,39,64,60,66,131,1023,1076,2096,0,0,0,8646,9364,18016,453,550,1013,232,195,430,13153,14179,27335,3130,3070,6201,36002,37561,73566
10105,9994,9889,19884,2532,2813,5343,2866,3012,5877,80,87,167,131,132,266,22,13,38,42,33,76,3,4,10,11,10,19,221,265,489,0,0,0,3380,3562,6940,348,311,657,112,129,237,6371,6813,13182,1839,1331,3167,18207,18034,36235
10106,10477,10750,21228,1845,2005,3853,2178,2401,4580,106,117,225,161,161,322,36,34,67,48,62,104,30,21,52,23,24,46,1114,1204,2317,0,6,6,3692,4019,7715,211,217,428,92,76,173,5850,6317,12168,1340,1264,2597,17663,18329,35990
10201,47091,50241,97327,5379,5568,10944,20871,22659,43528,332,366,696,428,492,919,74,71,143,158,166,328,44,53,98,48,46,97,90,101,194,0,0,3,22041,23949,45995,1951,2134,4087,609,552,1157,29979,32205,62186,4437,5076,9506,81504,87517,169023
10202,42773,44771,87541,5323,5952,11278,20731,22659,43391,213,232,450,438,551,984,62,58,120,100,123,224,39,51,94,41,51,86,84,96,179,0,0,0,21701,23826,45528,1002,1129,2134,705,660,1363,28739,31568,60302,4963,5346,10310,76469,81689,158159
10301,11803,11912,23709,2231,2286,4516,5774,6314,12089,105,102,210,177,202,376,31,39,71,37,31,71,12,22,34,20,25,45,26,41,66,0,0,9,6195,6772,12969,398,434,828,178,151,331,9004,9639,18643,2549,1499,4050,23357,23047,46400
10302,15192,15026,30221,3600,3952,7556,3124,3342,6468,132,133,264,241,250,487,39,41,81,75,76,155,12,19,32,21,20,42,87,76,166,0,0,0,3739,3963,7699,286,306,590,158,130,286,7786,8346,16134,2611,2501,5112,25594,25872,51468
10303,12707,12407,25111,2615,2750,5370,4409,4562,8968,66,61,129,240,263,500,31,28,61,54,52,101,24,17,37,21,25,48,14,16,32,0,0,0,4854,5027,9881,225,278,502,132,116,251,7831,8171,16000,2303,1909,4209,22838,22487,45325
10304,14979,15589,30565,3273,3481,6756,6292,6793,13087,146,156,297,289,298,590,56,65,117,70,76,139,24,23,51,32,39,72,77,96,163,0,0,5,6988,7540,14532,525,598,1125,230,185,412,11013,11806,22821,1896,1921,3820,27884,29317,57202
10401,14080,14071,28150,3035,3450,6481,3618,3982,7601,234,274,508,828,900,1726,45,43,83,82,87,168,33,22,49,60,66,122,24,35,56,4,5,8,4923,5406,10326,241,277,523,208,195,403,8405,9326,17733,3059,2175,5234,25550,25567,51116
10402,22599,23942,46544,4031,4455,8486,8803,9717,18528,526,605,1135,971,1063,2033,76,75,146,131,150,286,50,53,106,75,87,158,98,123,219,0,4,6,10747,11884,22626,1377,1553,2927,431,381,816,16585,18275,34862,3162,3264,6428,42349,45485,87832
10501,5513,5286,10795,1104,1230,2332,1086,1123,2203,65,52,117,144,167,308,25,19,44,35,27,58,10,7,18,15,6,20,10,8,17,0,0,0,1380,1418,2796,159,183,341,69,48,124,2712,2875,5590,1842,1879,3727,10067,10043,20109
10502,5687,5751,11439,1249,1496,2742,543,591,1137,105,105,206,106,91,194,196,218,410,37,42,79,19,18,33,15,12,30,9,10,13,0,0,0,1025,1086,2111,132,141,275,60,63,129,2465,2784,5250,1043,1059,2097,9193,9594,18783
10503,17907,18258,36166,3210,3633,6851,6615,7334,13945,202,168,365,371,384,760,47,43,87,105,104,212,20,23,46,42,50,94,53,48,101,0,0,0,7449,8155,15607,742,779,1521,281,252,538,11687,12824,24510,4573,3829,8395,34163,34911,69070
10601,24368,24288,48656,4889,5484,10371,10692,11211,21902,193,153,344,623,543,1166,68,65,135,116,100,215,32,17,48,71,44,110,55,47,101,0,0,0,11852,12180,24030,447,459,904,435,387,823,17623,18508,36134,4294,2531,6830,46287,45328,91615
10602,20414,21154,41568,2693,2899,5594,12496,13825,26322,190,192,382,439,490,928,101,106,208,91,91,182,33,28,60,87,90,175,73,74,151,0,0,0,13513,14899,28410,524,628,1153,353,377,729,17076,18805,35882,1813,1742,3554,39308,41696,81010
10603,19463,19913,39376,3941,4241,8183,8185,8518,16697,282,283,565,478,516,997,96,89,193,118,120,232,41,53,93,110,91,197,102,119,220,4,3,6,9418,9788,19206,539,566,1105,259,232,490,14162,14826,28981,2338,2240,4578,35962,36975,72939
10604,7830,7646,15478,1870,1913,3785,2589,2780,5375,38,46,86,228,239,472,33,25,59,45,35,79,9,8,24,21,19,37,6,5,19,0,0,0,2976,3160,6135,346,348,688,157,126,286,5354,5544,10892,1392,1035,2429,14574,14222,28802
10701,23187,23864,47047,2309,2462,4772,8034,8563,16599,124,132,257,180,169,348,28,36,61,43,40,85,16,17,30,28,18,44,55,64,119,0,0,0,8508,9039,17547,497,559,1059,278,240,521,11591,12305,23900,1922,1996,3918,36699,38161,74867
10702,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,5,0,4,0,0,0,5,0,4
10703,26615,27687,54302,3679,3988,7668,11053,12057,23108,187,205,388,248,279,525,31,37,69,95,98,189,18,28,46,31,39,62,113,128,237,0,0,3,11782,12861,24640,582,701,1285,313,329,648,16366,17879,34241,2461,2502,4967,45436,48072,93512
10704,35601,36872,72476,4223,4229,8455,15151,16124,31277,323,344,664,345,389,734,71,85,158,125,137,259,45,47,90,45,46,90,217,253,476,0,5,5,16318,17433,33749,2977,2673,5647,439,384,826,23959,24716,48683,3142,3334,6476,62701,64928,127634
10801,8511,8842,17356,1514,1680,3190,3600,3927,7532,72,88,158,157,190,345,7,9,15,27,42,70,12,7,16,15,19,31,30,31,55,0,0,4,3920,4307,8225,171,208,377,107,127,231,5710,6317,12033,1328,1395,2726,15550,16558,32108
10802,13322,13624,26951,2395,2647,5040,4213,4609,8819,183,206,385,436,478,919,33,34,66,75,56,135,22,28,53,46,46,91,37,39,77,0,0,0,5056,5502,10550,217,269,490,196,171,371,7865,8585,16452,2911,2315,5225,24100,24522,48628
10803,122,124,251,11,15,30,27,28,55,0,3,5,3,11,10,0,0,0,0,0,5,4,6,5,0,0,0,3,4,3,0,0,0,38,44,88,9,9,19,0,0,0,67,76,137,24,16,40,207,219,428
10804,20736,22295,43032,3753,4178,7928,10263,11673,21930,397,456,850,691,755,1443,58,67,126,109,113,217,48,60,111,72,71,142,165,169,330,3,3,4,11790,13374,25164,655,748,1400,334,384,713,16533,18683,35211,2308,2379,4682,39575,43354,82932
10805,14730,15277,30006,3011,3324,6339,5625,5980,11605,129,145,274,283,324,600,22,23,42,48,44,96,26,25,45,38,39,73,32,38,69,0,0,3,6196,6616,12817,242,287,536,191,157,353,9649,10390,20038,2337,2376,4712,26716,28039,54755
10901,16152,16934,33085,2806,3138,5942,5420,6017,11438,2200,2364,4562,367,394,764,81,76,163,109,114,220,73,73,140,78,85,161,95,104,197,0,3,4,8433,9228,17659,679,722,1400,260,201,459,12179,13289,25463,2162,2132,4293,30492,32353,62838
