SA3_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
10102,1168,1020,712,383,136,8,4432,23,231,380,445,354,186,45,7,1668,396,2249,2061,1603,1159,738,264,44,8522,189,927,1171,1360,1035,527,198,31,5434,806,2100,1767,1776,1477,758,300,87,9064,118,120,111,94,93,52,12,3,605,52,87,110,194,218,175,62,24,918,972,2301,1985,2061,1784,986,379,112,10589,12,51,55,54,42,49,25,3,286,381,644,563,519,592,463,281,98,3540,2003,7368,7388,7075,5678,3334,1314,306,34476
10103,124,143,128,96,32,4,638,6,38,66,65,86,58,18,0,333,87,547,415,442,404,271,95,18,2282,46,231,252,356,313,202,91,23,1515,285,659,694,735,735,404,189,53,3753,30,42,39,34,43,33,12,4,235,19,31,28,67,102,79,29,11,362,332,734,755,829,878,512,232,64,4353,7,15,11,12,18,21,15,3,103,206,340,266,281,287,248,183,88,1895,687,2019,1887,2129,2115,1415,664,203,11116
10104,338,360,553,575,197,38,2296,7,117,217,251,427,471,127,17,1638,124,937,1116,1278,1641,1718,680,165,7656,86,450,744,1006,1515,1500,564,159,6027,814,1984,1934,2394,3022,2479,954,250,13823,104,119,127,134,202,182,48,16,931,55,91,104,220,397,395,244,51,1568,971,2195,2166,2746,3625,3065,1240,323,16324,5,24,30,42,102,150,76,21,455,709,542,604,861,1228,1363,1034,612,6955,1904,4496,5211,6546,9086,8841,3921,1337,41346
10105,169,158,182,155,57,7,896,10,86,118,105,119,102,21,5,566,134,655,601,512,496,407,175,50,3032,106,443,494,599,566,435,187,39,2854,585,1338,1190,1214,1253,794,333,69,6790,79,71,59,83,58,51,24,3,436,37,55,84,128,172,148,67,19,720,708,1475,1337,1428,1487,994,416,97,7941,15,15,14,27,31,38,31,16,186,381,506,454,462,508,516,368,232,3430,1354,3340,3174,3292,3393,2656,1250,447,18907
10106,281,346,248,189,67,9,1298,10,62,130,182,137,141,29,3,696,142,700,823,887,632,496,178,35,3889,67,301,561,624,555,406,157,36,2707,551,1063,1017,1130,1078,633,274,48,5792,63,83,72,59,68,47,17,5,411,43,57,58,112,160,131,53,15,635,662,1203,1151,1304,1305,814,338,60,6839,8,8,13,32,28,38,24,9,159,273,288,307,384,488,486,386,165,2774,1156,2722,3267,3756,3384,2568,1184,321,18368
10201,1762,1474,1250,945,349,60,7062,72,369,567,645,663,616,181,34,3140,994,4545,5511,4390,3235,2730,1119,290,22802,609,1849,2830,3550,3060,2316,1143,278,15629,2235,4327,4864,5262,5309,3444,1896,529,27874,297,250,265,300,350,307,125,26,1919,178,249,385,649,846,909,492,134,3840,2713,4825,5515,6218,6503,4665,2521,682,33635,64,101,138,173,218,299,208,60,1258,977,1134,1202,1297,1476,1766,1806,1493,11148,5477,13990,17524,17741,16403,13334,7319,2893,94679
10202,722,539,544,433,139,16,2983,58,294,406,343,350,332,75,15,1877,615,3114,3008,2315,1674,1452,577,123,12877,564,2027,2421,2651,2165,1547,643,134,12158,2704,6144,5840,5732,5498,3553,1849,480,31797,430,371,293,332,319,258,83,16,2091,199,287,426,605,698,674,299,78,3265,3338,6801,6555,6658,6507,4489,2232,567,37159,40,85,104,136,154,183,132,25,865,1188,1306,1381,1391,1405,1770,1889,1309,11633,5822,14185,14599,14033,12816,10207,5693,2200,79553
10301,282,290,279,234,98,19,1474,13,110,158,174,167,148,50,10,834,271,1170,1048,929,765,574,215,47,5020,132,471,539,683,687,463,232,67,3269,820,1736,1561,1529,1397,884,368,97,8388,111,111,92,113,88,66,11,6,601,59,89,100,139,207,210,84,34,930,991,1929,1752,1778,1692,1166,462,134,9910,14,17,27,42,37,53,34,14,234,590,743,688,594,492,518,408,209,4236,2028,4702,4490,4489,4128,3161,1490,494,24982
10302,157,135,98,99,25,5,701,17,90,93,108,130,80,28,3,543,183,869,837,727,502,402,171,44,3726,95,392,492,632,633,521,195,57,3024,771,1723,1564,1575,1633,1046,446,99,8865,117,116,110,115,133,84,18,3,700,58,82,84,159,218,196,89,25,912,948,1922,1763,1852,1978,1332,559,129,10479,9,33,23,23,45,55,38,15,242,655,596,636,693,850,849,695,349,5329,1915,4062,4006,4178,4242,3331,1716,593,24047
10303,184,163,172,132,41,5,841,9,59,90,112,110,121,22,7,541,114,742,690,636,554,520,201,40,3503,78,382,484,645,673,460,208,49,2985,760,1792,1578,1701,1704,1074,487,91,9185,107,120,94,105,130,73,20,3,651,36,81,88,134,196,194,87,21,838,904,1999,1762,1946,2025,1334,596,115,10681,19,22,29,34,56,47,32,7,241,461,582,592,580,653,702,565,214,4350,1590,3912,3838,4117,4250,3327,1672,433,23132
10304,497,394,317,223,68,17,1992,20,162,208,225,182,144,49,7,997,262,1628,1656,1279,871,755,245,59,6765,147,602,784,922,807,620,294,69,4250,998,2218,1902,1807,1568,897,367,117,9874,100,120,120,114,133,104,40,5,742,59,102,118,168,228,216,129,20,1045,1158,2444,2147,2087,1929,1215,529,147,11659,15,22,42,44,46,53,50,16,286,493,508,504,540,568,628,511,276,4031,2114,5810,5838,5497,4718,3652,1751,591,29975
10401,154,158,172,155,57,4,818,11,70,101,131,171,169,25,8,690,75,610,729,721,706,685,213,54,3804,73,336,494,655,839,710,296,63,3468,739,1545,1485,1695,2005,1516,602,153,9740,140,112,120,112,151,121,26,8,792,55,88,115,150,263,267,135,38,1111,929,1747,1716,1958,2420,1901,761,202,11640,11,20,22,36,54,74,54,5,274,607,872,807,746,809,869,663,362,5735,1710,3770,4034,4404,5168,4564,2079,700,26424
10402,539,555,468,443,151,30,2549,17,192,261,328,383,399,104,11,1703,290,1883,2160,2010,1586,1508,506,106,10053,171,875,1208,1556,1578,1243,523,143,7309,1156,2554,2642,2797,3075,2215,929,236,15601,187,206,155,133,203,159,41,16,1098,83,139,186,272,375,422,216,49,1746,1424,2895,2980,3203,3654,2796,1190,298,18448,27,58,54,60,74,97,81,20,480,752,882,868,897,950,1054,972,655,7031,2690,7145,8069,8628,8699,7540,3536,1255,47568
10501,63,41,36,10,9,0,230,0,36,38,37,35,17,6,0,167,90,429,285,250,190,92,30,4,1370,29,202,213,201,218,96,40,10,1001,213,598,460,483,527,306,107,31,2726,40,41,33,64,42,20,8,0,243,18,24,31,52,66,42,20,0,255,273,669,523,593,638,368,131,31,3223,3,18,8,11,16,17,9,6,79,471,489,474,485,560,499,344,134,3454,873,1917,1600,1612,1695,1091,556,177,9532
10502,67,55,56,23,3,0,286,3,43,54,41,70,24,6,0,251,71,326,220,174,164,144,46,8,1156,32,162,178,227,245,106,28,13,988,242,654,540,564,613,437,158,36,3243,37,59,20,39,47,29,4,0,237,21,24,35,45,69,46,29,10,274,306,739,600,642,730,521,185,41,3752,3,10,3,6,18,10,8,0,73,283,277,281,267,290,296,222,159,2076,704,1627,1405,1412,1569,1125,506,223,8574
