SA3_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
10102,152,65,348,143,247,88,50,96,26,1200,6,0,0,5,3,0,0,5,0,19,127,137,35,57,68,15,26,21,18,509,67,65,88,50,81,30,36,40,104,579,5156,7101,3462,2436,3718,975,779,987,525,25145
10103,87,5,120,60,48,44,16,60,5,445,0,0,0,0,0,3,0,0,0,7,19,16,8,19,7,0,7,7,6,99,34,7,41,24,20,16,18,32,29,216,1402,1491,1109,919,741,412,356,569,134,7132
10104,190,41,484,240,148,136,69,184,25,1526,3,0,3,4,3,4,4,0,0,19,55,59,28,36,36,16,22,27,14,286,78,50,101,92,54,69,52,118,73,691,2856,4857,3547,2969,2230,1207,791,1624,340,20425
10105,69,23,201,138,76,63,46,80,10,702,0,0,0,0,4,5,0,7,0,18,28,27,21,15,14,10,14,7,5,148,44,30,54,39,26,26,40,52,56,381,1813,2349,1860,1806,1250,568,619,774,214,11259
10106,69,28,176,115,79,46,24,61,6,603,0,3,0,0,3,0,0,0,0,6,48,25,14,28,28,10,8,9,5,167,75,27,47,30,35,23,34,49,51,371,2597,2848,1848,1404,1428,491,401,722,215,11948
10201,353,115,799,479,360,270,143,262,28,2806,4,8,5,12,9,10,7,8,0,54,102,181,99,81,100,42,50,54,23,732,136,143,176,133,173,90,98,106,199,1246,8577,17896,8332,6747,7271,2923,1696,2710,835,56995
10202,336,106,853,512,407,322,186,326,38,3076,9,4,6,9,5,3,3,9,0,46,71,85,78,78,85,38,70,67,23,588,121,108,200,165,139,105,137,158,201,1330,5573,10478,8466,7517,5831,2744,2284,3006,709,46601
10301,90,20,303,172,91,54,59,102,14,899,0,3,6,14,3,3,3,3,0,40,28,25,17,18,22,9,14,18,9,164,47,24,64,63,44,30,39,60,62,429,2118,3941,2582,2273,1783,763,755,998,245,15463
10302,137,19,218,145,81,59,49,100,4,818,0,0,0,0,0,0,0,4,0,10,39,19,29,16,13,4,32,23,6,172,91,37,90,57,55,44,75,109,79,640,2961,2969,2212,1805,1503,635,977,1072,192,14316
10303,114,17,238,151,103,66,90,116,12,898,0,0,0,0,8,0,4,7,0,15,25,31,19,16,24,12,28,10,6,176,49,15,75,50,45,38,69,52,65,456,1932,2609,2700,1714,1465,621,1330,949,201,13531
10304,138,31,364,216,145,93,70,137,18,1215,3,0,4,6,5,3,0,6,0,25,39,46,37,27,21,14,20,13,10,223,63,50,70,47,60,49,68,102,80,577,3028,5717,3261,2514,2428,851,1017,1176,281,20277
10401,91,28,286,188,93,74,50,125,12,942,0,0,0,0,0,0,0,6,0,5,19,27,28,19,23,11,20,19,5,172,66,36,65,73,37,40,47,91,60,501,1605,2883,2002,2245,1500,703,623,1123,221,12908
