SA3_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
10102,0,0,3,7,3,3,0,0,0,20,0,3,3,14,4,8,6,7,7,52,0,0,0,15,8,35,50,55,34,182,0,0,0,5,0,4,0,0,0,12,0,0,0,15,9,0,0,0,0,22,0,0,0,4,0,9,0,0,0,16,0,0,5,24,13,20,4,4,0,73,0,0,0,0,0,3,13,14,6,38,0,0,0,4,0,0,0,0,0,7,0,0,0,8,6,4,0,0,0,18,0,7,29,242,5,6,0,0,0,279,0,0,0,4,14,10,19,20,3,65,3,17,44,138,108,89,59,24,5,485,0,5,6,53,49,72,73,28,13,295,5,6,7,81,9,5,4,0,0,108,0,0,0,9,18,11,0,0,0,43,4,29,43,115,48,21,6,0,0,266,0,0,0,7,0,4,7,7,0,31,0,0,0,12,4,0,5,0,0,20,0,0,0,11,15,44,26,20,0,113
10103,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,6,5,0,20,3,0,0,7,3,0,16,12,13,63,0,0,0,8,0,0,0,0,0,8,0,0,0,8,3,0,0,0,0,15,0,0,0,0,0,3,5,6,0,12,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,16,0,0,0,3,11,5,7,6,4,36,0,0,8,36,30,28,24,4,4,138,0,0,0,0,0,0,0,0,0,6,0,4,0,11,0,0,0,0,0,22,0,0,0,0,0,3,4,0,0,4,0,5,9,8,3,3,0,0,0,26,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,4,14,3,35
10104,0,0,0,0,0,0,0,0,0,0,0,6,0,13,9,7,22,14,0,74,0,0,0,6,5,22,46,26,14,113,0,8,3,3,0,0,3,0,0,13,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,5,3,0,0,6,0,0,0,9,9,8,3,3,0,34,0,0,0,0,0,5,16,14,6,51,0,0,0,0,0,5,8,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0,49,0,0,0,10,12,13,71,51,17,172,0,0,11,74,58,122,148,51,6,473,0,0,0,0,0,3,6,3,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,12,0,0,0,23,0,10,7,27,7,4,4,0,0,58,0,0,0,4,6,4,10,6,0,30,0,0,0,0,3,0,0,0,0,3,0,0,0,10,9,48,74,42,10,208
10105,0,0,0,9,0,0,0,0,0,10,0,3,0,9,4,4,6,4,0,32,0,0,3,0,0,7,11,9,0,40,0,0,0,0,0,0,0,0,0,8,0,0,7,18,5,0,0,0,0,28,0,0,7,7,12,7,4,0,0,36,0,0,0,0,6,4,0,0,0,17,0,0,0,0,0,3,5,4,0,21,0,0,0,6,0,3,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,8,67,0,0,0,0,0,81,0,0,0,5,0,4,16,14,7,40,5,3,10,31,37,41,47,16,0,188,0,0,0,0,0,8,0,0,0,13,0,0,0,18,0,0,0,0,0,18,0,0,0,0,3,6,0,0,0,14,0,7,16,36,5,3,3,0,0,74,0,0,0,0,0,0,7,0,0,12,0,0,0,0,3,0,3,0,0,4,0,0,0,8,8,13,16,17,3,65
10106,0,0,0,4,0,0,0,0,0,7,0,0,0,19,5,0,4,3,0,38,0,0,0,3,4,4,7,10,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,4,10,10,14,6,4,0,46,0,3,0,3,4,3,0,3,0,15,0,0,0,0,0,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,7,0,0,0,5,0,4,11,12,0,34,4,0,10,44,28,34,35,13,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,20,0,0,0,0,7,7,0,0,0,18,0,12,10,19,15,4,0,0,0,58,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,14,13,5,4,53
10201,0,0,0,9,5,0,0,0,0,19,0,14,18,80,65,56,52,36,7,328,0,0,3,23,27,51,81,71,38,296,0,11,11,13,11,12,5,0,0,72,3,20,24,74,59,29,17,15,3,240,0,0,3,11,14,13,15,8,0,63,0,5,9,51,24,28,23,10,4,145,0,0,0,3,11,15,65,39,7,141,0,0,0,7,6,15,16,9,0,45,0,0,0,3,5,5,0,6,0,23,0,0,20,158,3,3,0,0,0,187,0,5,7,12,24,28,79,77,25,252,14,53,61,368,385,338,260,121,26,1623,0,0,0,0,5,10,3,0,0,11,4,0,11,47,7,3,6,0,0,72,0,0,0,23,27,13,14,3,0,84,3,43,35,182,63,56,28,5,0,419,0,5,4,33,24,19,27,16,9,134,0,0,0,12,4,0,3,0,0,18,0,8,14,64,73,106,102,84,29,479
10202,0,0,0,0,7,4,0,0,0,9,0,16,5,49,28,31,52,64,4,249,0,3,6,14,8,36,82,84,37,270,0,6,3,3,7,4,5,0,0,27,0,12,6,33,22,14,21,5,0,106,0,0,5,9,18,21,16,6,3,74,0,0,9,24,12,16,9,0,0,75,0,0,3,6,9,24,92,80,12,227,0,0,0,3,6,4,7,7,7,35,0,0,0,0,0,0,0,0,0,6,0,5,9,82,3,0,0,0,0,99,0,0,3,6,12,19,78,63,18,194,11,55,72,327,272,258,230,90,13,1321,0,0,0,0,4,8,4,0,0,15,0,4,9,29,0,0,4,0,0,46,0,0,5,7,13,19,3,0,0,48,0,25,37,160,48,29,23,8,0,330,0,0,0,9,6,7,22,13,0,51,0,0,0,6,5,9,0,0,0,23,0,8,8,38,47,105,83,98,22,411
10301,0,0,0,6,3,0,0,0,0,12,0,3,3,8,4,3,5,9,4,41,0,0,0,4,0,10,17,0,3,36,0,0,0,0,0,0,3,0,0,8,0,0,0,14,0,4,0,0,0,18,0,0,0,7,15,5,9,4,0,37,0,0,5,7,10,5,0,0,0,22,0,0,0,0,0,0,9,3,0,9,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,71,3,0,4,0,0,96,0,0,0,5,5,10,16,13,6,47,3,9,25,76,67,51,44,13,0,288,0,0,0,0,0,0,0,0,0,0,0,7,3,24,3,0,0,0,0,37,0,0,0,0,3,3,0,0,0,8,3,15,16,51,9,4,0,0,0,109,0,0,0,0,0,0,0,0,3,9,0,0,0,3,0,0,0,0,0,6,0,0,4,10,13,11,23,11,6,83
10302,0,0,0,6,0,0,0,0,0,6,0,0,0,14,0,3,4,6,0,28,0,7,0,0,0,4,4,3,3,29,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,4,0,0,0,13,0,0,0,0,0,0,4,4,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,38,0,0,0,4,0,4,14,17,6,42,0,6,11,40,25,31,37,9,5,164,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,17,0,0,0,5,0,0,0,0,0,10,3,12,22,53,9,7,3,0,0,104,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,11,0,0,0,3,5,4,16,9,3,48
10303,0,0,0,0,4,0,0,0,0,6,0,0,0,10,8,4,5,3,0,35,0,0,0,3,0,6,21,5,5,43,0,0,5,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,7,0,0,0,5,6,0,4,0,0,18,0,0,6,9,6,12,0,0,0,29,0,0,0,0,0,4,14,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,36,0,0,0,0,4,9,26,10,5,59,0,5,8,43,37,61,52,23,0,228,0,0,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,6,0,0,3,0,0,13,0,6,16,35,7,7,0,0,0,68,0,0,0,0,0,0,10,3,0,23,0,0,0,6,0,0,0,0,0,8,0,0,0,3,7,17,27,21,3,72
