SA3_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
10102,3,0,0,0,4,0,3,51,0,0,0,0,4,4,0,9,0,0,4,0,0,0,0,23,0,0,16,18,13,9,19,12,0,4,0,0,0,0,0,92,6,135,140,27,16,6,14,6,0,0,7,4,0,0,6,365,0,0,0,0,7,5,12,3,0,0,0,0,0,0,0,37,0,0,0,7,7,8,30,17,0,4,0,0,0,0,0,72,0,0,6,4,7,0,5,0,0,0,0,0,0,0,0,32,0,4,15,25,30,16,26,15,3,0,4,5,0,0,10,147,0,0,0,0,0,0,73,115,79,130,70,35,5,0,6,513,7,48,19,9,12,4,13,7,0,0,3,0,0,0,0,130,5,9,55,147,183,128,188,88,14,9,8,18,10,3,16,883,6,8,74,142,137,84,48,41,3,0,0,3,0,0,9,572,0,0,0,4,0,10,38,52,13,17,23,10,0,0,8,177
10103,0,0,0,0,8,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,5,0,5,10,0,0,0,0,0,0,3,44,5,27,24,3,3,0,0,3,0,0,3,3,5,5,9,90,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,4,4,0,0,3,7,0,0,0,24,0,0,10,7,7,0,0,0,0,0,0,0,0,0,0,26,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,26,0,0,0,0,0,0,3,3,8,0,4,6,0,0,0,29,4,24,14,3,10,10,0,3,0,0,0,3,0,0,0,80,3,4,18,67,62,36,34,25,4,9,3,3,0,4,13,286,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,8,3,7,0,32
10104,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,27,30,26,7,34,14,0,4,0,0,0,0,0,165,9,51,59,18,5,3,10,0,0,0,0,0,0,0,9,171,0,3,0,3,0,4,13,5,6,0,4,4,0,0,6,49,0,0,0,0,0,3,5,0,0,0,6,0,0,0,3,26,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,14,0,9,16,10,8,6,8,3,5,0,0,0,0,0,4,76,0,0,0,0,0,4,10,14,23,13,17,11,6,0,0,95,29,190,41,32,27,19,11,5,0,0,4,0,0,0,10,379,3,31,117,281,210,130,92,23,5,0,7,5,3,0,53,966,0,4,9,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,8,3,0,0,3,0,0,0,0,14
10105,0,0,0,0,0,0,3,17,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,15,0,0,9,10,7,0,8,4,0,0,0,3,0,0,0,50,3,16,25,9,0,0,0,3,0,0,0,0,0,0,0,60,0,0,0,0,0,0,5,0,0,0,0,0,4,0,7,12,0,0,0,0,0,4,9,16,0,0,9,9,3,0,6,54,0,0,4,14,4,8,8,7,3,0,0,0,0,0,12,53,0,0,3,9,10,3,7,0,3,0,0,0,0,0,0,43,0,0,0,0,0,3,37,41,11,18,23,21,0,0,0,154,4,40,7,5,8,7,3,0,0,0,0,0,0,0,5,86,0,8,36,87,72,55,48,24,0,4,3,9,0,8,17,367,0,0,4,4,0,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,9,9,4,0,0,3,3,0,0,33
10106,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,11,3,0,8,6,12,0,15,20,0,0,0,4,5,0,3,70,5,14,9,0,6,0,3,6,0,0,0,0,0,0,5,57,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,15,0,0,10,17,12,7,26,9,0,0,0,0,0,0,0,83,0,4,3,7,7,6,5,9,0,0,0,4,0,0,4,42,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,19,0,34,5,8,7,12,3,0,0,0,0,0,0,0,0,83,0,5,34,70,78,53,58,25,0,0,8,0,0,3,18,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,10,0,0,0,3,0,0,0,25
10201,5,3,0,5,0,0,3,160,0,0,5,3,0,14,4,3,0,3,0,0,0,0,0,32,0,19,61,81,134,92,178,93,7,0,7,9,0,0,10,683,30,160,140,48,8,16,33,26,0,7,8,12,0,0,18,490,0,3,0,12,23,60,79,41,16,4,8,8,0,0,6,259,0,4,0,20,81,79,235,95,21,5,7,5,3,0,11,568,4,17,21,23,15,12,9,6,0,0,0,0,0,0,5,114,4,8,27,52,65,31,42,34,8,18,13,9,7,0,12,318,0,0,0,0,0,6,74,76,40,48,81,24,0,0,9,349,51,193,71,42,44,26,47,22,0,5,4,0,0,0,25,532,28,44,251,611,740,576,514,180,33,37,27,41,19,13,120,3238,0,0,7,11,5,0,0,0,0,0,0,0,0,0,0,20,0,0,3,0,7,4,28,36,15,4,7,10,0,0,4,119
10202,0,0,0,0,0,0,0,58,0,0,0,3,0,12,3,3,0,0,0,0,0,0,0,19,0,21,125,80,91,30,66,43,5,4,6,0,0,0,15,491,16,149,165,39,11,7,8,13,0,5,0,3,0,0,24,450,0,4,0,3,10,16,34,10,5,0,0,0,3,0,4,97,0,0,0,10,31,45,85,37,3,3,3,4,0,0,9,241,0,11,38,28,16,8,13,4,0,0,0,5,0,0,6,127,0,4,25,26,37,15,33,27,7,0,5,4,4,0,10,193,0,0,0,0,0,4,40,34,23,32,34,11,3,0,5,181,27,199,76,23,26,18,19,15,0,0,0,3,0,0,17,421,13,28,210,526,610,485,382,155,31,39,15,32,12,16,69,2621,0,0,11,11,0,5,0,0,0,0,0,0,0,0,0,22,0,0,0,6,4,6,11,34,4,0,0,7,0,0,0,86
10301,0,0,5,4,0,0,8,42,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,22,0,4,14,16,10,6,18,13,0,4,0,5,0,0,4,84,5,22,19,0,0,0,3,0,0,0,0,0,0,0,3,53,0,3,6,0,0,7,4,0,0,4,3,0,0,0,0,30,0,0,0,0,4,5,10,5,0,4,0,3,0,0,4,38,0,0,19,9,10,6,3,0,0,0,0,0,0,0,11,53,0,0,9,7,11,0,14,4,0,0,0,3,0,0,0,54,0,0,0,0,0,0,36,38,21,44,28,12,4,0,3,186,10,46,23,6,11,7,0,0,0,0,0,0,0,0,3,110,0,8,36,88,110,72,100,36,10,0,4,3,3,0,42,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,21,0,3,9,13,3,0,3,65
10302,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,3,0,4,0,0,0,0,0,8,0,0,5,7,5,4,8,7,0,4,0,4,0,0,0,41,0,11,14,3,0,0,0,8,0,0,0,0,0,0,5,48,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,6,5,0,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,6,3,0,4,7,0,0,3,5,0,0,0,29,0,0,0,0,0,0,15,18,14,15,9,0,0,0,0,71,4,56,19,3,3,0,0,0,0,0,0,0,0,0,3,93,5,4,29,57,73,41,55,22,0,6,4,0,4,0,27,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,4,0,0,23
10303,0,0,0,0,0,0,0,10,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,6,0,6,13,11,7,10,14,4,0,0,0,0,0,0,3,67,5,22,24,8,0,0,0,6,0,0,0,0,0,0,10,80,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,13,0,0,0,0,10,4,5,4,0,0,3,0,0,0,0,23,0,0,3,4,0,3,8,0,0,0,0,0,0,0,3,23,0,3,9,7,11,0,10,5,0,0,0,5,0,0,0,56,0,0,0,0,0,0,10,16,10,10,7,8,3,0,4,69,9,46,29,8,9,4,0,3,0,0,0,0,0,0,5,109,0,10,53,122,105,59,49,29,8,3,3,4,0,4,25,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,3,0,0,0,0,0,3,0,13
