SA3_CODE_2021,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
10102,26,0,6,0,38,0,0,0,38,0,0,37,0,0,0,3,7,0,0,0,7,0,0,7,1115,107,26,3,1260,12,0,11,1272,53,0,1328,7,0,0,0,4,0,0,0,5,0,0,5,13,0,0,0,10,0,0,0,10,0,0,10,14,3,0,0,19,0,0,0,16,0,0,16,1132,111,26,3,1274,16,0,14,1292,53,0,1348,102,17,4,0,120,3,0,3,125,24,0,148,0,0,0,0,0,0,0,0,0,0,4,7,1234,127,30,3,1398,17,0,18,1412,86,4,1501,274,23,3,0,298,3,0,3,309,16,0,320,111,12,6,0,132,0,3,3,131,11,0,144,7,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,7,0,0,4,400,36,4,0,447,3,3,6,453,27,0,479,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
10103,9,4,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,277,42,7,0,329,0,0,0,331,26,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,42,7,0,328,0,0,0,332,26,0,364,26,5,0,0,30,0,0,0,34,12,0,41,0,0,0,0,0,0,0,0,0,0,0,0,302,46,7,0,364,0,4,5,363,34,0,407,39,0,0,0,44,0,0,0,44,0,0,44,9,0,0,0,12,0,0,0,12,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,0,57,0,0,0,57,4,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10104,17,3,4,0,26,0,0,0,26,4,0,30,3,3,0,18,20,0,0,0,20,5,0,25,732,161,16,25,934,5,0,3,938,67,0,1008,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,732,161,16,25,937,5,5,6,945,71,0,1017,60,25,6,5,86,6,0,7,98,51,0,149,0,0,0,0,0,0,0,0,0,0,3,3,789,188,17,32,1031,7,4,11,1042,117,6,1162,75,13,0,0,88,0,0,0,94,9,0,100,57,18,0,0,79,0,0,0,79,13,0,94,5,0,4,0,4,0,0,0,4,0,0,4,0,0,0,4,4,0,0,0,4,0,0,4,134,34,3,10,184,0,0,0,183,26,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10105,17,0,3,0,17,0,0,0,17,3,0,26,3,0,0,6,6,0,0,0,6,0,0,6,455,65,11,8,544,7,0,8,551,32,0,588,3,0,0,0,3,0,0,0,7,0,0,10,6,0,0,0,6,0,0,0,6,4,0,7,8,0,0,0,8,0,0,0,9,6,0,16,467,65,11,8,553,10,0,8,559,38,0,599,54,16,3,0,77,0,0,0,74,14,0,96,0,0,0,0,0,0,0,0,0,0,5,5,521,83,18,7,632,10,3,11,637,55,7,699,71,3,4,0,74,0,0,0,75,4,0,81,23,3,0,0,28,0,0,0,31,3,0,30,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,4,4,0,0,0,4,0,0,4,93,3,3,3,109,3,0,3,107,10,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10106,13,0,0,0,14,0,0,0,19,4,0,16,7,0,0,0,10,0,0,0,10,0,0,13,595,81,14,0,695,4,0,3,701,35,7,742,4,0,0,0,4,0,0,0,4,0,0,5,8,0,0,0,11,0,0,0,11,0,0,11,11,0,0,0,14,0,0,0,14,0,0,11,608,83,14,0,709,4,0,3,708,36,7,754,72,11,4,3,90,0,3,5,92,27,0,121,0,0,0,0,0,0,0,0,0,0,0,0,681,94,17,3,798,4,0,11,809,64,9,879,94,9,0,0,107,0,0,0,111,8,0,115,59,8,0,0,67,0,0,0,67,8,0,77,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,0,0,0,3,0,0,3,162,18,3,0,187,0,0,0,182,15,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10201,167,47,30,3,245,5,0,5,250,17,0,264,11,0,0,15,25,0,0,0,29,0,0,31,2265,492,164,24,2941,38,6,45,2989,190,13,3184,20,4,0,0,17,0,3,4,26,5,0,29,18,8,0,0,29,0,0,0,28,3,0,36,38,11,0,0,46,5,3,4,52,9,0,62,2297,508,159,30,2991,42,9,55,3042,196,13,3244,353,67,23,3,445,6,6,12,456,103,0,558,4,0,0,0,0,0,0,0,0,0,3,8,2652,573,187,36,3440,50,14,63,3498,301,13,3813,477,63,37,0,577,5,0,5,584,45,4,629,387,91,25,3,503,6,0,6,508,41,0,551,48,18,13,0,74,0,0,0,74,3,0,78,3,0,0,3,11,0,0,0,11,0,0,8,914,170,72,3,1162,11,0,11,1177,95,4,1268,5,0,0,0,4,0,0,0,4,3,0,9,13,0,0,0,15,0,0,0
10202,145,31,25,0,201,5,0,5,203,17,0,221,15,0,0,10,24,0,0,0,24,6,0,24,1783,364,145,18,2313,32,3,35,2350,171,3,2518,13,6,0,0,18,3,0,9,26,0,0,26,18,8,0,0,30,3,0,4,30,0,0,33,34,15,0,0,48,8,0,9,59,0,0,58,1817,377,147,20,2361,38,7,41,2409,171,3,2586,301,89,29,11,427,14,4,16,447,116,3,562,5,0,0,0,5,0,0,0,5,3,10,10,2117,466,179,31,2791,49,10,61,2853,287,16,3155,294,56,19,0,371,3,3,7,375,29,0,405,263,54,15,0,332,6,0,6,337,22,0,364,42,11,16,0,69,0,0,0,69,3,0,76,0,0,0,0,0,0,0,0,0,0,0,0,605,114,51,0,773,12,3,15,783,51,0,842,7,0,0,0,11,0,0,0,11,0,0,11,3,0,0,0,10,0,0,0
10301,13,0,9,0,22,0,0,0,22,3,0,22,4,0,0,7,7,0,0,0,7,0,0,7,737,81,20,8,845,6,4,3,853,37,3,889,6,0,0,0,7,3,0,3,7,0,0,7,0,0,0,0,0,0,0,3,3,0,0,5,7,0,0,0,10,4,0,5,13,0,0,16,746,81,20,8,855,7,3,10,866,39,3,901,65,17,0,0,86,0,0,0,87,24,0,108,0,4,0,0,4,0,0,0,4,0,0,5,812,102,20,8,936,13,3,13,954,57,3,1013,118,9,0,0,129,0,0,0,126,7,0,137,76,14,0,0,86,0,0,0,86,6,0,96,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,193,23,0,0,213,0,0,0,215,11,0,228,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
10302,11,0,3,0,20,0,0,0,20,0,0,14,0,0,0,5,11,0,0,0,11,0,0,10,672,64,16,17,765,4,0,10,772,30,0,804,3,3,0,0,4,4,0,4,9,0,0,9,6,0,0,0,6,3,0,5,8,0,0,8,11,3,0,0,9,7,0,11,21,0,0,21,680,64,16,17,780,14,6,15,791,30,0,826,83,17,0,4,101,6,0,6,108,40,0,149,0,0,0,0,0,0,0,0,0,0,8,3,768,78,13,23,878,20,6,25,900,69,3,980,73,5,0,0,84,0,0,0,87,4,0,87,51,3,0,0,60,0,0,0,55,5,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,125,12,0,0,140,0,0,0,141,6,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10303,20,0,0,0,20,0,0,0,20,0,0,21,9,0,0,3,10,0,0,0,10,0,0,12,597,62,12,13,687,11,0,11,695,34,4,731,8,0,0,0,9,3,0,3,13,0,0,13,4,0,0,0,4,0,0,0,4,0,0,3,11,0,0,0,11,3,0,3,11,0,0,14,607,61,12,13,696,17,0,20,707,36,4,750,73,9,4,0,90,3,0,3,91,33,0,126,0,0,0,0,0,0,0,0,0,0,0,0,683,75,14,16,783,18,0,18,801,65,4,873,64,4,5,6,72,0,0,0,74,0,0,77,52,12,0,0,62,0,0,4,62,7,0,69,4,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,119,13,0,6,145,4,0,5,149,4,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
