SA3_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
10102,0,0,3,10,0,0,0,0,0,14,2044,3972,3139,6649,3593,3052,1819,675,141,25085,0,8,0,71,8,0,6,0,0,97,0,0,0,4,6,7,4,0,0,17,0,0,0,10,3,0,0,0,0,16,0,0,0,9,0,0,0,0,0,8,4,0,4,16,7,8,12,3,0,59,0,0,0,5,6,3,4,0,0,23,0,0,5,37,16,14,8,0,0,89,0,0,3,4,3,18,18,30,9,89,0,0,0,16,0,3,3,0,0,31,3,32,46,108,172,257,164,102,25,908,0,0,14,34,21,3,9,0,0,85,0,3,3,9,5,6,6,0,0,41,0,0,0,14,14,22,43,25,12,135,0,0,0,4,4,13,17,18,3,59,0,0,3,4,10,3,11,0,0,26,4,36,52,571,57,19,15,8,0,759,0,0,0,17,3,3,0,4,0,34,0,0,0,15,3,7,0,0,0,29
10103,0,0,0,0,0,0,0,0,0,0,429,1181,1033,1987,1172,1229,900,428,114,8472,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,9,9,4,0,0,0,24,0,0,0,7,0,0,0,0,0,6,0,0,3,21,0,9,0,6,0,35,0,0,0,0,0,5,0,4,0,8,0,0,0,0,4,0,0,0,0,4,0,4,16,50,44,72,79,38,12,315,0,0,0,4,0,0,0,0,0,6,0,0,3,9,0,7,0,0,0,16,0,0,0,4,8,10,21,29,16,87,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,3,0,4,3,22,7,4,9,0,0,50,0,0,3,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,10
10104,0,0,0,0,0,0,0,0,0,0,1515,3669,2967,5253,3539,4841,5140,2303,659,29891,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,4,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,5,12,12,16,20,5,5,71,0,0,0,0,8,3,8,8,0,27,0,0,4,11,12,4,5,6,0,41,0,0,0,0,0,8,21,32,9,66,0,0,0,0,0,0,11,6,0,13,3,20,17,79,130,364,608,349,101,1678,0,0,0,0,0,0,3,0,0,10,0,3,3,8,3,7,5,5,4,41,0,0,3,16,18,40,71,73,18,228,0,0,0,0,0,7,10,14,6,38,0,0,0,9,0,0,4,0,0,22,0,9,6,75,8,14,5,5,5,121,0,3,0,3,0,0,0,4,0,16,0,0,0,8,3,0,0,0,0,8
10105,0,0,0,8,0,0,0,0,0,8,1041,2157,1901,3601,1980,2225,1787,931,300,15924,0,0,0,13,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,3,0,15,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,8,0,0,0,7,0,5,0,0,0,19,0,0,0,0,0,0,0,0,0,12,0,5,6,41,3,9,6,0,0,71,0,0,0,0,0,8,3,5,0,12,0,0,0,0,0,4,0,4,0,14,0,12,6,40,37,103,121,94,25,433,0,0,3,19,5,5,0,0,0,34,0,0,0,3,0,0,6,0,0,11,0,0,0,9,6,7,10,9,3,51,0,0,0,0,0,7,7,9,0,32,0,0,0,0,0,0,5,0,0,6,0,10,15,73,10,3,3,4,0,128,0,0,0,8,0,0,0,0,0,17,0,0,3,8,0,0,3,0,0,12
10106,0,0,0,5,0,0,0,0,0,4,1051,2458,1848,3133,2119,2159,1786,943,265,15773,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7,0,0,22,0,0,0,0,0,0,0,0,0,8,0,6,6,22,7,0,4,0,0,53,0,0,0,0,0,11,6,6,0,21,0,0,0,3,0,0,0,0,0,9,0,4,18,56,69,107,131,75,17,471,0,0,0,5,3,7,3,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,8,7,14,0,43,0,0,3,0,0,3,3,4,0,12,0,0,0,9,0,0,0,0,0,6,0,3,0,47,3,3,4,4,0,61,0,0,0,0,3,0,0,0,0,9,0,0,0,3,0,0,0,0,0,6
10201,0,0,0,7,0,0,0,0,0,8,4628,10208,8630,14627,8155,7949,6792,4017,1338,66359,0,8,0,34,0,4,5,0,0,43,0,0,0,8,5,3,0,0,0,21,0,4,3,80,15,0,4,4,0,115,0,0,0,11,5,0,4,0,0,20,3,13,22,64,52,34,20,15,5,228,0,0,3,21,25,10,13,22,6,99,0,27,22,130,84,84,105,37,9,501,0,0,0,9,5,21,18,35,5,88,0,11,4,44,3,17,25,29,6,138,13,172,245,857,795,1010,934,753,233,5001,0,0,5,37,16,28,11,3,0,101,4,10,4,43,25,16,26,9,0,131,0,11,15,41,39,39,87,78,20,332,0,0,5,6,5,10,27,36,18,103,0,4,6,31,12,30,22,6,0,127,4,31,63,440,81,40,30,32,16,740,0,6,8,35,18,15,9,8,9,117,0,0,5,42,11,15,11,4,0,82
10202,0,0,0,4,0,0,0,0,0,8,4920,10062,9076,15889,7996,7832,6500,3586,1148,67017,0,0,0,24,0,0,0,0,0,22,0,0,0,8,4,3,0,0,0,14,0,0,4,29,9,4,0,0,0,46,0,0,0,6,6,4,0,0,0,13,0,3,10,31,8,17,10,6,3,91,0,0,0,9,21,18,13,17,0,82,0,10,15,49,25,41,44,22,0,212,0,0,0,3,8,22,21,18,3,74,0,5,0,12,5,13,23,19,16,84,7,60,112,337,369,587,656,547,184,2860,0,4,8,30,20,17,12,0,0,95,0,0,0,15,9,8,5,5,0,42,0,0,4,10,15,26,65,76,21,204,0,0,0,0,4,12,28,26,7,76,0,0,3,15,8,6,16,5,4,57,5,30,33,300,67,32,18,12,5,497,0,5,16,41,27,12,7,4,4,115,0,0,0,4,5,9,6,3,0,33
10301,0,3,0,10,0,0,0,0,0,11,1342,2975,2946,5041,2462,2508,2057,1063,291,20698,0,0,0,24,3,4,0,0,0,32,0,0,0,0,0,4,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,10,3,3,0,0,34,0,0,0,0,0,0,4,0,0,6,0,0,6,20,15,4,6,0,0,52,0,0,0,0,0,7,7,6,4,19,0,0,0,8,0,0,0,0,0,17,0,7,12,43,52,110,140,94,44,501,0,8,4,18,5,4,0,0,0,40,0,0,6,15,0,0,3,0,0,24,0,0,0,3,6,6,16,15,4,51,0,0,0,0,0,3,6,0,4,11,0,0,0,4,0,0,0,0,0,5,3,11,22,148,22,6,8,0,0,227,0,0,0,12,0,0,0,0,0,17,0,3,0,15,8,0,0,0,0,26
10302,0,0,0,0,0,0,0,0,0,0,1502,3273,2666,4617,2644,3259,2976,1673,558,23166,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,6,0,0,0,29,13,5,6,4,0,57,0,0,0,0,0,3,0,6,0,10,0,0,0,0,0,0,0,0,0,3,0,4,3,21,23,66,76,56,14,268,0,0,6,10,3,7,0,0,0,26,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,20,21,0,56,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,3,3,0,0,6,0,3,8,84,8,5,5,0,0,115,0,0,0,3,0,0,3,0,0,12,0,0,0,7,0,3,0,0,0,6
10303,0,0,0,0,0,0,0,0,0,0,1204,2900,2302,4464,2526,2775,2340,1263,313,20086,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,7,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,4,0,0,0,14,0,0,0,6,0,0,0,0,0,5,0,0,0,10,5,13,5,0,0,41,0,0,0,0,0,14,9,8,4,30,0,0,0,0,0,0,3,0,0,10,0,7,12,41,78,131,136,123,35,556,0,0,4,6,4,0,7,0,0,17,0,0,0,5,0,4,3,0,0,19,0,0,0,3,5,11,25,26,0,72,0,0,0,4,0,0,12,4,8,24,0,0,0,5,4,0,4,0,0,11,0,3,12,45,9,8,8,0,0,82,0,0,0,3,0,0,3,0,0,13,0,0,0,4,0,0,4,0,0,10
