SA3_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
10102,10,39,0,1232,14,3,4,6,6,5,0,5,0,9,221,280,11,0,5,0,5,0,0,0,0,20,31,76,2126,274,61,900,156,679,63,435,86,1720,284,6789
10103,0,19,0,193,8,0,0,3,0,0,0,0,3,3,113,134,3,4,0,0,0,0,0,0,0,14,19,49,534,148,18,388,34,192,32,179,33,732,147,2438
10104,11,85,0,501,8,6,0,6,4,12,0,10,0,46,375,474,5,13,6,5,0,3,4,4,4,94,80,207,1158,660,88,1221,125,702,143,1080,161,5901,538,11774
10105,3,22,0,315,0,0,4,0,0,3,0,3,0,17,147,175,0,0,3,4,0,0,0,0,3,39,30,81,877,230,43,665,83,402,38,307,66,1575,202,4494
10106,4,26,0,488,0,0,0,0,5,5,4,8,0,17,151,180,7,6,3,0,0,3,0,0,3,39,34,108,935,230,38,593,98,387,49,344,50,1520,212,4450
10201,12,182,0,1933,12,6,4,5,3,13,11,18,8,72,491,641,6,4,4,9,6,12,5,7,6,133,101,276,2772,957,192,2119,604,1689,329,1476,385,8661,696,19880
10202,12,72,3,876,13,3,3,8,9,17,3,9,8,68,497,625,7,3,8,6,4,0,3,4,3,136,115,296,2421,725,204,1877,548,1448,321,1179,397,7819,731,17657
10301,0,26,4,345,0,3,0,3,7,5,3,5,3,20,196,243,12,0,0,5,0,0,0,0,0,41,26,84,1094,241,46,715,85,490,50,419,73,1766,252,5239
10302,0,25,0,328,11,0,3,4,0,9,0,9,3,23,251,320,15,5,8,8,0,6,3,0,0,53,59,155,1267,280,68,934,71,554,51,435,80,2316,366,6413
10303,4,30,0,429,7,5,0,5,0,8,0,8,0,25,199,256,7,6,4,0,0,5,0,3,3,49,48,122,913,246,63,788,103,509,65,418,80,2085,293,5559
10304,6,38,0,582,11,4,5,5,5,5,0,3,4,18,226,282,3,0,5,4,0,5,0,4,8,50,36,111,1508,323,34,960,97,592,55,456,86,2038,300,6438
10401,6,44,0,263,0,0,5,4,4,4,0,5,0,25,239,294,4,0,0,4,0,0,0,0,0,60,40,112,820,321,52,771,72,500,54,579,86,3528,346,7127
10402,11,63,0,530,8,6,0,8,4,7,3,12,3,35,340,424,11,6,10,5,0,0,0,5,3,106,66,212,1516,682,74,1442,132,770,100,950,147,4756,467,11043
10501,0,4,0,152,4,3,0,3,0,3,0,0,0,5,111,138,6,0,0,4,0,4,0,0,3,23,34,76,571,89,28,287,38,179,20,106,33,526,154,2037
10502,3,9,0,110,0,0,0,0,0,6,0,0,0,8,110,127,3,3,3,6,0,4,0,0,0,32,17,72,417,64,20,251,44,218,16,137,38,819,141,2159
10503,3,27,0,448,14,0,0,4,8,7,4,0,8,25,321,390,13,5,4,7,3,4,0,3,0,68,61,186,1800,343,62,1148,145,618,69,492,78,2400,433,7585
10601,11,56,0,749,5,3,0,6,7,12,0,12,0,40,369,452,8,0,8,5,4,6,0,0,0,74,50,160,1860,448,89,1341,235,953,142,680,184,3722,482,10141
10602,0,33,0,603,4,0,3,3,3,4,0,8,3,33,286,351,16,0,4,0,0,0,0,3,0,50,45,120,1932,349,67,1214,186,832,74,562,121,3208,363,8914
10603,12,82,0,543,4,0,3,8,3,3,3,5,6,38,305,383,8,4,7,9,0,3,0,8,0,98,74,208,1044,431,83,1049,156,752,112,850,158,5411,439,10486
10604,4,8,0,272,4,0,0,0,4,5,0,3,0,12,140,176,5,3,9,0,0,3,0,0,0,23,22,71,761,128,36,498,59,351,36,211,47,1089,181,3400
10701,3,20,0,386,0,3,6,7,0,4,4,6,7,34,173,241,0,3,4,0,0,0,0,0,0,65,51,129,1151,285,69,826,242,707,142,492,194,3565,283,7954
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,12,76,0,734,4,0,0,0,3,5,0,3,4,35,286,350,0,0,4,6,5,7,0,4,4,69,71,173,1527,413,112,1256,330,881,162,800,226,5225,412,11334
10704,14,101,0,1527,5,3,0,5,8,15,3,3,5,47,295,392,0,0,7,3,3,3,0,5,0,64,59,151,2388,610,141,1620,444,1197,275,1005,259,5584,412,13943
10801,3,39,0,200,8,4,0,0,0,3,0,8,0,22,171,213,4,6,3,0,0,0,0,5,0,72,58,143,430,234,39,439,50,242,40,434,55,2905,275,5137
10802,5,32,0,194,0,0,0,0,0,0,0,10,10,18,190,235,5,6,7,3,0,3,0,3,0,55,53,137,617,380,61,608,78,412,57,611,125,3119,298,6351
10803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,6,0,3,3,0,4,13,8,58
10804,3,63,0,568,5,6,4,6,4,9,0,9,6,40,315,403,7,5,6,5,0,5,0,0,0,94,66,189,1472,582,68,1224,119,718,89,925,140,6273,446,12065
10805,3,37,3,253,9,0,0,3,3,11,3,6,4,31,241,322,9,0,6,5,3,3,5,4,0,104,58,191,817,370,56,720,96,533,84,642,127,4117,379,7942
10901,9,36,4,405,7,0,0,3,3,3,0,3,0,19,254,290,8,3,3,4,4,6,0,3,0,53,54,142,1431,352,41,1149,123,587,63,548,101,2566,352,7306
10902,4,8,0,97,4,0,0,6,0,0,0,0,0,5,58,73,5,0,0,5,0,0,0,0,0,17,16,47,329,61,17,220,33,144,14,97,13,515,96,1535
