SA3_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
10304,6438,12834,132,781,706,3282,210,996,3947,15895,4999,20952,246,1025,457,1510,1092,3436,1802,5971,6799,26919,45,198,188,693,140,514,1138,3127,1503,4532,79,246,177,386,836,1806,1096,2439,2598,6974,220,464,16061,47191
10401,7127,14268,85,490,433,2000,199,948,2307,9175,3026,12612,153,620,280,911,1026,3197,1461,4724,4489,17337,27,135,152,554,126,441,1082,3058,1385,4184,79,246,163,342,966,2050,1199,2632,2590,6817,233,498,14440,38920
10402,11043,22125,144,803,875,4086,318,1478,4873,19369,6213,25733,323,1344,627,2060,1749,5498,2698,8906,8909,34634,62,258,329,1139,191,666,1900,5050,2473,7111,128,417,366,803,1694,3635,2190,4853,4663,11969,310,655,24922,69385
10501,2037,4037,32,182,184,848,76,348,998,3961,1293,5335,53,193,101,295,287,891,441,1380,1735,6715,16,90,53,207,63,234,461,1365,588,1890,7,34,37,79,339,767,387,882,976,2770,110,240,4860,13767
10502,2159,4272,21,112,136,622,71,302,831,3212,1055,4250,51,218,78,253,385,1200,519,1669,1573,5917,15,74,44,170,64,249,533,1493,659,1982,30,100,66,142,424,924,524,1169,1177,3148,100,214,5008,13555
10503,7585,15154,141,740,698,3318,245,1105,4151,16550,5240,21714,264,1058,443,1395,1236,3861,1944,6310,7179,28029,52,244,214,788,165,631,1580,4540,2010,6200,84,268,222,461,1092,2390,1400,3122,3409,9327,304,634,18472,53141
10601,10141,20324,216,1198,912,4289,459,2187,5905,23210,7494,30879,472,1965,584,1922,2373,7594,3421,11483,10922,42357,99,478,323,1179,256,952,2230,6216,2907,8822,141,467,291,632,1753,3860,2187,4955,5094,13779,342,718,26497,77187
10602,8914,17861,181,1015,1027,4759,408,1884,6095,23594,7714,31255,489,2046,685,2322,1929,6178,3106,10551,10815,41798,68,314,314,1084,173,641,1862,5081,2412,7127,163,500,324,734,1404,3109,1884,4346,4302,11471,327,694,24351,71823
10603,10486,20973,175,971,709,3307,313,1461,3677,14517,4873,20267,331,1395,561,1867,1717,5417,2611,8672,7485,28943,61,277,237,859,184,653,1334,3709,1814,5500,105,324,277,579,1369,2954,1746,3862,3559,9360,231,484,21764,59753
10604,3400,6772,63,343,350,1605,140,647,1780,7119,2338,9712,151,626,212,663,527,1634,889,2917,3220,12633,9,63,101,364,59,223,588,1625,766,2274,39,111,81,181,448,952,567,1248,1326,3515,93,189,8039,23105
10701,7954,16101,180,1021,887,4189,345,1620,4708,18523,6126,25360,511,2210,601,2076,2242,7426,3353,11713,9478,37069,71,337,277,1012,202,744,1511,4231,2060,6326,169,544,290,650,1736,3893,2196,5098,4256,11418,308,644,21998,65231
10702,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,9
10703,11334,22776,226,1242,1051,4805,407,1899,6004,23600,7690,31541,667,2840,816,2839,2718,8834,4202,14515,11890,46057,64,294,310,1077,201,746,1718,4615,2294,6740,195,635,379,813,1882,4143,2455,5581,4745,12323,354,734,28313,81891
10704,13943,27964,211,1204,1493,6815,275,1266,8235,32083,10214,41367,868,3677,1365,4826,2860,9305,5090,17815,15310,59182,61,270,354,1126,142,504,1767,4442,2319,6341,240,767,604,1330,2203,4811,3052,6905,5366,13244,537,1126,35150,101509
10801,5137,10249,49,248,228,1044,123,549,1202,4745,1595,6581,89,353,180,579,609,1901,871,2833,2468,9420,23,85,87,313,71,264,559,1543,741,2211,29,97,95,199,637,1349,763,1642,1506,3853,114,252,9224,23771
10802,6351,12757,87,495,373,1781,189,885,2027,8118,2673,11270,166,682,233,762,991,3144,1381,4584,4057,15859,49,252,172,639,132,520,1072,3111,1428,4523,83,261,186,417,1032,2269,1298,2946,2723,7465,236,513,13370,36594
10803,58,103,0,0,0,0,0,5,28,111,33,116,0,0,0,0,11,25,11,25,37,144,0,0,0,3,0,0,5,12,4,20,0,0,0,0,5,3,5,3,10,25,0,0,107,272
10804,12065,24146,140,775,847,3896,253,1129,4212,16649,5449,22446,337,1392,681,2261,1599,4963,2615,8621,8066,31066,64,301,282,930,145,534,1532,4196,2018,5966,108,355,339,712,1500,3203,1945,4275,3965,10240,270,567,24361,66020
10805,7942,15895,106,581,447,2112,235,1104,2322,9294,3110,13089,179,719,285,903,1181,3672,1642,5299,4753,18389,52,240,183,671,153,563,1158,3270,1548,4743,67,206,199,425,1143,2440,1398,3081,2948,7822,229,475,15872,42582
10901,7306,14516,143,778,681,3232,199,925,3865,15275,4887,20213,288,1222,475,1550,1173,3697,1940,6465,6832,26675,45,192,234,830,128,464,1366,3627,1770,5118,96,296,261,567,971,2082,1328,2944,3093,8061,244,506,17481,49756
10902,1535,3044,27,133,123,557,43,191,689,2788,877,3675,49,201,84,248,246,771,380,1220,1259,4893,4,28,23,99,19,61,169,478,217,669,18,57,45,84,171,367,233,509,449,1181,46,97,3285,9215
10903,6052,12038,72,413,441,2012,145,640,2114,8501,2765,11569,163,647,272,854,743,2285,1175,3783,3941,15354,19,90,113,400,64,239,566,1508,764,2242,40,120,113,241,538,1129,688,1489,1452,3726,120,251,11571,31369
11001,4251,8497,77,472,398,1895,118,536,1882,7456,2474,10360,115,480,262,866,512,1618,892,2964,3365,13328,23,113,121,454,49,174,633,1779,824,2524,41,151,147,300,456,952,647,1407,1475,3934,140,288,9229,26043
11002,4975,9924,65,365,349,1586,112,524,1657,6601,2181,9078,122,456,208,661,634,1957,955,3082,3135,12156,21,95,117,447,89,312,782,2227,1003,3086,43,131,99,217,632,1370,773,1726,1778,4810,150,316,10042,27202
11003,2442,4866,37,211,206,912,65,319,1296,5238,1609,6685,60,235,162,481,418,1298,632,2016,2239,8698,15,67,60,220,60,252,457,1368,592,1900,22,53,51,106,385,855,457,1020,1051,2922,103,230,5840,16716
11004,9126,18215,161,897,814,3799,298,1371,4794,19057,6069,25123,305,1267,553,1773,1515,4728,2374,7767,8440,32889,55,248,268,998,155,588,1941,5541,2412,7374,103,304,258,577,1323,2836,1686,3721,4093,11097,390,818,22054,63025
11101,14166,28448,249,1342,1359,6182,434,1934,7735,30101,9781,39557,781,3280,1163,3954,2973,9519,4923,16755,14696,56312,70,340,415,1395,249,868,2296,6030,3034,8637,242,778,567,1237,2465,5358,3279,7380,6313,16010,478,995,35657,101769
11102,9954,20001,166,934,782,3637,361,1640,4930,19253,6241,25461,491,2078,644,2163,2177,7011,3315,11255,9552,36714,51,230,247,880,212,758,1590,4300,2097,6172,161,501,294,675,1583,3508,2039,4679,4137,10853,290,601,23937,68175
11103,18579,37088,224,1248,1742,8054,369,1701,10447,40091,12786,51096,793,3330,1618,5526,3059,9660,5466,18517,18251,69611,74,343,503,1701,265,972,2992,7516,3828,10530,266,814,835,1837,2976,6437,4078,9095,7906,19621,913,1892,45654,128220
11201,10235,20474,94,535,780,3498,252,1129,4614,17932,5741,23100,292,1187,626,2025,1621,5047,2534,8258,8279,31359,40,183,299,945,132,446,1541,3878,2004,5446,104,319,404,843,1457,3125,1967,4280,3969,9730,272,574,22754,62135
11202,7962,15922,141,778,613,2929,263,1286,3326,13299,4335,18295,244,1003,444,1483,1461,4641,2148,7124,6486,25421,52,259,256,858,170,635,1493,4044,1969,5802,117,403,318,660,1463,3194,1907,4250,3875,10053,297,627,18617,52028
11203,11692,23362,143,770,858,3918,313,1408,5152,20223,6464,26318,405,1688,706,2381,1898,6074,3006,10142,9471,36457,61,273,310,1059,184,685,1637,4345,2188,6360,149,483,408,880,1908,4086,2462,5451,4655,11812,360,754,26176,72383
11301,5027,10078,128,718,506,2373,193,915,2822,11277,3648,15284,257,1056,314,1002,1073,3499,1640,5559,5286,20846,30,164,142,478,87,331,856,2472,1113,3447,65,219,103,221,725,1601,895,2031,2008,5477,199,444,12517,36844
11302,1849,3671,34,192,137,632,58,269,791,3133,1021,4229,62,240,94,296,277,857,430,1395,1452,5625,5,28,43,145,26,102,256,710,334,990,15,39,43,89,241,500,295,631,626,1621,48,90,3973,11011
11303,10600,21082,271,1578,1057,4978,370,1759,5743,23083,7446,31402,418,1740,661,2159,1749,5486,2830,9376,10272,40777,52,218,305,1123,187,717,1855,5121,2395,7172,147,455,299,638,1371,2960,1819,4053,4212,11222,359,744,25443,73831
11401,14999,30024,174,953,923,4287,328,1540,5192,20339,6614,27119,372,1542,648,2112,2107,6639,3124,10299,9740,37416,67,308,314,1121,193,723,1871,5138,2452,7292,116,364,361,778,1942,4205,2424,5353,4872,12646,383,794,29988,80879
11402,7141,14305,93,525,549,2573,183,847,3002,11871,3832,15814,248,1047,474,1572,1055,3383,1782,5998,5614,21810,23,127,142,466,78,286,589,1584,830,2459,87,283,175,381,872,1907,1134,2570,1963,5032,157,317,14873,41460
11501,13741,27722,297,1650,2891,13203,360,1630,12263,47908,15819,64398,1771,7609,3036,10927,4929,16230,9735,34767,25552,99160,41,185,316,1053,82,297,1190,3075,1634,4609,321,1052,647,1568,1771,3975,2731,6595,4367,11199,337,720,43997,138805
11502,2794,5629,109,620,496,2383,101,506,1577,6588,2281,10084,369,1635,391,1413,1008,3404,1760,6453,4045,16540,15,67,47,171,20,75,221,586,311,899,43,147,86,207,344,796,474,1151,790,2047,55,115,7678,24331
11503,2750,5571,72,416,292,1377,132,623,1660,6698,2151,9105,272,1183,235,797,876,2938,1378,4917,3531,14024,19,72,58,198,28,102,241,628,344,1003,40,130,66,132,327,722,422,988,772,1986,51,106,7096,21699
11504,4067,8242,154,846,986,4576,221,1028,5676,22353,7036,28803,594,2584,807,2959,1448,4930,2847,10468,9888,39273,27,105,146,443,44,152,590,1594,799,2295,89,281,156,353,582,1365,824,1999,1631,4298,104,223,15683,52035
11601,11019,22573,333,1994,1749,8165,439,2084,10505,40610,13026,52854,1072,4690,1527,5451,3858,12870,6454,23008,19480,75861,119,563,399,1536,232,890,1978,5442,2730,8442,299,1016,517,1202,2833,6481,3643,8707,6373,17142,806,1729,37674,117308
11602,9174,18767,319,1822,2529,11524,463,2221,15610,59666,18919,75230,1115,4842,1880,6707,3007,10192,6005,21746,24922,96973,74,374,314,1107,160,604,1562,4238,2105,6315,243,837,413,1004,1531,3564,2193,5405,4304,11722,377,811,38772,128276
11603,6759,13884,471,2991,1519,7687,618,3089,7153,29244,9768,43010,946,4263,977,3503,3160,10841,5084,18611,14853,61620,180,960,445,1793,303,1200,2538,7710,3464,11664,265,930,415,998,2542,6000,3221,7926,6684,19595,566,1265,28865,96363
11701,6080,12316,59,332,525,2367,110,502,3866,14295,4565,17500,305,1303,551,1956,1145,3803,2006,7061,6567,24567,17,89,105,343,58,202,694,1723,874,2354,86,295,264,615,987,2212,1338,3122,2217,5480,475,1002,15340,43354
11702,6115,12245,36,227,440,1944,58,266,3206,11802,3745,14235,190,819,437,1504,814,2703,1440,5026,5188,19265,13,56,117,359,30,116,614,1424,777,1959,77,265,258,578,837,1883,1173,2726,1955,4685,351,727,13606,36916
11703,30717,61353,26,127,557,2416,63,259,8227,28690,8871,31483,254,1031,1009,3299,1178,3706,2440,8037,11314,39520,17,87,208,668,77,266,1789,4045,2098,5072,158,491,777,1675,1712,3645,2647,5806,4744,10880,1435,3023,48221,114779
11801,14446,28738,91,497,1426,6372,104,445,7867,29514,9481,36819,550,2288,1594,5544,1401,4385,3535,12223,13020,49039,20,73,315,946,34,108,1402,3190,1764,4320,139,437,650,1413,1143,2427,1939,4274,3707,8593,486,999,31658,87373
11802,13405,26871,109,581,1392,6200,164,712,8572,32308,10232,39801,691,2937,1626,5773,2314,7483,4632,16193,14865,55994,26,112,277,879,58,200,1539,3660,1903,4852,196,626,649,1457,1981,4281,2824,6369,4730,11219,704,1482,33698,95569
11901,12241,25125,699,4299,2608,13266,662,3341,11621,48035,15588,68944,1671,7583,1938,7049,5378,18483,8986,33111,24573,102060,225,1152,651,2538,311,1255,2587,7759,3777,12709,547,1962,771,1920,3872,9085,5187,12965,8969,25675,841,1839,46631,154688
11902,10231,21010,349,2168,1746,8686,371,1802,8990,35865,11446,48519,1044,4729,1389,5029,3866,13235,6302,22993,17745,71514,99,500,326,1251,150,573,1728,4814,2303,7142,321,1126,664,1576,2933,6797,3916,9500,6214,16641,869,1933,35064,111099
11903,12337,25215,203,1167,1492,6933,299,1389,8284,31946,10279,41437,1112,4860,1861,6663,3789,12590,6759,24106,17036,65548,48,250,296,1028,118,422,1482,3939,1945,5639,302,1008,669,1571,2515,5717,3478,8299,5421,13939,770,1689,35564,106388
11904,14648,29842,255,1477,1383,6475,303,1444,9263,34851,11200,44246,969,4287,1431,5056,3566,11975,5961,21321,17168,65565,51,228,310,1089,141,509,1584,4085,2090,5917,278,952,681,1573,2748,6235,3704,8765,5797,14682,942,1982,38553,112071
12001,10186,20462,87,488,929,4176,113,494,6206,23065,7333,28219,535,2322,1102,3913,1845,6081,3479,12315,10817,40532,28,105,180,563,37,132,914,2195,1158,2993,129,417,457,1011,1358,2982,1946,4409,3100,7402,435,897,24538,69297
12002,6272,12475,32,157,580,2497,37,176,4524,16758,5173,19586,192,804,756,2602,650,2021,1603,5432,6774,25017,6,28,133,382,24,68,711,1606,870,2086,60,185,287,614,688,1476,1036,2276,1905,4361,225,464,15176,42320
12003,16344,33334,144,797,1529,6936,181,813,9659,35858,11509,44405,971,4241,1941,6803,3332,11058,6244,22101,17760,66507,40,180,314,1046,100,365,1550,3784,1999,5369,247,808,921,2108,2518,5604,3689,8531,5689,13897,1234,2684,41028,116425
12101,11982,24030,80,430,1634,7281,97,418,9528,35755,11351,43879,651,2736,1973,6939,1889,6076,4502,15753,15852,59635,17,63,257,804,42,126,1366,3193,1682,4185,159,504,708,1618,1314,2813,2175,4937,3859,9126,492,1041,32189,93828
12102,8132,16381,109,590,1278,5754,155,692,7553,28594,9101,35631,681,2909,1434,5022,2028,6555,4142,14489,13247,50116,24,106,219,678,46,166,967,2419,1260,3362,162,507,459,1045,1238,2703,1858,4251,3117,7618,302,630,24788,74743
12103,11520,23071,140,770,2449,11035,165,701,9805,37881,12560,50391,1231,5289,3054,10900,2810,9026,7099,25218,19655,75609,25,104,369,1194,46,134,1179,2976,1622,4405,214,692,814,1852,1269,2748,2297,5294,3917,9699,306,637,35402,109022
12104,12827,25506,33,166,855,3770,49,197,5826,21270,6759,25400,305,1257,1204,4080,1027,3173,2536,8506,9293,33915,11,29,205,591,21,72,1100,2459,1336,3149,92,267,563,1229,884,1860,1535,3355,2870,6508,447,920,25437,66851
12201,4852,9679,44,214,600,2668,48,211,3213,12237,3907,15335,273,1119,731,2560,647,2037,1651,5713,5560,21050,8,30,96,288,11,38,408,958,532,1316,61,182,206,449,391,826,659,1453,1183,2766,107,223,11703,33716
12202,7018,14066,108,537,952,4345,152,664,4256,16839,5466,22386,577,2439,927,3238,1634,5253,3134,10931,8599,33314,17,74,176,530,51,153,635,1616,874,2374,120,382,264,604,810,1798,1190,2787,2069,5157,136,276,17823,52819
12203,15128,30459,236,1311,2301,10386,321,1450,11971,46376,14831,59523,1346,5775,2374,8491,3437,11305,7163,25569,21995,85090,56,221,355,1125,103,360,1700,4010,2214,5720,286,920,740,1693,2097,4614,3117,7220,5331,12944,471,984,42919,129476
12301,5891,11936,243,1391,1122,5270,413,1950,5957,23694,7737,32314,652,2866,717,2551,1969,6643,3336,12058,11067,44369,71,322,231,838,156,572,1246,3434,1707,5172,154,500,260,592,1017,2327,1429,3419,3138,8592,181,391,20280,65290
12302,13430,27390,579,3558,2192,10629,764,3763,12393,48799,15927,66757,1207,5335,1546,5378,4704,15728,7459,26438,23388,93192,200,983,635,2420,477,1845,3524,10072,4838,15324,390,1340,686,1607,3636,8363,4712,11319,9545,26634,796,1708,47157,148926
12303,4576,9231,170,974,584,2792,284,1344,3193,12961,4232,18074,345,1510,330,1171,1367,4571,2043,7248,6280,25321,29,156,112,406,84,317,649,1813,884,2690,64,200,131,275,612,1375,802,1850,1687,4538,98,212,12635,39305
12401,9355,18730,158,879,1015,4710,225,1038,4669,18322,6067,24947,487,2057,876,2938,1753,5589,3107,10596,9175,35542,39,156,228,750,88,327,1161,2950,1512,4180,108,317,415,903,1254,2684,1772,3901,3284,8083,206,425,22023,62770
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12403,13529,27476,423,2437,1882,8932,765,3629,11494,44944,14556,59936,1112,4871,1315,4592,3857,12844,6287,22301,20845,82238,125,632,507,1826,337,1259,3156,8673,4121,12390,297,974,598,1339,2902,6553,3803,8866,7924,21260,638,1354,42939,132321
12404,3503,7084,71,431,354,1677,210,1009,2125,8372,2769,11491,253,1091,249,852,988,3287,1484,5227,4252,16717,28,116,112,356,73,258,732,1983,934,2718,72,236,174,376,807,1780,1047,2397,1986,5119,132,280,9867,29188
12405,4417,9011,185,1184,647,3141,244,1198,3503,13912,4579,19439,377,1643,385,1373,1634,5474,2393,8489,6970,27924,61,330,204,782,140,553,1223,3476,1630,5133,115,408,218,506,1316,3009,1652,3924,3281,9058,254,559,14921,46554
12501,9661,19784,215,1373,977,4871,190,936,6555,25163,7937,32339,600,2688,908,3203,2151,7187,3657,13082,11592,45420,58,301,171,652,85,337,1006,2728,1317,4016,150,520,390,941,1570,3605,2115,5070,3441,9081,740,1636,25435,75920
12502,6091,12294,102,571,971,4508,176,822,5919,22806,7165,28706,673,2901,1150,4088,2041,6744,3867,13733,11033,42434,30,124,198,645,47,178,904,2400,1182,3351,163,546,424,1002,1195,2655,1783,4204,2957,7551,284,601,20358,62877
12503,10164,20869,700,4442,2146,11214,643,3361,9970,41551,13464,60574,1281,6035,1350,4921,4238,14901,6876,25857,20342,86429,185,980,475,1922,261,1071,2094,6205,3012,10172,412,1507,658,1588,3270,7854,4340,10948,7355,21120,867,1912,38723,130337
12504,13104,26645,170,1003,1591,7228,233,1085,13698,50167,15699,59476,762,3259,1591,5647,2549,8480,4905,17385,20601,76861,56,263,305,1058,109,376,1545,3939,2013,5638,218,742,570,1294,2185,4834,2967,6874,4978,12505,909,1946,39595,117955
12601,5152,10345,59,320,910,4077,61,258,4491,17218,5521,21871,488,2074,1083,3849,1382,4514,2945,10443,8464,32314,5,29,109,352,27,86,540,1356,683,1825,94,286,311,732,651,1405,1051,2426,1738,4244,194,409,15548,47313
12602,15325,30841,150,835,1611,7255,183,808,10695,40090,12634,48980,985,4231,2047,7245,3190,10442,6216,21919,18857,70893,23,119,282,884,64,225,1489,3642,1865,4873,213,679,702,1589,2029,4503,2942,6768,4809,11642,804,1672,39799,115050
12701,9017,18478,647,3932,2188,10908,686,3442,11254,45612,14777,63893,1349,6112,1332,4849,4132,14447,6813,25415,21588,89306,155,764,519,2039,301,1168,2151,6543,3121,10524,397,1426,460,1160,2343,5752,3200,8331,6319,18853,466,1024,37396,127656
12702,12391,25806,776,4702,2627,13267,764,3843,9389,39352,13554,61160,2135,9860,2002,7396,7463,26264,11601,43518,25155,104674,226,1150,817,3178,369,1474,2877,8602,4299,14410,690,2516,1059,2682,5447,13422,7192,18614,11492,33026,1169,2591,50203,166099
12703,8869,18089,460,2796,1984,9607,516,2547,9836,39247,12799,54195,1202,5383,1431,5174,3633,12484,6264,23045,19066,77238,128,636,395,1503,211,791,2094,6035,2829,8971,305,1081,580,1378,2556,5979,3445,8437,6276,17409,567,1214,34778,113947
12801,12683,25421,211,1130,1436,6569,282,1285,7942,30903,9869,39887,1036,4461,1375,4920,3039,10054,5452,19432,15323,59326,37,168,286,946,89,306,1329,3233,1745,4653,216,682,514,1126,1910,4157,2630,5962,4379,10612,373,776,32758,96132
12802,10969,22107,251,1381,1632,7495,296,1364,8423,32995,10607,43233,1121,4840,1419,5085,3413,11336,5951,21260,16561,64491,43,198,290,944,113,419,1246,3152,1694,4708,220,705,435,990,1657,3687,2308,5381,4005,10089,278,571,31814,97255
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
