SA3_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
10102,0,13,1727,1738,36,227,1363,1629,1484,1002,1713,4202,2652,638,963,4251,2716,561,1035,4310,2390,378,1061,3834,1644,187,626,2447,733,39,305,1077,155,3,91,248,11811,3046,8879,23733,0,24,1538,1567,86,304,1108,1503,2033,1093,1343,4470,2748,625,983,4354,2828,556,1079,4463,2198,354,1089,3641,1439,121,843,2400,528,18,625,1170,53,0,255,314,11914,3097,8868,23878,0,43,3269,3304,120,531,2471,3129,3519,2092,3061,8669,5401,1266,1939,8602,5545,1115,2119,8776,4596,733,2148,7477,3080,303,1472,4852,1256,58,927,2244,214,3,345,558,23723,6140,17750,47614
10103,0,3,496,496,6,63,407,473,213,316,569,1090,507,179,259,939,700,186,340,1216,746,147,446,1344,635,87,338,1063,379,26,172,575,87,0,71,159,3263,1010,3084,7360,0,9,471,478,13,105,318,432,302,340,402,1046,589,196,242,1024,746,183,324,1256,753,149,369,1273,558,58,353,962,287,14,264,569,28,4,141,177,3279,1046,2893,7222,0,13,969,981,15,171,720,903,512,658,965,2140,1093,374,496,1966,1445,363,660,2468,1502,294,820,2615,1190,142,690,2026,664,39,436,1145,117,7,213,334,6537,2063,5981,14576
10104,0,20,1724,1748,28,197,937,1169,628,789,1217,2630,1395,646,869,2915,1916,661,1240,3818,2994,785,1718,5494,4075,581,1584,6245,2144,142,788,3077,472,17,314,806,13652,3840,10404,27894,0,45,1468,1507,55,298,723,1077,896,895,1036,2825,1633,665,952,3248,2225,734,1340,4298,3467,802,1964,6227,3729,440,2035,6203,1574,110,1511,3196,226,14,797,1042,13802,4002,11820,29623,0,61,3191,3252,87,492,1668,2244,1524,1676,2253,5452,3031,1309,1823,6162,4139,1400,2576,8112,6454,1584,3683,11724,7804,1021,3628,12450,3719,257,2300,6270,697,31,1115,1843,27453,7842,22228,57516
10105,0,16,979,996,15,154,680,854,578,519,798,1897,1072,301,442,1814,1133,278,641,2055,1473,238,733,2445,1302,128,623,2050,688,41,388,1117,171,3,128,306,6430,1683,5417,13533,0,31,875,906,38,226,527,792,790,532,707,2027,1141,294,560,1993,1274,296,653,2225,1456,191,789,2427,1189,113,841,2142,509,21,656,1187,88,6,306,401,6487,1705,5913,14103,0,47,1850,1903,53,384,1208,1645,1376,1050,1502,3925,2211,595,1003,3814,2407,575,1295,4277,2921,423,1526,4871,2492,241,1463,4192,1203,58,1047,2306,257,10,441,707,12919,3386,11331,27634
10106,0,13,1082,1100,18,128,588,734,516,453,604,1576,1146,294,368,1814,1444,329,533,2309,1525,243,611,2379,1353,120,551,2030,755,37,295,1091,144,3,102,256,6916,1633,4736,13286,0,21,1001,1026,37,189,537,755,690,489,587,1763,1310,346,493,2151,1578,330,590,2493,1487,193,665,2342,1295,94,708,2096,525,26,551,1107,62,0,298,366,6982,1694,5417,14095,0,41,2083,2122,54,318,1119,1496,1212,940,1191,3339,2459,644,861,3961,3019,664,1124,4800,3014,442,1271,4725,2648,215,1260,4126,1282,71,848,2196,206,6,402,618,13897,3324,10158,27376
10201,0,45,4880,4921,58,483,3668,4210,2183,2162,3939,8290,5846,1589,2327,9757,6373,1379,2859,10610,6391,1030,2999,10425,6161,599,2403,9159,3918,254,1602,5780,917,36,684,1636,31842,7580,25366,64788,3,75,4591,4672,134,745,3219,4097,3067,2332,3209,8602,6536,1577,2610,10722,6537,1319,3525,11381,6642,1010,4125,11773,5816,494,4411,10722,2909,149,3474,6531,437,22,2079,2535,32070,7717,31243,71025,3,117,9469,9592,190,1235,6888,8303,5252,4491,7144,16886,12379,3163,4933,20477,12905,2698,6387,21988,13034,2038,7130,22197,11972,1095,6812,19882,6828,409,5076,12309,1350,49,2763,4166,63907,15296,56605,135811
10202,5,61,4821,4884,92,660,3660,4410,2404,2562,3823,8794,4736,1489,2509,8735,5037,1264,2968,9272,5324,936,3122,9381,5325,467,2478,8268,3259,208,1553,5017,742,25,629,1398,26932,7663,25564,60160,0,96,4363,4468,147,958,3120,4228,3298,2693,3548,9534,5192,1455,2846,9494,5271,1275,3624,10167,5538,839,4035,10419,5076,427,3980,9492,2483,139,3218,5835,355,14,1726,2088,27364,7900,30459,65721,8,158,9181,9348,239,1617,6783,8640,5702,5253,7377,18331,9933,2942,5362,18231,10304,2541,6586,19438,10861,1776,7161,19796,10404,895,6459,17755,5743,339,4774,10855,1101,39,2347,3487,54298,15562,56031,125884
10301,0,21,1414,1436,26,236,1011,1276,754,719,1110,2584,1315,423,662,2405,1484,319,783,2589,1583,281,843,2706,1582,114,629,2330,837,54,345,1230,169,0,118,290,7745,2176,6905,16829,0,40,1258,1297,53,331,843,1226,997,766,984,2743,1430,392,736,2555,1646,320,889,2856,1644,256,930,2831,1440,97,852,2385,571,30,703,1301,92,4,350,446,7879,2227,7544,17641,0,60,2676,2729,86,573,1854,2509,1745,1485,2094,5327,2747,818,1397,4957,3134,641,1668,5444,3224,536,1774,5531,3025,210,1482,4712,1403,79,1046,2528,265,3,470,740,15620,4399,14449,34475
10302,0,30,1402,1431,38,248,840,1122,744,712,965,2422,1289,398,710,2401,1527,333,885,2748,1923,287,1167,3375,1989,170,978,3131,1149,68,594,1811,286,7,221,517,8942,2244,7767,18956,0,55,1197,1256,61,353,680,1088,969,737,869,2578,1466,393,730,2581,1723,343,887,2952,1973,251,1069,3290,1848,129,1047,3024,880,46,991,1913,158,3,573,731,9061,2305,8050,19418,0,81,2602,2685,94,597,1519,2215,1710,1451,1840,4994,2749,795,1439,4986,3249,677,1778,5700,3893,533,2236,6668,3833,295,2031,6157,2032,112,1585,3724,444,12,793,1248,18004,4553,15817,38374
10303,0,19,1242,1256,26,161,806,991,714,660,879,2255,1192,390,647,2230,1435,378,882,2699,1704,330,1022,3056,1669,153,888,2709,930,49,541,1526,171,10,173,349,7838,2151,7082,17071,0,27,1061,1095,50,272,554,872,899,697,806,2398,1313,421,636,2370,1613,349,841,2795,1768,293,1025,3085,1525,102,1018,2645,670,31,925,1625,83,8,428,519,7926,2193,7289,17408,4,50,2296,2349,74,430,1362,1866,1618,1361,1682,4658,2506,809,1288,4607,3045,729,1719,5494,3473,627,2046,6140,3195,259,1900,5354,1603,76,1469,3151,259,8,599,867,15764,4342,14369,34478
