SA3_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
10102,220,944,253,327,29,2226,446,223,1028,494,578,70,2841,41,23,124,40,79,11,330,57,15,128,126,578,16,912,81,17,151,107,306,112,766,3717,1330,6921,4268,8207,705,25145
10103,80,290,100,146,12,739,72,52,224,140,185,18,692,20,11,117,56,171,9,384,3,0,16,23,173,5,222,12,0,48,35,123,35,260,492,240,1766,1099,3267,272,7132
10104,292,877,266,361,44,2187,408,245,1259,729,1292,131,4060,24,8,105,51,119,7,314,30,17,60,133,635,12,888,24,6,121,89,352,128,713,1335,881,4487,3177,9720,816,20425
10105,115,446,164,217,17,1096,169,108,608,434,721,47,2094,11,0,20,18,58,0,102,13,4,39,75,365,11,504,9,8,31,47,192,63,345,643,415,2177,1963,5647,407,11259
10106,105,610,155,240,20,1333,148,91,483,303,522,60,1608,16,10,36,18,55,3,131,22,8,39,64,318,11,467,19,6,65,43,181,60,373,1047,499,3054,1925,5011,410,11948
10201,533,2820,771,876,89,6219,1441,692,4478,2100,3049,338,12109,63,25,259,173,255,18,784,98,43,304,381,1341,51,2217,143,31,510,299,763,245,1988,5265,2129,16706,10046,21069,1772,56995
10202,388,2161,655,930,80,4814,599,443,2775,2025,3970,335,10154,20,12,110,85,245,20,493,41,21,190,287,1565,52,2160,52,12,226,256,871,229,1644,2193,1319,9558,8152,23782,1599,46601
10301,199,953,239,376,24,2156,284,178,946,509,893,79,2890,20,5,60,31,76,6,203,15,9,68,81,439,10,621,19,6,70,46,237,88,469,1120,598,3894,2218,7133,500,15463
10302,153,897,224,358,44,1838,126,118,563,471,867,91,2237,5,4,12,7,34,6,71,7,8,48,70,513,13,657,17,4,39,40,256,101,452,567,429,3003,2119,7458,736,14316
10303,125,595,182,303,29,1394,138,107,541,363,708,75,1924,7,4,37,16,70,3,143,10,5,44,67,446,16,581,8,3,44,51,226,73,409,629,383,2545,2003,7427,550,13531
10304,209,1070,302,427,39,2381,590,244,1576,765,1238,107,4528,11,3,43,21,59,0,136,28,15,102,105,602,17,866,28,6,68,50,268,103,519,1674,772,5393,3070,8744,625,20277
10401,153,607,211,331,22,1455,180,132,683,516,1137,104,2740,11,0,30,18,74,9,146,26,9,39,67,422,17,572,6,8,46,45,244,77,433,557,429,2520,1937,6905,553,12908
