SA3_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
10102,100,154,255,40,50,92,42,144,188,56,292,346,151,712,866,182,448,632,452,374,828,517,483,994,594,698,1292,813,566,1377,722,578,1300,841,479,1318,2009,765,2776,1729,61,1794,1745,180,1923,1332,19,1348,4645,232,4875,1050,60,1114,141,127,278,17164,6432,23599
10103,43,92,135,23,28,55,20,85,109,19,173,194,87,432,523,90,253,343,323,193,516,266,248,512,313,231,542,391,160,552,253,153,404,287,134,415,691,193,881,503,34,530,429,47,476,250,13,264,616,77,695,374,60,424,76,98,171,5049,2690,7739
10104,239,311,547,148,155,302,105,378,480,137,764,902,503,2218,2717,520,1394,1913,2055,892,2944,1658,970,2630,1915,897,2809,2218,560,2775,1300,421,1714,1374,288,1669,2474,384,2856,1564,34,1599,1074,83,1155,596,6,599,1253,146,1401,1392,92,1487,317,473,791,20841,10462,31301
10105,103,158,263,52,70,125,43,179,223,54,335,386,170,941,1113,211,538,751,688,310,995,549,421,972,631,429,1063,830,259,1091,603,222,826,618,159,775,1321,269,1586,976,34,1010,727,54,782,483,5,491,997,78,1072,633,44,676,132,215,347,9814,4725,14540
10106,101,117,223,42,51,92,53,117,173,44,289,331,188,786,972,181,399,582,600,297,898,536,362,901,620,383,999,744,207,955,552,173,719,583,137,715,1141,189,1332,858,32,891,763,45,810,505,0,506,1612,86,1701,718,38,757,173,183,358,10017,3876,13896
10201,470,715,1186,201,288,488,182,651,836,215,1344,1563,700,3823,4524,799,2769,3568,2858,1620,4477,2519,1772,4297,3082,1664,4744,3640,1249,4882,2580,1012,3588,2741,817,3559,5877,1147,7022,4635,171,4805,4005,302,4310,2544,55,2598,7528,481,8010,2603,217,2822,479,840,1318,47656,20934,68590
10202,440,678,1118,157,218,374,156,561,715,238,1388,1628,791,3879,4668,963,2539,3506,3403,1355,4759,2834,1685,4519,3206,1625,4829,3727,1055,4779,2727,828,3548,2869,598,3469,5986,787,6768,4401,106,4508,3248,166,3417,1959,41,2000,4028,227,4251,2641,176,2815,588,861,1448,44351,18772,63124
10301,99,163,264,54,69,118,46,158,207,64,372,434,204,910,1113,213,618,828,718,397,1115,675,528,1196,871,531,1407,959,391,1352,724,349,1070,775,239,1016,1670,370,2038,1320,55,1372,950,65,1015,674,9,685,1343,89,1433,881,70,949,161,197,354,12400,5577,17974
10302,181,235,422,91,108,194,75,269,344,90,584,670,350,1567,1927,347,747,1091,1303,523,1827,967,650,1617,1094,610,1703,1197,380,1583,811,269,1085,870,194,1063,1650,321,1971,1178,20,1200,838,53,889,443,11,453,1018,99,1116,1132,71,1204,261,413,678,13897,7136,21032
10303,124,253,378,68,97,166,52,262,313,83,477,561,297,1420,1711,274,659,939,1010,397,1407,803,530,1324,852,441,1292,951,295,1250,665,270,939,692,192,890,1504,328,1828,1102,36,1135,846,71,924,484,14,497,1351,123,1470,894,50,939,213,305,519,12268,6226,18485
10304,123,212,344,62,100,154,64,214,278,101,438,536,240,1148,1390,296,688,980,899,464,1363,810,592,1399,934,621,1558,1145,434,1584,894,376,1269,937,284,1217,2021,470,2501,1659,65,1721,1291,88,1383,901,14,910,2114,152,2267,1101,99,1198,208,285,499,15791,6756,22545
10401,172,206,382,81,75,157,72,266,330,119,524,646,348,1521,1864,354,955,1309,1536,517,2055,1225,634,1855,1394,521,1906,1380,288,1669,890,245,1140,925,169,1094,1607,229,1836,992,32,1027,676,30,708,349,11,366,733,65,801,1012,76,1085,225,306,529,14084,6673,20753
10402,215,308,532,129,125,255,128,374,504,148,814,963,487,2117,2606,545,1615,2157,1899,856,2758,1598,1007,2602,1987,901,2885,2336,615,2946,1542,461,2011,1608,348,1957,3022,485,3508,2123,77,2199,1523,92,1612,912,26,932,1973,166,2141,1604,180,1778,345,442,789,24117,11022,35136
10501,93,103,195,32,36,67,23,106,129,37,222,259,103,574,673,134,215,347,357,147,504,289,244,532,324,187,510,352,159,513,228,126,354,258,114,371,549,156,708,377,10,388,305,51,361,178,4,181,444,73,518,500,32,527,155,166,322,4733,2717,7453
10502,71,99,167,22,37,58,25,126,155,38,234,275,126,744,868,137,344,478,429,209,635,370,256,627,403,225,622,406,172,579,242,145,388,265,113,378,540,192,728,411,12,428,313,36,347,217,0,214,367,50,416,418,25,440,116,156,278,4908,3172,8085
10503,211,259,473,61,110,170,84,251,337,87,569,661,372,1526,1899,374,766,1138,1240,506,1749,1033,734,1766,1265,729,1991,1437,549,1984,1070,409,1479,1127,333,1459,2443,496,2945,1670,86,1757,1221,94,1315,781,30,808,1682,168,1852,1489,104,1589,343,451,798,17989,8179,26168
10601,264,316,577,102,103,202,105,282,384,140,622,763,430,1746,2177,552,1009,1565,1725,581,2309,1452,798,2251,1649,839,2490,1949,577,2524,1469,440,1908,1536,333,1866,3316,613,3929,2547,51,2602,1992,130,2120,1283,19,1309,2920,172,3092,1816,93,1905,340,345,681,25577,9075,34648
10602,168,229,398,67,94,157,65,233,302,94,471,560,330,1408,1739,378,857,1233,1381,490,1878,1240,687,1926,1425,705,2134,1691,540,2232,1327,483,1810,1477,345,1818,3407,535,3946,2629,62,2692,2083,108,2192,1293,27,1316,2895,111,3006,1545,93,1630,236,268,505,23721,7754,31478
10603,260,307,562,127,101,230,97,253,349,115,564,683,426,1645,2067,446,1221,1669,1810,658,2471,1492,755,2244,1791,757,2550,1958,487,2450,1262,383,1643,1238,264,1496,2563,364,2930,1745,42,1790,1391,63,1459,815,6,820,1853,101,1952,1448,93,1542,302,361,659,21145,8414,29564
10604,110,124,233,43,40,83,51,124,171,48,241,290,162,614,779,199,352,554,545,212,753,417,292,713,493,367,859,577,205,780,411,183,595,426,162,591,977,301,1277,728,26,754,645,73,725,380,8,392,910,70,984,639,41,683,120,171,290,7891,3607,11502
10701,228,285,517,78,106,183,102,345,446,131,658,789,411,1833,2242,496,931,1429,1569,531,2106,1319,598,1913,1446,583,2034,1685,403,2094,1278,302,1578,1243,278,1523,2790,355,3150,2191,51,2243,1705,58,1761,1093,15,1111,2231,66,2298,1075,65,1143,254,329,573,21335,7796,29131
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,289,283,571,93,79,174,101,318,416,131,614,740,475,1717,2191,513,981,1491,1805,590,2397,1604,747,2352,1776,766,2540,2070,512,2585,1464,433,1897,1642,356,1996,3525,512,4032,2814,53,2865,2379,109,2487,1442,27,1468,3448,146,3596,1593,99,1689,318,306,628,27473,8647,36123
10704,302,488,789,123,227,349,132,541,671,186,1212,1398,515,2605,3114,567,1638,2211,1747,1111,2864,1675,1280,2952,2000,1371,3370,2284,1137,3420,1620,972,2589,1853,789,2645,3989,1420,5407,3487,259,3752,3076,342,3417,2242,119,2361,6607,527,7135,1768,532,2296,281,501,786,34467,17065,51532
10801,136,161,300,72,57,130,59,179,236,58,403,462,235,1190,1422,216,810,1021,1173,401,1576,840,421,1259,885,375,1253,912,219,1133,530,143,668,531,108,643,903,139,1043,563,19,582,399,36,432,227,3,229,497,72,559,606,39,650,200,324,517,9036,5092,14131
10802,155,207,362,77,85,170,74,291,365,106,564,677,373,1616,1992,417,963,1374,1540,487,2031,1203,592,1800,1202,497,1702,1353,279,1633,808,216,1029,760,147,905,1367,161,1532,859,19,875,597,21,622,335,0,333,588,56,645,889,69,953,259,372,639,12980,6655,19642
10803,0,3,5,0,0,0,0,0,5,0,0,0,0,3,5,0,3,5,0,0,0,0,8,9,12,7,20,6,4,15,6,0,12,9,4,16,16,4,20,13,3,16,6,0,6,6,0,6,5,0,5,13,3,11,0,0,0,109,55,161
10804,247,323,572,136,128,263,119,357,475,128,793,923,492,2257,2750,537,1691,2229,2250,876,3122,1801,1044,2843,2047,923,2974,2445,567,3014,1435,396,1834,1477,328,1808,2777,429,3211,2000,69,2070,1444,85,1533,855,19,871,1994,153,2144,1312,117,1423,299,509,807,23789,11068,34859
10805,207,237,439,99,112,215,91,260,349,133,645,785,431,1783,2220,407,1044,1453,1735,562,2294,1383,633,2014,1524,555,2080,1631,329,1964,942,265,1209,981,163,1146,1721,194,1918,1043,28,1072,663,33,695,383,3,382,751,94,846,1014,81,1095,324,382,708,15461,7409,22871
10901,137,227,365,63,91,152,78,314,386,78,570,645,305,1533,1840,402,1084,1486,1150,713,1869,985,857,1841,1209,859,2067,1459,598,2057,1093,456,1546,1147,295,1440,2411,477,2889,1705,70,1777,1292,84,1375,770,34,806,1561,147,1707,1076,96,1170,245,392,641,17170,8887,26054
10902,56,52,104,20,22,42,20,67,81,17,105,125,80,254,336,76,143,221,246,88,330,222,123,339,204,121,322,247,78,333,183,47,226,210,52,264,420,61,480,247,4,254,190,10,197,119,0,123,264,23,287,316,13,328,86,85,170,3226,1348,4577
