SA3_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
10102,12643,6973,9502,9210,9411,8276,5446,2548,784,64793
10103,3354,2275,2702,2325,2878,3034,2362,1311,474,20717
10104,11075,6302,6219,6911,9128,13323,14074,7112,2586,76736
10105,6771,4065,4603,4324,4786,5458,4723,2637,1034,38403
10106,7401,4045,3720,4355,5242,5281,4660,2550,902,38159
10201,31188,19307,18308,21730,23351,23708,21460,13606,5769,178427
10202,31165,19456,19816,19628,20839,21178,19226,12096,4781,168171
10301,9137,6306,6227,5738,6121,6162,5343,2957,1156,49146
10302,10435,5785,5763,5694,6437,7563,6926,4311,1757,54684
10303,8730,4761,5353,5237,6090,6873,6035,3604,1178,47870
10304,13064,7004,7524,7452,7551,7318,6343,3612,1414,61266
10401,8565,5068,5158,5351,6459,8325,8287,4693,1754,53665
10402,16268,9242,9868,10621,11650,12929,12358,6806,2720,92462
10501,4336,2331,2771,2273,2620,3117,2353,1362,451,21607
10502,3413,2117,2451,2139,2321,2889,2510,1405,618,19876
10503,15146,8070,10267,8568,8515,9219,7765,4733,1794,74084
10601,19695,11829,13192,12058,12364,12270,10008,4808,1710,97927
10602,18593,10626,12511,11711,10592,9515,7868,4163,1452,87019
10603,12504,7895,6854,7634,9372,11303,11681,7066,2101,76414
10604,6111,3421,3964,3823,3900,3914,3104,1690,659,30584
10701,15177,9600,9956,9897,9843,9835,8003,5256,2249,79819
10702,0,0,0,0,0,0,0,0,0,9
10703,18406,11635,11578,11815,12433,13081,11401,6432,2471,99254
10704,22533,19218,18467,16854,16993,16232,12909,8052,3503,134762
10801,4445,2585,2385,2854,3760,5343,6366,3967,1599,33311
10802,8292,4931,4738,4852,5892,8243,8231,4399,1579,51154
10803,66,11,64,69,43,82,56,38,15,445
10804,13860,8803,7637,8655,10452,12081,13190,8692,3414,86780
10805,9163,5237,4950,5203,6659,9040,9693,5477,1926,57345
10901,12769,8022,8236,8100,8069,8468,7487,4274,1611,67044
