SA3_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
10102,0,0,0,0,1837,1837,33,0,0,5,1755,1794,1709,49,93,3,2804,4653,2886,150,239,9,1288,4566,2888,205,526,27,1031,4679,2667,197,675,60,656,4251,1828,126,469,113,245,2779,816,33,150,147,66,1215,188,13,37,77,11,320,13019,756,2184,441,9701,26103,0,0,0,0,1679,1679,97,11,0,0,1563,1668,2219,90,107,4,2427,4850,2927,190,332,20,1175,4642,2985,258,594,69,836,4736,2445,179,712,209,481,4019,1605,79,460,354,168,2665,600,34,180,465,63,1337,73,4,24,349,14,464,12931,844,2403,1472,8398,26046,0,0,0,0,3516,3517,127,8,0,5,3318,3457,3925,137,203,11,5233,9502,5810,342,568,32,2461,9210,5873,461,1124,94,1864,9411,5109,377,1381,265,1140,8276,3427,202,924,470,412,5446,1419,67,327,611,129,2548,259,16,61,424,19,784,25944,1604,4590,1909,18103,52153
10103,0,0,0,0,590,593,5,0,0,0,578,591,266,17,11,0,1131,1423,612,28,67,0,454,1163,851,68,152,11,375,1455,900,76,250,31,308,1560,765,72,227,47,144,1252,425,35,83,81,36,661,101,0,12,62,19,203,3920,303,800,238,3631,8897,3,0,0,0,558,560,9,3,0,0,520,534,354,25,17,3,881,1279,661,64,61,8,369,1162,855,78,218,17,248,1427,891,59,276,64,191,1474,644,33,214,149,71,1113,333,15,52,225,24,649,44,3,11,208,11,274,3784,277,861,672,2874,8471,3,0,0,0,1151,1151,20,3,4,0,1097,1122,615,38,34,3,2013,2702,1270,98,130,9,822,2325,1702,147,374,28,626,2878,1789,137,521,89,495,3034,1402,107,443,196,219,2362,755,53,139,306,57,1311,145,6,26,272,27,474,7705,579,1662,912,6507,17367
10104,3,0,0,0,1946,1949,32,0,0,0,1358,1387,713,37,28,4,2252,3029,1577,120,195,3,1389,3284,2167,226,544,32,1385,4353,3459,304,1125,113,1257,6264,4660,311,1226,288,621,7108,2410,98,417,403,160,3490,600,13,74,330,31,1051,15615,1131,3613,1168,10395,31925,0,0,0,0,1715,1715,58,5,0,0,1184,1245,976,96,82,9,2026,3188,1823,210,303,23,1273,3624,2465,302,797,96,1111,4776,3970,336,1357,357,1045,7055,4225,241,1204,881,415,6970,1783,70,436,1245,88,3621,278,5,93,1128,32,1535,15573,1267,4266,3741,8884,33732,3,3,0,0,3663,3666,91,4,0,0,2540,2636,1683,133,107,14,4282,6219,3399,331,493,24,2662,6911,4633,532,1345,130,2495,9128,7430,643,2477,474,2292,13323,8886,560,2427,1167,1034,14074,4198,164,854,1647,243,7112,877,21,163,1459,64,2586,31194,2399,7877,4912,19282,65655
10105,0,0,0,0,1114,1118,32,0,0,0,1023,1054,695,42,27,0,1592,2352,1206,78,110,6,735,2137,1287,124,304,16,648,2380,1657,118,475,50,470,2768,1474,134,369,108,232,2321,791,44,151,198,87,1272,207,7,37,147,15,412,7345,546,1481,527,5915,15814,0,0,0,0,999,1003,38,3,0,0,845,891,861,55,54,8,1265,2249,1234,120,161,16,659,2189,1371,145,382,44,465,2404,1609,146,489,139,307,2689,1350,96,423,374,163,2403,579,23,152,540,76,1369,112,4,41,439,20,623,7158,600,1700,1562,4799,15818,4,0,0,0,2114,2119,67,3,5,0,1870,1944,1559,93,86,8,2851,4603,2440,196,272,23,1394,4324,2659,271,683,58,1116,4786,3261,266,964,195,778,5458,2822,231,793,480,397,4723,1366,67,306,742,162,2637,319,15,73,582,37,1034,14503,1144,3183,2086,10713,31629
10106,0,0,5,0,1191,1199,20,0,0,6,824,848,564,34,26,0,1168,1794,1272,59,91,5,574,2004,1572,162,272,14,524,2549,1745,137,356,43,402,2680,1529,115,358,105,188,2290,876,38,153,140,60,1266,188,4,20,123,11,351,7780,554,1282,437,4939,14991,0,0,0,0,1130,1137,36,0,0,0,825,868,746,63,47,6,1072,1932,1434,91,174,14,631,2346,1697,125,370,38,462,2693,1663,125,433,118,255,2597,1463,81,371,332,115,2368,607,16,136,481,41,1284,90,0,18,418,26,554,7741,508,1546,1413,4555,15773,0,0,5,6,2322,2329,55,3,0,0,1650,1719,1315,98,68,6,2241,3720,2708,153,266,20,1202,4355,3269,290,640,59,990,5242,3410,258,789,159,660,5281,2990,195,727,439,305,4660,1487,55,289,614,98,2550,282,9,38,543,30,902,15522,1064,2828,1849,9498,30759
10201,3,0,0,5,5279,5284,57,3,0,0,4521,4589,2394,136,119,3,6383,9042,6201,392,517,31,3278,10415,6734,643,1357,57,2572,11358,6826,590,1797,161,1827,11200,6605,427,1639,423,808,9902,4246,170,818,766,298,6299,1169,27,133,693,101,2126,34234,2397,6387,2141,25064,70212,0,0,0,0,4941,4944,150,12,6,4,4325,4487,3281,241,193,16,5541,9269,6854,576,909,45,2930,11318,6832,754,1949,202,2254,11985,7035,689,2692,610,1478,12504,6256,443,2560,1502,793,11558,3202,142,1211,2440,311,7307,611,19,316,2584,119,3646,34226,2880,9838,7404,22681,77025,5,0,0,4,10216,10231,210,13,3,4,8847,9075,5675,380,306,17,11924,18308,13053,970,1425,77,6208,21730,13568,1400,3306,260,4819,23351,13852,1282,4493,770,3306,23708,12857,868,4201,1928,1597,21460,7451,318,2031,3204,603,13606,1782,46,447,3275,216,5769,68458,5280,16217,9539,47746,147240
10202,6,6,0,0,5230,5237,97,8,0,0,4680,4791,2594,171,129,13,6672,9579,5086,501,676,14,3221,9501,5384,664,1307,76,2610,10029,5688,599,1800,208,1798,10087,5664,488,1569,489,785,8992,3563,221,727,772,273,5550,931,31,122,647,71,1802,29012,2689,6324,2215,25339,65572,6,9,0,0,4798,4812,162,20,0,0,4430,4614,3511,350,271,19,6088,10239,5467,674,949,65,2971,10130,5577,846,1954,204,2228,10803,5842,747,2526,679,1286,11088,5426,500,2272,1478,556,10237,2735,134,1023,2436,212,6544,486,22,263,2120,77,2972,29220,3299,9258,7009,22651,71437,12,9,0,3,10025,10045,259,27,5,3,9115,9408,6101,526,401,26,12764,19816,10562,1178,1625,78,6190,19628,10957,1506,3253,281,4836,20839,11530,1345,4330,885,3084,21178,11090,988,3840,1964,1339,19226,6296,354,1749,3208,483,12096,1418,50,385,2773,153,4781,58230,5985,15585,9218,47988,137009
10301,3,0,0,0,1650,1654,50,4,0,0,1612,1662,895,68,47,3,2207,3219,1524,158,181,5,1101,2972,1685,186,388,21,734,3002,1792,170,485,48,575,3063,1788,97,382,143,253,2661,965,35,179,189,65,1436,241,8,23,127,18,418,8939,723,1684,532,8207,20084,0,0,0,0,1509,1509,67,3,0,0,1396,1468,1058,95,71,3,1769,3005,1549,184,246,19,777,2766,1777,214,477,77,582,3118,1832,191,586,138,362,3100,1616,106,449,370,129,2681,660,35,205,534,77,1524,145,3,40,512,44,742,8708,832,2067,1657,6656,19929,3,0,0,0,3165,3169,113,12,0,0,3011,3134,1958,161,121,8,3982,6227,3072,342,425,28,1879,5738,3463,391,864,94,1315,6121,3624,353,1068,186,937,6162,3409,208,833,508,383,5343,1629,79,388,720,145,2957,384,17,61,645,62,1156,17641,1557,3759,2190,14866,40011
10302,0,0,0,0,1636,1641,40,0,0,0,1321,1372,854,58,50,3,1861,2825,1497,114,175,7,997,2788,1741,183,379,30,816,3150,2220,224,602,85,738,3859,2231,185,562,202,366,3553,1320,59,270,298,135,2083,356,9,35,244,35,677,10259,836,2074,863,7917,21948,0,0,0,4,1471,1478,65,9,3,0,1225,1302,1089,93,59,8,1687,2937,1638,151,229,27,863,2904,1906,226,459,58,640,3291,2244,244,566,253,403,3702,2061,129,456,534,200,3377,1006,29,211,898,86,2228,199,12,41,790,40,1076,10212,887,2022,2574,6598,22296,7,0,0,4,3100,3118,108,17,3,0,2544,2675,1939,153,110,10,3549,5763,3140,260,406,30,1865,5694,3649,410,841,83,1454,6437,4461,463,1166,340,1143,7563,4291,315,1020,742,566,6926,2327,88,478,1197,220,4311,555,16,76,1035,72,1757,20471,1724,4093,3439,14519,44247
10303,0,8,3,0,1403,1412,28,0,0,0,1129,1164,841,61,37,6,1744,2686,1350,128,158,7,993,2627,1588,163,363,33,868,3015,1946,193,558,67,690,3456,1895,143,543,192,320,3092,1071,74,225,250,143,1763,206,7,29,163,22,435,8932,776,1917,712,7317,19644,0,0,0,0,1198,1201,54,3,0,0,922,986,1010,87,65,5,1495,2663,1433,172,183,13,813,2613,1761,144,453,50,669,3080,1959,159,646,201,459,3421,1708,125,540,424,150,2947,767,52,240,704,84,1842,112,8,38,548,26,741,8810,758,2173,1944,5816,19493,4,8,3,0,2601,2613,83,4,0,0,2056,2149,1848,149,107,6,3237,5353,2782,295,344,21,1799,5237,3349,306,818,81,1534,6090,3901,355,1198,267,1153,6873,3604,267,1079,613,471,6035,1836,124,469,952,225,3604,327,22,70,715,50,1178,17741,1532,4087,2653,13130,39139
