SA3_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
10102,353,320,129,177,284,53,27,47,29,1413,620,559,262,466,611,126,58,78,52,2831,991,533,2538,743,1079,286,435,481,131,7217,51,29,40,60,134,51,15,50,0,438,89,74,41,68,155,43,26,43,10,557,30,41,23,25,32,11,9,12,6,192,58,79,37,41,100,38,48,38,80,515,5156,7101,3462,2436,3718,975,779,987,525,25145
10103,107,76,35,79,52,20,11,20,7,414,137,89,69,159,101,53,16,41,11,683,484,92,862,354,305,186,248,295,40,2859,29,13,13,19,30,17,16,29,4,175,49,12,17,42,41,22,18,17,12,235,11,10,7,7,7,4,4,6,5,56,42,20,16,25,22,18,21,35,28,213,1402,1491,1109,919,741,412,356,569,134,7132
10104,232,287,101,254,193,73,34,75,14,1271,297,281,159,511,315,115,35,126,33,1882,1088,340,2815,1261,842,564,546,944,144,8533,54,23,49,71,113,77,31,90,12,515,75,53,54,124,126,86,40,105,8,670,12,40,24,17,22,19,9,18,3,163,84,66,66,77,74,69,57,100,61,655,2856,4857,3547,2969,2230,1207,791,1624,340,20425
10105,140,158,42,135,75,32,10,34,4,627,248,164,125,352,231,66,29,77,38,1319,679,214,1497,802,512,298,453,429,83,4968,37,18,27,31,56,29,21,43,0,263,74,24,26,80,83,48,40,48,3,420,16,16,9,7,16,13,0,3,0,82,54,26,35,35,41,27,24,54,40,330,1813,2349,1860,1806,1250,568,619,774,214,11259
10106,224,134,59,97,91,29,15,31,15,692,278,154,113,288,223,58,23,67,11,1217,658,217,1440,571,474,222,297,395,73,4349,44,17,24,42,62,35,15,28,5,274,85,20,34,58,91,37,15,40,6,390,27,10,3,7,14,4,0,11,5,73,75,29,35,40,36,22,21,48,44,341,2597,2848,1848,1404,1428,491,401,722,215,11948
10201,731,995,297,579,687,234,83,136,49,3792,1041,1184,596,1311,1163,442,123,253,81,6188,2180,1166,6211,2520,2236,1091,1014,1466,281,18173,113,81,100,148,233,135,56,138,14,1026,260,205,180,312,443,180,85,175,29,1870,72,142,48,47,121,41,28,36,17,553,125,181,113,151,205,102,81,108,153,1221,8577,17896,8332,6747,7271,2923,1696,2710,835,56995
10202,414,605,213,540,408,152,83,111,22,2567,862,867,466,1549,947,375,163,224,72,5526,2023,1049,6963,3409,2515,1306,1519,1873,315,20966,87,60,111,179,252,198,93,174,16,1159,164,133,125,314,370,189,156,187,21,1657,47,71,43,55,88,30,24,41,4,409,107,145,112,195,174,93,93,129,135,1191,5573,10478,8466,7517,5831,2744,2284,3006,709,46601
10301,143,182,73,152,133,40,16,36,9,782,201,220,154,402,249,83,48,57,16,1423,741,259,2043,982,668,345,511,592,104,6247,40,28,44,55,83,48,38,62,4,395,68,27,45,96,124,43,36,46,10,488,5,20,14,15,18,15,5,17,0,115,46,34,37,57,42,32,42,52,37,387,2118,3941,2582,2273,1783,763,755,998,245,15463
10302,225,170,48,142,117,25,27,35,4,805,294,164,97,355,213,69,46,59,18,1303,1194,242,1831,804,657,312,732,641,81,6491,102,19,27,66,86,51,27,72,0,450,155,23,34,62,90,56,41,59,4,525,28,15,14,16,17,16,10,8,6,126,114,44,54,66,63,43,62,111,53,615,2961,2969,2212,1805,1503,635,977,1072,192,14316
10303,153,167,92,138,97,36,33,31,12,767,203,151,142,281,222,75,61,67,15,1219,735,253,2198,807,622,288,1022,576,86,6581,52,14,44,42,91,63,44,65,5,415,71,19,27,75,97,42,43,61,4,427,21,13,15,10,19,7,17,13,0,114,52,43,40,57,47,27,58,60,44,434,1932,2609,2700,1714,1465,621,1330,949,201,13531
