SA3_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
10102,6,11,0,0,0,11,12,15,34,1080,379,106,1568,37,32,67,1639,690,24,2352
10103,0,0,0,0,0,0,7,5,8,243,173,20,434,9,13,20,453,228,14,699
10104,0,11,0,0,0,10,31,25,71,768,841,107,1715,40,45,82,1795,1293,55,3151
10105,7,11,0,0,0,11,12,6,31,503,374,60,940,22,30,57,997,630,15,1647
10106,3,10,0,4,4,8,12,15,38,432,338,49,823,31,17,48,870,527,26,1422
10201,9,28,0,0,0,25,44,27,98,2407,1898,511,4815,119,110,227,5048,3239,71,8354
10202,11,30,4,0,4,30,62,81,171,2408,2124,682,5214,172,151,326,5548,4154,139,9840
10301,7,17,0,0,0,17,19,13,55,778,546,90,1410,38,47,83,1495,772,29,2302
10302,0,3,0,0,0,3,28,26,56,647,542,66,1252,62,67,126,1382,982,50,2412
10303,0,3,0,0,0,6,16,20,42,498,506,81,1078,41,38,78,1157,924,37,2122
10304,3,7,0,0,0,7,14,24,50,888,578,95,1557,45,46,88,1651,914,43,2598
10401,7,14,0,0,0,18,27,31,80,535,568,105,1208,54,48,101,1315,1220,54,2590
10402,8,13,0,0,0,19,27,40,84,1261,1215,176,2647,95,83,178,2822,1767,69,4663
10501,0,3,0,0,0,3,13,26,44,222,155,32,415,31,18,42,453,494,32,976
10502,6,10,0,0,0,10,12,11,37,316,214,52,588,21,21,44,628,537,18,1177
10503,10,28,0,0,0,28,36,39,102,1060,716,152,1932,68,70,138,2064,1269,69,3409
10601,12,24,0,0,0,30,40,36,102,1218,1164,302,2680,106,118,229,2910,2101,77,5094
10602,14,16,0,0,0,16,33,19,60,1358,1042,193,2591,84,80,165,2751,1509,35,4302
10603,7,12,0,0,0,12,24,21,60,884,871,177,1930,73,61,133,2066,1440,53,3559
10604,3,6,0,0,0,11,19,7,34,404,277,64,743,24,21,51,793,516,14,1326
10701,0,7,4,0,4,7,28,30,64,981,839,236,2058,59,53,110,2163,2025,63,4256
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,9,29,0,0,0,29,30,27,85,1245,1123,318,2683,55,80,138,2824,1865,54,4745
10704,0,9,0,0,0,9,31,17,55,1591,1118,312,3020,88,67,156,3184,2136,53,5366
10801,0,3,0,0,0,3,18,13,36,297,370,76,747,19,17,37,780,693,28,1506
10802,3,14,0,0,0,13,28,43,80,508,588,110,1214,76,53,126,1341,1311,72,2723
10803,0,0,0,0,0,0,0,0,0,3,4,0,10,0,0,0,10,0,0,10
10804,3,12,0,0,0,12,25,24,58,1053,1016,125,2199,53,78,132,2330,1573,57,3965
10805,0,0,0,0,0,9,30,39,83,564,716,115,1392,69,77,145,1535,1358,60,2948
10901,10,17,0,0,4,17,23,20,55,924,778,120,1821,64,73,140,1957,1104,33,3093
10902,0,0,0,0,0,0,6,14,21,129,86,19,234,11,9,17,251,189,19,449
10903,0,3,0,0,0,3,13,15,28,419,367,55,846,16,24,45,887,545,22,1452
11001,0,0,0,0,0,0,9,5,16,392,336,56,787,25,32,57,846,612,20,1475
11002,0,6,0,0,0,6,19,16,46,381,354,58,797,70,47,117,910,839,29,1778
11003,0,6,0,0,0,6,25,23,49,284,185,43,504,24,28,49,556,464,29,1051
11004,3,16,0,0,0,15,40,53,105,1141,909,151,2201,98,113,213,2416,1606,76,4093
11101,13,21,0,0,0,21,31,25,77,1949,1493,246,3688,100,109,209,3897,2367,51,6313
11102,11,18,0,0,0,20,21,27,66,1096,985,205,2289,63,83,141,2434,1655,47,4137
11103,7,22,0,0,0,19,32,42,95,2536,1858,301,4698,136,136,265,4965,2861,83,7906
11201,7,21,0,0,0,19,15,23,60,992,1196,156,2345,48,70,123,2464,1460,52,3969
11202,6,12,0,0,0,12,20,34,68,969,929,139,2043,56,88,146,2187,1617,62,3875
11203,13,24,0,0,0,25,31,46,101,1115,1235,221,2565,66,82,147,2714,1866,74,4655
11301,0,5,0,0,0,3,21,23,54,606,452,66,1123,41,45,84,1207,760,38,2008
11302,0,0,0,0,0,0,0,5,17,177,127,25,332,16,18,33,362,249,17,626
11303,5,13,0,0,0,9,40,40,90,1247,991,130,2368,86,79,169,2537,1607,66,4212
11401,11,20,0,0,0,22,31,31,82,1144,1222,200,2562,88,91,173,2737,2077,57,4872
11402,3,12,0,0,0,12,11,6,24,599,509,90,1198,16,24,42,1237,710,19,1963
11501,7,14,0,0,0,14,13,12,42,1634,859,216,2706,81,49,133,2842,1512,20,4367
11502,0,0,0,0,0,0,0,3,7,263,182,37,488,19,12,29,515,265,7,790
11503,0,4,0,0,0,4,0,10,14,232,187,54,471,8,10,15,490,262,22,772
11504,6,5,0,0,0,5,8,9,21,668,317,117,1096,28,23,51,1148,466,16,1631
11601,4,18,0,0,0,15,39,46,102,1603,908,424,2931,98,89,185,3113,3167,91,6373
11602,9,10,0,0,0,10,17,32,61,1640,749,326,2717,65,63,130,2846,1401,49,4304
11603,10,24,0,0,0,19,53,79,154,1402,889,435,2722,161,100,264,2989,3572,126,6684
11701,6,7,0,0,0,7,14,13,32,715,399,121,1233,32,24,59,1287,894,30,2217
11702,0,0,0,0,0,0,11,8,21,643,334,79,1053,40,28,70,1122,811,16,1955
11703,3,14,0,0,0,14,24,22,55,1548,774,217,2546,87,79,168,2713,1986,53,4744
11801,3,9,0,0,0,9,17,23,53,1419,803,172,2391,61,38,101,2492,1176,36,3707
11802,7,12,0,0,0,12,19,16,46,1592,889,240,2728,76,62,137,2865,1825,34,4730
11901,15,25,0,0,0,25,65,87,182,1601,1187,602,3395,164,154,311,3709,5105,154,8969
