GCCSA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
1RNSW,20,72,220,793,233,205,65,25,11,1632,3,29,42,152,271,245,309,183,79,1312,0,53,149,345,153,152,68,20,0,946,216,847,1063,4455,2404,2384,2331,1494,758,15953,4153,8815,9581,21885,14414,15861,14501,10107,5832,105149,74976,161194,149802,303555,178659,185530,152945,90318,44829,1341813,36,83,184,337,85,26,17,5,0,771,143782,300310,269283,480627,274086,282726,219464,118964,50530,2139772,36,87,85,841,85,46,16,3,0,1201,0,3,29,186,150,163,122,111,19,787,4,26,33,190,54,40,27,9,3,391,49,220,256,1300,683,594,395,126,47,3671,5,18,34,342,361,254,357,122,25,1520,73,296,2333,4040,1197,818,485,226,106,9578,0,6,33,198,386,457,630,674,121,2505,26,93,41,310,119,190,318,111,52,1262,263,1952,1982,8091,12834,14892,19016,11277,4131,74424,15,96,166,848,467,411,225,92,33,2349,17,78,117,510,317,288,282,124,52,1790,23,102,215,1003,1020,1841,4149,1804,803,10958
1GSYD,173,685,3464,17006,9614,8549,3131,1478,662,44765,11,45,73,644,395,303,324,181,94,2072,8,121,344,1020,460,259,103,37,12,2357,1017,4206,7878,38959,16539,13601,11046,6344,3212,102793,7579,12605,16998,47357,18817,16768,13623,9486,6568,149791,151145,286700,308837,744274,320191,270395,193069,111741,60875,2447221,71,414,2433,6042,1553,1087,471,141,45,12250,278535,493942,424910,695813,302752,245898,170576,90661,49068,2752169,310,1046,2423,14999,2513,1355,280,47,11,22993,7,35,294,2149,1345,1275,642,472,81,6298,41,172,720,4305,2703,2315,1159,434,186,12037,127,502,894,4425,1692,1097,565,197,76,9586,32,140,322,3423,2406,2015,2269,731,163,11510,1545,5397,39915,87374,34951,28936,14151,8972,3435,224685,11,46,249,1629,2069,2611,3134,2765,605,13120,173,841,761,4273,2466,3528,3489,2043,868,18442,1301,7790,7671,40167,30009,23941,23086,12393,5261,151614,60,622,1977,12451,6841,5563,2687,1078,231,31510,89,481,950,5149,1280,711,604,272,152,9683,83,423,997,4549,2503,1956,4668,2170,1145,18500
19799,0,0,0,0,0,3,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,10,0,0,0,4,5,3,6,3,0,26,4,14,12,39,31,53,60,24,7,239,0,0,0,0,0,0,0,0,0,0,9,22,20,42,34,34,43,24,6,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,3,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,11,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,0,0,11,16,3,3,3,0,0,31,0,0,3,3,3,0,3,0,0,11,0,0,0,0,0,7,0,0,0,7,7,9,28,70,28,15,3,3,0,168,19,25,162,324,113,111,82,20,4,864,149,200,848,1720,646,732,477,120,48,4939,0,0,4,3,0,0,0,0,0,4,252,278,956,2451,1096,1080,718,148,42,7028,0,0,7,8,0,0,0,0,0,21,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,10,0,0,17,13,3,0,3,0,0,34,0,0,0,19,4,5,3,0,0,25,0,8,98,83,13,11,3,0,3,225,0,0,0,3,5,3,0,0,0,10,0,0,0,12,3,3,0,0,0,23,4,4,106,115,69,73,93,21,3,501,0,0,7,10,6,0,0,0,0,22,0,6,22,36,3,0,0,0,0,69,0,0,20,21,14,9,9,9,0,78
