GCCSA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
1RNSW,15,55,267,530,954,727,2030,1773,234,333,165,117,184,92,167,7666,3,26,64,120,145,283,245,509,99,159,158,106,111,65,67,2153,0,0,8,53,140,336,764,843,160,162,203,231,199,126,223,3451,14,55,637,2946,534,552,226,129,10,22,16,24,20,3,229,5397,0,3,8,399,147,195,169,67,15,6,22,16,12,13,57,1137,727,9166,18147,26225,9097,6208,7045,4991,983,945,953,707,663,323,3840,90014,7,120,270,1039,781,833,1426,1048,248,240,210,245,268,156,262,7152,0,4,10,47,680,345,278,387,98,150,151,192,211,192,256,3002,3,7,57,51,241,131,453,456,77,62,82,44,79,39,44,1822,155,2359,4325,8368,3931,4001,5074,5441,1169,1469,1547,1965,1985,1327,2266,45371,1489,23886,37824,53405,30322,27074,33025,30984,6459,7953,7637,8176,8434,5222,13921,295805
1GSYD,25,73,470,1414,4826,6164,10952,5663,1007,809,838,937,846,623,667,35313,20,40,288,1129,1674,6856,6174,4468,746,1775,1014,657,685,429,616,26568,3,4,38,230,1233,2847,4882,4778,746,1083,1463,1861,1824,898,1336,23224,12,31,771,5313,1054,1707,1077,352,55,44,111,106,66,51,349,11089,3,16,71,3438,1803,2182,1921,872,188,159,153,159,187,117,371,11644,893,8823,21161,35348,18715,18694,26302,19670,4691,4946,4828,4359,4381,2170,5266,180238,36,147,458,1815,1660,2657,4359,3588,922,1101,1105,1338,1676,1224,768,22846,0,22,50,740,25693,23105,9776,7785,1457,1865,2211,2101,2040,1218,2975,81045,3,10,62,115,416,401,1634,1161,183,136,130,112,128,106,64,4662,509,5744,9215,34644,33318,51612,60153,49202,8653,10722,14323,15751,17999,12708,11150,335695,3091,40005,83174,155054,170698,289275,335651,257628,50572,59310,69069,72714,77933,49974,59330,1773496
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,3,0,0,0,0,0,0,4,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,3,0,0,0,0,0,0,0,3,19,0,15,13,28,16,14,10,8,6,5,0,4,3,0,22,142
19499,0,0,0,5,8,10,12,5,0,0,0,0,4,16,11,77,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,3,3,4,0,0,3,8,4,8,4,39,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,4,9,0,0,0,0,0,0,3,3,18,0,31,60,107,45,32,32,21,7,7,9,28,86,93,46,595,0,0,0,3,3,5,13,0,3,4,3,6,22,15,13,82,0,0,0,0,11,15,6,8,0,0,0,3,8,10,8,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,10,6,44,31,48,45,45,16,5,21,38,106,140,111,664,0,67,119,212,197,265,250,221,57,63,77,169,383,501,425,3012
