GCCSA_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
1RNSW,3183,7772,11912,12524,15149,18610,29823,22887,12185,134040,2633,10266,17711,17471,18770,17671,16833,8562,4925,114846,1312,9728,17762,17394,19551,16131,10093,4745,1916,98628,558,6520,15950,15873,18765,15327,6479,2681,1348,83501,186,3984,14419,14038,16219,13076,4743,1971,895,69538,45,1454,9769,9283,10321,7776,2062,665,251,41614,25,437,6354,7959,8849,6575,1518,452,199,32374,10,133,3113,5605,6424,4905,928,298,152,21561,17,93,2771,6190,6915,4772,1165,412,170,22503,100,148,782,2195,2708,2060,1069,556,268,9884,8473,5975,11342,11427,13862,15620,16387,14473,11724,109281,77694,72109,147152,156403,178659,185530,152945,90318,44829,1105649,61626,10576,13780,12900,15044,24430,10242,3876,1803,154281,36060,7829,6179,6708,7713,11390,7506,2732,953,87066,15928,18789,18620,17020,19628,30206,28143,13817,4070,166224,7324,11966,15559,17160,22651,35466,67333,43449,12925,233837,7696,13524,17986,18877,24617,32680,52605,36612,17329,221918,6532,18532,25558,24377,27477,29930,32568,16409,7161,188542,3437,19881,31072,27974,31740,30041,21367,10001,3516,179037,1571,15579,34736,31131,36113,33092,16295,5785,2336,176635
1GSYD,4033,13743,20714,18443,19680,20231,31848,25498,15596,169788,3238,15927,28738,25745,24985,20396,18970,9853,5916,153768,2038,16806,33084,27770,27156,20818,12838,5784,2556,148847,1048,16539,40075,29496,29355,21740,9749,3886,1851,153737,386,12419,46213,31729,29651,21927,8217,2653,1396,154579,123,4893,34992,24600,21312,14195,4660,1246,612,106629,63,1584,27142,22886,19351,12854,3470,1055,588,89007,47,460,15424,17429,14732,9351,2405,730,355,60949,52,382,18771,27518,20865,11694,3220,1078,539,84117,131,254,5252,16503,14715,6886,2825,1189,709,48468,10607,12838,30552,23344,20665,18304,16762,14371,14295,161735,140387,168451,392700,351579,320191,270395,193069,111741,60875,2009383,143103,55785,64967,47966,40521,49219,26183,11557,4580,443874,57689,23481,13828,14097,13004,15281,11981,5138,1731,156225,25435,34750,31631,28595,28946,36671,34139,20619,6890,247685,11218,26300,30220,26439,30214,39233,66138,45806,15804,291370,10011,26874,35250,28241,31060,33759,52433,39132,21939,278699,8539,31651,47449,38172,37665,34146,34226,18169,8722,258734,4942,34096,61415,46361,45127,37556,25182,11682,4518,270888,2626,34122,83134,58544,56230,44311,21986,7934,3157,312043
19799,0,0,3,0,0,5,6,3,3,22,3,0,0,3,3,0,4,3,0,25,0,0,3,0,10,4,4,0,0,25,0,0,3,4,3,0,4,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,13,17,10,3,50,7,4,24,14,31,53,60,24,7,220,4,0,0,0,0,13,0,0,0,24,0,0,0,3,0,0,0,0,0,11,3,0,0,0,3,5,6,11,0,33,0,0,4,0,0,12,20,5,0,46,0,0,3,0,0,6,14,3,3,34,3,0,3,3,8,0,16,7,4,38,0,0,8,5,13,9,11,5,0,47,0,0,3,5,6,4,5,0,0,24
19499,10,38,71,45,72,72,79,17,7,409,6,54,78,46,41,55,47,7,5,350,4,47,91,27,37,38,16,3,0,270,3,45,64,25,32,25,15,7,3,221,6,25,77,22,24,34,9,5,0,201,0,7,51,16,18,9,3,0,0,104,3,3,27,18,11,12,5,0,0,81,0,4,21,10,13,3,0,0,0,44,0,0,19,26,14,4,3,0,0,70,0,0,3,13,8,3,3,0,0,29,49,131,241,133,118,126,81,30,15,935,232,615,1091,629,646,732,477,120,48,4590,163,228,302,144,155,184,54,16,10,1241,39,53,53,63,61,74,14,6,3,364,109,214,297,302,250,250,100,19,3,1549,16,94,210,189,235,227,298,61,11,1328,16,81,140,134,188,180,248,39,12,1047,26,100,154,94,93,112,101,21,5,698,14,122,203,83,105,87,49,16,3,681,14,108,212,108,81,78,47,15,3,664
