SOSR_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOSR101,505,2355,111,104751,8322,1334,563,7664,815,6069,396,2416,905,5481,25911,59884,584,75,357,655,146,354,63,127,244,708,1653,4982,130836,18814,4314,140969,17471,116749,4326,32229,6900,56770,28845,558210
SOSR102,78,178,6,11763,1809,331,104,2114,214,1146,95,493,155,958,5460,12874,108,17,65,153,22,63,23,43,30,139,242,912,22106,4338,918,36393,3980,18824,1245,5492,1315,9657,5921,110199
SOSR111,3,13,0,1160,233,31,8,276,20,125,14,54,12,86,776,1634,14,3,5,29,7,10,0,3,11,21,26,125,2949,485,109,4715,528,2528,158,667,158,1042,829,14150
SOSR112,10,54,0,3132,774,145,43,833,81,392,47,159,48,336,2317,5174,46,9,29,59,9,38,6,9,21,84,92,397,9992,1909,353,13502,1527,7088,486,2106,470,3572,2504,43513
SOSR113,16,37,0,1709,460,96,30,491,41,265,29,126,35,291,1377,3239,31,5,27,45,6,17,4,10,12,59,76,290,4777,1103,240,7721,816,4392,296,1530,362,2975,1533,25750
SOSR114,3,17,3,1229,445,84,39,407,50,219,27,115,32,216,1221,2856,33,8,18,28,11,19,0,8,11,44,65,241,4488,1016,257,6740,718,3471,313,1200,289,2065,1357,21914
SOSR115,10,45,3,2167,680,129,30,791,73,384,48,180,38,330,1849,4534,48,9,32,53,6,27,12,11,18,75,96,390,7195,1615,382,10360,1202,5587,409,1873,460,3128,2066,34286
SOSR121,9,12,0,717,225,48,17,232,35,112,12,51,18,101,504,1351,21,3,10,15,3,8,0,0,0,24,27,108,2106,480,101,3138,308,1552,139,563,112,954,561,10017
SOSR122,0,8,0,351,107,30,9,128,12,74,6,40,4,63,318,783,8,4,3,9,3,4,3,5,0,12,16,65,1067,273,59,1484,138,856,74,322,61,526,354,5212
SOSR131,39,131,28,7024,2089,312,109,1933,181,865,107,338,104,590,3290,9915,150,23,78,133,14,70,9,16,57,82,177,817,15887,2965,739,19980,2054,9321,816,2992,785,4843,3734,64109
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
