SOSR_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
SOSR101,24255,776,280,1053,25311,5822,124,31263,126,44,4,102,276,9,3,7,285,44,326,659,85863,11581,1089,1831,100366,2459,720,3176,103540,9279,565,113387,20063,1953,192,155,22354,436,109,544,22896,1268,24,24191,19263,2567,206,183,22227,344,85,426,22652,828,18,23499,483,74,120,12,686,10,0,10,694,43,0,735,252,39,8,306,605,12,6,16,618,54,29,703,40066,4637,524,649,45869,792,200,993,46861,2194,74,49132,612,98,5,12,730,130,16,143,871,63,0,937,1027,222,11,39,1298,107,63,171,1472,106,4,1579,1636,323,24,51,2030,232,80,316,2342,169,4,2509,41697,4953,541,702,47895,1032,278,1307,49203,2363,77,51644,10857,2486,213,373,13926,421,174,601,14526,3671,70,18268,65,27,0,74,165,8,3,9,174,15,200,397,52622,7465,751,1146,61990,1458,458,1920,63914,6047,342,70302,28348,2766,292,247,31648,727,163,889,32543,1966,25,34534,24599,3596,295,265,28758,493,125,616,29379,1282,41,30697
SOSR102,3825,142,40,179,4006,879,18,4903,23,4,0,13,39,0,0,0,39,3,47,91,18882,2216,393,308,21796,435,121,560,22360,1670,86,24105,4039,467,63,29,4596,84,24,107,4701,255,3,4961,5247,608,81,37,5977,89,22,110,6087,252,11,6343,128,23,25,4,180,7,0,7,187,7,0,195,50,4,0,52,101,6,0,6,111,9,7,128,9465,1103,172,124,10853,190,39,231,11084,522,20,11626,130,21,5,3,158,17,3,18,179,11,0,189,207,25,3,4,232,23,4,25,258,26,0,285,339,43,9,7,394,39,10,49,436,36,0,478,9798,1145,176,131,11246,226,50,276,11523,561,20,12104,1806,262,46,43,2157,75,25,106,2262,576,7,2843,19,4,0,3,24,0,0,0,24,3,40,72,11623,1413,218,180,13433,300,80,379,13813,1138,73,15022,5980,605,89,34,6714,144,22,165,6880,412,8,7301,6647,848,93,47,7634,121,12,140,7770,375,5,8159
SOSR111,540,24,3,30,573,94,0,664,3,0,0,6,12,0,0,0,12,0,5,20,2508,256,56,43,2862,78,13,89,2958,187,10,3150,554,55,7,11,618,11,0,13,635,37,0,671,684,76,12,3,777,17,0,17,799,42,0,833,24,6,4,0,42,0,0,0,42,0,0,43,4,0,0,6,16,0,0,0,14,0,0,15,1266,138,30,21,1445,28,5,33,1482,77,4,1561,11,4,0,0,19,9,0,6,27,0,0,30,40,4,4,0,43,5,0,6,49,0,0,55,49,12,0,0,65,13,0,16,74,4,0,84,1319,147,27,22,1512,38,4,45,1557,83,4,1643,250,28,6,8,294,15,3,13,309,68,0,378,0,0,0,0,0,0,0,0,0,0,5,6,1568,172,33,30,1802,53,7,61,1868,149,10,2019,786,72,11,8,879,18,3,25,905,38,5,940,845,106,13,12,981,24,3,21,1002,32,0,1040
SOSR112,1514,79,12,92,1606,430,5,2048,5,0,0,4,16,0,3,3,21,3,21,37,7937,1059,169,143,9312,236,59,296,9607,803,41,10451,1976,198,31,10,2220,53,7,64,2276,96,0,2379,1989,298,30,32,2342,40,10,49,2393,124,3,2517,47,4,19,3,74,3,0,3,76,14,0,94,22,6,0,25,48,0,0,0,53,3,0,59,4039,511,76,63,4687,100,16,114,4803,234,7,5040,36,10,0,0,45,8,0,10,54,12,0,68,63,8,0,4,76,9,0,5,79,6,0,91,94,20,0,3,119,16,7,19,136,22,0,157,4131,526,76,70,4810,109,21,131,4941,258,7,5200,729,112,12,18,874,40,6,46,924,288,3,1215,6,3,0,3,12,0,0,0,10,3,14,25,4868,639,94,89,5689,157,30,178,5872,549,24,6440,2714,319,49,26,3107,51,5,57,3163,150,10,3323,2537,409,40,31,3018,37,14,51,3067,156,5,3231
SOSR113,1055,50,11,61,1118,332,7,1465,10,0,0,0,13,0,0,0,13,3,20,33,4331,652,98,87,5169,158,32,186,5350,567,39,5953,947,106,21,16,1092,18,3,21,1117,71,0,1180,1235,196,22,14,1466,44,6,48,1509,80,0,1593,37,7,14,0,52,0,0,0,54,5,0,58,8,4,0,17,26,0,0,0,26,3,0,34,2227,309,52,46,2641,63,12,69,2708,155,3,2869,31,8,0,0,45,11,0,11,57,11,0,64,52,7,0,0,63,5,0,10,67,8,0,78,80,22,3,0,107,16,0,17,126,13,0,141,2310,331,54,44,2744,81,9,86,2835,171,3,3012,453,86,11,16,573,35,0,37,607,241,4,850,3,0,0,3,9,0,0,0,9,0,12,19,2763,420,66,62,3318,116,15,124,3450,416,16,3878,1319,139,22,18,1496,31,5,38,1535,103,0,1630,1566,264,27,13,1870,36,4,42,1909,111,0,2016
SOSR114,714,33,3,36,753,238,3,996,6,0,0,0,3,0,0,0,8,0,18,25,3720,543,88,71,4424,104,16,118,4542,441,28,5012,898,124,9,0,1035,14,4,16,1047,59,3,1108,1031,164,13,13,1224,15,4,22,1244,71,0,1317,41,12,12,0,64,0,0,0,62,6,0,71,17,0,3,24,40,3,0,3,44,0,0,49,1985,305,34,36,2367,35,9,39,2403,138,3,2545,13,9,0,0,28,3,0,10,32,8,0,40,41,5,0,0,48,5,0,5,50,3,0,52,54,12,0,3,69,11,0,13,89,12,0,99,2042,321,34,43,2435,44,9,52,2495,151,3,2647,335,56,8,14,406,29,0,27,437,147,0,586,9,0,0,0,11,0,0,0,11,0,11,20,2379,372,47,56,2856,71,10,81,2942,301,11,3251,1228,166,15,7,1419,10,5,16,1439,77,0,1515,1293,214,15,19,1543,13,4,21,1558,91,4,1654
SOSR115,1286,48,12,58,1345,305,6,1660,16,0,0,6,20,0,0,0,20,3,32,55,6160,925,175,137,7397,167,29,199,7594,629,44,8269,1481,158,19,16,1672,26,6,28,1703,98,3,1800,1627,239,38,16,1913,29,3,32,1947,92,9,2047,42,16,21,3,85,0,0,0,86,7,0,92,27,0,0,19,44,0,0,0,44,5,0,51,3169,411,78,59,3715,58,6,62,3785,201,13,3994,50,8,0,3,62,8,0,8,78,12,0,89,51,7,0,3,61,4,3,8,69,4,0,70,103,16,0,6,121,12,3,20,139,15,0,156,3277,424,81,60,3845,68,9,83,3923,220,13,4151,562,93,21,16,691,22,8,36,729,228,4,957,9,0,0,3,10,0,0,3,10,0,11,26,3845,522,103,78,4547,91,24,115,4664,449,25,5135,1911,220,28,19,2191,35,9,45,2232,140,0,2373,1890,334,45,27,2293,41,8,50,2343,136,0,2484
SOSR121,346,18,3,24,363,131,0,497,4,0,0,0,10,3,0,3,10,0,10,17,1873,312,37,38,2256,65,11,75,2334,213,10,2557,431,56,11,7,507,9,3,12,511,34,3,552,531,90,7,13,637,13,0,16,655,40,0,688,21,4,12,0,38,0,0,0,38,0,0,38,0,0,0,9,10,0,0,0,14,0,0,15,986,153,34,24,1193,17,3,24,1214,72,3,1288,6,3,0,0,12,7,0,7,20,4,0,19,20,4,0,0,19,0,0,0,27,3,0,25,23,9,0,3,32,7,0,9,41,7,0,44,1012,155,34,23,1225,22,9,32,1256,76,3,1335,176,29,7,3,221,9,4,13,234,84,0,317,0,0,0,0,4,0,0,0,4,0,5,11,1187,190,42,31,1445,32,10,43,1490,166,10,1661,619,91,12,12,731,9,0,13,738,47,0,785,670,97,10,9,789,16,0,11,803,54,0,854
SOSR122,203,12,0,12,212,59,0,276,3,0,0,0,4,0,0,0,4,0,0,9,891,168,26,19,1100,31,7,35,1134,134,4,1271,187,35,5,4,226,0,0,0,228,17,0,243,217,38,6,4,273,3,3,3,279,21,0,296,8,0,9,0,16,0,0,0,16,0,0,16,3,0,0,3,5,0,0,0,5,0,0,5,414,75,12,11,519,3,0,4,528,40,0,562,8,0,0,0,9,3,0,3,7,0,0,14,10,0,0,0,10,3,0,5,16,0,0,15,16,0,0,0,16,3,0,3,24,4,0,27,430,78,12,11,535,8,3,12,550,42,0,587,105,14,3,3,129,10,0,14,139,53,3,189,0,0,0,0,0,0,0,0,0,0,3,3,537,94,21,18,663,16,4,22,690,93,3,783,314,45,8,3,369,0,0,0,369,27,3,402,282,71,13,3,366,7,0,4,368,30,0,401
SOSR131,2577,78,15,91,2671,618,13,3305,41,6,0,9,55,0,0,0,56,0,53,111,13273,1728,293,315,15614,257,48,302,15920,1160,86,17171,3307,340,37,26,3712,33,16,45,3756,159,0,3918,3563,545,62,49,4218,43,12,53,4277,168,4,4447,110,23,30,0,164,0,0,0,164,5,0,173,59,3,4,93,160,0,0,0,163,12,3,176,7043,914,137,164,8255,73,30,102,8363,344,10,8708,41,14,0,0,57,18,3,21,75,12,0,85,80,16,6,3,101,8,4,16,112,11,0,126,122,23,6,4,154,27,6,32,186,27,0,210,7162,941,141,170,8414,97,39,138,8547,370,5,8923,1168,204,39,49,1452,44,10,53,1506,437,4,1943,24,4,0,8,41,0,0,0,41,0,28,68,8357,1140,179,221,9905,147,47,188,10092,800,41,10934,4575,428,76,34,5121,51,14,66,5179,255,4,5435,4401,693,107,58,5267,55,19,70,5333,237,7,5577
