SOSR_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOSR101,982,5869,51552,313442,288027,82700,18522,15203,776295,735,5206,25219,31221,6353,777,174,2031,71723,463,6875,28922,69608,25302,3437,715,3352,138679,1197,12079,54146,100828,31659,4216,886,5390,210402,2141,19110,47367,13265,1488,298,216,3410,87299,2296,22741,101367,19341,889,131,121,4042,150929,5231,50279,114101,29922,1243,189,181,4911,206051,51,488,611,294,99,33,18,111,1699,9716,92621,263445,62817,3719,651,540,12475,445979,193,1560,2820,1764,548,149,64,475,7578,161,1027,1542,1090,670,209,102,1269,6074,12247,113159,373506,479939,324626,87929,20115,34813,1446323
SOSR102,329,3095,31399,126382,85745,17704,3464,5320,273431,94,2457,13932,10388,497,76,37,1077,28563,69,1841,7604,11064,1274,154,49,626,22686,166,4303,21537,21454,1776,231,90,1698,51248,342,4895,10034,3522,390,68,42,922,20226,70,1158,5572,1382,48,14,10,363,8619,77,1243,5334,2431,109,12,8,218,9429,14,139,89,45,13,7,4,22,325,504,7438,21024,7377,563,103,67,1521,38598,187,1191,1284,410,139,29,15,238,3487,42,244,428,358,133,22,32,344,1601,1223,16271,75680,155975,88356,18085,3663,9120,368375
SOSR111,34,251,3344,18008,14402,1866,303,721,38937,14,502,3013,1134,89,4,4,163,4937,10,256,399,221,25,0,3,31,952,24,758,3412,1359,123,4,7,194,5885,7,285,450,53,9,0,3,49,866,11,31,46,0,0,0,0,3,87,0,18,39,0,3,0,0,0,57,0,3,0,0,0,0,0,0,4,21,337,531,59,12,0,3,58,1022,23,47,36,49,16,3,0,13,184,8,57,191,49,27,3,4,102,436,113,1450,7521,19519,14585,1879,319,1089,46467
SOSR112,139,1247,12881,65022,44546,7604,1413,2923,135774,81,1334,8174,3840,317,43,12,648,14429,28,569,1743,1850,253,30,6,149,4624,104,1904,9912,5691,566,68,15,790,19052,142,2182,6034,1373,127,14,33,496,10403,4,195,871,142,11,4,0,59,1282,4,144,780,358,11,3,0,40,1351,0,20,6,3,3,0,0,6,41,153,2541,7699,1874,152,22,29,603,13081,121,407,513,389,156,13,6,127,1742,22,185,272,264,94,24,25,202,1096,541,6288,31277,73235,45516,7738,1497,4646,170737
SOSR113,99,911,9959,42774,25212,3951,739,2122,85765,46,873,4296,3152,157,29,6,408,8965,9,367,1545,2004,347,22,6,106,4409,58,1246,5842,5154,496,47,14,513,13374,67,1018,2915,906,91,19,17,309,5329,9,68,494,154,7,0,0,36,767,6,105,586,235,16,7,0,30,976,0,8,10,3,3,0,0,0,27,77,1194,3999,1297,113,19,14,379,7099,96,376,521,196,46,10,7,223,1476,7,67,121,152,63,16,12,81,527,344,3797,20446,49577,25937,4049,787,3317,108244
SOSR114,84,765,8736,37400,21645,3279,617,1925,74441,46,545,2958,1725,132,20,6,237,5668,8,112,625,1103,165,12,3,54,2091,54,656,3583,2828,300,30,13,295,7760,88,1071,3583,992,87,14,10,327,6184,0,29,241,99,3,3,0,18,391,3,8,63,33,0,0,0,11,119,0,9,3,4,0,0,0,0,19,88,1121,3895,1135,93,22,10,350,6711,146,451,632,200,50,10,14,116,1624,15,60,180,194,79,9,17,93,647,390,3051,17028,41752,22166,3346,669,2778,91181
SOSR115,182,1691,15197,57011,34283,5798,1090,3097,118355,54,520,2863,1575,128,14,7,270,5434,6,103,589,849,123,14,11,45,1745,62,619,3454,2422,252,33,23,316,7181,88,1121,2515,760,77,20,10,330,4918,3,50,150,41,9,0,0,8,265,0,20,16,11,7,0,0,3,56,3,13,9,6,7,0,0,0,39,94,1208,2690,813,100,19,10,345,5281,190,776,1033,560,219,30,27,193,3024,25,70,189,330,151,51,39,121,980,551,4370,22562,61148,35001,5931,1191,4070,134817
SOSR121,68,515,3772,14281,9896,1978,420,750,31667,3,63,378,255,26,3,4,36,768,3,5,115,171,20,0,3,18,338,9,75,489,430,47,9,8,51,1104,14,148,316,90,10,0,3,39,622,3,10,46,15,3,0,0,0,76,0,3,6,0,0,0,0,0,8,0,3,4,3,0,0,0,0,10,17,164,367,113,14,0,3,40,720,37,159,260,105,35,11,3,39,645,6,50,103,82,34,6,7,40,334,132,960,4994,15003,10029,1998,443,917,34473
SOSR122,57,493,2988,8550,5044,938,220,519,18805,0,50,107,90,23,4,0,12,287,0,3,26,26,6,0,0,0,72,4,56,133,120,28,5,0,12,354,4,89,103,25,3,0,0,49,280,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,5,7,91,108,27,8,0,0,52,293,55,181,147,80,24,8,7,46,546,8,43,64,63,31,8,31,41,285,124,867,3443,8837,5129,961,254,675,20291
SOSR131,1053,5628,19659,63323,60857,16661,5260,3920,176355,7,61,296,349,166,42,23,35,975,0,6,34,38,15,6,3,3,108,11,69,326,392,180,43,26,39,1079,9,102,159,137,42,9,7,15,487,0,11,13,3,4,0,0,0,33,0,5,0,5,0,0,0,0,17,0,30,15,10,9,0,3,6,69,7,148,193,159,53,14,13,22,605,391,988,708,508,285,77,39,272,3279,33,170,343,626,468,149,96,212,2096,1489,7004,21228,65008,61839,16938,5437,4463,183411
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
