SOSR_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOSR101,124343,114989,239339,56931,66756,123688,4323,3092,7414,1290,1303,2593,3215,1908,5125,602949,448596,1051552,31350,48511,79856,15312,231,15542,12353,1652,14006,12454,3497,15951,6963,3714,10674,42171,45130,87302,913657,739384,1653041,28147,29605,57748,854,719,1571,750,690,1437,16006,12232,28238,3065,5796,8854,1997,947,2951,50828,49981,100801,771,605,1375,206,242,450,2622,2560,5180,942,2098,3039,793,642,1441,5335,6147,11483,7305,3986,11287,63472,60109,123576,6845,6511,13362,503,453,961,362,133,495,7712,7099,14813,35364,49765,85125,57590,96173,153761,10436,8143,18580,1088223,960684,2048906
SOSR102,5134,3660,8791,2769,3347,6116,89,57,143,27,20,47,235,232,471,156650,138846,295493,9590,10983,20575,3544,76,3622,2199,265,2465,2380,673,3055,1246,654,1900,4750,5160,9913,188610,163975,352583,1006,695,1706,14,6,17,20,15,36,2289,1371,3658,278,383,658,263,67,336,3871,2534,6407,25,18,39,3,3,6,133,203,336,167,284,448,63,57,115,387,560,944,1836,859,2700,6097,3954,10049,638,422,1059,63,67,131,90,22,110,788,510,1299,6592,10191,16789,17631,29152,46782,2030,1867,3901,221750,209649,431399
SOSR111,126,103,234,138,146,287,7,7,14,3,8,7,31,33,66,21965,19351,41316,1398,1349,2747,390,11,404,244,23,264,244,69,313,135,82,218,597,633,1231,25286,21813,47096,38,64,102,0,0,0,0,0,0,31,21,57,3,9,10,14,0,18,88,99,186,0,0,0,0,0,0,10,9,18,6,17,22,4,5,10,22,32,58,265,123,391,376,252,627,39,47,85,0,3,5,11,3,11,49,59,108,582,1073,1657,2294,3635,5930,214,196,412,28804,27029,55831
SOSR112,726,562,1280,411,393,802,33,9,44,14,11,21,227,273,502,69046,64325,133372,5337,6303,11636,1703,48,1749,1054,100,1157,957,240,1194,618,341,958,3275,3336,6613,83395,75932,159330,54,63,122,0,4,3,3,0,3,189,124,305,31,44,70,37,14,50,311,241,554,0,0,0,0,0,0,20,27,45,28,41,66,18,13,29,62,78,145,740,390,1135,1120,714,1827,55,46,102,8,10,19,40,14,54,110,65,174,2984,4480,7462,7252,11983,19236,989,877,1866,95846,94056,189897
SOSR113,192,142,334,223,225,446,8,10,21,3,8,10,57,74,134,39125,34380,73507,2950,3185,6130,1100,25,1126,485,55,536,536,136,676,333,144,476,1647,1748,3391,46658,40130,86784,44,24,76,0,0,0,3,0,3,63,46,107,10,10,26,9,3,10,137,86,224,0,0,0,0,0,0,18,12,30,15,18,32,4,3,6,41,30,71,443,220,664,623,331,955,36,34,70,7,6,17,16,4,26,61,46,107,1415,2301,3719,4698,6894,11595,673,616,1292,54133,50321,104451
SOSR114,248,182,431,285,191,478,21,7,24,7,7,9,80,82,162,33450,29372,62824,2616,2549,5163,1035,33,1070,368,34,402,482,202,690,340,197,533,1753,2036,3787,40683,34886,75562,31,33,65,0,0,0,3,0,3,73,63,143,7,19,32,17,4,21,137,123,259,0,3,3,0,0,0,40,4,46,14,22,40,9,3,12,59,33,95,303,174,479,505,333,832,24,15,33,9,3,13,23,7,30,47,24,74,1475,2592,4066,3733,6122,9860,671,627,1295,47116,44582,91699
SOSR115,374,326,695,423,266,690,11,15,29,4,4,13,58,47,98,50635,44643,95277,3554,3357,6909,2121,55,2179,502,40,541,517,176,694,535,257,792,2878,3223,6100,61606,52408,114014,55,43,101,12,11,15,3,0,3,313,239,556,39,54,94,20,4,21,440,352,788,0,0,0,0,0,0,23,24,43,26,24,43,7,4,15,51,52,108,533,236,765,1019,640,1656,79,69,145,9,3,14,22,13,30,107,82,193,2311,3896,6211,6039,9322,15365,1022,937,1958,72117,67286,139406
SOSR121,126,94,215,114,57,173,3,5,5,0,0,0,13,8,20,14218,12497,26716,801,845,1646,641,13,656,139,5,147,98,42,136,139,71,209,691,706,1393,16987,14339,31324,9,5,16,0,0,0,0,0,0,74,62,130,9,17,19,3,3,5,96,81,176,0,0,0,0,0,0,4,7,11,8,9,14,0,0,3,14,13,30,133,61,197,242,162,404,20,19,37,0,0,0,9,3,9,30,21,50,795,1166,1957,1650,2617,4268,280,250,527,19974,18558,38532
SOSR122,93,72,167,64,37,98,4,3,9,0,4,8,5,6,6,7546,6260,13805,439,474,917,379,15,390,78,14,92,81,44,127,111,56,170,628,638,1265,9435,7619,17050,14,6,20,4,3,4,0,0,0,49,27,73,4,3,11,7,6,17,81,55,135,0,0,0,0,0,0,10,10,18,8,14,19,0,4,3,13,24,40,106,71,179,201,145,348,15,8,26,0,0,0,7,3,9,25,8,33,493,701,1195,938,1483,2421,169,149,311,11261,10101,21364
SOSR131,540,474,1017,542,398,939,35,12,49,12,10,29,59,37,98,84975,73193,158171,4235,4772,9009,5887,244,6127,1341,195,1535,354,112,459,1979,794,2776,6075,3534,9614,106039,83786,189820,58,59,113,0,4,4,0,0,3,505,415,924,55,58,113,16,14,31,645,546,1188,3,0,3,0,0,3,96,84,177,40,77,120,10,4,21,149,170,323,1155,451,1600,1943,1165,3112,113,85,197,25,8,36,126,43,168,263,140,400,18201,16539,34738,9271,14259,23532,2028,1768,3801,137742,117653,255400
