SOSR_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SOSR101,80,34,22,40,4,101,7,121,57,9721,98,10281,33,78,5,15,0,38,8,264,41,2914,32,3428,22,67,5,24,0,75,10,703,51,1779,30,2779,3,8,0,10,0,85,3,624,35,1024,14,1807,62,317,20,56,0,260,28,1263,133,11418,131,13688,44,365,25,127,18,939,33,1947,144,3926,53,7616,190,1274,63,349,18,2130,95,2592,261,26211,322,33503,315,1558,55,940,63,3917,114,2798,323,10057,145,20282,1008,2571,127,2926,147,5295,200,2858,389,11581,174,27270,3099,2152,163,4851,264,4528,222,2168,347,7932,144,25867,3478,1137,114,4534,297,3968,154,1426,222,3019,53,18402,6100,1033,160,4372,371,3293,144,1064,209,3240,68,20056,20469,1545,397,7663,901,6000,277,1715,316,4432,111,43831,18003,850,292,5576,758,2171,196,906,167,2195,45,31165,14026,529,211,3132,466,1046,108,471,84,1240,32,21351,10131,257,144,1276,320,2506,50,410,106,795,22,16007,23346,1151,393,5634,864,3476,167,1349
SOSR102,13,7,0,10,0,16,3,25,12,1127,20,1235,9,11,0,7,0,8,0,78,11,600,13,739,6,16,0,9,0,25,5,145,9,390,4,604,0,0,0,0,0,21,0,93,7,266,3,401,24,90,9,24,0,58,7,308,30,3755,68,4366,14,94,4,38,0,163,14,532,40,1552,16,2465,53,309,26,105,8,378,27,960,110,13810,204,15989,105,367,21,265,30,896,36,1142,121,5117,72,8160,273,601,28,859,50,1233,73,1033,158,5609,86,10000,870,593,42,1594,84,1099,75,761,111,3707,63,8994,919,271,40,1330,79,956,52,417,76,1083,22,5248,1495,275,40,1449,116,793,54,335,74,1056,13,5685,4473,412,107,2389,245,1370,103,388,117,1266,35,10908,3511,202,79,1536,174,444,69,226,44,486,9,6780,2269,109,56,795,133,218,30,81,19,207,0,3920,1209,45,33,263,62,385,14,68,32,142,3,2243,1873,158,45,806,108,376,23,149
SOSR111,0,3,0,0,0,0,0,3,3,113,0,120,0,0,0,0,0,3,0,4,0,65,0,80,0,7,0,0,0,0,0,10,0,43,0,59,3,0,0,0,0,0,0,15,3,39,0,57,0,5,3,5,0,10,3,45,3,432,4,518,0,14,0,13,0,14,0,68,3,183,0,295,15,31,3,22,0,65,0,146,18,1494,16,1813,6,38,6,45,4,143,5,162,12,590,4,1021,48,96,4,151,14,174,8,121,24,614,13,1263,156,82,5,276,22,161,13,81,12,362,8,1189,161,40,4,233,13,148,3,52,7,109,0,776,253,37,7,218,15,121,10,44,15,96,0,813,722,33,8,365,31,174,7,42,16,102,3,1500,461,30,13,209,24,53,15,12,5,40,3,874,305,16,3,98,18,19,5,9,3,25,0,495,122,3,0,22,8,43,0,3,5,11,0,214,161,13,5,96,17,39,0,9
SOSR112,12,4,4,4,0,19,0,9,3,397,8,460,3,4,0,5,0,0,0,31,3,239,3,288,0,11,0,9,0,4,3,59,8,159,3,254,0,0,0,0,0,9,0,33,3,108,0,165,16,46,5,11,0,40,5,175,12,1688,21,2017,7,65,4,22,3,95,0,292,31,669,9,1192,61,170,15,92,8,256,8,520,51,5771,83,7029,87,247,9,183,12,498,21,589,57,2228,30,3955,200,352,27,622,37,583,43,551,71,2422,28,4932,708,324,24,1055,52,538,35,337,54,1688,27,4853,608,158,25,755,50,367,28,180,28,481,3,2684,935,153,29,707,53,344,23,176,21,504,8,2958,2151,198,52,1101,129,512,32,198,53,591,19,5036,1470,80,23,671,64,209,27,82,16,222,8,2879,828,50,22,312,40,93,18,43,15,129,3,1541,447,17,9,87,18,139,3,25,10,65,0,823,746,59,10,363,36,150,13,75
SOSR113,3,3,0,4,0,0,0,8,3,329,3,363,0,8,0,14,0,5,0,25,3,194,4,255,0,0,0,3,0,4,3,51,3,146,0,220,0,0,0,0,0,6,0,29,4,102,0,143,9,25,7,12,0,23,8,118,11,1557,30,1799,13,39,0,15,8,67,4,229,16,560,3,954,34,103,13,47,9,111,10,365,52,5126,80,5950,48,152,10,136,11,300,18,422,44,1837,30,3013,129,271,25,353,30,369,36,332,39,2021,24,3613,372,204,26,533,28,326,35,214,38,1274,31,3067,305,71,15,411,25,239,14,106,25,333,4,1548,472,75,20,396,23,212,18,72,15,349,15,1675,1038,103,23,642,61,330,43,111,44,441,13,2851,697,53,14,383,39,106,14,45,9,154,7,1512,443,25,11,166,21,39,9,28,13,60,0,812,202,5,7,48,12,91,3,10,3,42,3,432,341,42,8,194,24,62,7,26
SOSR114,7,0,3,8,0,0,0,3,0,226,8,263,3,6,0,3,0,3,0,12,0,163,0,190,3,10,0,9,0,0,0,19,3,103,0,148,0,0,0,0,0,4,0,28,3,71,0,113,15,33,6,15,0,12,3,105,7,1186,25,1411,6,37,0,18,0,62,0,177,19,399,9,724,40,97,5,40,3,138,6,313,44,4274,63,5021,54,123,12,112,14,276,12,370,43,1501,26,2529,148,198,23,340,22,324,33,295,34,1565,19,3002,396,205,19,516,40,227,39,184,28,1011,21,2683,308,91,10,375,29,209,22,118,21,281,3,1465,471,63,14,348,27,138,26,78,23,271,5,1464,1027,106,23,536,58,276,14,82,20,353,13,2506,593,51,17,320,53,88,13,39,10,109,0,1290,331,24,13,133,22,36,7,11,4,46,0,631,194,13,8,52,16,69,6,6,3,36,3,407,278,35,11,147,29,60,3,27
SOSR115,20,3,4,3,0,8,0,8,3,384,13,452,15,10,3,3,0,9,3,24,0,259,4,335,3,6,0,3,0,15,0,63,7,171,0,271,0,0,0,0,0,11,0,37,3,112,5,165,26,30,3,19,0,37,12,162,18,1818,34,2162,18,57,0,19,0,68,9,254,40,671,8,1163,61,175,14,75,5,193,17,504,64,6476,128,7706,86,198,14,209,11,424,23,537,64,2212,25,3812,242,316,30,471,34,470,42,444,55,2372,36,4509,471,279,30,737,54,416,40,305,56,1509,27,3923,399,130,16,648,38,355,33,139,36,394,12,2198,653,119,32,543,51,285,21,113,27,380,14,2224,1373,164,65,874,82,446,30,116,49,509,16,3726,956,70,24,517,59,147,21,37,11,145,10,1988,584,28,21,221,29,55,15,29,12,63,0,1049,326,12,10,57,12,94,0,17,8,35,3,579,465,39,10,212,33,83,10,38
SOSR121,7,3,0,3,0,0,0,0,0,106,0,121,3,3,0,3,0,3,0,6,0,71,0,95,0,3,0,3,0,0,0,13,0,60,0,89,0,0,0,0,0,3,0,8,0,46,0,58,8,14,0,13,0,8,0,56,11,458,14,574,8,17,0,13,0,28,3,82,7,206,0,360,8,50,4,25,3,70,0,139,21,1600,25,1939,22,52,3,42,3,113,3,147,13,583,13,1005,47,108,6,131,8,138,6,163,15,612,11,1248,139,80,13,198,13,134,11,88,19,434,3,1124,90,43,4,143,10,96,12,32,8,127,6,569,178,40,12,176,12,80,8,44,5,116,5,677,373,62,10,234,30,114,14,39,18,122,5,1019,225,15,10,161,14,42,3,15,4,52,0,546,159,16,3,59,8,16,3,8,7,26,0,306,89,0,0,30,0,38,0,5,5,7,0,180,139,12,9,68,14,32,3,20
SOSR122,7,0,3,0,0,3,0,3,0,59,0,79,3,3,0,0,0,0,0,3,3,29,0,45,0,0,0,0,0,3,0,3,3,35,0,47,0,0,0,0,0,0,0,9,0,14,0,28,7,4,0,0,0,7,0,32,5,325,7,393,0,14,0,8,0,25,0,64,6,112,0,229,23,34,7,11,5,46,3,79,18,994,25,1242,16,42,7,28,3,71,3,114,8,271,3,570,44,60,10,73,3,83,5,62,9,330,4,695,61,55,9,147,12,53,16,36,9,195,3,598,67,16,7,91,10,47,0,30,5,37,0,310,96,27,0,85,10,31,3,17,6,54,0,336,208,29,6,110,20,74,9,22,7,60,4,548,123,18,10,76,10,23,3,10,7,27,0,298,76,10,3,30,8,13,5,5,0,11,0,159,67,3,0,12,3,18,0,6,0,3,0,110,63,15,3,44,8,24,4,10
SOSR131,194,42,10,57,8,47,0,30,8,639,18,1055,78,33,11,30,5,26,4,51,8,423,15,682,43,28,4,32,0,41,3,89,15,299,8,568,15,8,0,13,0,25,0,73,3,173,7,313,213,158,25,127,10,105,11,257,53,2326,50,3345,94,103,9,108,10,170,15,436,39,811,20,1821,372,377,59,318,18,421,41,711,95,5938,124,8475,437,437,39,471,40,667,44,812,95,2216,45,5311,795,625,69,947,54,885,84,691,108,2606,61,6921,1074,576,61,1300,74,663,83,473,87,1612,51,6044,667,248,25,945,74,554,46,280,64,535,24,3450,1206,296,67,990,77,466,56,217,69,637,18,4094,2493,356,85,1549,155,755,75,300,81,725,33,6604,1640,203,59,986,126,285,53,156,38,373,16,3948,1190,115,43,554,62,135,25,59,19,176,10,2374,666,54,9,245,26,245,12,41,30,86,8,1429,1435,227,68,797,107,347,29,152
