SOSR_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SOSR101,80117,49571,31907,16054,4667,1106,276432,1430,13390,16276,13681,11639,5790,1525,338,64067,62828,225932,170514,113151,76607,40005,14781,4734,708551,25184,73288,73752,66632,46928,26581,11091,4090,327547,37802,82467,77186,75752,56702,35355,17638,6244,389143,4905,5626,6034,5793,4392,2357,727,271,30110,4532,8721,12186,15160,14298,10526,4331,1919,71672,47239,96817,95402,96703,75394,48235,22697,8435,490918,2658,6786,6632,6715,6551,5061,2608,1151,38157,41419,59640,45589,39925,35610,31351,24659,18218,296408,185947,563667,488281,386376,284624,173078,82025,38071,2202073
SOSR102,6976,5780,4865,2687,796,193,27562,243,2151,2771,2689,3187,1473,402,93,13013,6612,25481,23031,16043,13706,7948,2987,809,96618,4267,12459,15315,15731,12946,7821,3151,1046,72739,15350,30536,28706,30703,25464,16645,8467,2841,158711,2389,1825,1843,1744,1545,881,243,86,10558,1353,1908,2721,3815,4322,3585,1532,556,19785,19094,34271,33269,36262,31330,21113,10241,3490,189062,382,748,871,1096,1373,1402,739,324,6934,8038,7615,7402,9050,9917,11289,10767,7774,71855,38922,88707,89634,86659,77317,53739,29081,13730,477775
SOSR111,575,494,393,170,60,10,2189,25,249,329,345,380,166,23,7,1529,528,2699,2472,1619,1353,761,263,66,9754,478,1716,1777,1762,1488,785,301,80,8396,2496,5244,4362,3900,3034,1781,772,240,21826,388,375,278,231,191,93,22,8,1589,187,261,326,419,477,312,141,44,2153,3076,5878,4956,4551,3700,2183,931,289,25569,34,99,105,129,148,122,62,30,725,1174,1190,1080,1150,1271,1327,1175,609,8969,5335,12302,11285,10064,8734,5509,2821,1084,57130
SOSR112,2456,2274,2267,1442,509,120,11096,99,943,1220,1310,1668,854,258,36,6381,2121,9697,9235,7025,6658,4226,1772,543,41282,1433,4667,5740,6343,6158,4132,1879,594,30937,7825,14861,12371,12753,10747,6961,3332,1073,69914,1459,1177,864,937,791,471,145,40,5874,689,918,1173,1634,1954,1669,746,261,9050,9972,16961,14410,15328,13481,9094,4222,1372,84837,186,350,303,379,577,632,368,167,2961,5798,5450,4627,5120,5579,6133,5450,3531,41679,19694,40019,37989,37772,36392,26512,14456,6361,219189
SOSR113,778,716,773,585,191,50,3768,44,367,498,534,737,411,137,30,2747,768,3776,3577,2877,3258,2200,937,295,17693,737,2392,2956,3352,3468,2499,1142,362,16898,4322,8858,8045,8635,7810,5492,2868,872,46892,810,720,593,579,520,329,83,20,3656,350,610,690,1049,1297,1153,523,174,5850,5481,10193,9327,10266,9629,6974,3473,1065,56403,82,181,179,235,359,435,254,101,1819,3003,2990,2727,3273,3911,4753,4516,3167,28335,10135,20536,20030,21255,22130,17859,10654,5062,127659
SOSR114,756,679,682,466,134,27,3351,44,333,477,484,686,385,105,27,2529,706,3575,3954,2806,2885,2040,829,250,17036,579,1980,2676,2792,2931,2246,962,291,14463,3456,6891,6671,7025,6614,4547,2230,611,38048,557,504,436,490,405,281,80,28,2771,320,486,642,877,994,937,436,117,4805,4330,7875,7754,8391,8006,5763,2742,752,45621,83,126,157,174,263,331,198,76,1406,2931,2412,2474,3071,3603,4223,3827,2236,24777,8705,16880,18245,18401,19053,15450,8799,3649,109178
SOSR115,1101,1264,1277,890,252,45,5711,58,494,724,867,1137,668,121,26,4103,1011,5062,5482,4316,4503,3157,1147,352,25036,904,3101,4063,4537,4859,3354,1328,379,22525,5089,10573,10055,10723,10308,6923,3142,901,57714,793,794,697,720,656,400,108,23,4187,424,713,928,1230,1546,1368,536,198,6952,6310,12084,11673,12676,12508,8696,3787,1120,68863,95,186,205,290,485,492,251,96,2100,4120,3443,3757,4562,5463,6422,5250,3020,36053,12551,25210,27000,28521,30238,23678,12145,5047,164378
SOSR121,303,350,415,275,67,4,1597,9,129,185,257,381,201,31,9,1203,241,1141,1612,1443,1476,887,276,58,7136,199,779,1144,1422,1476,941,329,57,6359,1348,2532,2919,3353,3221,2012,770,192,16343,202,162,197,179,196,112,28,7,1073,114,158,271,398,492,382,119,42,1984,1667,2849,3380,3934,3902,2505,907,243,19397,18,35,52,75,113,145,56,20,513,1083,781,910,1144,1464,1529,1043,418,8373,3224,5901,7598,8634,9231,6469,2718,815,44588
SOSR122,182,219,229,181,37,5,953,8,63,115,118,184,92,21,3,603,119,589,843,732,807,500,133,21,3754,106,392,574,808,851,539,173,36,3475,752,1356,1599,1840,1857,1240,397,89,9132,99,110,105,127,116,70,11,3,644,55,84,136,236,261,174,63,17,1036,911,1546,1843,2206,2239,1485,476,111,10815,10,29,26,45,72,73,22,7,291,655,516,605,807,1051,1002,667,240,5542,1817,3218,4191,4939,5440,3868,1529,435,25438
SOSR131,1992,2722,2931,2024,484,91,11452,61,578,1198,1719,2214,1067,183,21,7044,1777,7307,10451,10499,10461,6281,1594,364,48741,1402,4114,6867,9596,9492,5644,1653,353,39116,7681,13238,15996,20417,18030,10495,3370,613,89846,1079,898,1126,1286,1176,620,126,16,6326,650,934,1565,2593,2849,2131,637,129,11491,9411,15066,18691,24298,22056,13245,4135,761,107664,160,237,357,628,848,782,285,87,3383,7898,5631,7078,9732,10873,9467,4951,1699,57325,20820,34038,46633,59187,58874,38508,13290,3381,274729
