SOSR_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SOSR101,6552,8022,11626,15162,41914,71371,38814,87789,2747,283998,17305,38320,44245,45104,102421,149507,59230,95345,5193,556667,4768,12511,17345,16983,48575,61834,26801,35793,4540,229152,6414,37063,35309,30120,31979,23741,11512,12930,3558,192633,9042,28358,35469,33036,80980,64609,22260,22886,3153,299794,5475,41559,29644,21647,28717,26607,11017,15788,2802,183251,2634,7183,8866,9661,29107,23121,11457,18743,2658,113438,3802,27166,26135,17504,29683,22385,8678,10631,3626,149613,1328,2912,2609,2290,6247,6756,1993,3885,12334,40357,57316,203098,211247,191514,399633,449926,191761,303787,40619,2048906
SOSR102,1260,1454,1909,2850,7318,10139,6300,13504,411,45150,3901,7366,9880,10532,16871,19442,8688,12987,750,90430,1738,3084,3703,4977,14568,17813,7728,9978,941,64518,2309,10198,8957,10335,9049,5662,3268,3043,797,53618,2301,6486,8229,8776,16106,9850,3922,3553,529,59763,1614,12412,6995,6246,6413,4257,2075,2916,582,43511,930,1797,1677,1956,5968,4905,3442,5083,436,26204,1558,9499,5653,5590,6758,6022,2372,3141,753,41351,318,476,378,440,1120,1037,377,684,2030,6869,15928,52769,47386,51704,84184,79126,38180,54894,7228,431399
SOSR111,132,156,213,335,823,1084,789,1743,58,5324,459,670,1001,1188,1778,1994,1028,1480,74,9680,221,375,440,562,2024,2348,1306,1674,122,9071,259,1164,1096,1285,1210,697,393,394,123,6609,305,784,965,1098,2003,1154,529,390,45,7274,237,1678,934,890,900,546,339,355,68,5947,166,257,282,341,996,878,769,1141,72,4909,202,1390,834,835,1025,916,424,456,127,6200,32,65,36,46,126,122,51,123,227,818,2020,6549,5802,6578,10882,9738,5617,7743,915,55831
SOSR112,515,726,829,1269,3332,3973,2756,6273,175,19838,1578,2904,3781,4518,7380,7707,3637,5898,308,37716,695,1409,1405,2056,6665,6388,3552,4528,387,27102,1113,4330,3723,4922,4879,2600,1404,1576,428,24972,869,2403,2856,3636,7003,3658,1595,1513,185,23730,781,5529,2895,3011,3381,1918,1222,1545,322,20618,346,744,726,957,2277,1827,1407,2650,244,11178,709,4861,2914,3022,3924,3311,1224,1519,450,21937,137,221,140,169,425,384,138,272,929,2809,6750,23137,19278,23555,39270,31759,16941,25773,3430,189897
SOSR113,308,407,441,705,1697,1968,1346,3210,108,10192,727,1306,1771,2024,2967,3133,1487,2366,135,15923,484,853,921,1298,3963,3878,2117,2897,267,16677,645,2328,2230,3005,2302,1237,740,823,229,13526,503,1440,1678,1997,3283,1767,743,708,118,12237,487,3089,1822,1814,1855,979,581,693,179,11503,363,548,574,670,1783,1510,1385,2199,160,9189,506,3075,1876,1860,2384,1777,723,932,309,13444,102,131,83,115,264,192,78,158,649,1763,4124,13180,11409,13487,20498,16438,9195,13985,2144,104451
SOSR114,348,417,441,694,1507,1979,1236,3224,116,9953,661,1198,1661,1932,2726,2863,1440,2255,150,14901,418,783,795,1205,3187,3500,1664,2402,260,14215,533,1909,1940,2494,1983,1092,605,691,236,11491,444,1280,1386,1823,2882,1530,654,640,108,10746,412,2417,1433,1495,1580,909,582,698,158,9672,279,424,443,533,1272,1118,870,1746,126,6804,468,2592,1524,1834,2109,1860,707,868,329,12297,97,130,92,124,209,153,92,156,563,1624,3655,11147,9718,12121,17454,15006,7851,12679,2053,91699
SOSR115,489,685,711,1147,2179,2892,1843,5123,192,15260,1072,1898,2492,2930,4009,4278,2096,3315,241,22337,661,1300,1319,1827,4833,5440,2761,4001,447,22580,840,3069,2795,3664,3029,1664,982,1183,338,17565,680,2014,2244,2743,4167,2483,1028,1013,166,16539,467,3359,2010,2025,2007,1276,719,948,214,13025,513,636,728,814,2161,1939,1585,3147,263,11790,719,3849,2310,2422,3099,2574,1150,1413,435,17974,179,170,127,136,307,292,120,238,765,2338,5614,16987,14747,17718,25786,22828,12285,20367,3066,139406
SOSR121,155,210,206,293,582,867,524,1552,46,4426,292,543,774,920,1107,1204,579,1000,61,6473,173,370,427,561,1333,1533,731,1110,105,6350,240,856,803,967,765,461,237,317,81,4726,175,624,684,792,1168,682,273,257,49,4699,146,950,527,562,503,321,189,272,57,3528,126,211,205,213,558,542,424,811,70,3167,183,1024,579,602,711,601,289,378,111,4482,37,62,29,43,76,103,26,81,221,682,1524,4855,4236,4951,6798,6316,3270,5780,794,38532
SOSR122,89,127,147,189,340,463,296,981,38,2676,158,305,380,474,576,646,271,480,21,3309,113,224,238,318,728,783,357,577,67,3409,136,474,422,498,416,210,145,180,57,2528,96,340,362,428,580,356,177,146,20,2506,79,518,278,264,267,160,91,130,42,1830,75,106,125,126,354,303,223,435,32,1787,134,668,345,372,468,396,180,267,67,2899,25,38,25,26,39,43,13,40,159,411,913,2814,2310,2686,3772,3375,1757,3239,507,21364
SOSR131,1603,3147,3095,4170,4655,9717,5132,26307,1162,58990,1945,3777,5093,5343,6086,7382,3282,6684,435,40029,1046,2265,2324,2861,6719,8415,3981,7355,702,35665,1082,4294,3683,4190,3406,2139,1188,1734,423,22141,1130,4424,4569,5037,6449,4435,1685,2280,386,30410,688,5011,2713,2517,2339,1942,962,1817,309,18298,751,1077,1196,1317,2651,3234,2150,5192,460,18031,1083,5426,3334,3246,3737,4195,1789,3561,724,27101,293,389,287,317,484,591,208,674,1489,4727,9613,29799,26294,29007,36538,42067,20374,55610,6089,255400
