SOSR_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SOSR101,1865,133364,8637,143869,9308,247246,13241,269798,3369,121258,7022,131656,2546,143913,11321,157780,4229,323079,28343,355650,5291,287493,22168,314947,8240,247457,18006,273705,11708,196013,14127,221844,14970,127922,10030,152924,16554,56448,5664,78665,13316,14316,2576,30209,91394,1898505,141138,2131038,1036,127692,8253,136979,4171,238265,12707,255152,1975,116657,6238,124874,1700,142636,10283,154626,3768,335555,26249,365579,5652,294585,19694,319928,9653,258489,16468,284607,14790,207270,13876,235941,17294,136528,10564,164386,25934,62876,6857,95672,29497,18637,4639,52767,115473,1939200,135827,2190497,2897,261058,16895,280846,13475,485515,25952,524942,5350,237914,13268,256521,4245,286556,21604,312400,8005,658635,54592,721227,10937,582080,41856,634879,17892,505947,34471,558311,26500,403283,28000,457780,32268,264446,20589,317307,42489,119321,12522,174334,42813,32950,7216,82975,206866,3837704,276964,4321535
SOSR102,568,28321,1522,30417,3449,55249,2647,61346,1277,28096,1422,30797,950,30055,1752,32756,1498,54396,3540,59439,1693,54372,3359,59424,2655,56659,3723,63032,3862,51605,3576,59046,4814,40145,3171,48128,4794,20205,2134,27137,4011,5357,1142,10512,29574,424465,27998,482030,277,26460,1419,28152,1480,54207,2504,58193,723,27343,1317,29387,657,28996,1724,31383,1254,56136,3300,60694,1746,57718,3202,62664,2960,60050,3476,66486,4196,56515,3634,64346,4847,44575,3453,52877,7208,23841,2755,33803,8714,6991,2323,18027,34073,442829,29111,506012,842,54786,2939,58573,4928,109462,5150,119537,2002,55431,2739,60181,1607,59055,3477,64140,2750,110539,6842,120129,3444,112089,6563,122090,5612,116701,7203,129517,8057,108123,7209,123390,9660,84720,6624,101006,12004,44051,4892,60940,12729,12346,3468,28538,63642,867293,57107,988046
SOSR111,98,4272,225,4594,591,7644,467,8706,173,3596,245,4014,153,3545,269,3965,218,7511,542,8270,237,7110,523,7874,325,6802,540,7666,449,6151,493,7104,511,4487,356,5356,484,1978,229,2689,368,443,110,918,3607,53544,4010,61164,60,4036,252,4342,269,7501,460,8232,126,3576,196,3902,97,3888,266,4254,191,8095,541,8825,271,7428,468,8168,395,7370,477,8236,468,6726,477,7675,528,5024,403,5951,709,2475,351,3537,866,648,187,1705,3988,56760,4079,64825,151,8309,481,8941,862,15146,927,16934,307,7170,441,7913,254,7438,533,8223,404,15605,1085,17097,508,14542,992,16041,722,14172,1018,15905,919,12878,977,14772,1038,9506,763,11310,1190,4453,583,6229,1237,1094,295,2622,7592,110302,8088,125992
SOSR112,280,13365,970,14610,1731,26266,1705,29696,659,12851,962,14476,460,12333,1603,14398,765,23452,3042,27256,930,22247,2553,25730,1352,23200,2290,26836,1799,23015,2156,26964,2207,18556,1788,22555,2055,9480,1100,12641,1693,2391,512,4593,13931,187149,18677,219757,131,12863,952,13947,777,25937,1599,28307,395,13006,953,14349,327,12868,1163,14364,658,25688,1995,28340,837,24444,1732,27017,1427,26015,2035,29475,1896,26066,2117,30073,2045,21365,1905,25319,3302,11692,1524,16518,4148,3443,1028,8620,15946,203393,16993,236331,412,26227,1924,28560,2506,52202,3301,58008,1057,25853,1912,28829,786,25206,2772,28762,1424,49140,5039,55597,1771,46693,4282,52744,2777,49216,4320,56316,3694,49075,4266,57040,4252,39919,3696,47872,5361,21171,2625,29158,5839,5836,1538,13209,29877,390540,35674,456094
SOSR113,148,7652,597,8399,1119,14970,1104,17188,425,7399,519,8341,319,6390,677,7388,448,13067,1501,15015,625,12778,1282,14687,909,14518,1399,16828,1464,15268,1403,18137,1772,13906,1356,17031,1794,7271,902,9962,1323,1858,489,3665,10357,115081,11214,136649,64,7361,589,8019,504,14708,1024,16234,221,6923,465,7610,192,6521,535,7253,413,13696,1175,15284,563,13807,1101,15479,985,15498,1206,17687,1400,16921,1480,19800,1566,15354,1511,18432,2286,8550,1221,12055,3000,2457,975,6431,11196,121797,11289,144280,217,15016,1182,16418,1622,29673,2123,33421,651,14327,978,15950,517,12910,1213,14638,859,26768,2676,30304,1189,26592,2387,30165,1890,30021,2601,34512,2859,32191,2888,37936,3340,29260,2866,35465,4078,15817,2121,22019,4325,4314,1462,10099,21544,236877,22502,280928
SOSR114,118,6554,560,7226,771,13148,1044,14961,271,6146,575,6990,187,5169,497,5854,315,10315,1110,11739,431,10991,1166,12592,652,12124,1231,14002,1079,13006,1260,15340,1379,11877,1247,14500,1340,6334,855,8527,1014,1594,332,2938,7546,97251,9867,114669,53,6475,540,7066,353,12924,1048,14328,189,6034,528,6753,99,5185,525,5808,257,11403,1046,12706,400,12084,1053,13529,690,13278,1227,15202,975,14270,1323,16562,1186,13002,1312,15500,1791,7404,1042,10240,2486,2120,642,5243,8472,104177,10286,122935,162,13028,1099,14289,1123,26072,2091,29285,461,12181,1104,13744,284,10350,1027,11658,570,21715,2159,24441,832,23071,2222,26122,1348,25402,2455,29205,2051,27276,2579,31907,2565,24874,2552,29996,3128,13741,1900,18767,3497,3711,972,8178,16016,201430,20158,237603
SOSR115,155,9763,909,10827,1159,20042,1577,22780,416,9090,728,10232,278,7567,772,8614,410,15329,1758,17493,574,16362,1771,18709,988,18669,1909,21565,1675,20845,2109,24631,2190,18727,1960,22871,1974,9034,1123,12132,1636,2099,476,4215,11463,147523,15091,174076,90,9375,827,10293,531,19573,1552,21655,229,8906,726,9856,159,7421,634,8219,371,16615,1499,18481,525,17937,1594,20054,988,20450,1841,23281,1576,22322,1989,25886,1842,19636,1927,23402,2578,10097,1350,14020,3488,2877,858,7225,12378,155219,14786,182376,243,19139,1739,21122,1690,39616,3130,44430,645,17990,1449,20085,434,14991,1404,16834,779,31946,3250,35972,1099,34297,3367,38766,1973,39120,3752,44847,3258,43168,4095,50519,4033,38357,3885,46275,4550,19126,2472,26147,5126,4979,1332,11444,23835,302736,29877,356452
SOSR121,38,2490,209,2735,328,5667,441,6430,116,2594,199,2900,67,1971,180,2213,118,3563,360,4035,133,4528,384,5045,260,5695,481,6440,460,6266,535,7260,582,5075,472,6124,418,2151,261,2833,288,459,74,815,2804,40455,3566,46831,22,2292,218,2529,161,5599,466,6221,64,2591,157,2816,49,1835,172,2055,112,3908,384,4399,150,4993,417,5554,276,6028,482,6787,399,6500,554,7450,435,5087,426,5947,473,2108,254,2833,525,495,95,1114,2660,41424,3617,47711,59,4784,420,5262,485,11263,902,12654,183,5178,351,5717,118,3804,352,4275,222,7476,741,8442,287,9521,794,10602,541,11725,962,13224,852,12764,1087,14709,1018,10161,896,12074,897,4261,511,5664,814,950,170,1934,5469,81880,7189,94540
SOSR122,26,1281,118,1422,170,3054,257,3483,57,1477,134,1671,42,1022,94,1163,68,1987,258,2311,100,2516,276,2894,191,3278,326,3795,343,3809,398,4555,373,3059,356,3789,271,1311,170,1746,125,262,51,439,1752,23057,2445,27253,6,1207,133,1356,83,2964,282,3327,28,1377,116,1523,27,972,81,1082,63,2121,222,2407,79,2728,274,3082,179,3418,314,3916,288,3757,384,4430,278,2866,304,3456,285,1138,175,1595,280,254,75,604,1601,22806,2363,26762,33,2489,253,2773,251,6017,538,6807,85,2857,250,3192,69,1992,177,2238,125,4115,479,4713,180,5239,550,5975,372,6705,638,7709,632,7561,784,8979,655,5926,659,7240,555,2450,344,3341,404,515,130,1046,3350,45863,4805,54021
SOSR131,158,13082,1321,14561,1297,34006,3196,38497,526,16677,1525,18729,359,11662,1584,13601,582,20079,3062,23718,690,26893,3497,31084,1321,37595,4490,43405,2218,40317,4647,47179,2428,30383,3618,36434,1772,11139,1488,14394,1089,1914,402,3412,12439,243747,28828,285013,125,12111,1192,13436,652,32556,3038,36247,292,15279,1445,17018,246,10234,1049,11532,415,20465,2257,23136,625,28830,3036,32498,1248,37904,4020,43171,1791,37817,4163,43769,1773,25997,2983,30752,1829,8732,1223,11785,1787,1693,483,3961,10786,231627,24884,267300,291,25193,2515,27997,1946,66565,6230,74747,823,31957,2972,35753,608,21900,2631,25135,992,40542,5317,46857,1317,55724,6539,63585,2569,75499,8512,86576,4008,78135,8811,90948,4206,56378,6601,67180,3598,19871,2713,26179,2877,3609,888,7371,23229,475376,53714,552316
