SOSR_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SOSR101,4837,9397,6508,4549,6284,3007,1586,36174,687,411,235,184,289,162,112,2081,265,370,284,214,337,164,98,1724,10502,20175,15216,11337,17253,9178,5095,88754,463,1065,658,521,747,343,185,3986,891,1804,1048,687,800,372,177,5780,1351,2863,1712,1207,1549,712,367,9770,11855,23037,16926,12547,18802,9894,5466,98521,15297,14966,8360,5640,7087,3609,2242,57208,337,377,220,158,106,63,38,1306,27490,38382,25502,18348,25996,13568,7747,157033
SOSR102,1903,3859,2634,1756,2302,667,271,13393,231,199,135,106,143,39,22,875,79,99,75,53,76,25,4,406,3220,6641,5037,3744,5528,1908,857,26923,181,490,283,194,280,63,32,1519,426,718,349,171,224,53,27,1967,608,1211,635,363,503,115,55,3487,3825,7849,5671,4105,6030,2025,914,30416,5334,4750,2558,1686,1821,443,240,16834,81,89,65,44,32,9,4,330,9245,12689,8288,5842,7878,2482,1156,47580
SOSR111,345,546,361,210,282,66,27,1830,38,36,21,11,10,3,4,127,10,12,12,12,17,0,3,72,575,958,728,480,698,177,91,3706,46,90,67,48,52,11,0,310,79,143,49,26,37,11,0,350,126,237,118,71,88,17,0,660,705,1188,842,557,781,194,96,4357,960,829,455,236,244,45,34,2805,16,16,9,9,3,0,0,50,1678,2035,1311,798,1028,234,129,7213
SOSR112,1228,2168,1368,936,1163,202,70,7134,137,117,68,50,67,16,4,455,47,86,47,42,52,4,3,276,2011,3797,2676,1996,2827,557,195,14057,146,296,193,124,124,29,10,913,243,434,174,115,141,26,7,1135,385,730,368,241,262,54,11,2049,2402,4522,3044,2230,3084,615,209,16109,3633,3118,1580,966,960,190,77,10528,72,74,59,30,16,0,0,254,6108,7712,4676,3234,4064,803,285,26891
SOSR113,718,1285,894,579,714,123,25,4339,88,67,41,35,38,8,0,279,13,33,20,21,30,11,3,123,1103,2128,1556,1111,1558,304,75,7846,91,208,147,108,134,28,3,711,173,265,108,81,61,9,3,700,266,481,252,186,197,38,7,1411,1368,2606,1804,1298,1754,339,85,9256,2432,2100,1043,654,603,102,40,6974,52,65,44,20,14,0,0,197,3854,4777,2897,1972,2372,438,119,16422
SOSR114,578,1064,722,493,605,97,28,3583,71,58,23,28,40,12,0,230,22,42,28,23,30,5,4,148,913,1724,1325,988,1370,246,64,6631,64,162,122,74,84,13,0,525,140,207,101,67,62,10,3,591,207,374,218,144,150,22,5,1118,1121,2092,1541,1128,1520,266,68,7745,1829,1689,802,502,492,79,19,5403,40,50,35,19,17,0,0,159,2987,3831,2383,1652,2023,342,91,13316
SOSR115,774,1557,1083,733,961,161,40,5303,91,99,45,21,51,10,0,323,42,51,44,31,41,0,0,212,1277,2619,1936,1456,2020,368,104,9777,82,232,160,108,127,19,6,731,181,305,127,86,62,10,8,782,266,535,284,195,192,23,10,1514,1538,3153,2216,1656,2203,395,117,11291,2394,2102,1178,654,693,116,30,7168,47,65,45,35,27,3,0,225,3982,5327,3437,2348,2932,514,146,18680
SOSR121,172,414,268,179,205,26,6,1276,30,13,13,3,11,0,0,68,5,10,15,7,4,0,0,44,276,647,481,349,445,87,17,2302,18,41,38,26,27,4,0,150,40,91,31,21,24,7,0,210,53,127,72,47,50,8,0,356,331,778,547,399,492,96,21,2661,597,542,299,179,167,38,9,1834,11,14,11,6,4,0,0,54,940,1322,866,590,668,134,30,4550
SOSR122,87,228,163,116,131,16,4,738,14,8,10,5,4,0,3,49,0,6,10,4,4,0,0,26,147,358,281,216,255,35,11,1296,14,29,21,15,23,6,0,114,20,37,13,14,5,3,0,93,27,63,37,30,35,8,3,208,175,421,318,242,289,42,15,1499,335,323,165,115,98,21,8,1061,4,6,3,4,3,0,0,23,514,749,491,359,389,63,23,2587
SOSR131,555,1219,864,622,762,143,45,4207,72,54,44,33,46,3,0,254,29,47,38,25,26,5,0,175,1030,2235,1796,1318,1798,348,133,8654,63,159,124,90,114,14,6,573,95,194,102,64,71,9,7,536,156,358,220,154,184,28,13,1114,1188,2597,2020,1474,1978,376,141,9768,1830,1779,970,620,618,132,44,5996,40,51,30,25,21,0,0,174,3050,4426,3016,2119,2620,509,185,15935
