SOSR_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
SOSR101,38834,3818,427,272,43356,791,216,1005,44365,2117,32,46512,56956,5954,534,420,63858,638,134,777,64628,1304,58,65998,15496,1328,1401,152,18384,212,16,228,18608,344,15,18969,1004,113,24,732,1877,25,13,39,1913,96,82,2089,112292,11215,2394,1579,127475,1672,371,2045,129518,3865,189,133571,1993,244,27,34,2295,272,27,299,2600,119,7,2721,3325,447,23,72,3870,214,64,277,4148,173,8,4324,5318,686,50,112,6168,487,93,578,6744,286,11,7046,117607,11897,2445,1689,133640,2159,468,2619,136263,4150,204,140618,59206,10951,1304,1863,73323,2633,665,3300,76623,10353,284,87261,305,65,3,325,708,13,6,19,723,77,695,1496,177124,22915,3751,3878,207666,4802,1139,5946,213606,14588,1183,229375,49494,5236,362,324,55415,1145,328,1475,56892,2793,63,59752,63779,6633,556,515,71483,875,198,1077,72562,1747,57,74368,2740,311,499,37,3590,43,3,45,3634,118,3,3757,841,115,13,840,1813,32,18,48,1865,114,73,2049,116849,12296,1431,1720,132300,2101,547,2649
SOSR102,4876,754,90,30,5751,101,47,150,5899,393,10,6298,15321,1575,214,116,17226,139,43,181,17410,356,13,17774,3568,389,368,35,4356,41,15,54,4414,87,9,4507,189,13,8,133,339,3,0,3,343,23,4,365,23948,2738,683,315,27676,285,101,390,28062,861,29,28954,185,36,0,7,230,33,16,45,278,28,0,302,716,99,11,14,837,45,10,56,893,26,0,921,898,138,15,19,1071,80,23,102,1175,53,0,1224,24846,2871,698,335,28749,363,124,489,29237,908,27,30178,9674,1390,286,265,11616,384,111,494,12108,1353,19,13476,33,11,0,35,84,5,0,5,88,10,87,185,34553,4275,984,639,40445,747,237,984,41428,2273,136,43835,8138,1173,116,51,9477,171,60,234,9709,601,9,10317,17017,1692,215,132,19051,228,61,289,19337,527,12,19879,755,94,149,16,1009,20,13,26,1040,40,3,1086,150,16,3,142,313,0,0,0,319,11,6,337,26063,2979,479,339,29853,415,133,548
SOSR111,750,93,7,3,858,11,4,15,874,42,0,916,2173,196,29,20,2424,22,3,28,2450,47,3,2502,489,38,44,3,578,9,0,9,582,4,0,586,33,3,0,14,50,0,0,0,59,0,0,59,3454,338,79,40,3914,43,9,54,3965,98,3,4063,42,6,0,0,48,3,0,4,54,6,0,60,142,21,0,0,161,9,0,13,170,4,0,176,181,24,0,0,211,12,4,14,232,9,0,239,3633,366,79,41,4125,55,13,67,4193,102,6,4304,1462,213,47,28,1745,76,29,111,1859,155,4,2022,9,0,0,6,14,0,0,0,14,0,9,21,5105,577,130,78,5882,139,42,177,6064,265,18,6346,1129,124,20,3,1285,16,3,21,1306,92,0,1397,2280,214,33,11,2537,37,3,44,2582,46,3,2635,103,12,17,0,134,0,0,0,137,0,0,135,26,0,0,24,43,0,0,0,43,3,4,52,3534,354,72,35,3998,60,3,62
SOSR112,2473,353,41,19,2888,44,26,69,2957,212,5,3174,6150,770,79,53,7048,49,10,61,7106,153,3,7263,1398,159,151,11,1717,16,6,20,1736,39,3,1778,62,14,0,52,127,0,0,0,131,5,7,137,10081,1300,266,130,11776,101,45,150,11931,406,16,12350,82,36,4,0,117,23,5,31,151,6,0,158,256,32,5,7,300,24,8,30,329,20,0,347,337,69,8,7,420,46,11,60,474,30,0,503,10421,1371,269,134,12197,149,59,212,12409,433,16,12858,4374,712,107,132,5329,234,59,293,5617,722,14,6354,29,0,0,19,45,0,0,0,46,6,36,89,14819,2082,384,281,17573,383,115,505,18070,1161,67,19303,4219,532,50,28,4830,80,39,121,4954,316,3,5272,6777,821,93,57,7749,83,18,104,7856,272,4,8132,307,41,74,3,422,8,0,8,434,16,0,451,63,8,0,65,136,0,0,0,136,10,3,144,11369,1407,217,150,13139,179,59,233
SOSR113,999,168,21,9,1198,19,4,21,1221,107,4,1333,3288,375,39,37,3738,42,20,61,3802,124,16,3937,685,71,56,11,823,4,3,10,828,26,0,857,46,9,0,34,79,0,0,4,88,6,0,88,5015,616,118,91,5841,67,29,97,5936,262,15,6219,40,4,0,0,48,26,4,29,74,14,0,88,156,22,14,3,194,26,9,31,231,15,0,237,195,29,14,4,240,50,11,62,305,21,0,330,5210,644,130,94,6079,118,36,159,6239,285,15,6546,2648,487,104,98,3330,225,36,267,3592,520,12,4120,19,3,0,7,29,0,0,0,29,3,25,56,7869,1140,228,193,9435,347,77,419,9854,811,51,10717,1771,276,28,19,2093,30,14,40,2133,138,3,2280,3604,449,39,34,4135,72,21,90,4219,207,9,4436,159,32,37,6,229,3,5,6,232,15,0,248,39,7,0,40,91,0,3,6,93,6,3,105,5567,764,105,105,6540,101,39,139
SOSR114,1151,169,14,10,1349,10,9,24,1368,81,0,1452,2998,362,52,33,3449,26,8,38,3488,88,7,3585,609,74,96,11,783,12,0,12,796,10,0,802,25,10,3,43,88,3,0,3,88,6,3,97,4783,621,164,103,5666,57,21,70,5737,191,15,5938,39,16,0,10,64,7,0,12,70,14,0,84,111,30,0,11,151,16,0,13,165,9,0,178,150,44,0,16,212,22,0,29,241,18,0,262,4936,660,161,117,5873,79,18,102,5973,212,15,6199,2202,401,84,74,2766,175,24,199,2967,361,14,3335,15,6,3,3,25,0,0,0,25,0,32,62,7154,1074,253,196,8669,253,47,300,8969,569,60,9594,1896,271,34,12,2216,46,15,61,2275,112,3,2390,3330,474,65,37,3902,46,16,67,3970,141,3,4111,173,20,38,4,230,5,3,10,241,8,0,251,58,8,3,63,127,0,0,0,127,3,0,139,5456,771,134,119,6483,100,33,130
SOSR115,1753,262,35,16,2064,37,9,43,2102,136,3,2244,4467,617,70,55,5208,57,26,80,5285,148,7,5433,996,77,131,8,1211,18,0,18,1228,31,3,1259,72,11,7,89,179,6,3,14,187,6,0,194,7297,962,233,165,8654,114,34,148,8806,323,12,9133,53,9,0,3,60,19,0,19,78,10,3,92,171,28,5,6,203,17,0,16,224,8,0,232,219,34,5,8,267,38,0,39,306,13,3,322,7514,993,240,172,8922,153,34,184,9110,339,14,9456,3529,599,117,156,4393,216,27,242,4643,483,16,5135,40,5,0,14,56,0,0,0,60,0,37,98,11080,1601,358,343,13378,365,63,428,13807,819,60,14687,2962,390,41,31,3427,41,15,51,3481,201,0,3682,5221,720,77,48,6067,88,21,114,6182,219,10,6408,243,36,63,6,342,10,0,10,355,26,3,380,60,8,3,69,141,14,0,14,158,14,5,178,8496,1146,191,151,9986,154,38,189
SOSR121,438,66,4,4,510,5,0,7,515,33,0,551,1174,167,16,16,1382,12,0,17,1394,39,0,1429,210,38,37,0,280,8,0,8,291,0,0,296,13,0,0,12,26,0,0,0,26,3,0,29,1841,266,61,37,2203,24,3,31,2232,74,3,2304,8,8,0,0,14,3,0,3,18,0,0,26,53,5,0,0,61,3,0,3,66,8,0,72,62,10,0,0,78,11,0,9,85,10,0,94,1901,283,58,38,2275,40,3,38,2320,81,3,2402,863,149,14,30,1059,57,10,70,1123,181,0,1302,11,0,0,0,14,0,0,0,14,0,17,29,2775,434,72,66,3342,93,10,110,3455,264,16,3732,826,142,14,11,997,16,0,19,1008,68,0,1078,1504,231,40,23,1791,20,5,18,1817,77,0,1893,85,7,16,0,110,0,0,0,110,0,0,111,14,3,0,15,35,0,0,0,32,5,0,42,2422,383,69,48,2929,31,3,39
SOSR122,207,36,5,0,250,0,0,0,252,25,0,283,576,76,8,4,661,10,3,8,671,15,0,690,107,13,19,0,142,3,0,3,144,10,0,146,7,0,0,0,11,0,0,0,11,3,0,15,897,129,25,14,1067,8,3,15,1076,51,0,1128,0,0,0,0,0,5,0,5,9,0,0,9,20,4,0,0,23,0,0,0,30,0,0,30,25,4,0,0,31,6,0,6,36,0,0,37,918,134,25,14,1091,15,5,16,1107,53,0,1165,492,78,14,19,606,29,5,30,637,106,3,749,8,0,0,0,9,0,0,0,9,0,3,15,1419,216,42,26,1703,42,10,51,1757,162,4,1922,419,73,4,0,499,10,4,12,507,35,0,547,731,133,12,15,891,12,7,24,916,51,3,966,31,6,10,0,56,0,4,4,58,4,0,55,9,0,0,17,24,0,0,0,29,3,0,29,1187,214,32,36,1467,23,13,39
SOSR131,2904,297,50,25,3276,18,9,30,3308,147,0,3452,7160,768,108,51,8087,49,6,59,8142,194,15,8350,1464,135,165,25,1787,18,3,23,1806,35,6,1851,134,6,4,104,249,0,0,0,253,16,3,268,11660,1214,326,208,13404,86,17,108,13508,387,25,13919,58,7,0,0,72,13,0,18,84,13,0,99,182,31,4,4,222,12,14,27,248,19,0,270,245,43,7,7,295,28,13,38,336,27,0,370,11905,1252,326,212,13697,113,32,148,13846,417,26,14288,4866,719,169,188,5938,190,52,241,6171,711,22,6907,53,8,4,15,81,0,0,0,81,5,56,139,16821,1981,499,415,19716,302,80,387,20099,1133,103,21333,6173,605,76,39,6890,61,23,83,6975,309,5,7291,10131,1190,128,112,11560,89,23,107,11669,341,20,12028,420,67,96,9,586,0,0,0,586,27,0,620,133,12,3,176,323,3,0,3,328,23,10,358,16863,1867,300,334,19362,153,43,200
