region_id,C11_CFNC_BPT_1500_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000mo,C11_CFNC_BPT_Ns,C11_CFNC_BPT_T,C11_CFNC_1F1P_N,C11_CFNC_1F1P_1_199,C11_CFNC_1F1P_200_399,C11_CFNC_1F1P_400_599,C11_CFNC_1F1P_600_799,C11_CFNC_1F1P_800_999,C11_CFNC_1F1P_1000_1499,C11_CFNC_1F1P_1500_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000m,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_T,C11_CFNC_1E1A_N,C11_CFNC_1E1A_1_199,C11_CFNC_1E1A_200_399,C11_CFNC_1E1A_400_599,C11_CFNC_1E1A_600_799,C11_CFNC_1E1A_800_999,C11_CFNC_1E1A_1000_1499,C11_CFNC_1E1A_1500_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000m,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_T,C11_CFNC_1F1NW_N,C11_CFNC_1F1NW_1_199,C11_CFNC_1F1NW_200_399,C11_CFNC_1F1NW_400_599,C11_CFNC_1F1NW_600_799,C11_CFNC_1F1NW_800_999,C11_CFNC_1F1NW_1000_1499,C11_CFNC_1F1NW_1500_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000m,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_Tot,C11_CFNC_1P1NW_N,C11_CFNC_1P1NW_1_199,C11_CFNC_1P1NW_200_399,C11_CFNC_1P1NW_400_599,C11_CFNC_1P1NW_600_799,C11_CFNC_1P1NW_800_999,C11_CFNC_1P1NW_1000_1499,C11_CFNC_1P1NW_1500_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_mr,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_Tot,C11_CFNC_1A1NW_N,C11_CFNC_1A1NW_1_199,C11_CFNC_1A1NW_200_399,C11_CFNC_1A1NW_400_599,C11_CFNC_1A1NW_600_799,C11_CFNC_1A1NW_800_999,C11_CFNC_1A1NW_1000_1499,C11_CFNC_1A1NW_1500_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000m,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_T,C11_CFNC_BA_N,C11_CFNC_BA_1_199,C11_CFNC_BA_200_399,C11_CFNC_BA_400_599,C11_CFNC_BA_600_799,C11_CFNC_BA_800_999,C11_CFNC_BA_1000_1499,C11_CFNC_BA_1500_1999,C11_CFNC_BA_2000_2499,C11_CFNC_BA_2500_2999,C11_CFNC_BA_3000m,C11_CFNC_BA_Ns,C11_CFNC_BA_Tot,C11_CFNC_BNW_N,C11_CFNC_BNW_1_199,C11_CFNC_BNW_200_399,C11_CFNC_BNW_400_599,C11_CFNC_BNW_600_799,C11_CFNC_BNW_800_999,C11_CFNC_BNW_1000_1499,C11_CFNC_BNW_1500_1999,C11_CFNC_BNW_2000_2499,C11_CFNC_BNW_2500_2999,C11_CFNC_BNW_3000m,C11_CFNC_BNW_Ns,C11_CFNC_BNW_T,C11_CFNC_LFns_N,C11_CFNC_LFns_1_199,C11_CFNC_LFns_200_399,C11_CFNC_LFns_400_599,C11_CFNC_LFns_600_799,C11_CFNC_LFns_800_999,C11_CFNC_LFns_1000_1499,C11_CFNC_LFns_1500_1999,C11_CFNC_LFns_2000_2499,C11_CFNC_LFns_2500_2999,C11_CFNC_LFns_3000mo,C11_CFNC_LFns_Ns,C11_CFNC_LFns_T,C11_CFNC_T_N,C11_CFNC_T_1_199,C11_CFNC_T_200_399,C11_CFNC_T_400_599,C11_CFNC_T_600_799,C11_CFNC_T_800_999,C11_CFNC_T_1000_1499,C11_CFNC_T_1500_1999,C11_CFNC_T_2000_2499,C11_CFNC_T_2500_2999,C11_CFNC_T_3000M,C11_CFNC_T_Ns,C11_CFNC_T_T,C11_CF_BFT_N,C11_CF_BFT_1_199,C11_CF_BFT_200_399,C11_CF_BFT_400_599,C11_CF_BFT_600_799,C11_CF_BFT_800_999,C11_CF_BFT_1000_1499,C11_CF_BFT_1500_1999,C11_CF_BFT_2000_2499,C11_CF_BFT_2500_2999,C11_CF_BFT_3000_mr,C11_CF_BFT_Ns,C11_CF_BFT_Tot,C11_CF_BPT_N,C11_CF_BPT_1_199,C11_CF_BPT_200_399,C11_CF_BPT_400_599,C11_CF_BPT_600_799,C11_CF_BPT_800_999,C11_CF_BPT_1000_1499,C11_CF_BPT_1500_1999,C11_CF_BPT_2000_2499,C11_CF_BPT_2500_2999,C11_CF_BPT_3000_mr,C11_CF_BPT_Ns,C11_CF_BPT_Tot,C11_CF_1F1P_N,C11_CF_1F1P_1_199,C11_CF_1F1P_200_399,C11_CF_1F1P_400_599,C11_CF_1F1P_600_799,C11_CF_1F1P_800_999,C11_CF_1F1P_1000_1499,C11_CF_1F1P_1500_1999,C11_CF_1F1P_2000_2499,C11_CF_1F1P_2500_2999,C11_CF_1F1P_3000mo,C11_CF_1F1P_Ns,C11_CF_1F1P_T,C11_CF_1E1A_N,C11_CF_1E1A_1_199,C11_CF_1E1A_200_399,C11_CF_1E1A_400_599,C11_CF_1E1A_600_799,C11_CF_1E1A_800_999,C11_CF_1E1A_1000_1499,C11_CF_1E1A_1500_1999,C11_CF_1E1A_2000_2499,C11_CF_1E1A_2500_2999,C11_CF_1E1A_3000_mr,C11_CF_1E1A_Ns,C11_CF_1E1A_Tot,C11_CF_1F1NW_N,C11_CF_1F1NW_1_199,C11_CF_1F1NW_200_399,C11_CF_1F1NW_400_599,C11_CF_1F1NW_600_799,C11_CF_1F1NW_800_999,C11_CF_1F1NW_1000_1499,C11_CF_1F1NW_1500_1999,C11_CF_1F1NW_2000_2499,C11_CF_1F1NW_2500_2999,C11_CF_1F1NW_3000mo,C11_CF_1F1NW_Ns,C11_CF_1F1NW_T,C11_CF_1P1NW_N,C11_CF_1P1NW_1_199,C11_CF_1P1NW_200_399,C11_CF_1P1NW_400_599,C11_CF_1P1NW_600_799,C11_CF_1P1NW_800_999,C11_CF_1P1NW_1000_1499,C11_CF_1P1NW_1500_1999,C11_CF_1P1NW_2000_2499,C11_CF_1P1NW_2500_2999,C11_CF_1P1NW_3000_mr,C11_CF_1P1NW_Ns
101011001,19,3,4,0,0,76,0,0,0,0,8,18,96,68,50,23,27,3,293,0,0,0,0,0,5,11,8,7,8,10,0,49,0,0,3,11,24,28,48,40,15,17,6,10,202,0,3,12,25,22,24,20,7,3,0,0,3,119,0,0,3,3,7,3,3,3,3,3,3,0,31,0,0,0,0,3,3,0,0,3,3,3,0,15,11,28,14,295,146,127,65,17,8,3,5,35,754,0,0,3,9,3,3,0,0,0,0,0,135,153,11,31,35,357,231,246,330,251,207,104,122,199,2124,3,0,0,0,3,3,56,109,138,78,127,44,561,0,0,0,6,4,5,19,10,11,4,8,6,73,0,0,0,6,6,19,120,169,153,65,76,47,661,0,0,0,4,3,5,24,26,25,5,17,8,117,0,0,3,10,15,43,102,75,23,40,17,25,353,0,4,3,6,12,16,15,9,6,3,5,11
101011002,5,7,0,5,0,70,0,4,0,6,14,31,64,52,41,9,24,8,253,3,0,0,3,3,7,6,8,8,3,3,3,47,0,3,0,13,8,22,45,35,7,18,4,11,166,4,0,6,24,24,14,25,4,5,5,7,4,122,0,3,0,3,3,0,3,3,0,0,0,3,18,0,3,3,0,3,0,0,0,3,0,0,3,15,11,30,14,197,91,72,32,15,3,4,3,21,493,0,0,0,3,3,0,0,0,0,0,0,111,117,22,48,27,263,173,176,241,177,136,64,98,168,1593,3,0,4,3,4,4,47,49,63,45,49,39,310,0,0,0,0,0,3,9,9,3,0,0,3,27,0,3,0,3,8,28,91,100,76,31,40,53,433,3,0,0,0,3,3,8,9,14,0,5,5,50,0,0,0,10,18,19,65,42,15,21,8,16,214,0,0,3,3,12,3,12,0,0,5,0,7
101011003,3,4,0,4,3,37,0,0,0,0,0,8,21,13,7,12,6,3,70,0,0,0,0,3,3,3,5,3,0,7,3,27,3,0,3,0,0,4,16,16,10,3,0,3,58,0,0,0,4,8,4,17,4,0,3,0,0,40,0,3,0,0,3,3,3,0,0,3,0,0,15,0,0,0,0,0,3,0,0,3,0,0,0,6,3,11,4,65,48,36,30,4,0,0,3,5,209,0,3,0,4,0,0,0,0,0,0,0,50,57,9,17,7,76,72,69,102,77,65,51,73,70,688,0,0,0,4,0,3,12,17,45,28,47,21,177,0,0,0,0,0,0,9,0,7,4,0,6,26,0,0,0,3,9,5,44,53,64,36,42,6,262,0,0,0,0,0,0,9,6,8,8,4,4,39,0,0,0,0,4,4,42,25,11,24,7,6,123,0,0,0,3,5,4,7,5,3,0,0,4
101011004,10,7,5,14,0,66,4,0,0,3,5,14,46,26,19,9,44,3,173,0,0,0,0,0,0,3,9,9,8,11,0,40,0,3,3,3,10,18,27,21,12,20,17,4,138,0,3,7,10,12,15,15,12,5,4,4,3,90,0,0,0,0,3,0,4,0,3,0,3,0,13,3,0,3,0,0,0,0,6,4,0,6,0,22,3,11,5,48,37,46,51,22,12,5,7,11,258,0,0,0,0,3,0,0,0,0,0,0,94,97,14,23,18,72,80,106,190,142,146,103,257,115,1266,0,0,0,3,3,11,11,25,53,35,213,34,388,0,0,0,0,3,4,11,9,11,5,12,5,60,0,0,0,3,3,24,67,63,70,59,111,41,441,0,0,0,3,0,3,4,17,18,5,40,6,96,0,4,3,0,8,12,43,41,7,47,15,17,197,0,0,0,3,4,4,13,5,6,3,4,4
101011005,0,0,0,3,0,38,4,0,0,4,10,12,43,25,10,8,9,3,128,0,0,0,0,0,4,4,5,3,0,0,3,19,0,0,4,6,13,26,20,13,3,4,3,3,95,0,3,5,17,20,13,15,3,3,0,0,0,79,0,0,0,5,3,3,0,0,0,0,0,0,11,0,0,0,0,0,3,3,0,3,4,0,0,13,3,17,11,166,87,57,37,10,3,3,3,23,420,0,0,0,5,4,0,0,0,0,0,0,63,72,7,26,20,215,145,140,164,103,57,28,40,101,1046,3,0,0,0,0,5,32,37,39,33,32,27,208,0,0,0,0,7,5,10,7,0,0,0,12,41,0,0,0,3,11,28,83,80,50,26,28,36,345,0,0,0,0,3,6,13,14,7,5,6,0,54,0,0,0,7,22,29,64,32,6,24,7,12,203,3,3,0,13,6,3,7,7,3,0,0,4
101011006,4,0,0,0,0,40,3,0,0,3,11,10,36,33,15,7,11,0,129,0,0,0,3,3,3,3,5,5,0,3,5,30,3,0,3,3,16,9,16,12,3,3,0,5,73,3,0,0,12,27,6,9,0,0,0,3,3,63,3,0,0,3,3,3,3,3,0,0,0,3,21,0,0,0,0,0,0,0,0,3,0,0,0,3,9,14,8,171,52,34,17,3,3,3,3,15,332,0,0,0,3,3,0,0,0,0,0,0,70,76,28,17,17,208,126,94,137,100,52,26,38,105,948,3,3,0,3,6,9,22,23,27,15,32,34,177,0,0,0,0,4,0,4,3,3,0,3,4,21,0,3,3,0,3,11,50,52,32,14,14,30,212,0,0,5,0,0,0,16,0,4,0,0,9,34,3,3,0,4,20,15,42,21,4,7,4,13,136,3,0,4,4,3,4,4,3,0,0,0,3
101021007,3,3,3,0,3,28,0,0,0,0,6,7,24,14,3,3,7,0,64,0,0,0,0,0,0,4,0,4,3,3,0,14,0,3,3,0,3,6,4,5,3,4,3,0,34,0,0,3,0,6,5,7,4,0,3,0,3,31,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,3,3,5,3,55,22,21,15,4,3,0,3,3,137,0,0,0,0,0,0,0,0,0,0,0,24,24,6,15,12,63,46,49,75,46,30,24,35,40,441,0,0,0,0,3,3,7,5,10,10,21,10,69,0,0,0,0,0,4,6,5,0,0,0,5,20,0,0,3,0,3,5,20,30,21,9,9,10,110,0,0,0,0,4,0,0,0,3,0,5,0,12,0,0,0,0,7,5,13,11,3,4,6,5,54,0,0,0,0,0,4,0,4,3,3,0,0
101021008,0,0,0,3,0,19,0,0,0,3,4,3,23,19,9,0,11,3,75,0,0,0,0,0,3,0,8,6,0,3,0,20,0,0,0,3,13,7,21,13,3,13,3,5,81,0,3,4,5,8,7,6,4,3,0,0,0,40,0,0,0,0,0,3,0,0,0,0,0,4,7,0,0,0,3,0,0,0,0,3,0,3,0,9,9,3,6,58,41,25,23,0,3,3,0,5,176,0,0,0,4,0,0,0,0,0,0,0,33,37,9,6,10,76,71,55,101,101,113,50,92,50,734,0,0,0,0,0,3,11,38,85,52,139,33,361,0,0,0,0,0,3,10,3,5,0,5,0,26,0,0,0,0,0,3,38,50,74,45,66,17,293,0,0,0,0,4,0,3,11,15,7,30,4,74,0,0,0,0,6,7,39,44,15,35,12,7,165,0,0,0,0,6,3,4,4,3,7,0,0
101021009,5,3,3,3,4,29,3,0,0,3,0,14,30,42,20,10,15,0,137,0,0,0,0,3,0,4,5,6,3,7,0,28,0,0,3,3,4,14,34,21,11,3,3,4,100,0,0,0,11,6,4,12,6,0,0,0,4,43,0,0,0,0,0,3,5,0,0,3,0,4,15,0,0,0,0,0,0,0,0,3,0,4,0,7,3,14,4,87,53,35,20,16,3,3,6,4,248,0,0,0,4,0,0,0,0,0,0,0,50,54,6,14,7,108,70,81,145,163,136,76,133,70,1009,0,0,0,0,0,0,18,30,55,39,93,25,260,0,0,0,0,4,5,14,4,6,0,5,0,38,0,0,3,0,4,3,34,44,67,25,41,11,232,0,0,0,0,0,0,0,8,14,14,25,4,65,0,0,0,7,12,11,44,36,16,12,6,18,162,0,0,0,5,4,3,5,9,5,0,3,3
101021010,4,0,0,4,0,17,0,0,0,0,0,0,20,15,11,4,16,0,66,0,0,0,0,0,3,5,5,3,0,4,3,23,0,0,0,0,5,6,14,3,3,12,0,0,43,0,0,0,6,8,0,3,5,5,3,0,0,30,0,0,0,3,0,0,0,3,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,3,0,6,3,0,3,30,6,13,11,7,3,3,0,3,82,0,0,0,0,0,0,0,0,3,0,0,38,41,3,0,3,42,19,34,70,76,77,48,96,44,512,0,0,0,0,0,0,5,14,23,18,48,9,117,0,0,3,0,0,0,0,5,0,0,5,0,13,0,0,0,0,0,0,21,25,16,16,39,7,124,0,0,0,0,0,0,7,3,9,3,12,0,34,0,0,3,3,3,10,18,16,3,15,9,3,83,0,3,3,4,0,0,7,0,0,0,0,5
101021011,13,3,4,9,0,68,0,0,0,3,3,12,38,41,47,25,65,6,240,0,0,0,0,0,0,0,13,14,9,24,0,60,0,0,0,3,6,7,24,30,17,44,27,0,158,0,0,5,8,9,12,20,13,6,3,7,3,86,0,0,0,4,0,3,3,0,0,0,3,0,13,0,0,0,0,0,0,0,0,3,0,8,0,11,6,10,4,41,43,51,58,36,17,7,8,12,293,0,0,0,3,0,3,0,0,0,0,0,92,98,6,10,9,73,74,111,187,183,193,144,392,121,1503,3,3,0,0,3,10,14,34,86,70,343,74,640,0,0,0,0,0,0,4,13,11,8,24,8,68,0,3,0,3,7,3,60,89,115,80,225,47,632,3,0,0,0,3,3,4,11,17,9,62,13,125,0,0,4,3,3,13,59,56,21,54,47,32,292,0,0,0,3,3,0,4,4,3,7,10,6
101021012,7,5,0,8,0,25,0,0,0,0,0,5,14,22,28,20,36,0,125,0,0,0,0,0,0,3,4,8,9,18,0,42,0,0,0,6,3,9,17,18,10,22,8,4,97,0,0,0,4,8,0,8,10,3,0,4,0,37,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,0,0,0,0,4,0,3,6,0,13,0,0,0,50,30,27,36,8,0,4,0,9,164,0,0,0,0,0,0,0,5,0,0,0,59,64,0,0,0,60,49,44,89,117,147,134,307,78,1025,3,0,0,0,5,0,19,25,70,91,415,42,670,0,0,0,0,3,0,11,8,9,6,11,0,48,3,0,0,0,5,8,37,77,108,89,271,28,626,0,0,0,0,0,0,4,23,28,14,71,5,145,0,0,0,0,3,8,39,49,22,66,47,12,246,0,0,0,0,5,0,6,8,5,6,7,4
101031013,0,0,0,0,0,10,0,0,0,0,3,10,12,14,7,4,0,3,53,0,3,0,0,0,0,3,0,3,3,0,0,12,0,0,0,0,9,4,8,5,0,0,0,0,26,0,3,3,3,3,3,0,0,0,0,0,3,18,0,0,0,0,3,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,3,42,18,16,5,0,0,0,0,9,101,0,0,0,3,0,0,0,0,0,0,0,21,24,3,14,6,48,47,40,42,32,24,12,6,45,319,3,0,0,0,3,3,8,12,9,8,5,6,57,0,0,0,0,0,0,0,3,3,0,0,0,6,0,3,0,6,3,5,22,19,10,3,3,7,81,0,0,0,0,0,0,6,3,0,0,0,0,9,0,0,0,0,5,9,16,11,0,0,0,7,48,0,0,0,3,3,3,0,0,3,0,0,0
101031014,3,3,0,3,0,36,0,0,0,3,0,8,30,31,12,11,0,3,98,0,0,0,3,0,0,3,3,3,3,3,0,18,0,0,0,0,15,14,25,11,3,9,0,4,81,0,0,0,11,13,7,13,9,0,3,0,0,56,0,0,0,5,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,95,47,39,28,4,7,0,8,3,249,0,0,0,4,3,0,0,0,0,0,0,40,47,3,12,6,124,86,99,141,92,67,35,46,54,765,0,0,0,0,0,5,15,33,37,18,20,23,151,0,0,0,0,0,6,5,4,0,0,0,3,18,0,0,0,0,3,16,40,34,35,17,25,29,199,0,0,0,0,4,0,5,8,6,3,9,0,35,0,0,0,3,13,11,32,18,3,12,0,10,102,0,0,0,0,3,5,11,0,4,0,0,4
101031015,4,3,0,0,0,26,0,0,0,0,4,16,14,8,12,3,5,0,62,0,0,0,0,3,3,3,0,3,0,0,0,12,0,0,0,5,4,6,6,10,0,5,0,3,39,0,0,0,4,3,3,4,5,0,0,3,0,22,0,3,3,3,0,0,3,0,0,0,0,3,15,0,0,0,3,0,3,0,0,0,0,0,0,6,0,4,4,45,30,15,13,14,3,3,0,5,136,0,0,3,0,0,0,0,0,0,0,0,28,31,0,10,10,66,56,61,65,60,42,21,26,39,456,0,0,0,0,0,3,8,13,9,16,13,12,74,0,0,0,0,0,3,4,5,0,0,0,0,12,0,0,0,0,6,3,19,24,16,7,15,3,93,0,0,0,0,0,0,4,3,3,0,3,3,16,0,0,3,3,3,10,19,12,3,5,3,3,64,0,0,0,4,5,0,0,0,3,0,0,3
101031016,4,3,4,0,0,29,0,3,0,0,4,14,24,21,13,0,9,6,94,0,0,0,0,0,0,5,5,3,0,3,3,19,0,0,0,4,7,3,14,5,3,0,4,0,40,0,0,3,9,11,3,9,3,0,0,3,0,41,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0,0,0,3,3,0,0,0,0,0,0,6,7,7,3,32,25,26,13,8,3,3,4,6,137,0,0,0,0,3,0,0,0,0,0,0,29,32,7,10,9,52,59,58,116,93,60,22,45,44,575,3,0,0,0,8,6,28,26,43,17,49,33,213,0,0,0,0,0,5,10,4,3,3,6,0,31,3,0,3,0,0,8,57,34,41,21,20,12,199,0,0,0,3,0,0,4,9,6,3,6,3,34,0,0,4,4,4,7,22,16,9,17,0,6,89,0,0,0,0,6,3,4,0,3,0,0,0
101041017,11,3,0,0,3,47,0,0,0,0,5,8,33,17,12,5,0,0,80,0,0,0,4,3,3,5,3,3,0,0,0,21,0,0,0,7,4,13,19,11,0,7,0,3,64,0,0,6,9,21,12,17,3,3,5,0,3,79,0,0,0,6,3,0,3,3,0,0,0,0,15,0,0,0,0,3,0,3,0,0,0,0,0,6,9,5,10,216,98,111,63,14,9,3,7,21,566,0,0,0,10,3,0,0,0,0,0,0,88,101,12,9,16,252,149,160,180,81,46,24,17,118,1064,0,0,0,0,3,7,14,10,16,18,17,12,97,0,0,0,0,3,9,9,7,8,3,0,0,39,0,0,0,4,6,13,44,32,28,15,9,12,163,0,0,0,0,3,0,8,5,5,0,3,0,24,0,0,0,3,5,15,38,24,5,6,3,3,102,0,3,0,3,9,10,17,4,3,3,3,4
101041018,7,7,0,0,0,58,0,0,0,0,6,11,30,24,14,7,6,0,98,0,0,0,0,3,3,5,3,3,0,0,0,17,0,0,0,3,12,11,15,6,7,10,0,5,69,0,0,3,13,26,12,22,4,5,4,0,5,94,0,0,3,3,0,0,7,0,0,3,4,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,17,198,139,122,103,24,14,5,7,18,685,0,0,0,4,3,0,4,0,0,0,0,72,83,8,30,23,229,198,186,216,85,75,32,32,104,1218,0,0,0,3,6,3,19,19,15,11,17,12,105,0,0,0,0,3,3,13,7,3,0,3,4,36,3,0,0,0,3,8,48,37,22,11,14,16,162,0,3,0,0,0,4,5,4,3,4,3,0,26,0,0,0,0,5,12,31,7,6,8,4,6,79,0,0,3,3,10,17,17,4,0,3,0,11
101041019,12,0,0,0,0,50,0,0,3,0,5,10,32,33,19,11,11,4,128,0,0,0,0,4,0,9,3,4,0,0,4,24,0,0,0,7,10,14,27,19,3,0,0,0,80,0,0,0,15,15,15,16,6,8,0,0,0,75,0,0,0,3,0,0,4,0,0,3,3,3,16,0,0,0,0,0,0,4,0,4,0,0,0,8,3,20,10,124,58,61,40,6,11,3,6,11,353,3,3,0,0,3,3,0,0,0,0,0,57,69,6,23,13,152,107,133,170,118,70,28,41,83,944,0,3,4,0,0,0,21,34,35,12,25,21,155,0,0,0,3,8,5,13,10,3,0,3,4,49,0,0,0,3,0,7,73,64,58,18,23,9,255,0,0,0,3,3,0,3,10,10,0,3,6,38,0,0,0,0,10,26,48,29,8,9,3,8,141,0,0,0,8,10,14,18,0,0,0,0,6
101041020,12,7,0,3,5,86,0,5,3,11,15,16,39,43,26,10,6,0,174,0,0,0,0,3,3,12,6,3,0,3,0,30,0,3,5,4,15,22,34,12,4,14,3,0,116,0,0,5,28,21,23,16,8,3,4,0,7,115,0,0,0,5,0,8,4,4,0,3,0,0,24,0,0,0,3,0,0,0,3,0,0,0,6,12,14,13,15,153,70,52,47,12,5,0,4,13,398,0,4,0,3,4,0,0,0,0,0,0,93,104,14,32,28,218,157,163,205,131,71,40,30,131,1220,0,0,0,4,6,16,13,24,25,12,19,29,148,5,0,0,3,4,8,26,9,11,3,3,8,80,3,3,0,6,13,14,65,51,37,11,20,27,250,0,0,0,3,0,3,8,8,7,5,4,5,43,0,3,5,3,14,25,50,30,9,7,0,10,156,0,0,4,11,13,16,22,5,0,0,0,4
101041021,0,0,0,3,0,19,0,0,0,0,5,5,7,0,4,0,4,0,25,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,5,0,0,4,5,0,14,0,0,3,3,10,9,6,0,0,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,7,5,63,30,37,32,15,4,3,0,5,204,0,0,0,0,0,0,0,0,0,0,0,26,26,3,7,8,72,48,63,64,23,22,19,12,31,372,0,0,0,0,0,0,4,8,9,6,10,11,48,0,0,0,0,3,0,5,0,3,0,0,0,11,0,3,0,3,0,0,15,18,15,7,13,8,82,0,0,0,0,0,3,0,3,0,0,3,3,12,0,0,0,0,5,6,15,3,3,3,0,0,35,0,0,0,3,3,0,8,3,0,3,0,0
101041022,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,3,0,0,0,0,23,0,0,0,0,3,7,19,16,5,3,3,4,60,0,0,0,0,3,0,4,3,3,0,3,0,16,0,0,0,0,3,12,9,6,3,5,0,0,38,0,0,0,3,3,6,3,0,0,0,0,3,18,0,0,0,0,5,3,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,3,0,0,0,6,4,6,0,57,36,30,19,7,0,0,3,4,166,0,0,0,7,0,0,0,0,0,0,0,31,38,4,9,0,70,60,66,81,48,20,16,12,42,428,0,0,0,0,0,5,7,11,8,5,3,7,46,0,0,0,0,3,0,3,0,3,0,0,0,9,0,0,0,3,4,4,25,26,11,5,3,8,89,0,0,0,0,0,0,0,5,3,0,4,5,17,0,0,0,0,5,5,20,3,4,0,0,0,37,0,3,0,0,0,0,3,0,0,0,0,5
101041024,4,3,4,0,0,31,0,0,0,3,6,8,19,10,8,4,0,0,58,0,0,4,0,0,0,0,6,3,0,0,0,13,4,0,0,0,6,3,12,6,0,0,3,0,34,0,0,0,6,16,4,5,5,3,0,0,0,39,3,0,3,0,0,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,54,30,23,25,0,6,0,3,9,162,0,3,0,0,0,0,0,0,0,0,0,36,39,7,12,10,68,65,53,76,52,31,8,11,48,441,0,0,0,5,3,4,3,12,10,3,5,9,54,0,0,0,0,0,3,7,3,3,0,3,3,22,0,0,0,0,3,14,24,16,13,3,4,11,88,0,0,0,0,0,3,5,0,0,3,3,0,14,0,0,0,4,3,7,14,9,0,4,0,10,51,3,0,0,0,3,3,3,6,0,0,0,6
101041025,13,8,0,6,0,87,0,0,0,6,7,22,36,28,15,9,17,3,143,0,0,3,0,0,4,11,8,3,0,0,3,32,0,0,3,5,19,13,23,9,5,8,0,3,88,0,0,0,24,34,25,22,12,5,3,0,3,128,0,0,0,3,4,3,3,3,3,0,3,3,25,0,0,0,0,0,3,6,0,0,0,0,0,9,13,25,17,203,171,174,115,38,17,8,9,13,803,0,0,0,5,5,0,0,0,0,0,0,86,96,16,25,26,253,247,286,276,151,81,38,60,117,1576,0,3,0,0,5,4,26,29,41,16,37,15,176,0,3,0,3,0,6,18,7,3,4,4,9,57,0,0,0,3,8,17,57,61,46,24,26,22,264,0,0,0,0,0,0,12,4,13,4,4,0,37,0,0,0,3,15,16,39,25,3,13,5,4,123,0,0,0,0,5,13,6,4,3,0,0,3
101041026,7,5,0,3,0,47,0,0,0,9,4,15,33,11,18,7,5,5,107,0,3,0,0,3,0,4,0,8,3,3,0,24,0,0,3,3,8,18,19,10,3,8,3,5,80,0,0,3,23,25,13,22,3,4,0,0,0,93,0,0,0,0,0,3,5,3,0,0,0,0,11,0,0,0,3,0,3,0,3,0,0,0,0,9,5,16,10,240,90,120,67,27,10,3,8,24,620,0,0,0,6,0,0,0,4,0,0,0,80,90,8,19,16,289,138,191,180,93,65,24,35,114,1172,0,0,0,0,0,4,12,24,15,11,11,13,90,0,0,0,3,4,11,18,9,3,0,3,3,54,0,0,0,3,4,11,60,49,36,4,9,20,196,0,0,0,0,0,0,0,7,6,3,4,0,20,0,0,0,0,4,14,40,23,3,7,3,8,102,0,0,0,6,17,9,14,7,3,0,3,0
