SA4_CODE_2021,C11_F_CL_Tot_15_19,C11_F_CL_Tot_20_24,C11_F_CL_Tot_25_34,C11_F_CL_Tot_35_44,C11_F_CL_Tot_45_54,C11_F_CL_Tot_55_64,C11_F_CL_Tot_65_74,C11_F_CL_Tot_75_84,C11_F_CL_Tot_85over,C11_F_CL_Tot_Tot,C11_F_LE_ID_15_19,C11_F_LE_ID_20_24,C11_F_LE_ID_25_34,C11_F_LE_ID_35_44,C11_F_LE_ID_45_54,C11_F_LE_ID_55_64,C11_F_LE_ID_65_74,C11_F_LE_ID_75_84,C11_F_LE_ID_85over,C11_F_LE_ID_Tot,C11_F_LE_NS_15_19,C11_F_LE_NS_20_24,C11_F_LE_NS_25_34,C11_F_LE_NS_35_44,C11_F_LE_NS_45_54,C11_F_LE_NS_55_64,C11_F_LE_NS_65_74,C11_F_LE_NS_75_84,C11_F_LE_NS_85over,C11_F_LE_NS_Tot,C11_F_Tot_15_19_yrs,C11_F_Tot_20_24_yrs,C11_F_Tot_25_34_yrs,C11_F_Tot_35_44_yrs,C11_F_Tot_45_54_yrs,C11_F_Tot_55_64_yrs,C11_F_Tot_65_74_yrs,C11_F_Tot_75_84_yrs,C11_F_Tot_85over,C11_F_Tot_Tot,C16_F_Post_Deg_15_19_yrs,C16_F_Post_Deg_20_24_yrs,C16_F_Post_Deg_25_34_yrs,C16_F_Post_Deg_35_44_yrs,C16_F_Post_Deg_45_54_yrs,C16_F_Post_Deg_55_64_yrs,C16_F_Post_Deg_65_74_yrs,C16_F_Post_Deg_75_84_yrs,C16_F_Post_Deg_85over,C16_F_Post_Deg_Tot,C16_F_GrDip_GrCe_15_19,C16_F_GrDip_GrCe_20_24,C16_F_GrDip_GrCe_25_34,C16_F_GrDip_GrCe_35_44,C16_F_GrDip_GrCe_45_54,C16_F_GrDip_GrCe_55_64,C16_F_GrDip_GrCe_65_74,C16_F_GrDip_GrCe_75_84,C16_F_GrDip_GrCe_85over,C16_F_GrDip_GrCe_Tot,C16_F_BD_15_19,C16_F_BD_20_24,C16_F_BD_25_34,C16_F_BD_35_44,C16_F_BD_45_54,C16_F_BD_55_64,C16_F_BD_65_74,C16_F_BD_75_84,C16_F_BD_85over,C16_F_BD_Tot,C16_F_AdD_DL_15_19,C16_F_AdD_DL_20_24,C16_F_AdD_DL_25_34,C16_F_AdD_DL_35_44,C16_F_AdD_DL_45_54,C16_F_AdD_DL_55_64,C16_F_AdD_DL_65_74,C16_F_AdD_DL_75_84,C16_F_AdD_DL_85over,C16_F_AdD_DL_Tot,C16_F_CL_C_III_IV_15_19,C16_F_CL_C_III_IV_20_24,C16_F_CL_C_III_IV_25_34,C16_F_CL_C_III_IV_35_44,C16_F_CL_C_III_IV_45_54,C16_F_CL_C_III_IV_55_64,C16_F_CL_C_III_IV_65_74,C16_F_CL_C_III_IV_75_84,C16_F_CL_C_III_IV_85over,C16_F_CL_C_III_IV_Tot,C16_F_CL_C_I_II_15_19,C16_F_CL_C_I_II_20_24,C16_F_CL_C_I_II_25_34,C16_F_CL_C_I_II_35_44,C16_F_CL_C_I_II_45_54,C16_F_CL_C_I_II_55_64,C16_F_CL_C_I_II_65_74,C16_F_CL_C_I_II_75_84,C16_F_CL_C_I_II_85over,C16_F_CL_C_I_II_Tot,C16_F_CL_CL_nfd_15_19,C16_F_CL_CL_nfd_20_24,C16_F_CL_CL_nfd_25_34,C16_F_CL_CL_nfd_35_44,C16_F_CL_CL_nfd_45_54,C16_F_CL_CL_nfd_55_64,C16_F_CL_CL_nfd_65_74,C16_F_CL_CL_nfd_75_84,C16_F_CL_CL_nfd_85over,C16_F_CL_CL_nfd_Tot,C16_F_CL_Tot_15_19,C16_F_CL_Tot_20_24,C16_F_CL_Tot_25_34,C16_F_CL_Tot_35_44,C16_F_CL_Tot_45_54,C16_F_CL_Tot_55_64,C16_F_CL_Tot_65_74,C16_F_CL_Tot_75_84,C16_F_CL_Tot_85over,C16_F_CL_Tot_Tot,C16_F_LE_ID_15_19,C16_F_LE_ID_20_24,C16_F_LE_ID_25_34,C16_F_LE_ID_35_44,C16_F_LE_ID_45_54,C16_F_LE_ID_55_64,C16_F_LE_ID_65_74,C16_F_LE_ID_75_84,C16_F_LE_ID_85over,C16_F_LE_ID_Tot,C16_F_LE_NS_15_19,C16_F_LE_NS_20_24,C16_F_LE_NS_25_34,C16_F_LE_NS_35_44,C16_F_LE_NS_45_54,C16_F_LE_NS_55_64,C16_F_LE_NS_65_74,C16_F_LE_NS_75_84,C16_F_LE_NS_85over,C16_F_LE_NS_Tot,C16_F_Tot_15_19_yrs,C16_F_Tot_20_24_yrs,C16_F_Tot_25_34_yrs,C16_F_Tot_35_44_yrs,C16_F_Tot_45_54_yrs,C16_F_Tot_55_64_yrs,C16_F_Tot_65_74_yrs,C16_F_Tot_75_84_yrs,C16_F_Tot_85over,C16_F_Tot_Tot,C21_F_Post_Deg_15_19_yrs,C21_F_Post_Deg_20_24_yrs,C21_F_Post_Deg_25_34_yrs,C21_F_Post_Deg_35_44_yrs,C21_F_Post_Deg_45_54_yrs,C21_F_Post_Deg_55_64_yrs,C21_F_Post_Deg_65_74_yrs,C21_F_Post_Deg_75_84_yrs,C21_F_Post_Deg_85over,C21_F_Post_Deg_Tot,C21_F_GrDip_GrCe_15_19,C21_F_GrDip_GrCe_20_24,C21_F_GrDip_GrCe_25_34,C21_F_GrDip_GrCe_35_44,C21_F_GrDip_GrCe_45_54,C21_F_GrDip_GrCe_55_64,C21_F_GrDip_GrCe_65_74,C21_F_GrDip_GrCe_75_84,C21_F_GrDip_GrCe_85over,C21_F_GrDip_GrCe_Tot,C21_F_BD_15_19,C21_F_BD_20_24,C21_F_BD_25_34,C21_F_BD_35_44,C21_F_BD_45_54,C21_F_BD_55_64,C21_F_BD_65_74,C21_F_BD_75_84,C21_F_BD_85over,C21_F_BD_Tot,C21_F_AdD_DL_15_19,C21_F_AdD_DL_20_24,C21_F_AdD_DL_25_34,C21_F_AdD_DL_35_44,C21_F_AdD_DL_45_54,C21_F_AdD_DL_55_64,C21_F_AdD_DL_65_74,C21_F_AdD_DL_75_84,C21_F_AdD_DL_85over,C21_F_AdD_DL_Tot,C21_F_CL_C_III_IV_15_19,C21_F_CL_C_III_IV_20_24,C21_F_CL_C_III_IV_25_34,C21_F_CL_C_III_IV_35_44,C21_F_CL_C_III_IV_45_54,C21_F_CL_C_III_IV_55_64,C21_F_CL_C_III_IV_65_74,C21_F_CL_C_III_IV_75_84,C21_F_CL_C_III_IV_85over,C21_F_CL_C_III_IV_Tot
101,353,1157,2434,2880,2801,1944,722,219,96,12616,18,52,99,230,370,393,246,100,55,1560,651,333,739,968,1182,1372,1463,1409,766,8887,1051,2225,6880,9137,9244,7984,4456,2357,1107,44447,0,13,456,656,730,652,334,61,13,2928,0,37,308,488,528,661,328,61,4,2410,0,494,2308,2635,2430,2177,1273,423,115,11855,32,349,1294,1701,2098,2074,1279,462,142,9423,245,948,2173,2182,2300,1751,707,188,65,10556,110,202,263,252,311,290,165,29,15,1638,40,112,222,361,605,701,545,178,63,2834,394,1263,2656,2802,3217,2738,1417,400,141,15030,5,25,57,66,122,184,172,89,33,758,750,453,963,1069,1453,1700,1899,1548,1037,10859,1176,2626,8037,9421,10580,10189,6703,3040,1482,53260,0,28,935,1154,1055,884,645,155,20,4880,0,50,413,675,682,737,556,137,24,3272,0,552,3245,3184,2910,2571,1901,694,167,15229,21,327,1476,1908,2348,2391,1757,677,172,11083,268,1077,2762,2515,2688,2489,1207,294,72,13377
102,768,2238,4454,4590,4436,2755,1175,533,208,21170,45,88,175,308,505,465,331,203,92,2204,974,572,988,1468,1839,1995,2524,2809,1906,15070,1847,4288,11245,13364,12817,9805,6291,4565,2418,66633,3,27,608,824,748,628,314,69,24,3240,3,42,358,492,498,583,286,81,15,2350,9,830,3852,4055,2967,2524,1410,542,136,16324,122,759,2478,3132,3255,2707,1741,684,209,15092,514,1868,3993,3776,3807,2665,1178,349,141,18295,199,286,357,444,462,426,231,49,26,2478,88,202,391,584,887,1012,836,322,122,4449,799,2356,4745,4799,5156,4107,2245,725,290,25217,9,36,118,143,239,356,381,171,87,1538,766,627,1122,1301,1662,1911,2478,2463,1954,14280,1712,4682,13271,14745,14515,12810,8862,4737,2719,78044,0,44,1048,1425,1107,888,628,162,25,5324,0,117,505,713,693,680,553,138,22,3425,5,1021,4821,5359,4047,2931,2203,794,206,21385,70,728,2577,3127,3758,3174,2347,1030,225,17041,492,1883,4252,4351,4240,3843,1717,536,173,21493
103,451,1403,2743,2821,2552,1589,575,208,77,12408,19,60,91,203,384,383,219,114,51,1526,699,375,649,931,1060,1286,1382,1272,631,8279,1209,2624,6817,7752,7464,6215,3558,2155,902,38699,0,13,357,448,361,349,164,37,6,1731,0,33,241,328,318,383,197,43,16,1557,4,514,2508,2379,1766,1458,847,304,105,9884,52,309,1169,1378,1571,1606,993,411,140,7616,304,1189,2399,2170,2163,1347,569,151,72,10360,144,218,309,306,332,268,146,47,12,1787,60,137,263,360,566,595,418,137,51,2592,507,1547,2978,2838,3057,2204,1134,337,137,14741,11,28,47,64,109,176,159,66,42,702,860,575,973,1105,1442,1569,1796,1479,743,10554,1424,3020,8281,8549,8623,7747,5288,2681,1176,46788,0,39,632,666,560,453,305,80,7,2744,0,52,333,396,441,408,298,89,20,2038,0,555,2952,2779,2274,1680,1267,466,123,12086,34,294,1253,1457,1745,1729,1246,589,165,8518,274,1262,2990,2595,2516,2038,909,231,67,12890
104,290,841,1572,1860,2257,1441,474,175,62,8975,15,13,59,144,244,264,179,83,35,1038,403,189,375,540,720,847,1007,994,669,5747,736,1464,3781,5133,6018,5033,2741,1634,863,27390,0,15,168,237,250,263,160,36,3,1125,0,11,115,195,246,324,130,35,4,1061,0,240,1270,1589,1286,1405,719,237,86,6830,25,204,790,965,1342,1418,826,298,84,5944,188,669,1383,1470,1649,1378,472,131,71,7402,92,127,193,196,214,236,134,18,3,1212,31,80,168,243,369,493,375,136,54,1942,307,874,1742,1905,2226,2109,984,279,124,10556,11,12,41,47,80,127,141,60,27,544,449,261,536,621,878,1095,1179,1120,745,6880,794,1608,4666,5560,6295,6738,4140,2066,1071,32942,0,10,294,423,413,360,266,87,9,1864,0,22,197,266,331,368,342,73,9,1615,0,251,1633,1886,1699,1394,1173,382,72,8490,13,162,831,1076,1397,1550,1184,471,125,6817,180,769,1750,1740,1858,1804,882,220,43,9253
105,243,815,1490,1530,1483,879,273,91,29,6837,12,25,55,96,192,202,96,57,22,751,476,260,489,637,757,767,895,850,426,5557,727,1563,4029,4212,4233,3149,1823,1204,528,21471,0,13,245,190,166,135,43,12,3,799,0,14,145,150,158,170,57,9,0,702,3,291,1504,1178,873,695,343,120,47,5058,20,183,672,663,847,764,359,166,41,3723,126,631,1320,1163,1150,810,298,63,23,5581,61,116,192,169,198,142,69,18,3,969,32,67,135,158,236,291,157,60,20,1162,222,815,1651,1489,1584,1240,532,141,45,7716,5,10,37,29,58,91,62,32,11,328,443,380,812,715,920,1008,1001,885,476,6634,684,1689,5065,4417,4605,4095,2401,1362,623,24954,0,23,490,329,189,162,68,19,7,1281,0,16,189,201,199,205,113,28,4,949,3,324,1797,1369,997,749,490,184,48,5964,3,153,703,712,817,835,478,212,64,3980,142,526,1485,1255,1226,1082,502,116,11,6346
106,584,1954,3905,3893,3316,1903,712,275,87,16627,12,67,125,206,375,390,242,114,43,1582,822,415,801,1164,1301,1548,1516,1444,738,9754,1475,3401,8832,9671,8818,6956,3865,2300,980,46290,0,22,404,446,373,349,161,32,9,1793,0,24,234,333,345,395,158,31,7,1521,4,528,2594,2542,1743,1627,925,323,92,10376,79,528,1820,2086,2154,1907,1081,383,105,10135,404,1819,4048,3409,3100,1860,758,176,73,15652,191,323,496,431,404,326,152,27,3,2352,56,193,364,455,750,709,549,159,55,3286,650,2337,4908,4297,4249,2895,1463,363,133,21291,9,34,89,106,156,214,178,71,48,912,772,545,1253,1187,1441,1716,1931,1526,935,11311,1518,4009,11299,10998,10459,9104,5900,2725,1327,57335,0,19,558,764,588,537,313,88,19,2882,5,79,404,455,449,432,381,80,15,2299,4,611,3322,3355,2470,1816,1449,515,127,13657,63,524,2215,2406,2528,2289,1634,605,122,12383,489,1990,5227,4452,4063,3203,1303,337,70,21142
107,587,1993,3871,3830,3666,1966,810,366,118,17217,33,90,141,277,422,370,279,142,54,1799,763,573,900,1119,1413,1578,1614,1842,868,10667,1472,4810,11688,12200,11410,8200,4397,2939,1202,58322,0,85,1244,1304,1022,839,378,81,12,4958,6,81,614,611,539,637,251,70,11,2808,4,1499,4507,4101,2678,2200,1105,367,106,16566,112,870,2310,2659,2672,2238,1237,443,122,12656,391,1689,3507,2944,3069,1909,670,221,105,14498,142,270,305,409,407,341,156,43,19,2097,75,207,338,601,880,913,606,260,92,3973,608,2170,4146,3953,4357,3161,1436,522,220,20571,12,59,127,145,192,273,252,131,53,1236,682,632,1115,1071,1326,1574,1765,1661,1140,10961,1426,5389,14058,13846,12776,10924,6420,3269,1657,69763,0,110,1966,1931,1432,1107,731,159,18,7460,5,105,777,839,716,674,575,139,20,3837,6,1818,5936,5071,3673,2555,1739,627,149,21587,102,808,2434,2808,3008,2591,1783,638,197,14365,422,1849,3827,3603,3491,2804,1162,353,107,17609
108,423,1167,2370,2866,3513,2236,982,383,130,14062,14,33,84,177,365,427,325,164,54,1628,641,279,454,836,1147,1475,1889,2029,1309,10057,1107,1936,5016,7238,8751,7583,5135,3325,1651,41750,0,7,223,310,306,338,194,43,4,1425,0,19,162,232,320,460,227,74,10,1497,3,271,1466,1843,1605,1769,1173,422,118,8669,49,289,995,1472,1937,2189,1421,587,156,9093,269,986,2109,2239,2605,2194,905,267,106,11691,107,185,285,290,361,372,241,42,14,1898,55,114,250,364,616,822,736,269,93,3324,431,1289,2644,2896,3587,3384,1879,583,214,16913,4,12,32,64,126,238,273,136,51,938,691,378,754,847,1285,1771,2381,2039,1439,11585,1185,2262,6274,7671,9164,10149,7544,3883,1986,50119,0,14,420,548,507,504,393,95,15,2496,0,29,234,333,423,476,440,139,16,2091,0,362,2098,2261,2200,2091,1790,686,182,11668,31,282,1031,1587,2013,2488,2016,859,213,10514,320,1095,2661,2611,2991,3220,1619,458,120,15095
109,252,777,1432,1513,1441,972,306,129,42,6858,9,26,58,98,181,182,117,43,30,742,367,193,328,473,641,717,857,876,576,5044,654,1469,3966,4241,4351,3403,2027,1297,714,22124,0,21,206,240,210,154,63,17,5,919,3,13,188,205,224,238,88,4,6,972,0,304,1424,1373,932,790,464,169,37,5486,25,216,791,774,955,927,511,209,58,4466,169,672,1306,1193,1218,960,378,101,31,6037,45,103,172,173,158,162,63,21,4,904,24,78,132,170,259,267,188,77,14,1211,239,855,1612,1540,1638,1384,638,194,56,8151,0,7,25,34,59,71,81,52,20,359,380,312,574,601,735,979,1048,989,522,6142,652,1726,4824,4779,4744,4546,2890,1628,704,26490,0,16,394,355,250,233,120,35,3,1407,3,36,212,299,301,267,190,39,4,1351,0,305,1657,1739,1200,970,670,272,53,6859,18,207,734,912,1029,1075,720,330,84,5100,106,653,1583,1357,1462,1309,706,167,46,7379
110,442,1212,2332,2364,2369,1558,517,165,54,11006,26,52,86,149,322,341,249,93,37,1353,668,394,645,888,1017,1110,1256,1214,644,7839,1150,2385,5966,6845,7052,5636,3319,1934,872,35165,4,14,372,429,414,342,159,42,11,1781,0,20,225,287,310,343,136,36,6,1373,0,471,2131,2001,1481,1303,811,286,93,8578,40,274,976,1195,1471,1442,837,334,99,6665,311,978,2036,1798,1844,1361,522,104,32,8985,91,189,254,244,265,254,147,41,3,1490,44,120,211,311,474,514,373,111,40,2194,449,1290,2500,2348,2582,2121,1041,252,79,12672,9,29,72,49,89,126,151,78,44,640,747,570,1002,1014,1354,1525,1606,1317,734,9873,1251,2660,7281,7325,7702,7205,4745,2350,1059,41586,0,27,643,645,506,402,259,98,13,2591,0,37,274,366,360,344,288,76,9,1760,5,515,2416,2174,1773,1424,1023,448,143,9911,32,210,996,1170,1412,1554,1054,479,131,7035,293,1036,2378,2174,2010,1832,849,205,37,10818
