SA4_CODE_2021,C11_CFC_SMS_MRM_NDC_UR_1,C11_CFC_SMS_MRM_NDC_UR_2,C11_CFC_SMS_MRM_NDC_UR_3,C11_CFC_SMS_MRM_NDC_UR_4mo,C11_CFC_SMS_MRM_NDC_UR_Total,C11_CFC_SMS_M_DfM_NDC_UR_1,C11_CFC_SMS_M_DfM_NDC_UR_2,C11_CFC_SMS_M_DfM_NDC_UR_3,C11_CFC_SMS_M_DfM_NDC_UR_4mo,C11_CFC_SMS_M_DfM_NDC_UR_Tot,C11_CFC_SMS_Tot_NDC_UR_1,C11_CFC_SMS_Tot_NDC_UR_2,C11_CFC_SMS_Tot_NDC_UR_3,C11_CFC_SMS_Tot_NDC_UR_4mo,C11_CFC_SMS_Tot_NDC_UR_Tot,C11_1PF_NDC_UR_1,C11_1PF_NDC_UR_2,C11_1PF_NDC_UR_3,C11_1PF_NDC_UR_4mo,C11_1PF_NDC_UR_Tot,C11_Tot_NDC_UR_1,C11_Tot_NDC_UR_2,C11_Tot_NDC_UR_3,C11_Tot_NDC_UR_4mo,C11_Tot_NDC_UR_Tot,C16_CFC_SMS_MRM_NDC_UR_1,C16_CFC_SMS_MRM_NDC_UR_2,C16_CFC_SMS_MRM_NDC_UR_3,C16_CFC_SMS_MRM_NDC_UR_4mo,C16_CFC_SMS_MRM_NDC_UR_Tot,C16_CFC_SMS_M_DfM_NDC_UR_1,C16_CFC_SMS_M_DfM_NDC_UR_2,C16_CFC_SMS_M_DfM_NDC_UR_3,C16_CFC_SMS_M_DfM_NDC_UR_4mo,C16_CFC_SMS_M_DfM_NDC_UR_Tot,C16_CFC_SMS_Tot_NDC_UR_1,C16_CFC_SMS_Tot_NDC_UR_2,C16_CFC_SMS_Tot_NDC_UR_3,C16_CFC_SMS_Tot_NDC_UR_4mo,C16_CFC_SMS_Tot_NDC_UR_Tot,C16_1PF_NDC_UR_1,C16_1PF_NDC_UR_2,C16_1PF_NDC_UR_3,C16_1PF_NDC_UR_4mo,C16_1PF_NDC_UR_Tot,C16_Tot_NDC_UR_1,C16_Tot_NDC_UR_2,C16_Tot_NDC_UR_3,C16_Tot_NDC_UR_4mo,C16_Tot_NDC_UR_Tot,C21_CFC_SMS_MRM_NDC_UR_1,C21_CFC_SMS_MRM_NDC_UR_2,C21_CFC_SMS_MRM_NDC_UR_3,C21_CFC_SMS_MRM_NDC_UR_4mo,C21_CFC_SMS_MRM_NDC_UR_Tot,C21_CFC_SMS_M_DfM_NDC_UR_1,C21_CFC_SMS_M_DfM_NDC_UR_2,C21_CFC_SMS_M_DfM_NDC_UR_3,C21_CFC_SMS_M_DfM_NDC_UR_4mo,C21_CFC_SMS_M_DfM_NDC_UR_Tot,C21_CFC_SMS_Tot_NDC_UR_1,C21_CFC_SMS_Tot_NDC_UR_2,C21_CFC_SMS_Tot_NDC_UR_3,C21_CFC_SMS_Tot_NDC_UR_4mo,C21_CFC_SMS_Tot_NDC_UR_Tot,C21_1PF_NDC_UR_1,C21_1PF_NDC_UR_2,C21_1PF_NDC_UR_3,C21_1PF_NDC_UR_4mo,C21_1PF_NDC_UR_Tot,C21_Tot_NDC_UR_1,C21_Tot_NDC_UR_2,C21_Tot_NDC_UR_3,C21_Tot_NDC_UR_4mo,C21_Tot_NDC_UR_Tot
101,4852,6522,2786,947,15101,1432,1245,486,223,3388,6283,7766,3268,1170,18489,2960,1906,697,275,5843,9249,9671,3963,1445,24334,4733,6236,2734,876,14575,1529,1313,509,216,3576,6262,7555,3242,1092,18154,2801,1806,675,292,5575,9061,9361,3920,1382,23728,5148,6835,2714,827,15522,1810,1647,588,237,4282,6960,8482,3300,1062,19806,2911,1916,729,267,5822,9867,10403,4027,1333,25623
102,7409,10544,4207,1315,23478,2037,1747,665,280,4730,9450,12290,4877,1592,28205,5567,3620,1317,483,10990,15022,15909,6189,2072,39194,7533,10543,4122,1199,23399,2261,2054,730,292,5339,9799,12600,4852,1493,28745,5293,3519,1267,421,10496,15085,16120,6121,1916,39239,7719,11052,4081,1067,23914,2750,2375,760,307,6192,10468,13422,4839,1378,30111,5491,3873,1316,415,11089,15957,17299,6158,1793,41202
103,4240,5835,3109,1133,14315,1312,1166,538,280,3297,5547,7002,3654,1416,17613,2844,1848,782,387,5869,8395,8856,4436,1801,23483,4156,5689,2889,1043,13786,1333,1283,567,253,3434,5486,6973,3458,1301,17219,2854,1915,849,358,5971,8339,8891,4307,1660,23195,4052,5807,2860,952,13671,1588,1467,653,295,3997,5642,7273,3505,1247,17675,2826,2078,856,385,6154,8471,9355,4368,1636,23822
104,2762,3512,1552,551,8372,862,838,332,166,2198,3626,4344,1881,720,10570,2430,1617,573,263,4883,6056,5965,2453,979,15451,2469,3359,1461,487,7775,922,879,359,135,2296,3385,4237,1821,625,10071,2231,1508,527,246,4514,5618,5748,2355,871,14588,2475,3544,1492,496,8015,1084,1022,355,150,2612,3559,4566,1851,651,10621,2237,1568,567,222,4595,5793,6130,2419,875,15216
105,2161,2923,1513,599,7195,832,712,374,199,2117,2990,3634,1885,795,9308,1965,1279,565,363,4171,4959,4912,2447,1157,13483,2009,2582,1335,543,6466,829,682,343,177,2034,2843,3268,1678,721,8503,1793,1274,601,302,3967,4630,4544,2280,1022,12476,2051,2580,1304,476,6422,875,753,341,187,2162,2931,3338,1650,667,8579,1731,1210,527,248,3714,4663,4545,2174,912,12292
106,5939,8347,3507,1189,18977,1744,1558,654,300,4257,7683,9909,4156,1489,23231,3824,2545,967,411,7750,11508,12453,5129,1900,30985,5954,8311,3459,1129,18853,1960,1831,690,314,4789,7916,10138,4147,1441,23640,3916,2801,1113,488,8314,11830,12944,5252,1930,31956,6414,8823,3611,1044,19889,2556,2196,886,374,6015,8964,11020,4493,1426,25903,4335,3182,1304,495,9309,13303,14196,5797,1919,35213
107,7304,10691,3932,1168,23099,1532,1222,463,178,3392,8835,11914,4398,1350,26495,4295,2855,948,376,8469,13130,14767,5343,1722,34961,7444,10872,3917,1154,23391,1778,1476,506,194,3954,9222,12352,4423,1346,27347,4249,2880,919,320,8375,13473,15234,5345,1667,35718,7578,11211,4007,1038,23842,2195,1935,648,224,5010,9778,13150,4661,1260,28846,4284,2978,950,328,8549,14058,16127,5617,1590,37397
108,3728,4969,2307,803,11813,1224,1050,478,245,2997,4950,6023,2788,1051,14810,3436,2319,857,461,7072,8384,8337,3648,1509,21881,3410,4813,2139,710,11070,1228,1215,497,227,3166,4630,6031,2641,938,14231,3283,2177,868,436,6772,7917,8206,3511,1373,21001,3673,4939,2033,631,11278,1477,1424,540,283,3719,5147,6367,2575,908,15000,3287,2270,902,386,6851,8437,8642,3479,1293,21849
109,2443,3355,1637,610,8044,676,548,221,115,1561,3122,3907,1859,728,9603,1583,1020,413,163,3183,4701,4924,2272,889,12791,2374,3225,1607,550,7749,711,640,257,102,1706,3081,3863,1863,648,9459,1532,998,402,160,3087,4612,4862,2269,808,12543,2365,3300,1617,488,7759,884,775,333,114,2104,3243,4076,1950,602,9872,1631,1101,423,168,3320,4872,5179,2369,771,13191
110,3685,5057,2541,853,12143,1160,983,463,268,2879,4849,6040,3005,1122,15015,2707,1781,795,441,5727,7553,7818,3805,1563,20744,3386,4813,2373,763,11338,1170,1006,478,232,2883,4554,5823,2853,995,14224,2696,1755,814,403,5666,7256,7574,3666,1394,19888,3401,4498,2224,720,10835,1334,1167,530,249,3280,4738,5668,2753,961,14115,2543,1835,843,376,5598,7280,7498,3598,1341,19715
