SA4_CODE_2021,C11_Neg_Ni_inc_CF_1C,C11_Neg_Ni_inc_CF_2C,C11_Neg_Ni_inc_CF_3C,C11_Neg_Ni_inc_Cou_fa_4mor_c,C11_Neg_Ni_inc_Tot,C11_1_149_CF_1C,C11_1_149_CF_2C,C11_1_149_CF_3C,C11_1_149_CF_4mC,C11_1_149_Tot,C11_150_299_CF_1C,C11_150_299_CF_2C,C11_150_299_CF_3C,C11_150_299_CF_4mC,C11_150_299_Tot,C11_300_399_CF_1C,C11_300_399_CF_2C,C11_300_399_CF_3C,C11_300_399_CF_4mC,C11_300_399_Tot,C11_400_499_CF_1C,C11_400_499_CF_2C,C11_400_499_CF_3C,C11_400_499_CF_4mC,C11_400_499_Tot,C11_500_649_CF_1C,C11_500_649_CF_2C,C11_500_649_CF_3C,C11_500_649_CF_4mC,C11_500_649_Tot,C11_650_799_CF_1C,C11_650_799_CF_2C,C11_650_799_CF_3C,C11_650_799_CF_4mC,C11_650_799_Tot,C11_800_999_CF_1C,C11_800_999_CF_2C,C11_800_999_CF_3C,C11_800_999_CF_4mC,C11_800_999_Tot,C11_1000_1499_CF_1C,C11_1000_1499_CF_2C,C11_1000_1499_CF_3C,C11_1000_1499_CF_4mC,C11_1000_1499_Tot,C11_1500_1999_CF_1C,C11_1500_1999_CF_2C,C11_1500_1999_CF_3C,C11_1500_1999_CF_4mC,C11_1500_1999_Tot,C11_2000_2499_CF_1C,C11_2000_2499_CF_2C,C11_2000_2499_CF_3C,C11_2000_2499_CF_4mC,C11_2000_2499_Tot,C11_2500_2999_CF_1C,C11_2500_2999_CF_2C,C11_2500_2999_CF_3C,C11_2500_2999_CF_4mC,C11_2500_2999_Tot,C11_3000_3999_CF_1C,C11_3000_3999_CF_2C,C11_3000_3999_CF_3C,C11_3000_3999_CF_4mC,C11_3000_3999_Tot,C11_4000more_CF_1C,C11_4000more_CF_2C,C11_4000more_CF_3C,C11_4000more_Cou_fa_4mo_ch,C11_4000more_Tot,C11_Par_inc_st_CF_1C,C11_Par_inc_st_CF_2C,C11_Par_inc_st_CF_3C,C11_Par_inc_st_CF_4mC,C11_Par_inc_st_Tot,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_Tot,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_Tot,C16_Neg_Ni_inc_CF_1C,C16_Neg_Ni_inc_CF_2C,C16_Neg_Ni_inc_CF_3C,C16_Neg_Ni_inc_Cou_fa_4mor_c,C16_Neg_Ni_inc_Tot,C16_1_149_CF_1C,C16_1_149_CF_2C,C16_1_149_CF_3C,C16_1_149_CF_4mC,C16_1_149_Tot,C16_150_299_CF_1C,C16_150_299_CF_2C,C16_150_299_CF_3C,C16_150_299_CF_4mC,C16_150_299_Tot,C16_300_399_CF_1C,C16_300_399_CF_2C,C16_300_399_CF_3C,C16_300_399_CF_4mC,C16_300_399_Tot,C16_400_499_CF_1C,C16_400_499_CF_2C,C16_400_499_CF_3C,C16_400_499_CF_4mC,C16_400_499_Tot,C16_500_649_CF_1C,C16_500_649_CF_2C,C16_500_649_CF_3C,C16_500_649_CF_4mC,C16_500_649_Tot,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_Tot,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_Tot,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_Tot,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_Tot,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_Tot,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_Tot,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_Tot,C16_4000more_CF_1C,C16_4000more_CF_2C,C16_4000more_CF_3C,C16_4000more_Cou_fa_4mo_ch,C16_4000more_Tot,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_Tot,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_Tot,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_Tot,C21_Neg_Ni_inc_CF_1C,C21_Neg_Ni_inc_CF_2C,C21_Neg_Ni_inc_CF_3C,C21_Neg_Ni_inc_Cou_fa_4mor_c,C21_Neg_Ni_inc_Tot,C21_1_149_CF_1C,C21_1_149_CF_2C,C21_1_149_CF_3C,C21_1_149_CF_4mC,C21_1_149_Tot,C21_150_299_CF_1C,C21_150_299_CF_2C,C21_150_299_CF_3C,C21_150_299_CF_4mC,C21_150_299_Tot,C21_300_399_CF_1C,C21_300_399_CF_2C,C21_300_399_CF_3C,C21_300_399_CF_4mC,C21_300_399_Tot,C21_400_499_CF_1C,C21_400_499_CF_2C,C21_400_499_CF_3C,C21_400_499_CF_4mC,C21_400_499_Tot,C21_500_649_CF_1C,C21_500_649_CF_2C,C21_500_649_CF_3C,C21_500_649_CF_4mC,C21_500_649_Tot
101,34,34,11,7,80,20,17,4,0,37,52,44,21,4,120,36,40,15,6,95,72,48,22,7,156,225,161,68,45,506,343,256,137,51,784,477,470,234,95,1282,1457,1408,658,279,3800,1178,1354,600,212,3355,1010,1247,489,179,2924,664,905,371,115,2058,843,1083,393,109,2430,411,563,248,76,1295,1065,1180,600,253,3103,106,106,46,18,281,8005,8931,3904,1466,22301,26,26,12,3,71,12,18,0,0,37,27,18,8,0,57,21,6,3,8,37,63,55,28,14,161,94,87,41,14,231,211,128,53,34,428,339,275,111,66,784,1271,1080,480,230,3055,1158,1252,540,218,3168,1145,1249,582,160,3137,921,1033,367,103,2415,1003,1316,498,137,2954,815,1183,493,139,2636,1060,1154,581,245,3043,76,74,43,14,210,8236,8957,3837,1384,22416,24,27,7,4,62,9,6,6,0,21,25,5,3,0,41,10,7,5,0,18,35,34,9,10,80,60,38,13,9,117
102,58,34,12,5,112,22,22,9,0,53,68,49,23,11,152,53,45,19,5,120,80,69,26,11,184,326,168,101,40,634,512,387,155,57,1108,632,701,266,116,1719,2365,2517,1144,405,6434,2047,2656,1061,368,6125,1718,2132,802,252,4900,1104,1725,694,209,3733,1104,1612,615,156,3489,366,519,201,79,1164,1391,1871,863,397,4528,183,198,71,36,480,12024,14710,6063,2146,34940,36,33,15,8,83,27,18,3,6,60,28,30,9,5,76,31,17,8,0,49,87,48,28,13,179,118,101,44,23,283,265,203,69,33,578,536,396,144,63,1142,1980,1879,753,284,4898,2172,2379,1005,338,5893,2095,2593,1004,291,5979,1415,2058,729,232,4428,1523,2134,770,222,4642,899,1474,648,205,3225,1475,1771,888,317,4446,143,125,64,13,345,12829,15262,6171,2048,36311,54,28,14,0,100,9,7,7,3,24,23,3,0,0,32,24,9,0,0,36,56,36,10,4,106,84,41,24,9,163
103,29,29,17,10,87,8,14,13,0,39,48,31,23,16,123,39,32,22,9,106,53,41,17,12,130,233,181,97,55,566,312,257,141,58,762,432,438,239,115,1230,1426,1344,730,318,3820,1168,1327,699,295,3491,887,1077,492,190,2649,595,902,442,147,2089,667,858,435,128,2080,215,287,131,63,705,943,1034,651,282,2909,111,121,60,39,335,7180,7982,4208,1739,21111,25,22,12,13,69,19,3,3,6,30,27,21,12,6,64,17,13,7,0,43,79,50,24,21,177,107,77,41,20,241,235,149,65,35,489,323,252,135,88,802,1227,1094,561,255,3143,1128,1217,594,253,3183,1090,1262,597,236,3188,752,1015,434,139,2344,790,1068,485,131,2472,484,741,396,99,1711,877,1047,598,266,2788,95,80,36,16,222,7284,8103,4005,1585,20981,29,26,8,0,64,8,10,6,0,24,15,11,6,0,31,17,3,0,3,29,29,22,9,3,72,43,36,21,11,112
104,30,19,7,0,55,16,3,4,0,28,41,31,13,3,82,36,25,10,8,67,58,33,14,11,116,226,180,68,43,520,329,247,121,50,742,415,415,187,85,1093,1057,1096,474,212,2846,758,905,395,146,2198,505,603,263,71,1447,242,387,138,42,809,222,296,121,31,681,78,84,44,13,216,645,688,297,141,1775,65,58,23,20,171,4720,5075,2181,869,12852,29,23,9,3,54,17,14,3,0,31,22,14,9,6,51,12,3,3,0,16,51,41,28,14,133,81,52,34,10,180,192,141,57,24,407,267,232,104,44,657,962,894,409,162,2427,794,874,407,154,2224,693,747,300,79,1815,416,481,207,47,1157,370,483,197,57,1112,220,240,100,23,582,605,657,269,155,1690,57,34,16,13,116,4773,4946,2141,786,12655,29,17,4,6,55,7,0,0,0,7,14,13,5,3,32,13,3,0,0,23,28,28,17,6,77,31,18,17,0,70
105,36,19,10,0,65,10,8,0,0,23,34,23,17,11,92,23,34,12,15,82,39,30,18,16,100,139,127,57,41,363,203,169,86,40,505,275,243,147,75,737,763,713,389,195,2059,583,631,331,139,1694,430,538,273,94,1335,302,364,182,54,905,307,334,178,44,860,94,115,62,16,284,653,708,409,201,1972,83,71,36,13,210,3974,4147,2208,963,11294,17,17,4,0,35,13,11,5,0,26,22,8,10,0,35,11,4,0,5,20,52,36,17,11,112,65,46,19,16,145,124,85,48,27,284,174,152,77,52,462,638,532,288,140,1593,564,618,270,138,1585,532,529,265,88,1416,406,445,207,64,1118,380,443,194,67,1090,226,253,141,39,653,539,629,360,209,1732,68,43,28,9,150,3819,3848,1929,864,10459,30,16,14,5,70,5,5,0,0,15,9,4,0,3,25,10,0,0,0,14,18,20,10,0,49,34,26,12,3,72
106,33,34,12,4,77,28,18,6,0,50,51,29,15,9,107,19,26,14,7,73,48,50,15,9,123,234,167,72,39,510,335,272,112,51,766,512,455,209,112,1296,1745,1712,842,334,4634,1585,1953,829,318,4686,1398,1577,594,205,3768,1128,1747,765,248,3895,1145,1536,589,162,3430,407,542,228,68,1253,1150,1389,709,309,3561,137,169,72,28,407,9960,11683,5087,1906,28640,42,24,8,8,77,15,8,5,0,24,38,21,8,6,74,30,13,7,3,49,76,53,25,8,169,124,89,30,22,270,282,173,82,34,563,411,321,171,74,973,1630,1476,651,275,4035,1642,1898,798,287,4620,1620,2021,796,297,4739,1177,1620,619,187,3599,1155,1595,614,167,3532,830,1217,537,139,2725,1244,1479,725,309,3757,104,106,38,19,265,10410,12115,5108,1833,29471,40,28,8,10,90,9,0,0,0,14,13,12,4,0,32,19,11,5,6,41,46,34,13,4,103,77,38,13,5,132
107,49,47,16,9,117,15,26,12,0,56,78,39,17,4,143,43,48,12,7,108,80,71,26,9,184,279,204,77,46,600,443,269,138,47,904,593,565,247,106,1513,1988,2014,808,282,5083,1831,2492,938,273,5534,1658,2199,748,231,4843,1194,1814,766,213,3993,1320,2046,682,186,4233,493,712,292,85,1582,1303,1682,799,310,4096,146,142,72,32,392,11512,14370,5650,1837,33376,39,45,17,6,111,18,17,3,3,42,45,21,15,4,79,25,18,9,4,50,105,91,39,25,261,150,109,42,26,322,296,225,69,47,642,473,344,145,73,1026,1776,1520,588,229,4110,1819,2136,809,298,5057,1919,2435,863,248,5463,1431,2049,743,192,4416,1544,2371,798,204,4922,1036,1915,806,211,3963,1322,1718,734,250,4027,81,100,49,17,253,12086,15101,5721,1841,34746,41,30,17,6,94,9,7,0,0,19,17,18,10,0,44,19,10,3,6,34,39,32,20,13,105,78,50,10,18,157
108,20,33,9,5,71,17,16,10,0,41,60,50,18,7,135,50,30,14,9,104,87,52,25,9,176,337,240,108,55,735,468,347,154,69,1042,611,592,261,119,1576,1611,1542,730,327,4216,994,1167,518,210,2884,670,806,348,113,1940,370,503,223,48,1147,317,463,177,48,1008,113,127,47,6,299,884,960,494,208,2547,102,105,49,18,273,6703,7043,3176,1264,18191,27,18,11,0,63,18,16,6,0,32,26,21,3,3,54,18,8,6,0,23,98,63,30,15,199,107,89,38,19,243,282,195,81,52,606,422,341,188,87,1038,1543,1296,573,239,3649,1148,1237,520,220,3119,936,1057,439,158,2590,600,696,304,74,1676,463,587,272,60,1375,258,392,133,36,822,830,904,450,187,2365,88,82,33,17,216,6861,6979,3075,1177,18089,42,25,4,4,77,15,0,0,0,16,25,13,7,0,33,22,5,6,4,41,42,24,8,9,82,53,34,15,11,118
109,22,25,4,7,54,0,10,7,3,18,31,28,16,12,89,20,22,12,6,65,44,22,13,12,82,106,92,52,19,274,181,173,90,34,472,289,305,113,61,762,827,860,426,184,2301,642,808,389,163,2004,542,641,264,91,1540,294,370,169,52,884,251,344,152,49,795,99,106,70,14,284,527,600,336,145,1610,68,56,38,14,180,3939,4459,2140,872,11410,15,16,8,6,47,5,12,4,0,20,11,7,6,3,34,7,0,3,0,11,40,37,18,6,94,61,62,22,15,158,121,81,43,24,267,208,165,85,41,487,725,726,346,130,1918,660,719,353,143,1871,585,753,339,117,1788,420,483,214,65,1185,343,501,223,78,1136,210,277,150,30,674,488,553,336,130,1518,57,53,17,6,143,3959,4444,2162,787,11357,8,7,5,0,21,0,0,5,0,6,7,14,4,0,25,12,6,3,0,22,22,6,5,4,39,26,18,15,9,71
110,49,29,16,7,99,20,12,10,5,45,69,54,20,10,150,41,32,18,16,102,57,38,18,17,138,252,202,105,48,604,355,261,148,65,820,500,472,247,114,1338,1415,1389,696,307,3803,1033,1172,561,176,2939,741,938,353,123,2147,381,536,279,102,1299,363,520,241,63,1189,153,164,89,38,437,883,1010,552,227,2671,142,112,65,37,361,6464,6928,3403,1348,18151,31,32,12,7,84,23,25,10,0,59,22,13,7,6,51,18,3,5,5,35,81,49,36,28,195,90,81,41,23,229,193,162,60,40,455,332,258,130,75,793,1172,1050,534,226,2984,1000,1078,546,228,2852,891,1058,464,138,2559,587,725,287,69,1664,523,699,327,97,1646,330,434,219,62,1045,832,926,532,218,2508,86,69,33,21,216,6224,6657,3236,1244,17364,34,24,20,8,84,14,10,0,6,28,17,8,3,0,27,13,6,0,0,22,33,22,10,7,72,55,28,19,13,117
