SA4_CODE_2021,C16_CFNC_BF_4000more,C16_CFNC_BF_Ns,C16_CFNC_BF_Tot,C16_CFNC_BPT_Neg_ni_inc,C16_CFNC_BPT_1_149,C16_CFNC_BPT_150_399,C16_CFNC_BPT_400_649,C16_CFNC_BPT_650_799,C16_CFNC_BPT_800_1249,C16_CFNC_BPT_1250_1999,C16_CFNC_BPT_2000_2499,C16_CFNC_BPT_2500_2999,C16_CFNC_BPT_3000_3999,C16_CFNC_BPT_4000more,C16_CFNC_BPT_Ns,C16_CFNC_BPT_Tot,C16_CFNC_1F1P_Neg_ni_inc,C16_CFNC_1F1P_1_149,C16_CFNC_1F1P_150_399,C16_CFNC_1F1P_400_649,C16_CFNC_1F1P_650_799,C16_CFNC_1F1P_800_1249,C16_CFNC_1F1P_1250_1999,C16_CFNC_1F1P_2000_2499,C16_CFNC_1F1P_2500_2999,C16_CFNC_1F1P_3000_3999,C16_CFNC_1F1P_4000more,C16_CFNC_1F1P_Ns,C16_CFNC_1F1P_Tot,C16_CFNC_1E1A_Neg_ni_inc,C16_CFNC_1E1A_1_149,C16_CFNC_1E1A_150_399,C16_CFNC_1E1A_400_649,C16_CFNC_1E1A_650_799,C16_CFNC_1E1A_800_1249,C16_CFNC_1E1A_1250_1999,C16_CFNC_1E1A_2000_2499,C16_CFNC_1E1A_2500_2999,C16_CFNC_1E1A_3000_3999,C16_CFNC_1E1A_4000more,C16_CFNC_1E1A_Ns,C16_CFNC_1E1A_Tot,C16_CFNC_1F1NW_Neg_ni_inc,C16_CFNC_1F1NW_1_149,C16_CFNC_1F1NW_150_399,C16_CFNC_1F1NW_400_649,C16_CFNC_1F1NW_650_799,C16_CFNC_1F1NW_800_1249,C16_CFNC_1F1NW_1250_1999,C16_CFNC_1F1NW_2000_2499,C16_CFNC_1F1NW_2500_2999,C16_CFNC_1F1NW_3000_3999,C16_CFNC_1F1NW_4000more,C16_CFNC_1F1NW_Ns,C16_CFNC_1F1NW_Tot,C16_CFNC_1P1NW_Neg_ni_inc,C16_CFNC_1P1NW_1_149,C16_CFNC_1P1NW_150_399,C16_CFNC_1P1NW_400_649,C16_CFNC_1P1NW_650_799,C16_CFNC_1P1NW_800_1249,C16_CFNC_1P1NW_1250_1999,C16_CFNC_1P1NW_2000_2499,C16_CFNC_1P1NW_2500_2999,C16_CFNC_1P1NW_3000_3999,C16_CFNC_1P1NW_4000more,C16_CFNC_1P1NW_Ns,C16_CFNC_1P1NW_Tot,C16_CFNC_1A1NW_Neg_ni_inc,C16_CFNC_1A1NW_1_149,C16_CFNC_1A1NW_150_399,C16_CFNC_1A1NW_400_649,C16_CFNC_1A1NW_650_799,C16_CFNC_1A1NW_800_1249,C16_CFNC_1A1NW_1250_1999,C16_CFNC_1A1NW_2000_2499,C16_CFNC_1A1NW_2500_2999,C16_CFNC_1A1NW_3000_3999,C16_CFNC_1A1NW_4000more,C16_CFNC_1A1NW_Ns,C16_CFNC_1A1NW_Tot,C16_CFNC_BA_Neg_ni_inc,C16_CFNC_BA_1_149,C16_CFNC_BA_150_399,C16_CFNC_BA_400_649,C16_CFNC_BA_650_799,C16_CFNC_BA_800_1249,C16_CFNC_BA_1250_1999,C16_CFNC_BA_2000_2499,C16_CFNC_BA_2500_2999,C16_CFNC_BA_3000_3999,C16_CFNC_BA_4000more,C16_CFNC_BA_Ns,C16_CFNC_BA_Tot,C16_CFNC_BNW_Neg_ni_inc,C16_CFNC_BNW_1_149,C16_CFNC_BNW_150_399,C16_CFNC_BNW_400_649,C16_CFNC_BNW_650_799,C16_CFNC_BNW_800_1249,C16_CFNC_BNW_1250_1999,C16_CFNC_BNW_2000_2499,C16_CFNC_BNW_2500_2999,C16_CFNC_BNW_3000_3999,C16_CFNC_BNW_4000more,C16_CFNC_BNW_Ns,C16_CFNC_BNW_Tot,C16_CFNC_LFns_Neg_ni_inc,C16_CFNC_LFns_1_149,C16_CFNC_LFns_150_399,C16_CFNC_LFns_400_649,C16_CFNC_LFns_650_799,C16_CFNC_LFns_800_1249,C16_CFNC_LFns_1250_1999,C16_CFNC_LFns_2000_2499,C16_CFNC_LFns_2500_2999,C16_CFNC_LFns_3000_3999,C16_CFNC_LFns_4000more,C16_CFNC_LFns_Ns,C16_CFNC_LFns_Tot,C16_CFNC_Tot_Neg_ni_inc,C16_CFNC_Tot_1_149,C16_CFNC_Tot_150_399,C16_CFNC_Tot_400_649,C16_CFNC_Tot_650_799,C16_CFNC_Tot_800_1249,C16_CFNC_Tot_1250_1999,C16_CFNC_Tot_2000_2499,C16_CFNC_Tot_2500_2999,C16_CFNC_Tot_3000_3999,C16_CFNC_Tot_4000more,C16_CFNC_Tot_Ns,C16_CFNC_Tot_Tot,C16_CFC_BFT_Neg_ni_inc,C16_CFC_BFT_1_149,C16_CFC_BFT_150_399,C16_CFC_BFT_400_649,C16_CFC_BFT_650_799,C16_CFC_BFT_800_1249,C16_CFC_BFT_1250_1999,C16_CFC_BFT_2000_2499,C16_CFC_BFT_2500_2999,C16_CFC_BFT_3000_3999,C16_CFC_BFT_4000more,C16_CFC_BFT_Ns,C16_CFC_BFT_Tot,C16_CFC_BPT_Neg_ni_inc,C16_CFC_BPT_1_149,C16_CFC_BPT_150_399,C16_CFC_BPT_400_649,C16_CFC_BPT_650_799,C16_CFC_BPT_800_1249,C16_CFC_BPT_1250_1999,C16_CFC_BPT_2000_2499,C16_CFC_BPT_2500_2999,C16_CFC_BPT_3000_3999,C16_CFC_BPT_4000more,C16_CFC_BPT_Ns,C16_CFC_BPT_Tot,C16_CFC_1F1P_Neg_ni_inc,C16_CFC_1F1P_1_149,C16_CFC_1F1P_150_399,C16_CFC_1F1P_400_649,C16_CFC_1F1P_650_799,C16_CFC_1F1P_800_1249,C16_CFC_1F1P_1250_1999,C16_CFC_1F1P_2000_2499,C16_CFC_1F1P_2500_2999,C16_CFC_1F1P_3000_3999,C16_CFC_1F1P_4000more,C16_CFC_1F1P_Ns,C16_CFC_1F1P_Tot,C16_CF_1E1A_Neg_ni_inc,C16_CF_1E1A_1_149,C16_CF_1E1A_150_399,C16_CF_1E1A_400_649,C16_CF_1E1A_650_799,C16_CF_1E1A_800_1249,C16_CF_1E1A_1250_1999,C16_CF_1E1A_2000_2499,C16_CF_1E1A_2500_2999,C16_CF_1E1A_3000_3999,C16_CF_1E1A_4000more,C16_CF_1E1A_Ns,C16_CF_1E1A_Tot,C16_CF_1F1NW_Neg_ni_inc,C16_CF_1F1NW_1_149,C16_CF_1F1NW_150_399,C16_CF_1F1NW_400_649,C16_CF_1F1NW_650_799,C16_CF_1F1NW_800_1249,C16_CF_1F1NW_1250_1999,C16_CF_1F1NW_2000_2499,C16_CF_1F1NW_2500_2999,C16_CF_1F1NW_3000_3999,C16_CF_1F1NW_4000more,C16_CF_1F1NW_Ns,C16_CF_1F1NW_Tot,C16_CF_1P1NW_Neg_ni_inc,C16_CF_1P1NW_1_149
101,617,95,4870,3,6,8,87,94,354,369,122,44,44,72,15,1221,9,10,9,58,82,467,1149,546,350,270,224,68,3238,0,3,0,17,10,84,144,70,71,65,61,26,553,4,6,11,91,132,544,615,285,130,167,124,56,2168,3,21,58,251,267,615,386,137,64,53,37,49,1939,0,0,8,28,37,74,79,40,17,18,12,31,342,3,0,0,15,18,24,36,39,18,27,25,20,212,193,153,191,1228,2914,2524,1519,367,166,118,92,473,9943,3,7,0,33,58,33,30,16,3,8,7,1514,1711,259,211,296,1865,3651,5007,5412,2658,1589,1625,1266,2350,26194,13,3,4,27,13,132,721,913,833,1339,1379,594,5972,3,0,5,18,40,194,315,108,88,77,54,97,997,0,4,8,34,33,410,1845,1133,942,915,711,517,6555,4,0,4,6,0,77,228,197,194,217,139,95,1157,8,6,11,48,72,604,1004,502,197,266,235,228,3166,4,3
102,512,87,5376,4,6,5,69,102,341,389,155,66,60,59,31,1279,3,3,0,23,47,396,1464,765,495,313,249,66,3821,0,0,0,12,11,58,144,108,67,75,39,33,536,16,0,16,74,148,781,1001,444,124,203,97,80,2985,10,36,75,272,311,778,532,121,75,41,53,52,2354,3,5,8,17,36,100,80,21,9,13,10,28,324,0,0,0,3,17,25,56,31,28,29,15,23,221,395,183,226,1775,4773,3691,2000,413,173,119,161,699,14612,7,9,3,31,84,58,33,11,0,0,0,1755,1994,436,240,341,2290,5536,6392,6848,3493,2063,1817,1195,2848,33498,13,3,0,6,19,104,854,1204,1250,1769,1296,691,7215,0,3,6,13,37,240,463,225,142,131,70,134,1469,5,4,8,32,44,549,3059,2527,2004,1649,1189,854,11919,0,0,0,5,17,100,356,321,291,268,158,133,1649,7,6,12,60,118,1003,2403,1146,463,546,364,441,6576,0,11
103,393,76,4246,9,11,7,58,76,248,285,97,38,32,36,24,918,19,11,9,53,65,468,1120,520,312,219,219,58,3081,0,0,0,13,10,62,131,75,48,39,28,30,428,7,4,16,92,154,559,622,241,90,101,66,91,2047,4,12,55,229,241,483,265,90,28,26,23,50,1506,0,4,6,21,34,54,61,28,11,11,7,30,264,6,4,0,6,16,41,47,28,14,27,11,18,207,193,136,141,1095,2492,1749,825,209,68,64,77,486,7525,3,0,3,20,43,28,14,14,8,6,4,1119,1274,270,202,255,1623,3213,3935,4452,2259,1265,1181,858,1984,21495,15,8,9,25,23,138,713,790,784,1110,749,541,4907,0,0,3,15,22,127,240,106,54,40,21,78,728,11,4,6,31,43,470,1869,1327,1017,824,625,535,6774,0,0,0,6,8,77,220,170,165,192,104,82,1030,7,0,13,49,80,617,1159,586,202,220,143,252,3326,0,4
104,143,38,1963,3,4,3,59,83,263,271,79,32,24,16,19,853,0,0,5,27,40,292,799,361,193,93,76,34,1911,0,0,0,9,12,45,95,44,32,20,14,14,284,4,5,10,42,85,385,368,139,72,48,34,35,1223,7,15,32,188,222,479,241,52,19,15,19,25,1311,0,0,0,29,19,47,40,17,11,10,3,14,180,0,0,0,6,7,25,35,12,6,0,11,11,109,143,90,121,1087,2549,1867,991,194,84,48,49,332,7556,5,0,0,19,42,27,13,4,0,0,0,851,975,169,113,178,1479,3097,3544,3445,1354,733,526,361,1377,16368,6,3,0,10,14,77,467,488,424,440,244,238,2405,0,0,7,22,37,185,266,104,50,45,21,74,805,6,4,4,22,26,329,1231,706,438,357,207,276,3618,0,0,0,5,4,70,147,97,62,61,24,45,534,6,0,0,28,81,467,728,277,108,126,50,144,2015,3,7
105,222,88,2816,4,3,3,19,47,129,110,34,19,13,23,8,416,3,9,0,24,32,216,568,268,160,102,71,37,1492,0,5,0,5,8,40,64,42,27,19,18,12,231,7,3,7,43,86,302,323,133,37,40,43,52,1073,4,3,23,118,136,254,103,31,7,17,11,20,730,3,0,7,6,10,39,26,14,4,0,0,13,129,3,0,0,4,10,13,33,20,6,4,4,22,124,78,56,65,612,1373,726,375,80,28,13,34,240,3678,5,4,0,12,27,16,15,11,4,0,0,743,841,152,86,125,876,1799,1957,2306,1236,721,627,425,1232,11536,7,3,6,18,15,113,422,467,445,537,341,392,2774,0,0,5,9,15,68,118,47,27,20,4,45,358,7,0,3,18,24,242,857,515,434,316,196,280,2886,0,0,0,4,5,33,134,85,88,85,46,47,527,8,3,3,33,55,335,545,218,87,91,30,136,1541,0,0
106,448,88,4753,4,7,3,67,87,318,306,105,66,26,43,29,1066,5,3,0,31,51,387,1339,694,459,281,236,72,3552,0,0,3,13,7,68,151,107,89,66,41,32,586,6,3,15,67,117,639,876,470,108,153,84,79,2617,7,22,63,264,282,609,386,91,26,27,36,61,1885,0,0,7,18,33,79,85,32,18,22,6,27,322,0,0,0,9,8,17,41,22,24,28,11,16,177,272,174,185,1557,3603,2807,1423,316,98,64,107,535,11147,7,3,0,28,41,32,35,13,4,5,3,1430,1596,316,228,279,2077,4268,5127,5694,3058,1734,1512,1026,2372,27697,10,0,4,12,15,106,677,1009,963,1402,1085,577,5855,0,0,8,31,22,165,340,172,119,79,51,95,1087,6,4,7,24,45,411,2417,1788,1701,1199,993,674,9260,5,0,0,3,13,78,289,243,230,211,158,106,1334,6,3,7,36,80,854,1999,1095,372,448,304,352,5547,11,0
107,551,71,4787,0,5,10,49,79,246,321,132,52,45,43,15,984,0,3,6,14,25,311,1092,660,466,305,233,72,3189,0,0,0,12,9,52,152,108,89,67,40,22,548,7,3,18,66,108,566,827,401,132,200,126,70,2526,10,16,72,256,273,601,438,128,58,42,43,35,1975,5,8,3,28,34,72,77,37,12,18,6,18,329,0,3,0,8,11,6,18,37,19,23,10,13,149,379,225,207,1683,3971,3066,1646,362,137,87,120,557,12448,7,7,5,20,59,40,28,7,9,0,5,1516,1698,419,272,322,2149,4570,5082,5478,2997,1927,1845,1181,2387,28637,10,0,4,4,18,70,663,1013,1116,1703,1534,578,6711,0,0,3,22,37,181,394,213,131,118,102,90,1294,10,0,3,30,33,426,2559,2271,2091,1811,1495,737,11463,0,0,0,3,9,54,319,277,273,335,228,115,1623,0,3,20,55,107,823,1929,1132,470,621,415,415,5987,6,9
108,221,56,2906,6,13,8,72,148,439,383,101,44,35,37,25,1302,4,6,6,36,78,416,1155,427,289,152,135,49,2748,0,0,0,14,19,80,170,69,37,34,23,17,466,3,3,17,85,139,541,531,207,71,81,53,52,1791,10,21,68,336,379,724,365,79,31,19,29,63,2133,6,0,14,40,47,90,68,32,10,6,9,20,340,0,0,0,10,14,41,51,24,16,15,6,26,211,273,201,212,1970,5170,3656,1795,375,140,78,109,722,14702,7,4,0,18,72,38,27,7,4,0,0,1429,1622,330,258,332,2625,6127,6229,5450,1960,1046,770,617,2468,28227,6,3,0,15,25,133,662,695,567,647,346,349,3461,3,0,0,22,33,238,350,130,64,37,31,91,1003,0,3,3,27,39,465,1730,1003,708,412,271,418,5079,0,0,0,12,7,68,257,117,94,85,41,67,746,10,3,8,44,91,619,1005,376,128,124,75,196,2683,0,0
109,155,54,2405,4,5,10,32,43,173,172,55,30,25,17,8,573,10,4,3,26,46,298,771,329,192,105,97,46,1927,0,3,0,4,7,46,105,49,36,18,25,15,312,8,7,12,44,84,336,376,124,51,42,43,40,1160,3,16,28,148,153,308,166,54,19,15,18,37,970,6,6,4,16,26,34,47,20,9,4,0,18,183,0,0,0,9,9,20,24,19,19,9,4,18,129,121,70,81,643,1582,1141,551,118,47,38,49,316,4760,4,5,0,21,32,33,14,8,7,0,4,793,908,166,116,147,973,2016,2556,2891,1369,772,553,405,1341,13324,7,7,3,12,16,100,445,486,413,469,297,278,2535,0,0,3,9,14,91,132,77,38,26,19,29,448,7,4,3,32,26,312,1240,781,497,430,239,337,3903,3,0,0,9,7,45,168,118,89,67,36,46,594,0,3,13,41,52,385,595,213,91,85,60,115,1659,0,0
110,307,114,4090,9,9,6,65,107,269,257,71,32,29,21,26,901,14,3,15,52,62,473,1087,468,272,155,158,51,2819,0,3,5,18,19,63,123,56,42,34,28,31,426,13,7,11,76,154,533,476,205,75,79,48,76,1747,7,11,44,216,215,419,224,64,23,15,20,44,1303,6,0,4,21,30,54,38,22,3,8,0,19,208,5,3,4,5,5,27,56,26,17,18,8,25,206,155,82,117,1030,2323,1404,747,185,64,51,64,384,6609,11,0,0,26,46,44,33,6,0,5,10,1096,1280,255,132,220,1560,3059,3619,4172,2043,1083,901,662,1877,19581,18,8,7,34,30,164,772,781,666,763,512,563,4315,0,5,6,18,21,124,206,97,47,24,24,61,630,12,5,6,34,32,471,1695,989,662,554,334,438,5232,4,0,0,3,4,60,249,164,100,86,53,68,795,3,4,5,48,95,644,961,365,112,149,79,197,2670,0,7
