SA4_CODE_2021,C11_M_Post_Deg_15_19_yrs,C11_M_Post_Deg_20_24_yrs,C11_M_Post_Deg_25_34_yrs,C11_M_Post_Deg_35_44_yrs,C11_M_Post_Deg_45_54_yrs,C11_M_Post_Deg_55_64_yrs,C11_M_Post_Deg_65_74_yrs,C11_M_Post_Deg_75_84_yrs,C11_M_Post_Deg_85over,C11_M_Post_Deg_Tot,C11_M_GrDip_GrCe_15_19,C11_M_GrDip_GrCe_20_24,C11_M_GrDip_GrCe_25_34,C11_M_GrDip_GrCe_35_44,C11_M_GrDip_GrCe_45_54,C11_M_GrDip_GrCe_55_64,C11_M_GrDip_GrCe_65_74,C11_M_GrDip_GrCe_75_84,C11_M_GrDip_GrCe_85over,C11_M_GrDip_GrCe_Tot,C11_M_BD_15_19,C11_M_BD_20_24,C11_M_BD_25_34,C11_M_BD_35_44,C11_M_BD_45_54,C11_M_BD_55_64,C11_M_BD_65_74,C11_M_BD_75_84,C11_M_BD_85over,C11_M_BD_Tot,C11_M_AdD_DL_15_19,C11_M_AdD_DL_20_24,C11_M_AdD_DL_25_34,C11_M_AdD_DL_35_44,C11_M_AdD_DL_45_54,C11_M_AdD_DL_55_64,C11_M_AdD_DL_65_74,C11_M_AdD_DL_75_84,C11_M_AdD_DL_85over,C11_M_AdD_DL_Tot,C11_M_CL_C_III_IV_15_19,C11_M_CL_C_III_IV_20_24,C11_M_CL_C_III_IV_25_34,C11_M_CL_C_III_IV_35_44,C11_M_CL_C_III_IV_45_54,C11_M_CL_C_III_IV_55_64,C11_M_CL_C_III_IV_65_74,C11_M_CL_C_III_IV_75_84,C11_M_CL_C_III_IV_85over,C11_M_CL_C_III_IV_Tot,C11_M_CL_C_I_II_15_19,C11_M_CL_C_I_II_20_24,C11_M_CL_C_I_II_25_34,C11_M_CL_C_I_II_35_44,C11_M_CL_C_I_II_45_54,C11_M_CL_C_I_II_55_64,C11_M_CL_C_I_II_65_74,C11_M_CL_C_I_II_75_84,C11_M_CL_C_I_II_85over,C11_M_CL_C_I_II_Tot,C11_M_CL_CL_nfd_15_19,C11_M_CL_CL_nfd_20_24,C11_M_CL_CL_nfd_25_34,C11_M_CL_CL_nfd_35_44,C11_M_CL_CL_nfd_45_54,C11_M_CL_CL_nfd_55_64,C11_M_CL_CL_nfd_65_74,C11_M_CL_CL_nfd_75_84,C11_M_CL_CL_nfd_85over,C11_M_CL_CL_nfd_Tot,C11_M_CL_Tot_15_19,C11_M_CL_Tot_20_24,C11_M_CL_Tot_25_34,C11_M_CL_Tot_35_44,C11_M_CL_Tot_45_54,C11_M_CL_Tot_55_64,C11_M_CL_Tot_65_74,C11_M_CL_Tot_75_84,C11_M_CL_Tot_85over,C11_M_CL_Tot_Tot,C11_M_LE_ID_15_19,C11_M_LE_ID_20_24,C11_M_LE_ID_25_34,C11_M_LE_ID_35_44,C11_M_LE_ID_45_54,C11_M_LE_ID_55_64,C11_M_LE_ID_65_74,C11_M_LE_ID_75_84,C11_M_LE_ID_85over,C11_M_LE_ID_Tot,C11_M_LE_NS_15_19,C11_M_LE_NS_20_24,C11_M_LE_NS_25_34,C11_M_LE_NS_35_44,C11_M_LE_NS_45_54,C11_M_LE_NS_55_64,C11_M_LE_NS_65_74,C11_M_LE_NS_75_84,C11_M_LE_NS_85over,C11_M_LE_NS_Tot,C11_M_Tot_15_19_yrs,C11_M_Tot_20_24_yrs,C11_M_Tot_25_34_yrs,C11_M_Tot_35_44_yrs,C11_M_Tot_45_54_yrs,C11_M_Tot_55_64_yrs,C11_M_Tot_65_74_yrs,C11_M_Tot_75_84_yrs,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_Post_Deg_15_19_yrs,C16_M_Post_Deg_20_24_yrs,C16_M_Post_Deg_25_34_yrs,C16_M_Post_Deg_35_44_yrs,C16_M_Post_Deg_45_54_yrs,C16_M_Post_Deg_55_64_yrs,C16_M_Post_Deg_65_74_yrs,C16_M_Post_Deg_75_84_yrs,C16_M_Post_Deg_85over,C16_M_Post_Deg_Tot,C16_M_GrDip_GrCe_15_19,C16_M_GrDip_GrCe_20_24,C16_M_GrDip_GrCe_25_34,C16_M_GrDip_GrCe_35_44,C16_M_GrDip_GrCe_45_54,C16_M_GrDip_GrCe_55_64,C16_M_GrDip_GrCe_65_74,C16_M_GrDip_GrCe_75_84,C16_M_GrDip_GrCe_85over,C16_M_GrDip_GrCe_Tot,C16_M_BD_15_19,C16_M_BD_20_24,C16_M_BD_25_34,C16_M_BD_35_44,C16_M_BD_45_54,C16_M_BD_55_64,C16_M_BD_65_74,C16_M_BD_75_84,C16_M_BD_85over,C16_M_BD_Tot,C16_M_AdD_DL_15_19,C16_M_AdD_DL_20_24,C16_M_AdD_DL_25_34,C16_M_AdD_DL_35_44,C16_M_AdD_DL_45_54,C16_M_AdD_DL_55_64,C16_M_AdD_DL_65_74,C16_M_AdD_DL_75_84,C16_M_AdD_DL_85over,C16_M_AdD_DL_Tot,C16_M_CL_C_III_IV_15_19,C16_M_CL_C_III_IV_20_24,C16_M_CL_C_III_IV_25_34,C16_M_CL_C_III_IV_35_44,C16_M_CL_C_III_IV_45_54,C16_M_CL_C_III_IV_55_64,C16_M_CL_C_III_IV_65_74,C16_M_CL_C_III_IV_75_84,C16_M_CL_C_III_IV_85over,C16_M_CL_C_III_IV_Tot,C16_M_CL_C_I_II_15_19,C16_M_CL_C_I_II_20_24,C16_M_CL_C_I_II_25_34,C16_M_CL_C_I_II_35_44,C16_M_CL_C_I_II_45_54,C16_M_CL_C_I_II_55_64,C16_M_CL_C_I_II_65_74,C16_M_CL_C_I_II_75_84,C16_M_CL_C_I_II_85over,C16_M_CL_C_I_II_Tot,C16_M_CL_CL_nfd_15_19,C16_M_CL_CL_nfd_20_24,C16_M_CL_CL_nfd_25_34,C16_M_CL_CL_nfd_35_44,C16_M_CL_CL_nfd_45_54,C16_M_CL_CL_nfd_55_64,C16_M_CL_CL_nfd_65_74,C16_M_CL_CL_nfd_75_84,C16_M_CL_CL_nfd_85over,C16_M_CL_CL_nfd_Tot,C16_M_CL_Tot_15_19,C16_M_CL_Tot_20_24,C16_M_CL_Tot_25_34,C16_M_CL_Tot_35_44,C16_M_CL_Tot_45_54,C16_M_CL_Tot_55_64,C16_M_CL_Tot_65_74,C16_M_CL_Tot_75_84,C16_M_CL_Tot_85over,C16_M_CL_Tot_Tot,C16_M_LE_ID_15_19,C16_M_LE_ID_20_24,C16_M_LE_ID_25_34,C16_M_LE_ID_35_44,C16_M_LE_ID_45_54,C16_M_LE_ID_55_64,C16_M_LE_ID_65_74,C16_M_LE_ID_75_84,C16_M_LE_ID_85over,C16_M_LE_ID_Tot
101,0,9,235,565,598,625,368,98,16,2514,0,0,106,242,306,350,125,31,4,1172,0,180,1016,1436,1427,1543,843,318,91,6856,15,125,586,1055,1182,1164,632,264,66,5096,259,1299,3072,4210,4776,4013,2606,1157,267,21655,83,137,158,127,129,102,39,16,0,779,19,53,106,162,191,246,130,62,19,987,362,1489,3336,4499,5096,4351,2771,1236,286,23418,15,42,88,134,176,185,140,87,24,885,736,507,1032,1257,1359,1350,1219,912,357,8723,1125,2358,6388,9190,10148,9567,6100,2944,847,48672,0,8,336,593,744,672,544,158,31,3103,0,4,100,193,314,396,242,45,16,1311,3,217,1232,1500,1460,1564,1269,424,130,7805,6,168,765,1160,1447,1325,1005,355,81,6320,238,1417,3708,3849,4655,4613,3328,1494,366,23650,66,128,144,104,140,125,72,28,7,825,29,68,142,216,239,300,289,127,31,1434,329,1612,3995,4165,5028,5030,3695,1650,405,25910,15,17,70,68,74,107,104,56,21,534
102,0,8,237,459,600,543,300,112,28,2292,0,12,91,207,250,321,114,41,12,1051,3,425,1606,1989,1692,1659,885,413,139,8811,33,274,1134,1826,1743,1372,864,498,129,7873,382,2082,5206,6337,7012,5604,4104,2294,687,33712,137,198,300,194,150,135,72,32,8,1231,38,130,207,239,313,359,281,117,24,1705,561,2406,5708,6766,7470,6104,4460,2447,719,36645,26,69,181,244,271,294,217,138,67,1512,1130,622,1147,1468,1694,1629,1671,1720,846,11925,1750,3815,10104,12962,13724,11922,8521,5368,1933,70101,0,15,370,663,682,660,514,193,61,3153,5,16,112,216,270,343,197,68,23,1253,5,533,2183,2413,1909,1901,1381,585,183,11083,36,288,1365,2084,2089,1735,1215,560,204,9581,389,2017,5917,6165,6960,6288,4918,2726,882,36266,116,180,228,191,180,147,115,35,9,1206,38,122,265,300,423,500,505,216,75,2441,540,2316,6413,6654,7567,6939,5540,2982,960,39916,13,27,98,130,166,151,165,112,42,922
103,0,4,109,237,285,323,177,56,11,1199,0,0,71,115,157,172,55,15,3,584,0,231,959,1121,903,958,445,157,52,4831,7,109,451,818,886,812,449,172,39,3751,298,1655,3562,3950,4198,3247,1978,902,181,19974,98,148,195,131,123,91,45,15,0,851,31,57,114,141,191,215,125,48,11,932,424,1861,3879,4216,4513,3556,2152,965,198,21755,19,39,73,114,145,141,115,55,16,714,819,708,1179,1248,1235,1251,1167,930,280,8820,1266,2959,6722,7869,8132,7211,4561,2339,597,41649,0,4,192,298,335,362,270,74,17,1553,0,8,86,139,173,210,126,28,6,767,4,239,1212,1202,1008,976,683,211,61,5597,7,114,596,855,1017,927,627,237,65,4444,294,1657,4142,3813,4139,3691,2570,1163,288,21765,76,147,192,122,150,113,55,25,4,891,30,68,147,198,226,295,273,105,11,1365,399,1872,4481,4143,4513,4108,2902,1296,303,24013,10,23,60,65,55,78,94,43,18,451
104,0,0,68,161,173,245,112,46,16,818,0,4,29,74,115,147,62,17,0,452,0,101,532,805,725,900,393,184,37,3685,0,88,248,517,657,712,410,174,30,2833,173,688,1733,2316,3154,2972,1894,906,230,14062,79,91,124,81,83,81,36,15,0,592,27,32,80,85,120,167,84,49,15,657,273,814,1933,2483,3360,3219,2018,968,249,15310,10,31,70,76,112,157,120,58,15,645,442,277,495,604,717,736,670,681,300,4934,730,1314,3374,4714,5859,6115,3785,2132,650,28674,0,3,77,183,216,226,218,69,19,1019,0,0,42,80,119,200,125,31,9,607,0,127,692,878,739,986,627,205,65,4332,0,76,354,584,699,828,618,244,63,3473,149,793,2045,2152,2790,3156,2409,1141,316,14947,71,121,105,81,82,90,60,20,4,628,18,41,97,116,167,234,205,97,29,1006,243,953,2245,2351,3037,3476,2669,1260,346,16582,0,21,37,35,60,67,63,36,14,325
105,0,0,65,96,107,87,32,12,3,410,0,5,41,59,66,65,16,0,0,251,3,92,537,513,426,408,116,45,9,2149,5,59,241,427,446,326,158,72,12,1752,176,818,1756,1973,2221,1783,1061,428,92,10299,50,67,105,91,68,51,12,3,0,445,18,38,76,99,92,74,56,21,7,480,236,918,1940,2160,2374,1912,1123,451,97,11220,9,19,46,50,73,70,44,20,3,331,498,403,734,742,825,796,758,636,187,5576,751,1505,3611,4047,4316,3657,2248,1242,315,21684,0,0,142,153,104,100,56,14,5,574,0,0,57,72,73,81,35,6,0,325,0,110,696,546,431,405,225,59,18,2490,8,45,313,431,488,431,227,88,23,2062,152,872,2153,1837,2037,1979,1292,550,150,11019,35,77,92,72,84,62,29,4,0,458,16,38,80,112,131,128,109,36,9,666,204,984,2321,2025,2256,2172,1431,587,158,12141,0,10,34,24,39,41,42,17,6,210
106,0,5,124,280,347,305,154,40,10,1263,0,4,48,133,174,174,64,14,0,613,6,269,1072,1193,1009,1074,610,180,48,5464,12,186,773,1251,1251,1112,567,213,53,5422,327,2289,5513,5964,6060,4672,2959,1213,253,29261,80,141,214,152,122,110,37,25,0,880,17,76,149,149,200,236,169,76,16,1100,430,2506,5879,6271,6389,5014,3167,1322,276,31244,12,31,118,129,167,155,127,68,13,824,871,633,1225,1363,1411,1359,1228,973,351,9404,1328,3636,9244,10622,10737,9200,5915,2805,743,54233,0,8,204,328,409,366,271,88,14,1682,0,0,64,128,156,221,136,44,8,752,0,243,1151,1259,1058,1192,911,294,64,6164,15,184,889,1392,1489,1312,882,332,77,6583,302,2219,6273,6118,6349,5399,3863,1704,395,32620,99,179,258,170,118,108,71,24,0,1026,28,79,221,220,269,336,334,176,33,1698,434,2480,6752,6503,6731,5841,4270,1910,431,35347,8,28,73,79,98,99,96,47,17,541
107,0,89,827,838,900,741,330,88,25,3851,0,22,186,233,292,321,79,34,3,1168,7,885,2548,2335,1928,1584,696,248,70,10305,50,545,1299,1928,1640,1254,592,274,89,7669,358,2028,5048,5730,6263,4809,3094,1740,451,29519,98,170,207,131,140,103,71,31,3,952,28,98,200,191,246,284,184,70,22,1327,485,2298,5456,6052,6651,5192,3348,1835,473,31798,26,80,167,198,235,250,152,82,25,1217,860,712,1111,1117,1302,1265,1208,1223,411,9211,1425,4635,11599,12694,12958,10611,6407,3779,1098,65216,0,58,1077,1124,954,931,569,159,37,4922,0,24,236,303,273,384,179,51,12,1464,4,1139,3130,2698,2115,1925,1099,395,109,12615,40,545,1554,1990,2032,1604,939,308,107,9109,391,2320,5528,5617,5995,5441,3790,2081,603,31766,89,174,226,153,136,108,71,25,10,988,36,105,233,306,348,415,367,162,61,2041,524,2605,5992,6078,6479,5959,4229,2266,669,34799,24,60,121,141,127,139,140,74,27,853
108,0,0,61,187,199,282,187,75,15,1006,0,6,30,97,173,229,101,35,6,676,0,107,556,920,972,1167,703,301,81,4802,6,68,334,758,865,1109,723,370,88,4327,244,1059,2417,3551,4642,4525,3668,1912,461,22482,79,124,188,136,107,92,62,20,0,811,27,50,115,133,154,243,190,96,28,1035,345,1234,2722,3823,4901,4864,3927,2022,491,24326,23,28,87,111,181,225,192,115,41,983,670,432,737,866,1149,1272,1353,1366,614,8467,1038,1868,4535,6755,8438,9150,7192,4284,1331,44592,0,4,135,215,247,339,314,108,22,1379,0,4,48,106,131,234,188,45,18,769,0,129,749,971,998,1282,1069,396,128,5723,4,83,424,761,996,1206,1095,451,149,5163,248,1132,2797,3358,4391,5090,4532,2338,648,24539,87,148,163,164,122,135,104,34,11,969,22,65,137,199,255,382,353,207,65,1682,355,1350,3107,3715,4772,5605,4987,2579,720,27192,7,15,27,65,69,104,139,78,27,536
109,0,4,117,121,136,107,55,18,7,566,0,6,45,91,107,99,34,5,0,379,0,122,671,675,508,492,196,67,21,2748,0,107,331,432,471,486,267,120,24,2241,192,907,1849,2063,2349,1912,1247,586,109,11219,43,83,98,58,65,41,12,5,0,423,11,32,53,65,96,115,53,18,0,447,255,1021,2003,2192,2508,2071,1310,616,116,12090,11,20,39,57,72,79,68,28,4,384,430,232,408,518,616,705,710,626,266,4518,698,1503,3608,4089,4424,4048,2639,1477,436,22930,0,0,113,171,139,149,87,28,4,689,0,3,50,77,109,116,70,8,0,437,0,117,692,745,546,555,310,103,27,3099,3,83,472,514,549,563,399,166,41,2795,161,944,2196,2038,2192,2245,1586,711,205,12278,31,76,103,61,69,46,26,4,4,423,14,39,72,92,143,136,130,62,18,701,205,1061,2367,2185,2406,2423,1746,776,227,13399,11,8,31,28,32,47,45,34,9,237
110,0,0,134,238,324,335,206,58,28,1336,0,6,68,116,112,144,46,13,0,510,0,207,907,926,806,886,353,129,50,4260,11,110,439,756,695,652,358,130,29,3177,287,1275,2730,2912,3442,2847,1761,674,148,16076,74,147,164,134,95,70,45,9,3,737,33,55,104,131,154,159,122,44,8,802,386,1476,3008,3174,3691,3074,1925,727,158,17618,16,35,73,83,115,125,85,39,10,575,684,452,833,981,1047,1067,1067,853,293,7278,1102,2282,5461,6273,6792,6293,4039,1950,562,34749,0,10,255,349,348,343,269,107,32,1709,0,0,93,107,144,148,93,30,3,623,0,234,1034,1018,875,871,546,191,45,4814,10,86,497,776,828,778,527,191,47,3725,270,1286,3216,2842,3127,3134,2153,953,192,17164,83,134,152,111,119,82,42,17,0,760,29,72,162,154,220,199,177,84,18,1123,390,1489,3530,3114,3464,3413,2373,1054,211,19045,16,37,83,55,43,60,65,43,7,410
