SA4_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
101,13,0,0,22,92,4,33,0,4,134,212,7,75,10,25,321,172,13,83,8,16,295,441,21,297,16,41,816,830,58,666,36,85,1678,1110,140,1160,87,135,2627,537,116,569,60,76,1354,197,45,216,25,28,516,82,22,173,17,16,305,57,9,66,11,13,156,6,4,16,0,0,31,24,4,14,0,3,52,161,26,148,4,14,352,3956,476,3561,274,466,8731
102,3,0,0,20,75,0,12,6,6,97,218,4,28,7,14,268,101,3,43,5,7,159,251,18,64,5,22,368,740,44,316,23,78,1200,2452,202,1723,135,315,4828,1490,276,1714,180,309,3967,529,170,746,85,156,1679,199,69,311,47,55,680,92,34,133,18,28,305,45,15,62,12,10,140,44,16,44,8,19,129,163,20,118,10,31,346,6437,873,5325,544,1048,14236
103,15,0,4,46,136,4,65,5,8,216,272,11,120,4,13,423,254,20,144,12,24,447,459,47,325,24,55,906,854,100,731,55,115,1852,950,135,1056,75,95,2302,324,90,500,36,57,1010,53,23,117,5,14,206,12,4,22,0,0,37,6,0,5,0,0,8,0,0,0,0,0,6,7,0,13,0,0,27,152,10,151,12,13,345,3559,446,3303,234,393,7935
104,0,0,0,10,52,0,13,3,6,72,84,3,23,3,4,122,75,6,28,9,10,131,245,14,99,8,21,385,477,25,326,20,56,894,799,115,772,54,127,1865,458,103,511,55,79,1213,155,42,230,19,25,479,52,13,64,13,4,150,12,3,18,0,0,34,4,0,3,0,0,7,3,4,10,0,0,19,98,9,47,0,13,171,2538,340,2157,186,347,5575
105,36,3,0,87,120,17,70,8,12,215,252,9,152,3,25,444,192,12,152,14,30,395,336,30,268,9,34,678,438,51,423,23,39,966,338,60,453,23,45,916,76,25,104,14,13,225,19,4,16,7,4,44,0,0,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,13,96,24,118,15,13,258,1985,247,1864,113,223,4421
106,7,0,0,27,99,3,23,6,10,139,164,9,39,6,17,231,179,7,85,8,13,291,607,52,415,29,57,1162,966,81,727,51,165,1993,1825,285,2015,162,296,4579,805,209,1205,100,168,2485,162,63,246,32,64,562,61,15,71,15,17,177,10,10,8,0,4,38,3,0,0,3,0,7,11,4,7,0,0,30,167,23,136,9,30,369,5095,768,5010,421,835,12130
107,0,0,0,30,123,3,11,0,3,142,395,12,72,9,27,517,134,9,75,5,19,250,288,17,100,12,37,462,663,45,322,24,56,1110,1690,135,1009,96,232,3165,1624,191,1383,142,218,3554,749,190,966,117,155,2188,252,74,397,67,68,852,91,23,119,15,22,275,31,15,49,7,10,110,21,6,69,8,5,112,148,14,108,9,42,320,6256,743,4685,519,897,13090
108,8,3,4,22,59,0,18,0,14,93,161,0,56,13,11,245,155,8,64,6,16,246,384,23,127,11,41,581,792,45,476,28,113,1454,1304,165,1111,83,202,2862,581,126,731,80,123,1641,152,53,175,39,46,464,38,13,52,10,9,123,13,5,13,3,4,29,5,3,4,0,0,17,12,0,10,0,0,22,121,8,81,8,20,237,3806,463,2949,274,593,8085
109,6,0,3,32,103,3,48,5,6,166,258,10,131,6,18,429,214,10,137,5,12,377,390,20,259,14,34,710,559,67,438,20,54,1134,345,60,434,37,52,927,84,28,125,23,17,277,20,7,24,6,0,66,6,0,3,0,0,12,9,0,0,0,0,10,0,0,0,0,0,0,7,0,7,0,0,21,91,17,84,10,15,217,2150,228,1718,132,213,4444
110,7,0,4,38,110,10,67,10,17,205,272,20,115,12,13,437,283,23,190,5,26,535,586,45,389,26,65,1117,854,111,810,54,98,1925,765,153,887,59,101,1957,141,49,210,16,25,434,31,14,50,5,4,98,12,6,6,0,0,21,0,0,8,3,0,12,5,0,0,0,0,9,6,4,9,3,0,18,206,21,156,19,27,424,3342,464,2954,206,384,7342
