SA4_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
101,5205,76176,1651,90816,6,53,14,916,31,1017,1073,74,121,460,25,1758,731,122,47,276,14,1184,1628,483,349,912,32,3406,11854,6377,4880,63494,1530,88140,958,31,168,38,11,1209,424,88,68,568,18,1156,2376,728,552,5749,118,9518,629,158,60,472,11,1330,398,96,53,158,3,711,1396,50,34,67,16,1571,2327,1587,1044,23592,415,28963,1886,614,229,2225,70,5026,179,10,15,13,0,212,323,86,38,170,8,633,940,131,66,170,13,1325,457,151,64,388,20,1088,406,102,64,103,17,687,618,269,230,174,13,1309,734,137,93,342,19,1329,308,52,38,148,9,552,149,47,8,10,0,214,3050,1722,1273,16644,317,23018,410,56,53,72,11,608,274,82,48,40,0,442,355,41,39,156,14,600,143,14,20,18,0,191,215,10,6,10,0,245,498,169,92,669,18,1447,6572,1182,923,2134,144,10953,380,129,89,1883,15103,17580,34823,12695,9360,143350,18615,218842,1402,8007,6133,79469
102,9670,109392,2462,137133,6,77,38,1275,31,1434,2919,202,255,746,43,4167,526,155,83,276,5,1035,2102,661,399,1289,40,4490,24285,12727,8978,94021,2367,142378,1779,105,453,88,38,2462,792,172,132,890,24,2010,2606,950,599,6836,167,11160,1027,327,138,844,18,2358,484,132,50,179,9,851,1865,136,97,151,11,2253,5234,3056,1915,31466,579,42257,2718,1140,405,3863,113,8243,694,6,35,20,0,762,410,175,63,263,7,911,80,27,8,34,0,152,1399,411,209,1208,42,3277,1100,328,222,222,23,1895,1482,800,524,435,28,3270,931,225,139,451,17,1763,698,92,100,205,8,1096,236,113,25,22,5,400,5765,3112,2116,22434,474,33906,253,40,16,83,5,400,1018,181,140,94,9,1441,1074,99,73,371,9,1633,207,48,24,33,0,320,332,17,44,19,3,410,952,276,195,1053,19,2490,10087,2545,1766,3451,194,18043,570,184,148,2245,16532,19681,60470,24663,16945,203831,21829,327736,2182,15545,11233,107973
103,3642,82444,1848,93455,3,35,17,1248,29,1332,910,52,63,410,17,1455,204,56,18,90,3,366,954,347,221,789,25,2336,6479,4610,3480,67552,1701,83825,717,19,189,42,35,1003,184,61,38,504,5,791,1123,438,332,5437,142,7467,253,94,31,331,21,730,196,45,18,88,5,349,1027,44,20,42,11,1144,1289,1120,684,23040,422,26556,825,386,163,1836,34,3249,135,10,14,13,0,171,166,65,19,158,8,416,39,16,4,9,0,67,258,110,75,345,6,795,290,118,66,101,10,582,444,235,189,202,7,1075,394,104,50,263,10,819,177,37,39,105,4,357,61,31,0,17,4,109,1762,1213,899,15820,325,20017,93,13,17,35,4,159,299,43,48,28,6,414,206,18,12,132,7,376,114,11,6,23,5,153,191,4,18,7,0,220,257,122,77,581,18,1057,3828,820,510,1625,79,6866,252,74,69,2279,16455,19125,19363,8998,6469,151116,20207,206158,734,5539,4065,80153
104,2998,48606,1038,57437,5,39,14,1002,16,1083,548,72,67,267,8,959,92,23,9,52,4,181,926,284,156,463,12,1845,7164,3957,2883,42289,1099,57385,430,11,133,27,19,622,259,45,44,370,6,728,1128,349,264,4215,75,6035,132,89,15,211,8,453,156,30,20,66,0,272,1273,68,99,85,9,1535,1428,919,583,14240,276,17444,575,277,88,1446,39,2426,60,0,6,12,0,76,49,18,5,75,0,150,21,6,0,8,0,40,161,59,43,190,8,455,226,78,42,71,4,426,374,229,156,120,16,899,296,75,35,148,9,565,134,30,21,72,5,252,43,14,14,8,0,77,1697,1077,762,11528,205,15262,22,9,8,11,0,47,211,45,34,23,0,314,205,21,34,142,4,405,52,8,0,10,0,71,79,4,10,3,3,100,282,89,53,428,3,861,4095,750,580,1371,95,6895,253,78,46,1372,8990,10737,18617,7675,5469,93246,11283,136287,711,4681,3378,48127
105,1472,49476,1147,54465,5,42,10,2886,115,3057,425,22,35,300,10,792,97,16,15,54,0,181,339,117,94,326,6,882,2118,1837,1322,35558,963,41807,438,9,100,21,16,584,86,11,27,267,5,391,477,198,122,3128,68,3987,129,37,24,166,8,358,59,10,7,22,0,100,653,19,11,51,7,736,509,415,314,10951,192,12387,325,168,56,984,19,1546,70,3,0,4,0,80,66,20,12,78,3,176,17,0,0,5,0,24,126,79,31,217,8,452,154,54,43,69,0,324,140,113,77,82,9,418,121,28,30,115,3,293,50,10,17,27,0,99,24,4,5,5,0,44,618,485,363,8115,149,9735,66,5,4,12,0,87,113,16,8,15,7,156,55,11,3,68,6,148,126,10,14,0,3,154,77,7,11,0,5,95,80,38,26,242,4,382,1934,332,229,778,59,3330,116,38,31,1432,10267,11890,8240,3762,2669,86589,12521,113778,360,2101,1591,41840
106,5593,104666,1919,120565,9,61,22,1330,21,1440,1005,67,100,396,8,1569,265,51,19,148,7,492,1233,480,317,971,24,3025,10775,7117,5102,88350,1867,113209,1081,62,318,65,23,1548,314,75,42,559,19,1004,1629,769,481,8355,158,11392,302,133,37,435,6,909,210,61,41,115,5,421,954,65,22,77,17,1137,2212,1434,996,24641,427,29705,886,426,168,2194,50,3721,131,0,16,3,0,163,121,44,15,133,5,315,62,30,10,73,0,176,392,134,81,414,12,1035,570,177,110,178,17,1052,741,410,313,290,20,1767,816,167,113,700,16,1815,209,37,42,148,0,443,109,65,14,6,10,211,2988,2017,1388,21264,351,28010,84,15,11,27,4,145,465,63,67,78,5,685,308,53,22,275,7,669,88,22,12,16,0,134,203,11,14,6,4,240,522,224,121,1166,30,2061,4592,1152,888,2325,104,9063,275,126,80,2549,16913,19936,27415,13617,9658,191859,20868,263419,1144,8724,6695,110611
107,8610,82223,1698,106426,9,102,43,1069,17,1240,4979,119,189,462,52,5799,1609,269,154,493,36,2568,2210,710,453,1471,51,4901,19955,10799,8294,68018,1644,108717,1569,76,329,74,41,2086,595,113,121,688,16,1530,3562,1161,824,5865,163,11576,2123,466,248,1253,60,4141,657,126,57,243,17,1099,2241,81,63,88,21,2500,4013,2345,1725,23665,425,32170,7117,1800,865,5531,212,15522,427,14,21,21,5,485,1289,269,178,343,30,2106,6375,705,370,1312,110,8877,1593,471,237,1169,35,3504,765,180,153,145,26,1267,902,511,361,264,29,2069,1310,253,170,560,31,2322,423,53,65,180,14,729,178,77,23,19,6,299,5484,2856,2149,17672,310,28469,1773,199,112,252,32,2367,486,118,91,43,8,738,2003,272,193,547,47,3057,335,22,23,17,4,403,1267,48,51,41,13,1415,1183,352,259,982,31,2814,16982,2600,1985,3415,310,25299,735,145,104,1503,13339,15825,81598,22945,16681,154618,17655,293498,2976,13367,9875,85480
108,4459,80884,1961,94452,3,39,33,2164,63,2297,700,69,78,418,16,1286,175,35,19,79,0,316,1309,382,213,570,35,2508,11334,6213,4257,69023,1899,92719,657,14,192,30,25,918,318,90,64,575,15,1064,1514,486,367,5706,141,8207,226,118,33,323,12,711,208,73,19,93,12,408,565,44,30,58,4,710,2026,1289,799,20400,418,24933,788,395,138,1929,51,3311,96,0,7,3,0,113,87,53,26,185,6,352,34,6,0,19,0,61,432,133,81,439,17,1102,223,104,63,120,7,511,518,311,216,177,25,1242,408,95,55,208,15,778,175,33,27,88,0,315,43,18,14,6,0,77,2674,1517,1103,16182,362,21841,49,10,0,19,0,77,282,58,38,41,0,423,282,30,28,179,5,531,84,12,7,6,3,111,131,10,13,6,0,158,403,151,91,602,11,1266,3516,947,677,1760,177,7073,248,90,75,1974,13838,16230,24499,11463,7832,150384,18018,212197,1008,7248,5083,81270
109,1885,42502,886,48298,0,24,8,672,27,731,437,32,32,174,11,682,134,34,19,54,0,250,698,195,156,531,17,1598,3654,2545,1785,36383,830,45194,449,18,90,24,11,593,95,28,20,263,4,413,798,345,249,5718,109,7218,175,62,28,199,8,483,124,31,10,62,7,229,760,33,21,32,8,852,731,630,426,12792,200,14781,766,289,123,1759,46,2979,67,0,3,3,0,79,54,24,16,89,5,182,13,0,0,13,0,34,75,37,10,122,4,248,203,44,33,46,4,335,248,146,112,100,5,607,229,57,29,166,4,489,77,19,9,48,0,151,32,15,13,7,0,68,1000,643,452,10425,183,12704,77,3,0,26,0,108,131,13,15,14,3,180,108,19,11,102,0,237,137,6,9,4,0,161,58,0,12,7,3,84,141,59,28,288,15,529,2792,399,278,976,60,4509,202,59,29,1357,8403,10046,12443,5040,3515,84426,10378,115802,548,3091,2196,43200
110,2887,76504,1629,85188,8,32,15,2423,76,2551,1066,57,52,533,25,1731,49,31,6,32,0,124,633,217,141,532,13,1544,4701,3395,2526,59017,1501,71143,885,22,102,21,26,1054,185,56,46,405,15,708,872,373,248,6500,116,8110,123,49,13,179,8,384,108,20,15,50,0,195,687,20,24,51,8,783,948,764,538,18265,339,20853,352,204,81,1290,30,1958,231,0,10,4,6,247,77,40,13,159,3,298,9,12,0,4,0,24,115,52,22,155,5,347,265,74,62,93,9,502,300,192,141,158,11,801,159,44,28,161,8,399,108,27,20,78,0,227,25,12,7,7,0,49,1331,915,669,15360,296,18575,46,9,0,14,6,72,270,37,38,27,0,374,124,16,14,125,8,294,120,6,3,8,4,139,159,5,13,3,0,182,223,73,52,491,6,849,3597,577,510,1298,66,6044,186,53,43,2121,14091,16494,15101,6554,4862,137628,17413,181559,515,3744,3086,69344
