SA4_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
101,159,76,32,22,287,198,141,64,31,433,939,647,306,133,2023,1031,1024,427,184,2667,1314,1399,513,180,3404,1110,1192,461,154,2918,1663,2015,721,208,4606,1853,2495,969,270,5589,719,799,419,191,2126,72,59,36,11,176,9217,9964,3986,1406,24573
102,234,130,34,23,426,334,171,62,43,605,1513,1023,387,163,3088,1888,1716,662,229,4498,2154,2403,901,255,5710,1812,2369,806,261,5249,2510,3459,1232,339,7540,2158,3498,1339,395,7396,892,1013,532,229,2664,105,113,36,14,272,13856,16041,6054,1960,37902
103,142,91,48,25,300,182,131,56,32,407,864,592,319,176,1945,979,943,432,183,2543,1150,1247,616,228,3233,994,1151,541,193,2883,1275,1630,767,271,3941,1066,1530,789,233,3614,737,750,472,206,2159,71,55,38,14,184,7594,8238,4131,1577,21547
104,112,80,38,25,251,171,123,51,36,373,779,575,262,128,1738,790,767,291,126,1971,815,918,351,122,2211,619,741,252,107,1723,681,847,360,108,1996,423,708,270,94,1494,478,463,228,96,1271,45,35,14,5,108,5049,5331,2158,861,13396
105,85,34,17,19,151,113,74,47,18,253,482,330,189,101,1108,509,460,212,94,1277,584,606,304,135,1627,457,483,243,62,1245,619,703,309,120,1750,481,590,264,102,1436,410,446,294,134,1280,49,43,19,10,114,3903,3841,1938,808,10486
106,179,107,58,29,379,261,146,75,43,524,1360,892,382,186,2818,1553,1459,651,231,3896,1860,2078,832,293,5060,1570,1834,800,215,4421,2057,2751,1106,292,6209,1643,2449,1047,312,5452,1020,1194,586,245,3041,98,94,22,15,230,11814,13134,5602,1895,32446
107,194,113,65,39,411,269,166,76,39,544,1299,905,329,173,2707,1529,1400,526,200,3655,1990,2158,746,210,5104,1756,2218,784,204,4967,2549,3685,1213,301,7740,2265,4205,1588,377,8435,798,949,474,202,2420,95,107,36,10,241,12939,16035,5902,1792,36671
108,172,125,57,26,379,278,155,76,60,573,1291,832,357,178,2665,1187,1105,450,171,2910,1208,1208,513,209,3139,911,1028,370,126,2439,997,1301,456,158,2911,657,963,422,105,2146,608,607,318,147,1680,83,65,23,16,190,7587,7490,3086,1216,19384
109,72,56,28,4,156,96,83,39,20,237,551,396,191,103,1233,678,658,276,118,1725,719,796,339,109,1961,554,661,274,69,1558,626,908,459,123,2113,459,653,334,98,1543,389,435,245,123,1195,65,30,22,3,121,4284,4732,2239,776,12031
110,130,84,48,31,288,199,142,58,30,426,819,616,329,173,1936,893,886,400,161,2344,1065,1090,504,205,2851,760,844,387,130,2122,932,1182,523,175,2814,711,944,454,149,2257,552,604,352,128,1632,75,55,32,16,170,6297,6535,3131,1225,17190
111,191,116,37,23,368,312,149,68,44,579,1464,908,329,159,2858,1755,1554,549,201,4059,2405,2535,787,227,5951,2069,2623,831,212,5736,3218,4374,1449,279,9318,2841,4733,1848,388,9807,1102,1219,576,230,3116,100,79,37,11,226,15690,18432,6568,1815,42506
112,177,100,47,20,334,298,207,66,33,606,1296,956,360,131,2742,1384,1263,505,175,3332,1551,1667,546,189,3956,1117,1407,492,152,3168,1299,1821,684,183,3980,1000,1560,667,171,3400,735,782,377,177,2072,103,74,37,14,227,9178,9961,3822,1276,24235
113,104,65,38,25,233,148,87,61,34,327,714,533,298,158,1700,827,756,417,199,2198,969,1092,478,199,2741,801,892,430,171,2289,966,1199,607,182,2953,698,1000,547,186,2428,527,622,367,188,1706,64,34,13,14,136,5957,6356,3318,1384,17011
114,103,68,28,11,207,140,90,31,22,280,791,529,229,97,1640,842,826,305,119,2090,961,949,374,122,2406,730,859,304,80,1967,826,1122,443,136,2525,765,1146,490,155,2552,492,498,236,106,1332,50,30,24,3,112,5820,6188,2482,859,15351
