SA4_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
101,821,453,471,595,583,668,590,261,68,4515,13,3,9,13,15,30,38,23,0,141,16379,9966,9181,11760,16341,20088,19117,11482,4223,118537,448,154,897,452,114,76,40,15,7,2193,604,175,439,355,152,87,64,22,5,1903,23,4,11,17,25,39,25,10,0,160,25,3,12,6,10,3,0,0,0,58,231,62,351,195,36,31,10,0,3,915,69,81,142,124,154,128,87,14,3,800,327,140,507,325,201,159,97,18,9,1779,20065,11201,12989,11569,11771,11757,9200,3221,853,92620,3231,1915,2481,2311,2517,2868,2464,1323,676,19775,41245,23664,26755,27123,31454,35370,31264,16162,5776,238810
102,1614,902,809,1064,1038,1098,821,339,108,7796,36,25,28,30,42,37,43,25,16,278,25096,16464,12927,17860,23769,27245,27021,18658,7379,176433,404,215,648,471,190,150,74,43,11,2205,377,152,286,282,149,118,88,38,4,1500,31,23,32,49,48,99,88,51,10,439,37,15,15,18,12,4,4,0,0,114,140,49,198,122,11,14,14,0,0,546,80,135,167,158,148,182,76,32,4,976,258,209,372,299,173,199,92,30,4,1633,31970,19191,20807,19029,16575,14064,10471,4715,1546,138374,3833,2264,2606,2676,2596,2491,2498,2052,1583,22602,62348,38764,38119,41358,44183,44882,40693,25702,10545,346596
103,909,449,451,571,527,566,449,218,62,4211,12,11,11,10,8,12,20,16,4,109,19959,11861,10597,12774,16367,18788,17647,11360,4403,123749,274,130,522,264,86,54,32,12,0,1366,255,57,186,177,70,37,36,8,0,838,5,8,16,13,11,14,14,3,0,96,16,16,3,9,8,7,7,0,0,68,83,46,144,93,23,3,4,6,0,396,59,77,116,97,100,86,53,11,0,598,155,138,262,190,131,96,61,17,7,1064,17208,9410,10498,8003,7149,6512,4833,1853,527,65997,3355,2165,2567,2430,2188,2256,1907,1203,556,18622,41367,23853,24861,24125,26203,27917,24652,14480,5504,212962
104,587,350,290,371,416,478,456,199,61,3228,3,0,0,9,6,18,18,5,3,74,8225,4878,4150,5769,8470,11445,12409,8007,3267,66615,75,45,121,111,59,16,29,3,4,470,120,85,90,100,65,43,14,9,0,530,12,4,9,15,26,21,19,9,7,125,13,7,7,9,13,5,0,0,0,53,499,165,436,395,157,155,109,18,18,1957,243,130,178,139,153,105,68,14,3,1026,758,302,623,538,317,263,174,31,22,3036,13481,7608,8061,7480,7276,7584,6311,2421,646,60861,2040,1295,1778,1721,1644,1638,1498,974,521,13111,24834,14313,15030,15975,18106,21252,20649,11492,4473,146127
105,482,256,261,244,289,279,198,97,36,2143,0,7,0,0,5,0,6,10,0,38,10106,5596,6007,6306,7932,9986,8812,5585,2104,62414,297,66,682,292,67,36,25,8,7,1473,197,42,235,135,38,14,13,5,0,681,5,3,7,8,4,6,4,3,0,35,18,7,15,9,11,8,3,0,0,67,86,11,165,61,8,8,3,0,0,337,15,20,38,36,34,33,17,5,4,193,109,37,213,108,49,48,26,5,4,599,9109,5068,6016,4106,3607,3389,2333,913,269,34808,2990,1677,2205,1897,1673,1676,1383,971,487,14956,22899,12519,15489,12978,13463,15228,12627,7498,2866,115566
106,1192,627,668,747,757,741,546,237,44,5558,29,26,10,28,38,33,20,21,10,215,23904,14828,13340,17071,21321,24003,23001,13500,4487,155452,325,120,340,307,113,60,38,11,3,1313,269,100,239,180,88,61,33,9,4,993,26,8,13,15,21,19,19,12,0,138,14,8,13,10,4,13,0,0,0,68,125,30,153,88,28,21,10,0,0,446,62,89,142,137,123,108,54,17,0,746,208,130,299,234,155,137,69,19,0,1253,28563,16183,19108,14323,11846,10208,7404,2833,768,111223,3415,2249,2912,2710,2393,2250,1955,1305,650,19837,56899,33766,36516,35227,36228,37003,32654,17724,5922,291946
107,1582,1105,981,1182,1237,1097,988,452,128,8764,15,15,18,9,24,27,25,22,3,165,24030,17075,13864,17480,21799,24193,21907,14648,5993,160994,374,318,723,400,206,120,90,48,10,2296,1807,891,1140,1079,686,430,275,204,38,6545,29,22,22,29,32,26,40,16,6,218,15,3,5,12,6,9,5,0,0,54,61,33,169,45,15,13,7,0,0,336,89,135,168,141,150,117,64,30,9,906,165,169,340,193,170,133,73,33,9,1296,26178,19305,20956,16551,13817,11960,7925,3267,999,120970,3237,2331,2494,2254,2019,1815,1695,1417,1148,18403,56114,40453,39997,38572,39273,39152,32307,19744,8227,313842
108,932,492,419,561,659,843,753,337,107,5108,8,8,8,9,14,21,32,17,10,118,12926,8526,6380,9175,14455,20507,24206,16419,6355,118947,146,78,272,160,65,56,40,7,0,831,112,35,104,109,53,17,17,11,4,464,9,10,7,15,17,20,45,25,3,153,40,16,30,10,14,22,8,0,0,141,57,17,83,46,13,7,10,3,0,232,75,74,93,85,109,120,83,20,3,655,171,106,200,149,137,146,96,25,5,1028,19248,10821,10579,9730,9704,11183,10085,4306,1334,86984,3107,1893,2058,2047,2075,2559,2747,1707,818,19019,35834,21563,19774,21625,26807,34795,37531,22565,8536,229035
109,477,277,246,280,280,285,241,132,27,2238,7,4,3,0,11,11,10,7,3,48,8749,5431,4444,5899,7886,10156,10634,6765,2609,62568,334,136,423,288,133,73,41,21,6,1447,147,35,109,97,60,16,10,4,0,478,4,3,8,4,9,6,14,5,0,54,0,3,4,3,8,4,0,0,0,21,181,42,353,148,23,14,6,0,0,765,16,49,60,45,39,34,27,12,5,290,200,99,422,196,66,53,34,11,5,1073,10858,6372,6907,5728,5260,5140,3990,1603,422,46277,1913,1183,1254,1202,1258,1451,1382,860,375,10872,22291,13312,13683,13574,14812,17022,16158,9280,3413,123552
110,874,434,466,490,485,484,446,226,52,3956,13,16,7,16,26,21,23,14,3,150,15537,9647,8711,10331,13622,16296,15309,10206,3629,103283,209,99,580,229,43,38,22,9,0,1228,247,65,219,192,62,40,9,3,4,843,11,3,5,8,14,12,9,0,5,72,49,18,21,16,15,16,3,7,0,137,59,20,158,64,9,7,5,0,0,319,234,236,173,144,127,89,40,10,0,1052,348,265,355,220,146,115,43,14,0,1505,15041,8864,9342,6838,5628,5563,4068,1599,443,57373,3965,2727,2541,2292,2336,2395,2025,1286,586,20168,35503,21767,21953,20328,22031,24586,21574,13144,4669,185560
