SA4_CODE_2021,Pre_sch_C11_M,Pre_sch_C11_F,Pre_sch_C11_P,Pre_sch_C16_M,Pre_sch_C16_F,Pre_sch_C16_P,Pre_sch_C21_M,Pre_sch_C21_F,Pre_sch_C21_P,Prim_Govt_C11_M,Prim_Govt_C11_F,Prim_Govt_C11_P,Prim_Govt_C16_M,Prim_Govt_C16_F,Prim_Govt_C16_P,Prim_Govt_C21_M,Prim_Govt_C21_F,Prim_Govt_C21_P,Prim_Cath_C11_M,Prim_Cath_C11_F,Prim_Cath_C11_P,Prim_Cath_C16_M,Prim_Cath_C16_F,Prim_Cath_C16_P,Prim_Cath_C21_M,Prim_Cath_C21_F,Prim_Cath_C21_P,Pri_Oth_No_Gov_C11_M,Pri_Oth_No_Gov_C11_F,Pri_Oth_No_Gov_C11_P,Pri_Oth_No_Gov_C16_M,Pri_Oth_No_Gov_C16_F,Pri_Oth_No_Gov_C16_P,Pri_Oth_No_Gov_C21_M,Pri_Oth_No_Gov_C21_F,Pri_Oth_No_Gov_C21_P,Primary_Tot_Prim_C11_M,Primary_Tot_Prim_C11_F,Primary_Tot_Prim_C11_P,Primary_Tot_Prim_C16_M,Primary_Tot_Prim_C16_F,Primary_Tot_Prim_C16_P,Primary_Tot_Prim_C21_M,Primary_Tot_Prim_C21_F,Primary_Tot_Prim_C21_P,Sec_Govern_C11_M,Sec_Govern_C11_F,Sec_Govern_C11_P,Sec_Govern_C16_M,Sec_Govern_C16_F,Sec_Govern_C16_P,Sec_Govern_C21_M,Sec_Govern_C21_F,Sec_Govern_C21_P,Sec_Catholic_C11_M,Sec_Catholic_C11_F,Sec_Catholic_C11_P,Sec_Catholic_C16_M,Sec_Catholic_C16_F,Sec_Catholic_C16_P,Sec_Catholic_C21_M,Sec_Catholic_C21_F,Sec_Catholic_C21_P,Sec_Oth_Non_Gov_C11_M,Sec_Oth_Non_Gov_C11_F,Sec_Oth_Non_Gov_C11_P,Sec_Oth_Non_Gov_C16_M,Sec_Oth_Non_Gov_C16_F,Sec_Oth_Non_Gov_C16_P,Sec_Oth_Non_Gov_C21_M,Sec_Oth_Non_Gov_C21_F,Sec_Oth_Non_Gov_C21_P,Sec_Tot_Sec_C11_M,Sec_Tot_Sec_C11_F,Sec_Tot_Sec_C11_P,Sec_Tot_Sec_C16_M,Sec_Tot_Sec_C16_F,Sec_Tot_Sec_C16_P,Sec_Tot_Sec_C21_M,Sec_Tot_Sec_C21_F,Sec_Tot_Sec_C21_P,Tert_Voc_TPTP_FTS_15_24_C11_M,Tert_Voc_TPTP_FTS_15_24_C11_F,Tert_Voc_TPTP_FTS_15_24_C11_P,Tert_Voc_TPTP_FTS_15_24_C16_M,Tert_Voc_TPTP_FTS_15_24_C16_F,Tert_Voc_TPTP_FTS_15_24_C16_P,Tert_Voc_TPTP_FTS_15_24_C21_M,Tert_Voc_TPTP_FTS_15_24_C21_F,Tert_Voc_TPTP_FTS_15_24_C21_P,Tert_Voc_TPTP_FTS_25ove_C11_M,Tert_Voc_TPTP_FTS_25ove_C11_F,Tert_Voc_TPTP_FTS_25ove_C11_P,Tert_Voc_TPTP_FTS_25ove_C16_M,Tert_Voc_TPTP_FTS_25ove_C16_F,Tert_Voc_TPTP_FTS_25ove_C16_P,Tert_Voc_TPTP_FTS_25ove_C21_M,Tert_Voc_TPTP_FTS_25ove_C21_F,Tert_Voc_TPTP_FTS_25ove_C21_P,Tert_Voc_TPTP_PTS_15_24_C11_M,Tert_Voc_TPTP_PTS_15_24_C11_F,Tert_Voc_TPTP_PTS_15_24_C11_P,Tert_Voc_TPTP_PTS_15_24_C16_M,Tert_Voc_TPTP_PTS_15_24_C16_F,Tert_Voc_TPTP_PTS_15_24_C16_P,Tert_Voc_TPTP_PTS_15_24_C21_M,Tert_Voc_TPTP_PTS_15_24_C21_F,Tert_Voc_TPTP_PTS_15_24_C21_P,Tert_Voc_TPTP_PTS_25ov_C11_M,Tert_Voc_TPTP_PTS_25ov_C11_F,Tert_Voc_TPTP_PTS_25ov_C11_P,Tert_Voc_TPTP_PTS_25ov_C16_M,Tert_Voc_TPTP_PTS_25ov_C16_F,Tert_Voc_TPTP_PTS_25ov_C16_P,Tert_Voc_TPTP_PTS_25ov_C21_M,Tert_Voc_TPTP_PTS_25ov_C21_F,Tert_Voc_TPTP_PTS_25ov_C21_P,Tert_Voc_F_Pt_stu_st_ns_C11_M,Tert_Voc_F_Pt_stu_st_ns_C11_F,Tert_Voc_F_Pt_stu_st_ns_C11_P,Tert_Voc_F_Pt_stu_st_ns_C16_M,Tert_Voc_F_Pt_stu_st_ns_C16_F,Tert_Voc_F_Pt_stu_st_ns_C16_P,Tert_Voc_F_Pt_stu_st_ns_C21_M,Tert_Voc_F_Pt_stu_st_ns_C21_F,Tert_Voc_F_Pt_stu_st_ns_C21_P,Tert_Voc_Tot_C11_M,Tert_Voc_Tot_C11_F,Tert_Voc_Tot_C11_P,Tert_Voc_Tot_C16_M,Tert_Voc_Tot_C16_F,Tert_Voc_Tot_C16_P,Tert_Voc_Tot_C21_M,Tert_Voc_Tot_C21_F,Tert_Voc_Tot_C21_P,Tert_U_Ft_s_15_24_C11_M,Tert_U_Ft_s_15_24_C11_F,Tert_U_Ft_s_15_24_C11_P,Tert_U_Ft_s_15_24_C16_M,Tert_U_Ft_s_15_24_C16_F,Tert_U_Ft_s_15_24_C16_P,Tert_U_Ft_s_15_24_C21_M,Tert_U_Ft_s_15_24_C21_F,Tert_U_Ft_s_15_24_C21_P,Tert_U_Ft_s_25over_C11_M,Tert_U_Ft_s_25over_C11_F,Tert_U_Ft_s_25over_C11_P,Tert_U_Ft_s_25over_C16_M,Tert_U_Ft_s_25over_C16_F,Tert_U_Ft_s_25over_C16_P,Tert_U_Ft_s_25over_C21_M,Tert_U_Ft_s_25over_C21_F,Tert_U_Ft_s_25over_C21_P,Tert_U_Pt_s_15_24_C11_M,Tert_U_Pt_s_15_24_C11_F,Tert_U_Pt_s_15_24_C11_P,Tert_U_Pt_s_15_24_C16_M,Tert_U_Pt_s_15_24_C16_F,Tert_U_Pt_s_15_24_C16_P,Tert_U_Pt_s_15_24_C21_M,Tert_U_Pt_s_15_24_C21_F,Tert_U_Pt_s_15_24_C21_P,Tert_U_Pt_s_25over_C11_M,Tert_U_Pt_s_25over_C11_F,Tert_U_Pt_s_25over_C11_P,Tert_U_Pt_s_25over_C16_M,Tert_U_Pt_s_25over_C16_F,Tert_U_Pt_s_25over_C16_P,Tert_U_Pt_s_25over_C21_M,Tert_U_Pt_s_25over_C21_F,Tert_U_Pt_s_25over_C21_P,Tert_U_F_Pt_s_s_ns_C11_M,Tert_U_F_Pt_s_s_ns_C11_F,Tert_U_F_Pt_s_s_ns_C11_P,Tert_U_F_Pt_s_s_ns_C16_M,Tert_U_F_Pt_s_s_ns_C16_F,Tert_U_F_Pt_s_s_ns_C16_P,Tert_U_F_Pt_s_s_ns_C21_M,Tert_U_F_Pt_s_s_ns_C21_F,Tert_U_F_Pt_s_s_ns_C21_P,Tert_U_Tot_C11_M,Tert_U_Tot_C11_F,Tert_U_Tot_C11_P,Tert_U_Tot_C16_M,Tert_U_Tot_C16_F,Tert_U_Tot_C16_P,Tert_U_Tot_C21_M,Tert_U_Tot_C21_F,Tert_U_Tot_C21_P,Tert_Tot_Tert_C11_M,Tert_Tot_Tert_C11_F,Tert_Tot_Tert_C11_P,Tert_Tot_Tert_C16_M,Tert_Tot_Tert_C16_F,Tert_Tot_Tert_C16_P,Tert_Tot_Tert_C21_M,Tert_Tot_Tert_C21_F,Tert_Tot_Tert_C21_P,Ot_ty_Ed_Ins_Ft_st_C11_M,Ot_ty_Ed_Ins_Ft_st_C11_F
101,1853,1688,3537,1838,1554,3386,2281,2071,4351,6034,5835,11870,6373,5997,12369,6688,6053,12746,1890,1747,3634,1995,1852,3851,2115,1904,4019,668,639,1305,624,602,1221,748,782,1535,8589,8220,16807,8994,8456,17444,9566,8750,18319,4617,4528,9147,4172,4075,8251,4362,4108,8477,1868,1843,3705,1847,1860,3706,1952,1918,3876,676,681,1357,715,656,1367,865,911,1772,7162,7050,14212,6736,6589,13327,7193,6945,14135,251,275,529,183,229,410,280,262,542,122,223,348,96,190,290,240,322,561,998,599,1591,831,537,1366,1075,735,1813,889,1623,2515,651,1189,1839,1017,1771,2791,33,25,60,23,27,52,29,20,42,2297,2747,5044,1786,2178,3961,2633,3111,5744,487,784,1271,655,932,1582,684,1082,1762,263,420,682,318,561,879,399,648,1048,111,181,293,145,270,408,185,343,527,694,1431,2126,745,1535,2285,852,1811,2663,10,9,17,6,17,28,12,14,26,1570,2830,4400,1871,3313,5184,2129,3901,6028,3868,5573,9442,3657,5492,9146,4766,7019,11784,109,117
102,3367,3170,6542,3386,3098,6489,4254,3844,8097,9685,9228,18912,10327,9540,19862,10314,9479,19787,2010,2003,4008,2177,2217,4390,2335,2273,4605,1347,1279,2628,1536,1412,2950,1775,1603,3375,13035,12510,25543,14035,13167,27199,14454,13374,27821,7688,7559,15251,7065,6877,13943,7313,7053,14368,1751,1688,3439,1867,1875,3742,2002,1946,3944,1295,1374,2672,1470,1507,2979,1764,1846,3609,10732,10624,21358,10403,10259,20662,11100,10854,21955,461,536,1003,352,464,812,427,577,1003,194,518,712,216,464,675,345,650,990,1496,811,2305,1310,760,2069,1799,1004,2806,1035,1796,2835,904,1739,2644,1428,2600,4026,37,49,78,32,29,58,26,21,46,3224,3704,6930,2807,3455,6266,4022,4848,8873,1582,2295,3879,1865,2459,4320,1854,2721,4572,523,1032,1550,654,1168,1820,664,1190,1855,334,426,763,435,526,958,414,633,1043,899,1864,2767,1000,2128,3120,1029,2274,3302,15,24,43,19,31,53,11,20,32,3358,5648,9005,3967,6303,10268,3963,6835,10802,6582,9351,15932,6777,9763,16537,7992,11698,19692,154,218
103,2014,1892,3907,1924,1843,3770,2366,2192,4557,5894,5465,11364,6382,5940,12318,6508,6051,12557,2220,2128,4342,2197,2198,4396,2223,2185,4410,532,512,1044,642,582,1221,629,618,1247,8648,8103,16750,9219,8720,17938,9371,8867,18234,4657,4390,9045,4196,3878,8070,4234,3875,8108,1550,1658,3207,1566,1730,3297,1702,1995,3695,778,841,1612,907,871,1778,1156,1043,2203,6980,6883,13864,6670,6482,13143,7095,6921,14022,249,346,593,183,287,462,208,272,479,120,293,417,116,280,396,148,321,470,1003,590,1594,784,590,1374,1019,742,1758,815,1482,2294,679,1340,2017,899,1632,2536,34,41,79,28,28,56,15,16,35,2222,2747,4971,1789,2524,4313,2286,2988,5272,844,1428,2275,821,1328,2150,609,1107,1716,176,318,495,297,454,756,264,482,744,136,258,397,149,288,433,174,327,501,561,1127,1684,595,1292,1881,648,1388,2039,5,17,23,7,17,21,9,7,10,1727,3150,4869,1863,3378,5242,1699,3311,5006,3952,5897,9846,3654,5903,9554,3990,6303,10292,59,83
104,1226,1137,2362,1246,1110,2355,1423,1351,2777,3784,3662,7448,3892,3713,7605,3986,3723,7707,943,816,1759,911,951,1864,1059,1077,2136,676,617,1291,705,662,1367,746,642,1388,5404,5098,10503,5513,5329,10835,5802,5450,11250,3185,3238,6429,2796,2748,5543,2895,2923,5818,700,747,1443,744,681,1427,736,761,1502,712,688,1403,671,654,1325,750,685,1433,4596,4677,9276,4207,4086,8295,4389,4373,8756,213,285,500,176,269,443,183,219,409,150,350,496,124,351,470,176,337,517,574,377,957,437,323,766,553,396,945,588,1137,1724,413,865,1277,673,1134,1805,25,20,49,14,8,21,5,6,19,1550,2170,3727,1165,1820,2982,1600,2095,3694,341,613,953,259,461,725,256,535,795,168,372,543,165,358,520,165,408,577,69,124,195,82,156,231,90,176,262,301,667,972,338,775,1116,391,931,1321,4,5,10,0,3,7,4,5,13,883,1782,2669,849,1758,2602,910,2064,2966,2437,3955,6393,2012,3576,5586,2514,4159,6673,69,101
105,1154,1087,2239,1172,1126,2302,1318,1226,2541,3382,3187,6569,3227,3023,6254,3050,2878,5933,1344,1361,2704,1295,1333,2626,1234,1332,2563,327,315,644,372,311,688,410,370,774,5058,4858,9912,4899,4671,9569,4703,4584,9286,2731,2599,5327,2386,2304,4691,2329,2259,4586,541,552,1097,508,555,1068,542,531,1073,286,357,645,326,360,688,394,464,860,3557,3507,7061,3220,3224,6443,3267,3260,6530,153,183,337,113,170,284,110,131,236,89,203,294,51,204,259,101,192,290,492,362,857,378,279,660,440,328,768,476,917,1396,350,696,1048,394,852,1239,23,16,37,7,13,21,12,3,14,1232,1682,2917,906,1361,2269,1052,1501,2552,113,387,502,158,331,486,144,338,483,47,187,232,74,192,265,113,248,360,50,123,176,44,121,161,39,122,161,257,507,761,271,634,898,241,723,964,3,9,15,4,13,17,4,6,7,474,1209,1683,546,1287,1833,539,1437,1978,1703,2891,4595,1451,2651,4104,1600,2944,4538,53,58
106,2607,2462,5073,2729,2536,5264,3473,3286,6761,7950,7418,15373,8579,8201,16775,8880,8385,17256,1937,1942,3883,2281,2195,4477,2743,2541,5290,1151,995,2142,1242,1140,2381,1402,1367,2771,11043,10356,21403,12095,11530,23632,13041,12307,25346,5494,5586,11080,5473,5349,10824,6000,5751,11748,1569,1791,3363,1743,1752,3493,2082,2223,4303,1025,1008,2034,1302,1194,2499,1433,1381,2815,8094,8386,16474,8518,8294,16813,9516,9361,18878,351,424,774,311,422,725,409,501,913,135,312,444,125,307,426,273,506,780,1468,756,2228,1012,692,1705,1530,1013,2538,905,1403,2308,749,1429,2174,1136,2246,3379,41,29,65,23,19,49,28,21,47,2901,2919,5821,2223,2866,5089,3380,4281,7661,785,1286,2072,912,1381,2291,1001,1654,2656,190,516,704,315,698,1010,401,821,1221,194,334,529,233,362,593,242,487,734,620,1128,1753,673,1396,2068,814,1868,2687,8,9,24,8,14,19,9,13,21,1801,3276,5078,2126,3851,5975,2473,4844,7320,4698,6197,10893,4349,6709,11065,5859,9133,14990,112,135
107,3003,2847,5847,3125,2833,5958,3858,3505,7367,8513,7877,16384,9059,8546,17610,9630,8859,18497,2147,2225,4377,2330,2394,4725,2286,2292,4581,921,849,1768,933,848,1786,927,935,1863,11579,10949,22531,12327,11796,24118,12850,12115,24968,6373,6143,12513,6107,5878,11979,6483,6324,12806,2172,2271,4437,2418,2601,5018,2512,2551,5060,896,820,1717,977,870,1852,1063,1027,2090,9445,9230,18676,9497,9345,18845,10067,9921,19982,580,608,1188,411,462,868,462,558,1022,292,571,864,317,540,863,410,684,1098,1515,780,2301,1300,630,1928,1803,1038,2844,1020,1528,2547,810,1277,2084,1348,2240,3593,50,32,81,38,32,75,24,20,42,3451,3520,6977,2875,2942,5821,4049,4544,8597,3723,4074,7801,4423,4658,9084,3372,4610,7983,1362,1230,2590,1753,1501,3254,1310,1491,2808,409,443,845,445,583,1027,546,731,1279,979,1635,2621,1092,1929,3018,1173,2227,3402,27,31,56,20,22,40,13,14,23,6500,7417,13910,7734,8697,16431,6412,9081,15493,9950,10937,20888,10609,11639,22250,10475,13642,24119,168,187
108,1879,1735,3610,1865,1670,3536,2026,1883,3910,5569,5279,10843,5636,5307,10943,5635,5467,11100,1657,1608,3268,1588,1619,3206,1556,1476,3031,688,601,1286,823,764,1589,979,969,1948,7914,7492,15405,8047,7688,15737,8181,7917,16099,4566,4432,8993,3831,3770,7610,3859,3741,7602,1479,1566,3052,1746,1685,3430,1759,1758,3521,585,587,1172,703,768,1476,929,947,1872,6630,6584,13217,6290,6223,12511,6552,6458,13011,283,359,646,220,288,511,257,323,581,198,504,701,167,441,603,186,431,614,726,449,1173,612,464,1078,832,625,1452,717,1308,2021,506,1168,1676,735,1605,2336,23,32,52,23,19,44,22,12,34,1950,2650,4598,1523,2387,3914,2022,2990,5016,208,492,693,319,665,980,523,1063,1592,137,329,466,198,441,636,248,597,848,67,141,204,71,171,240,99,245,347,344,845,1192,421,995,1414,482,1194,1677,3,9,16,11,13,17,5,6,12,763,1813,2572,1012,2287,3300,1366,3103,4475,2714,4465,7173,2533,4668,7205,3393,6105,9498,65,137
109,1035,948,1980,1027,972,1998,1321,1217,2536,2960,2940,5897,3149,2968,6114,3150,2902,6056,1055,941,1993,1051,1091,2138,1119,1139,2263,518,542,1054,567,582,1150,675,638,1310,4526,4416,8946,4766,4632,9397,4949,4687,9634,2615,2555,5168,2226,2245,4474,2218,2287,4500,544,607,1154,683,710,1391,785,757,1544,571,571,1140,553,666,1222,676,772,1446,3722,3743,7459,3467,3621,7085,3678,3815,7497,197,234,431,124,150,280,161,198,361,105,188,291,79,181,264,151,246,399,534,343,885,415,253,665,532,345,878,478,932,1413,340,635,980,467,907,1373,20,18,41,10,5,16,11,6,16,1334,1719,3056,972,1225,2202,1320,1711,3031,331,862,1188,327,739,1064,276,685,959,111,238,351,143,281,423,133,284,418,66,118,181,77,122,200,80,160,235,237,520,759,271,599,871,281,696,983,3,9,14,0,6,12,4,3,6,750,1746,2499,814,1751,2570,773,1830,2604,2086,3469,5554,1788,2976,4772,2103,3540,5641,65,55
110,1812,1664,3480,1786,1679,3469,2004,1802,3811,5458,5123,10581,5515,5231,10747,5276,5032,10306,1663,1582,3242,1726,1743,3469,1807,1729,3536,712,702,1414,600,597,1197,711,705,1414,7833,7404,15240,7844,7569,15417,7798,7472,15276,4376,3988,8366,3952,3665,7615,4077,3624,7696,827,992,1817,846,982,1824,909,1121,2027,870,973,1842,866,1057,1927,817,1113,1932,6072,5954,12020,5663,5702,11364,5807,5861,11666,233,298,530,153,200,358,195,197,402,163,379,538,127,246,379,140,339,482,695,447,1146,527,444,972,669,532,1196,682,1349,2030,477,945,1421,694,1454,2145,31,24,50,22,19,36,8,10,20,1798,2499,4293,1313,1853,3165,1712,2530,4246,917,1469,2388,1007,1434,2442,594,1091,1687,352,440,795,391,622,1011,354,535,893,136,237,370,180,316,496,167,324,493,519,997,1515,475,1065,1537,508,1182,1687,13,19,30,19,17,33,0,9,5,1938,3158,5091,2067,3446,5521,1622,3137,4764,3732,5654,9388,3385,5295,8684,3343,5672,9013,74,79
