SA4_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
101,628,202,130,424,4960,242,171,854,810,495,205,168,353,3294,239,237,729,748,540,248,250,451,3448,25862,11014,27406,17093,7173,2238,1459,7581,99836
102,834,254,117,784,8139,405,403,1579,1400,727,241,183,777,5712,486,432,1482,1358,836,336,299,1379,6619,38292,17310,42955,25777,9638,2835,1641,10024,148463
103,585,223,120,464,4390,251,153,651,776,515,199,185,390,3122,269,193,638,722,546,305,286,469,3417,21025,8644,21901,16351,7490,2487,1697,7091,86692
104,410,139,68,305,3546,191,150,627,590,392,146,110,287,2491,172,169,588,579,420,186,159,441,2718,14582,6680,17331,11345,4938,1557,997,5036,62467
105,330,132,86,314,2263,96,63,322,408,286,130,112,298,1708,84,82,288,344,297,143,152,370,1761,10791,4507,11000,8229,4141,1401,1104,5897,47084
106,694,205,134,502,5585,259,187,949,847,537,225,149,391,3539,229,252,772,799,552,241,247,590,3668,29785,12936,34163,21933,8723,2651,1776,7182,119155
107,685,224,105,469,6035,289,309,1313,1222,581,229,143,488,4578,242,321,1292,1181,616,311,209,871,5039,38400,14263,38557,22186,7807,2396,1386,7593,132598
108,782,207,147,609,7009,337,280,1200,1135,700,259,173,550,4641,430,356,1151,1069,774,328,260,773,5138,22201,10207,28605,19031,8155,2551,1528,7809,100094
109,392,143,94,309,2795,135,93,431,500,358,147,132,298,2093,125,104,321,444,350,199,186,305,2032,12200,5004,13322,9942,4281,1427,1044,4597,51818
110,547,200,130,492,4016,196,140,618,726,505,186,188,414,2968,188,140,499,608,476,235,265,484,2895,18433,7245,18738,14169,6314,2156,1632,8393,77085
111,836,229,136,617,8048,417,334,1621,1476,747,285,198,647,5728,422,520,1635,1520,918,424,326,1127,6888,49857,18783,47899,26820,9337,2734,1695,9514,166643
112,688,195,137,557,5888,332,258,1065,1055,631,289,168,537,4322,358,330,985,1066,739,326,340,984,5124,29135,12550,29946,18664,7675,2318,1488,10037,111823
113,467,183,136,316,3001,140,96,495,537,418,186,165,283,2326,141,136,453,534,465,250,274,393,2660,16904,6264,15864,12403,6024,2106,1568,5474,66604
114,504,136,88,369,4634,273,212,823,805,424,155,84,317,3093,226,205,752,708,421,177,152,455,3093,16594,7565,19905,12904,5187,1513,871,4812,69352
115,441,112,71,216,4140,167,191,872,721,323,139,73,219,2707,208,230,803,667,386,142,148,441,3020,29559,14093,35564,16974,5290,1301,763,3993,107538
116,544,207,212,331,4048,134,195,648,575,374,213,206,309,2651,147,255,540,472,323,226,334,476,2770,45000,22799,42712,20682,8702,3305,2807,10525,156538
117,249,78,54,305,3230,267,267,751,439,212,63,73,273,2354,224,262,634,386,192,109,106,380,2297,84885,17578,20323,7205,2233,704,571,11445,144949
118,305,80,48,373,4372,424,331,966,721,289,74,61,403,3263,409,399,951,683,327,103,115,1000,3986,52267,14374,25861,11176,2975,628,450,7961,115684
119,804,339,292,805,9039,474,614,2504,1533,717,283,363,816,7305,554,755,2209,1585,878,440,615,1806,8839,83271,35694,61047,30894,12581,4759,3697,19027,250979
120,349,124,74,324,4468,322,312,1162,753,341,133,108,306,3435,395,366,1106,804,429,209,215,770,4294,57257,20207,30802,12031,3557,1031,700,8086,133677
