SA4_CODE_2021,C21_F_Health_15_19,C21_F_Health_20_24,C21_F_Health_25_34,C21_F_Health_35_44,C21_F_Health_45_54,C21_F_Health_55_64,C21_F_Health_65_74,C21_F_Health_75_84,C21_F_Health_85over,C21_F_Health_Tot,C21_F_Educ_15_19,C21_F_Educ_20_24,C21_F_Educ_25_34,C21_F_Educ_35_44,C21_F_Educ_45_54,C21_F_Educ_55_64,C21_F_Educ_65_74,C21_F_Educ_75_84,C21_F_Educ_85over,C21_F_Educ_Tot,C21_F_MngtCom_15_19,C21_F_MngtCom_20_24,C21_F_MngtCom_25_34,C21_F_MngtCom_35_44,C21_F_MngtCom_45_54,C21_F_MngtCom_55_64,C21_F_MngtCom_65_74,C21_F_MngtCom_75_84,C21_F_MngtCom_85over,C21_F_MngtCom_Tot,C21_F_Soc_cult_15_19,C21_F_Soc_cult_20_24,C21_F_Soc_cult_25_34,C21_F_Soc_cult_35_44,C21_F_Soc_cult_45_54,C21_F_Soc_cult_55_64,C21_F_Soc_cult_65_74,C21_F_Soc_cult_75_84,C21_F_Soc_cult_85over,C21_F_Soc_cult_Tot,C21_F_Creative_art_15_19,C21_F_Creative_art_20_24,C21_F_Creative_art_25_34,C21_F_Creative_art_35_44,C21_F_Creative_art_45_54,C21_F_Creative_art_55_64,C21_F_Creative_art_65_74,C21_F_Creative_art_75_84,C21_F_Creative_art_85over,C21_F_Creative_art_Tot,C21_F_FoodHos_PS_15_19,C21_F_FoodHos_PS_20_24,C21_F_FoodHos_PS_25_34,C21_F_FoodHos_PS_35_44,C21_F_FoodHos_PS_45_54,C21_F_FoodHos_PS_55_64,C21_F_FoodHos_PS_65_74,C21_F_FoodHos_PS_75_84,C21_F_FoodHos_PS_85over,C21_F_FoodHos_PS_Tot,C21_F_MixFld_pr_15_19,C21_F_MixFld_pr_20_24,C21_F_MixFld_pr_25_34,C21_F_MixFld_pr_35_44,C21_F_MixFld_pr_45_54,C21_F_MixFld_pr_55_64,C21_F_MixFld_pr_65_74,C21_F_MixFld_pr_75_84,C21_F_MixFld_pr_85over,C21_F_MixFld_pr_Tot,C21_F_FldStu_ID_15_19,C21_F_FldStu_ID_20_24,C21_F_FldStu_ID_25_34,C21_F_FldStu_ID_35_44,C21_F_FldStu_ID_45_54,C21_F_FldStu_ID_55_64,C21_F_FldStu_ID_65_74,C21_F_FldStu_ID_75_84,C21_F_FldStu_ID_85over,C21_F_FldStu_ID_Tot,C21_F_FldStu_NS_15_19,C21_F_FldStu_NS_20_24,C21_F_FldStu_NS_25_34,C21_F_FldStu_NS_35_44,C21_F_FldStu_NS_45_54,C21_F_FldStu_NS_55_64,C21_F_FldStu_NS_65_74,C21_F_FldStu_NS_75_84,C21_F_FldStu_NS_85over,C21_F_FldStu_NS_Tot,C21_F_Tot_15_19,C21_F_Tot_20_24,C21_F_Tot_25_34,C21_F_Tot_35_44,C21_F_Tot_45_54,C21_F_Tot_55_64,C21_F_Tot_65_74,C21_F_Tot_75_84,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85over,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85over,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85over,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85over,C11_P_ArchBuild_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85over,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85over,C11_P_Health_Tot,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85over,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85over,C11_P_MngtCom_Tot,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85over,C11_P_Soc_cult_Tot,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_art_85over,C11_P_Creative_art_Tot
101,37,333,1594,1436,1607,2055,1581,670,187,9503,22,233,1140,1326,1352,1529,1461,573,158,7785,97,491,2206,2624,2919,2657,1672,549,147,13364,62,515,1809,2059,2188,2144,1291,354,52,10475,29,97,455,476,439,389,281,110,30,2309,110,332,926,802,708,543,330,135,23,3910,0,9,12,3,12,11,7,6,0,69,6,24,122,170,198,157,109,37,11,843,508,405,1019,1061,1142,1336,1335,1085,664,8558,913,2692,10321,10988,11679,11791,8710,3715,1350,62169,0,56,298,517,493,499,311,105,24,2303,59,138,481,462,440,268,71,17,0,1939,107,641,1660,2550,3027,2849,1978,893,244,13953,63,380,938,1242,1474,1239,742,338,81,6495,49,186,572,912,891,687,354,157,29,3837,28,213,920,1478,2114,1854,1018,438,140,8208,8,121,796,1212,1567,1976,975,307,89,7058,162,760,2374,3394,3116,2610,1249,424,177,14265,106,558,1685,2364,2255,1872,827,230,65,9967,18,142,451,540,497,419,233,93,21,2427
102,120,789,2765,2822,2765,2855,1944,836,233,15138,45,456,1899,2092,1982,1798,1847,699,170,10988,172,847,3192,4421,4333,3780,2649,1085,275,20755,149,946,2785,3032,3101,2611,1481,465,88,14654,72,360,856,905,640,449,299,152,33,3779,173,518,1428,1349,1192,901,604,257,73,6487,9,15,22,7,13,25,18,7,4,112,8,39,125,184,201,168,118,42,24,912,521,533,1260,1317,1234,1280,1691,1999,1795,11637,1320,4813,15199,17208,16546,14816,11292,5821,2775,89799,4,123,330,511,424,360,224,115,30,2125,60,242,651,693,527,272,63,14,3,2529,119,908,2541,3793,4770,4150,3227,1885,592,21974,90,609,1786,2152,2080,1592,1057,597,166,10130,61,234,576,619,521,282,171,77,24,2563,106,605,2115,2738,3298,2294,1160,636,171,13121,23,304,1593,1900,2148,2409,1115,557,134,10173,418,1546,4340,5178,4797,3799,2245,1002,319,23641,215,1053,2510,2853,2564,1863,882,352,88,12378,83,403,804,836,592,448,280,124,41,3614
103,73,502,1784,1484,1415,1690,1282,553,187,8956,31,311,1303,1317,1339,1223,1132,478,118,7260,77,470,1936,2146,2292,1999,1244,427,115,10716,103,501,1537,1553,1540,1289,707,213,34,7474,16,109,373,339,278,223,143,67,22,1567,103,348,885,755,638,376,219,99,20,3455,4,18,16,7,10,12,7,7,0,80,9,22,80,88,117,76,61,26,7,483,513,450,1021,1022,1105,1096,1162,1059,626,8046,965,2917,9664,9426,9457,8568,6331,3088,1178,51593,4,56,226,287,275,238,120,35,8,1243,33,122,254,230,201,134,43,6,0,1028,138,938,2296,2758,2912,2367,1436,688,163,13704,60,402,861,838,900,752,426,218,46,4499,72,245,685,887,945,716,488,170,33,4244,83,402,1223,1566,1901,1618,786,406,129,8108,14,227,1067,1372,1444,1572,772,311,78,6862,187,800,2279,2622,2516,1998,856,331,113,11692,111,511,1328,1442,1305,1001,423,147,40,6308,40,164,351,308,267,249,173,50,16,1600
104,43,267,1046,1048,1156,1408,1092,450,99,6621,12,136,679,891,884,1024,975,368,98,5068,63,281,1123,1319,1570,1529,1149,425,102,7554,45,285,995,1117,1280,1323,798,196,37,6064,16,46,230,274,250,234,154,71,12,1279,80,255,581,567,497,371,242,98,11,2700,7,9,9,3,3,9,9,8,10,65,8,18,62,69,94,79,65,11,3,403,346,271,723,754,743,737,850,827,608,5858,658,1652,5791,6496,6951,7147,5631,2559,1018,37892,3,23,96,159,177,233,119,41,11,867,32,97,160,173,151,100,36,10,0,760,95,304,800,1290,1799,1978,1397,726,180,8562,50,173,496,722,1015,902,494,237,66,4149,35,118,320,447,435,291,114,63,16,1840,41,167,650,1119,1513,1282,620,273,77,5741,3,78,526,800,1160,1384,701,242,52,4956,146,558,1354,1684,1938,1694,801,312,118,8594,70,292,847,1191,1346,1097,391,131,31,5398,18,88,238,295,310,255,124,42,15,1389
105,40,279,1158,800,657,878,579,254,81,4731,22,157,788,771,741,594,409,166,39,3675,32,181,1159,997,1028,903,492,163,28,4981,44,247,867,746,694,675,304,65,11,3651,3,37,118,92,70,52,52,30,6,467,44,158,405,327,271,185,132,54,8,1583,4,10,14,4,7,6,0,3,0,51,3,11,44,39,52,42,25,12,4,239,409,380,973,941,887,884,822,739,444,6488,620,1562,5947,5040,4688,4505,2956,1551,635,27498,0,26,97,120,101,99,34,13,0,495,12,57,120,87,109,45,20,4,0,453,91,441,1052,1223,1404,1181,679,319,75,6459,40,197,388,369,453,412,250,94,15,2216,57,199,480,584,559,334,191,81,11,2499,39,225,761,829,1113,819,401,179,67,4441,0,178,834,833,765,691,270,96,31,3703,90,437,1189,1341,1290,866,339,127,31,5711,63,292,784,830,713,515,171,40,10,3427,11,47,119,103,100,96,50,19,10,559
106,94,586,2278,2024,2008,2167,1606,620,151,11534,34,381,1473,1642,1409,1307,1249,435,120,8042,164,902,3326,3554,3376,2849,1658,593,122,16540,152,764,2244,2247,2068,1811,961,261,37,10537,39,163,439,410,335,256,196,86,29,1947,192,556,1575,1224,1015,599,374,137,19,5700,9,16,17,8,10,10,3,4,5,71,6,28,104,121,128,105,62,28,6,602,475,479,1143,1066,1055,1060,1227,1155,752,8403,1252,4175,13682,13329,12338,10955,7786,3484,1287,68283,3,95,295,383,335,315,148,49,8,1616,38,136,350,267,258,170,50,14,0,1278,189,1711,4276,4891,5100,4035,2427,1015,265,23909,49,371,947,1113,1155,952,672,250,55,5564,59,230,664,639,511,343,177,60,15,2691,58,402,1412,1859,2244,1796,914,352,105,9144,9,195,1001,1318,1415,1647,721,293,68,6660,331,1272,3247,3585,3130,2266,1225,430,122,15607,119,580,1615,1627,1509,1107,467,149,22,7197,30,179,418,353,280,244,139,79,15,1742
107,114,897,3077,2497,2202,2132,1390,509,153,12976,38,438,2156,2084,1915,1953,1796,633,153,11163,175,1046,3478,4071,3907,3139,1871,637,199,18533,155,1178,3048,3032,2795,2363,1295,376,70,14318,64,442,985,828,623,387,244,111,22,3704,162,614,1292,1121,978,617,349,157,25,5313,14,14,14,12,8,16,13,17,23,133,15,56,161,175,175,150,85,51,23,870,471,551,1124,1049,966,918,1035,1209,1046,8369,1238,5689,16733,16108,14677,12604,8581,3902,1826,81353,3,253,661,607,575,509,258,82,17,2964,58,349,956,616,448,205,54,16,0,2698,129,1297,3689,4770,5600,4590,2797,1470,449,24792,99,616,1626,1759,1527,1024,713,410,102,7872,29,139,490,473,381,196,97,37,13,1859,78,642,2049,2312,2516,1688,785,346,104,10525,13,349,1701,1935,2385,2495,969,381,100,10334,324,1920,4591,4868,4108,2810,1308,540,171,20653,172,1267,2814,2933,2482,1693,643,244,56,12310,71,467,902,763,568,346,168,80,26,3402
108,80,436,1569,1511,1753,2401,1782,788,228,10551,26,193,966,1131,1285,1538,1568,673,164,7542,106,399,1440,1920,2294,2734,2128,849,230,12102,94,484,1351,1635,1929,1917,1217,341,63,9036,17,71,254,289,278,295,245,97,33,1587,115,312,853,790,688,645,514,177,46,4135,6,22,9,4,10,17,6,6,4,88,6,15,56,76,101,130,83,41,16,528,553,371,919,937,1035,1362,1632,1597,1158,9555,1038,2414,7819,8799,10034,11751,9723,4792,2010,58380,0,13,85,202,221,280,202,76,30,1107,34,113,204,221,243,216,70,8,0,1104,103,475,1181,1917,2762,3033,2793,1541,439,14235,57,265,712,1100,1416,1367,959,469,103,6451,54,130,353,586,565,436,201,103,25,2452,48,311,982,1645,2378,1931,1108,534,145,9080,14,124,631,1174,1558,2008,1111,478,95,7183,203,672,1738,2411,2788,2490,1659,702,225,12893,101,395,1098,1544,1730,1381,624,227,47,7152,16,83,251,330,353,337,212,91,21,1706
109,32,287,1058,949,825,999,831,352,98,5439,12,148,710,823,704,732,580,279,47,4047,31,262,1012,1208,1221,1049,580,187,57,5605,44,249,809,858,939,899,515,123,17,4434,9,54,145,164,124,113,75,40,14,733,36,217,589,454,395,292,198,90,28,2294,3,15,9,8,3,11,5,3,0,52,0,9,45,58,61,52,39,16,4,287,328,262,607,619,612,736,789,746,397,5101,505,1616,5441,5540,5247,5200,3759,1908,680,29896,0,33,123,152,99,106,53,18,3,597,7,68,138,124,95,70,26,7,0,533,76,458,1094,1231,1517,1315,876,384,109,7057,51,262,453,490,560,440,292,168,30,2749,41,176,527,589,560,389,179,73,9,2553,30,230,793,818,1115,966,477,215,75,4715,5,105,590,693,857,779,445,142,42,3658,116,503,1430,1509,1378,955,439,185,54,6573,47,262,751,893,771,650,203,55,19,3658,13,62,196,147,128,110,55,20,8,755
110,92,416,1490,1199,1214,1482,1163,526,163,7738,23,240,1015,1177,1099,1096,928,420,100,6098,92,409,1582,1686,1809,1615,990,375,90,8650,87,373,1345,1326,1313,1224,686,225,42,6623,21,56,236,204,194,182,97,54,25,1069,106,299,674,566,428,331,187,58,12,2659,10,9,11,9,7,9,6,0,0,55,7,18,62,68,93,58,56,22,5,398,780,657,1230,1165,1220,1260,1188,1119,619,9249,1273,2719,8386,8117,7926,7777,5604,2916,1087,45809,0,60,197,273,276,274,150,48,26,1312,28,91,205,162,149,104,38,13,0,793,111,675,1609,1753,2116,1836,1169,464,107,9852,70,293,618,658,813,684,421,202,31,3774,80,295,853,941,837,656,395,158,42,4253,69,300,994,1319,1743,1468,793,327,118,7131,10,183,1010,1203,1361,1450,677,258,68,6235,173,749,1971,2269,2226,1680,793,259,76,10194,116,518,1268,1495,1411,1166,449,124,39,6577,38,126,261,297,250,195,110,63,18,1349
