SA4_CODE_2021,C21_20_24_Mar_DFM_F,C21_20_24_Mar_DFM_P,C21_20_24_N_mar_M,C21_20_24_N_mar_F,C21_20_24_N_mar_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_29_Mar_RegM_M,C21_25_29_Mar_RegM_F,C21_25_29_Mar_RegM_P,C21_25_29_Mar_DFM_M,C21_25_29_Mar_DFM_F,C21_25_29_Mar_DFM_P,C21_25_29_N_mar_M,C21_25_29_N_mar_F,C21_25_29_N_mar_P,C21_25_29_Tot_M,C21_25_29_Tot_F,C21_25_29_Tot_P,C21_30_34_Mar_RegM_M,C21_30_34_Mar_RegM_F,C21_30_34_Mar_RegM_P,C21_30_34_Mar_DFM_M,C21_30_34_Mar_DFM_F,C21_30_34_Mar_DFM_P,C21_30_34_N_mar_M,C21_30_34_N_mar_F,C21_30_34_N_mar_P,C21_30_34_Tot_M,C21_30_34_Tot_F,C21_30_34_Tot_P,C21_35_39_Mar_RegM_M,C21_35_39_Mar_RegM_F,C21_35_39_Mar_RegM_P,C21_35_39_Mar_DFM_M,C21_35_39_Mar_DFM_F,C21_35_39_Mar_DFM_P,C21_35_39_N_mar_M,C21_35_39_N_mar_F,C21_35_39_N_mar_P,C21_35_39_Tot_M,C21_35_39_Tot_F,C21_35_39_Tot_P,C21_40_44_Mar_RegM_M,C21_40_44_Mar_RegM_F,C21_40_44_Mar_RegM_P,C21_40_44_Mar_DFM_M,C21_40_44_Mar_DFM_F,C21_40_44_Mar_DFM_P,C21_40_44_N_mar_M,C21_40_44_N_mar_F,C21_40_44_N_mar_P,C21_40_44_Tot_M,C21_40_44_Tot_F,C21_40_44_Tot_P,C21_45_49_Mar_RegM_M,C21_45_49_Mar_RegM_F,C21_45_49_Mar_RegM_P,C21_45_49_Mar_DFM_M,C21_45_49_Mar_DFM_F,C21_45_49_Mar_DFM_P,C21_45_49_N_mar_M,C21_45_49_N_mar_F,C21_45_49_N_mar_P,C21_45_49_Tot_M,C21_45_49_Tot_F,C21_45_49_Tot_P,C21_50_54_Mar_RegM_M,C21_50_54_Mar_RegM_F,C21_50_54_Mar_RegM_P,C21_50_54_Mar_DFM_M,C21_50_54_Mar_DFM_F,C21_50_54_Mar_DFM_P,C21_50_54_N_mar_M,C21_50_54_N_mar_F,C21_50_54_N_mar_P,C21_50_54_Tot_M,C21_50_54_Tot_F,C21_50_54_Tot_P,C21_55_59_Mar_RegM_M,C21_55_59_Mar_RegM_F,C21_55_59_Mar_RegM_P,C21_55_59_Mar_DFM_M,C21_55_59_Mar_DFM_F,C21_55_59_Mar_DFM_P,C21_55_59_N_mar_M,C21_55_59_N_mar_F,C21_55_59_N_mar_P,C21_55_59_Tot_M,C21_55_59_Tot_F,C21_55_59_Tot_P,C21_60_64_Mar_RegM_M,C21_60_64_Mar_RegM_F,C21_60_64_Mar_RegM_P,C21_60_64_Mar_DFM_M,C21_60_64_Mar_DFM_F,C21_60_64_Mar_DFM_P,C21_60_64_N_mar_M,C21_60_64_N_mar_F,C21_60_64_N_mar_P,C21_60_64_Tot_M,C21_60_64_Tot_F,C21_60_64_Tot_P,C21_65_69_Mar_RegM_M,C21_65_69_Mar_RegM_F,C21_65_69_Mar_RegM_P,C21_65_69_Mar_DFM_M,C21_65_69_Mar_DFM_F,C21_65_69_Mar_DFM_P,C21_65_69_N_mar_M,C21_65_69_N_mar_F,C21_65_69_N_mar_P,C21_65_69_Tot_M,C21_65_69_Tot_F,C21_65_69_Tot_P,C21_70_74_Mar_RegM_M,C21_70_74_Mar_RegM_F,C21_70_74_Mar_RegM_P,C21_70_74_Mar_DFM_M,C21_70_74_Mar_DFM_F,C21_70_74_Mar_DFM_P,C21_70_74_N_mar_M,C21_70_74_N_mar_F,C21_70_74_N_mar_P,C21_70_74_Tot_M,C21_70_74_Tot_F,C21_70_74_Tot_P,C21_75_79_Mar_RegM_M,C21_75_79_Mar_RegM_F,C21_75_79_Mar_RegM_P,C21_75_79_Mar_DFM_M,C21_75_79_Mar_DFM_F,C21_75_79_Mar_DFM_P,C21_75_79_N_mar_M,C21_75_79_N_mar_F,C21_75_79_N_mar_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Mar_RegM_M,C21_80_84_Mar_RegM_F,C21_80_84_Mar_RegM_P,C21_80_84_Mar_DFM_M,C21_80_84_Mar_DFM_F,C21_80_84_Mar_DFM_P,C21_80_84_N_mar_M,C21_80_84_N_mar_F,C21_80_84_N_mar_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Mar_RegM_M,C21_85_over_Mar_RegM_F,C21_85_over_Mar_RegM_P,C21_85_over_Mar_DFM_M,C21_85_over_Mar_DFM_F,C21_85_over_Mar_DFM_P,C21_85_over_N_mar_M,C21_85_over_N_mar_F,C21_85_over_N_mar_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Marr_reg_marr_M,C21_Tot_Marr_reg_marr_F,C21_Tot_Marr_reg_marr_P,C21_Tot_Mar_de_fa_mar_M,C21_Tot_Mar_de_fa_mar_F,C21_Tot_Mar_de_fa_mar_P,C21_Tot_N_mar_M,C21_Tot_N_mar_F,C21_Tot_N_mar_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
101,1121,1893,3976,3211,7189,4858,4551,9414,918,1515,2432,1571,1833,3403,2935,2318,5256,5425,5664,11090,2512,3198,5706,1500,1514,3016,1959,1755,3715,5970,6467,12439,3405,3755,7155,1158,1189,2346,1532,1571,3099,6092,6510,12601,3371,3669,7042,906,933,1842,1368,1657,3025,5644,6258,11900,3863,4096,7961,1006,1026,2031,1767,1837,3601,6635,6956,13587,4042,4556,8595,1013,1075,2090,2012,2155,4166,7067,7783,14847,4414,4547,8965,943,903,1844,2233,2417,4656,7592,7872,15465,4708,4811,9516,849,787,1635,2338,2455,4789,7895,8048,15945,4527,4409,8929,637,487,1129,2001,2474,4469,7167,7363,14531,4479,3796,8278,462,328,797,1724,2313,4042,6669,6442,13110,2949,2297,5247,193,134,326,1162,1975,3135,4304,4408,8710,1749,1131,2881,98,54,155,787,1629,2412,2631,2819,5450,1026,464,1487,37,22,61,713,1806,2521,1769,2295,4069,42066,42462,84528,11213,11543,22756,32520,34919,67434,85798,88918,174718
102,1705,2844,7331,6339,13670,8622,8322,16942,1168,1880,3048,2510,2824,5333,4742,3898,8641,8416,8597,17019,3423,4479,7906,2219,2202,4415,3025,2852,5879,8666,9538,18201,5188,5901,11085,1635,1652,3286,2405,2639,5047,9230,10189,19421,5400,5822,11221,1444,1380,2821,2431,2824,5253,9267,10018,19288,5727,5924,11656,1357,1363,2716,2756,3401,6161,9842,10691,20531,5684,5880,11558,1286,1232,2517,3078,3744,6815,10039,10855,20893,5775,5998,11771,1114,1022,2136,3129,3950,7081,10016,10968,20984,5942,6181,12122,848,831,1676,2992,4218,7212,9787,11227,21011,5756,5596,11355,620,561,1178,2518,4157,6674,8898,10312,19212,5729,5294,11020,439,362,804,2359,4239,6600,8530,9897,18426,4347,3519,7866,302,202,499,1871,3684,5558,6514,7412,13929,2829,1868,4702,165,91,253,1282,3006,4287,4277,4961,9241,1657,795,2454,58,34,91,1311,3800,5112,3036,4624,7657,58776,59429,118204,15242,15610,30852,50929,61704,112632,124948,136741,261690
103,1349,2274,3720,2991,6711,4785,4590,9371,1036,1503,2534,1654,1799,3459,2426,2193,4620,5114,5497,10613,2331,2848,5181,1314,1265,2581,1691,1739,3433,5330,5855,11188,2901,3264,6169,983,917,1893,1409,1584,2992,5289,5767,11058,2870,3120,5990,721,790,1508,1357,1462,2822,4944,5371,10320,3149,3516,6666,696,719,1413,1640,1752,3397,5488,5982,11472,3350,3598,6948,736,693,1425,1767,1896,3658,5847,6184,12033,3471,3718,7189,641,623,1265,2017,2017,4030,6128,6351,12485,3698,3738,7436,554,461,1010,1909,2127,4046,6161,6321,12482,3583,3414,6998,341,237,586,1693,1936,3630,5621,5596,11218,3489,3104,6601,258,191,451,1531,2124,3655,5278,5422,10698,2475,1897,4376,137,108,246,1121,1883,3000,3739,3889,7627,1459,955,2409,60,24,84,768,1647,2415,2288,2627,4909,861,444,1302,20,14,39,686,1830,2516,1566,2287,3859,34814,35380,70195,9114,9346,18466,29500,32240,61742,73434,76971,150403
104,683,1152,2255,1851,4102,2788,2680,5465,488,749,1242,829,946,1777,1593,1457,3049,2918,3150,6066,1174,1545,2716,829,818,1644,1207,1299,2508,3204,3654,6864,1702,1942,3644,665,654,1317,1001,1130,2131,3374,3723,7093,1665,1947,3617,533,601,1134,978,1208,2187,3181,3756,6941,2010,2192,4203,580,612,1188,1136,1416,2556,3730,4220,7948,2089,2318,4406,571,608,1180,1233,1559,2792,3896,4487,8378,2346,2518,4861,523,596,1114,1398,1694,3096,4268,4806,9074,2645,2835,5480,566,557,1122,1590,1842,3435,4797,5238,10034,2919,2821,5735,469,353,823,1452,1799,3254,4837,4969,9807,2843,2541,5380,314,247,562,1202,1669,2871,4356,4458,8816,2091,1662,3753,161,84,254,754,1446,2201,3006,3195,6199,1230,837,2067,63,43,107,574,1274,1853,1872,2154,4032,796,382,1184,43,25,67,544,1469,2013,1383,1880,3260,24065,24437,48500,6667,6909,13580,20578,24466,45045,51318,55812,107125
105,705,1205,1849,1608,3459,2395,2434,4825,561,863,1422,923,1006,1931,1607,1530,3135,3090,3396,6486,1301,1567,2869,677,718,1394,1055,1114,2168,3032,3400,6428,1421,1587,3008,492,487,979,822,919,1734,2732,2989,5720,1322,1443,2761,386,371,752,678,857,1531,2380,2667,5051,1376,1455,2834,383,396,777,857,955,1809,2612,2804,5415,1503,1637,3145,373,375,744,1017,1093,2109,2893,3103,6000,1623,1785,3409,347,331,678,1132,1143,2279,3096,3263,6366,1921,1885,3808,301,265,571,1105,1224,2330,3327,3379,6704,1679,1599,3280,198,151,348,1017,1094,2112,2897,2842,5740,1545,1369,2910,112,92,204,906,1056,1965,2568,2518,5081,1132,921,2055,70,43,117,577,963,1540,1782,1931,3707,722,487,1208,34,14,49,396,841,1233,1149,1340,2486,431,196,632,11,13,24,351,903,1257,795,1116,1912,16590,16907,33499,4866,5071,9944,16119,17799,33921,37579,39777,77358
106,1940,3270,5700,4812,10511,7202,7071,14270,1423,2234,3658,2516,2796,5312,3825,3190,7017,7764,8221,15988,3469,4344,7812,2065,2032,4095,2590,2541,5132,8129,8912,17044,4356,4954,9309,1480,1481,2962,2102,2312,4410,7940,8746,16684,4349,4648,8998,1184,1182,2365,2083,2167,4254,7625,7998,15622,4542,4960,9500,1173,1154,2329,2256,2550,4807,7971,8671,16639,4671,5004,9680,1090,1065,2153,2376,2650,5026,8138,8722,16863,4883,5117,10005,883,869,1753,2404,2707,5113,8179,8698,16877,5275,5448,10719,721,630,1359,2250,2771,5018,8251,8848,17099,5137,4941,10079,478,418,897,2018,2683,4699,7639,8043,15682,4888,4246,9132,368,282,651,1738,2659,4401,6995,7193,14182,3499,2743,6245,193,146,335,1215,2198,3414,4904,5088,9995,1921,1247,3165,90,43,134,770,1804,2568,2777,3088,5870,1044,505,1547,34,15,52,680,2073,2749,1756,2593,4355,49650,50708,100355,13726,14265,27992,40267,44671,84938,103638,109648,213289
107,1617,2731,8504,7559,16066,9762,9439,19200,1281,2033,3315,2617,2955,5575,5530,4134,9664,9428,9128,18554,3655,4744,8404,2188,2094,4287,3049,2717,5762,8890,9555,18451,5163,5842,11001,1449,1359,2813,2268,2298,4566,8882,9500,18381,5404,5620,11022,1152,1180,2328,2101,2373,4475,8659,9169,17825,5653,5936,11589,1133,1080,2211,2384,2768,5148,9161,9784,18947,5317,5529,10845,939,966,1904,2526,2921,5447,8778,9413,18191,5613,5756,11370,851,775,1625,2648,3068,5715,9107,9602,18712,5685,5673,11360,652,606,1259,2431,3214,5652,8773,9502,18270,5212,5097,10309,447,358,806,1818,2942,4763,7469,8402,15875,4916,4307,9228,290,238,533,1657,2822,4482,6867,7373,14242,3575,2879,6456,168,129,296,1217,2570,3784,4959,5573,10531,2314,1580,3897,81,49,133,920,2406,3323,3316,4037,7354,1472,716,2187,48,24,74,960,2870,3827,2482,3603,6088,55399,55980,111375,13208,13576,26789,46834,53046,99880,115451,122601,238050
108,958,1661,3285,2818,6104,4076,3923,8003,635,1000,1631,1122,1282,2402,2277,2060,4343,4043,4340,8382,1503,1982,3490,1024,1072,2096,1609,1759,3366,4134,4818,8949,2144,2587,4727,884,881,1764,1345,1620,2963,4372,5087,9459,2460,2760,5221,768,843,1605,1426,1659,3084,4658,5259,9916,2951,3175,6132,843,909,1754,1680,2056,3741,5480,6141,11620,3058,3537,6593,875,943,1815,2025,2310,4330,5951,6787,12742,3604,4203,7801,860,913,1773,2338,2682,5019,6804,7800,14599,4568,5045,9608,847,849,1699,2492,3133,5625,7906,9020,16930,5097,5119,10217,744,590,1336,2502,2942,5439,8342,8650,16990,5664,5047,10709,551,420,968,2215,3093,5307,8429,8553,16985,4180,3315,7494,335,226,563,1586,2801,4384,6105,6334,12445,2464,1716,4183,149,93,248,1068,2258,3329,3682,4073,7761,1562,762,2317,76,44,112,1114,2878,3984,2747,3674,6423,39976,40394,80367,9838,10165,20004,32583,39179,71760,82399,89736,172134
109,714,1223,2129,1842,3969,2680,2656,5337,515,763,1280,938,1008,1949,1577,1237,2815,3035,3012,6047,1230,1583,2813,720,677,1394,892,975,1861,2846,3229,6069,1641,1892,3531,510,535,1047,723,837,1562,2875,3266,6139,1653,1816,3472,424,425,843,797,913,1707,2872,3149,6024,1803,1931,3731,414,455,865,871,985,1853,3085,3367,6452,1880,2057,3936,441,408,845,1004,1099,2102,3325,3563,6888,1984,2190,4165,390,387,776,1111,1170,2279,3485,3742,7226,2387,2454,4842,372,338,706,1068,1239,2305,3823,4032,7851,2262,2193,4457,266,200,463,1042,1236,2276,3569,3626,7197,2277,1978,4258,179,128,310,922,1205,2129,3381,3313,6692,1595,1293,2891,96,66,159,607,1079,1685,2296,2438,4736,965,683,1650,45,26,72,427,1028,1455,1450,1728,3175,585,275,859,16,13,26,420,1088,1508,1021,1373,2395,20830,21200,42031,5353,5463,10817,16724,18887,35606,42909,45554,88458
110,1208,2094,3123,2559,5676,4109,3985,8095,777,1208,1992,1418,1493,2905,2380,2116,4492,4571,4818,9392,1847,2328,4174,1049,1065,2118,1527,1641,3169,4424,5037,9462,2334,2592,4921,754,743,1495,1282,1415,2699,4372,4743,9111,2328,2519,4846,594,642,1232,1178,1399,2578,4102,4559,8657,2549,2830,5381,603,608,1212,1324,1463,2794,4477,4903,9381,2718,2896,5609,574,600,1175,1522,1666,3182,4811,5155,9964,2915,3098,6019,562,529,1090,1698,1788,3491,5177,5417,10593,3193,3327,6518,430,390,826,1736,1939,3675,5359,5660,11015,3063,2920,5982,354,249,600,1502,1774,3274,4919,4941,9858,2994,2584,5579,225,174,402,1306,1782,3091,4526,4540,9068,2192,1785,3980,107,73,179,927,1677,2606,3230,3536,6763,1393,969,2360,55,24,80,628,1481,2110,2072,2478,4547,804,336,1144,21,13,29,519,1593,2109,1343,1939,3284,29213,29620,58828,7733,8029,15768,25312,28737,54046,62253,66385,128634
