SA4_CODE_2021,C11_OO_DS_Sep_house,C11_OO_DS_SemiDRTHT,C11_OO_DS_F_a,C11_OO_DS_OD,C11_OO_DS_NS,C11_Owned_Outright_Tot,C11_OWM_DS_Sep_house,C11_OWM_DS_SemiDRTHT,C11_OWM_DS_F_a,C11_OWM_DS_OD,C11_OWM_DS_NS,C11_Owned_with_mortgage_Tot,C11_R_REA_DS_Sep_house,C11_R_REA_DS_SemiDRTHT,C11_R_REA_DS_F_a,C11_R_REA_DS_OD,C11_R_REA_DS_NS,C11_R_Real_Estate_Agent_Tot,C11_R_STHA_DS_Sep_house,C11_R_STHA_DS_SemiDRTHT,C11_R_STHA_DS_F_a,C11_R_STHA_DS_OD,C11_R_STHA_DS_NS,C11_R_ST_House_Auth_Tot,C11_R_CHP_DS_Sep_house,C11_R_CHP_DS_SemiDRTHT,C11_R_CHP_DS_F_a,C11_R_CHP_DS_OD,C11_R_CHP_DS_NS,C11_R_CHP_Tot,C11_R_PNISH_DS_Sep_house,C11_R_PNISH_DS_SemDRTHT,C11_R_PNISH_DS_F_a,C11_R_PNISH_DS_OD,C11_R_PNISH_DS_NS,C11_R_PNISH_Tot,C11_R_OLT_DS_Sep_house,C11_R_OLT_DS_SemDRTHT,C11_R_OLT_DS_F_a,C11_R_OLT_DS_OD,C11_R_OLT_DS_NS,C11_R_Oth_Llord_Type_Tot,C11_R_LT_NS_DS_Sep_house,C11_R_LT_NS_DS_SemDRTHT,C11_R_LT_NS_DS_F_a,C11_R_LT_NS_DS_OD,C11_R_LT_NS_DS_NS,C11_R_Llord_Type_NS_Tot,C11_R_Tot_DS_Sep_house,C11_R_Tot_DS_SemDRTHT,C11_R_Tot_DS_F_a,C11_R_Tot_DS_OD,C11_R_Tot_DS_NS,C11_R_Tot_Tot,C11_OTT_DS_Sep_house,C11_OTT_DS_SemiDRTHT,C11_OTT_DS_F_a,C11_OTT_DS_OD,C11_OTT_DS_NS,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_F_a,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS,C11_TT_NS_Tot,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_F_a,C11_Tot_DS_OD,C11_Tot_DS_NS,C11_Tot_Tot,C16_OO_DS_Sep_house,C16_OO_DS_SemiDRTHT,C16_OO_DS_F_a,C16_OO_DS_OD,C16_OO_DS_NS,C16_OO_Tot,C16_OWM_DS_Sep_house,C16_OWM_DS_SemiDRTHT,C16_OWM_DS_F_a,C16_OWM_DS_OD,C16_OWM_DS_NS,C16_OWM_Tot,C16_R_REA_DS_Sep_house,C16_R_REA_DS_SemiDRTHT,C16_R_REA_DS_F_a,C16_R_REA_DS_OD,C16_R_REA_DS_NS,C16_R_REA_Tot,C16_R_STHA_DS_Sep_house,C16_R_STHA_DS_SemiDRTHT,C16_R_STHA_DS_F_a,C16_R_STHA_DS_OD,C16_R_STHA_DS_NS,C16_R_STHA_Tot,C16_R_CHP_DS_Sep_house,C16_R_CHP_DS_SemiDRTHT,C16_R_CHP_DS_F_a,C16_R_CHP_DS_OD,C16_R_CHP_DS_NS,C16_R_CHP_Tot,C16_R_PNISH_DS_Sep_house,C16_R_PNISH_DS_SemDRTHT,C16_R_PNISH_DS_F_a,C16_R_PNISH_DS_OD,C16_R_PNISH_DS_NS,C16_R_PNISH_Tot,C16_R_OLT_DS_Sep_house,C16_R_OLT_DS_SemDRTHT,C16_R_OLT_DS_F_a,C16_R_OLT_DS_OD,C16_R_OLT_DS_NS,C16_R_OLT_Tot,C16_R_LT_NS_DS_Sep_house,C16_R_LT_NS_DS_SemDRTHT,C16_R_LT_NS_DS_F_a,C16_R_LT_NS_DS_OD,C16_R_LT_NS_DS_NS,C16_R_LT_NS_Tot,C16_R_Tot_DS_Sep_house,C16_R_Tot_DS_SemiDRTHT,C16_R_Tot_DS_F_a,C16_R_Tot_DS_OD,C16_R_Tot_DS_NS,C16_R_Tot_Tot,C16_OTT_DS_Sep_house,C16_OTT_DS_SemiDRTHT,C16_OTT_DS_F_a,C16_OTT_DS_OD,C16_OTT_DS_NS,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_F_a,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS,C16_TT_NS_Tot,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_F_a,C16_Tot_DS_OD,C16_Tot_DS_NS,C16_Tot_Tot,C21_OO_DS_Sep_house,C21_OO_DS_SemiDRTHT,C21_OO_DS_F_a,C21_OO_DS_OD,C21_OO_DS_NS,C21_OO_Tot,C21_OWM_DS_Sep_house,C21_OWM_DS_SemiDRTHT,C21_OWM_DS_F_a,C21_OWM_DS_OD,C21_OWM_DS_NS,C21_OWM_Tot,C21_R_REA_DS_Sep_house,C21_R_REA_DS_SemiDRTHT,C21_R_REA_DS_F_a,C21_R_REA_DS_OD,C21_R_REA_DS_NS,C21_R_REA_Tot,C21_R_STHA_DS_Sep_house,C21_R_STHA_DS_SemiDRTHT,C21_R_STHA_DS_F_a,C21_R_STHA_DS_OD,C21_R_STHA_DS_NS,C21_R_STHA_Tot,C21_R_CHP_DS_Sep_house,C21_R_CHP_DS_SemiDRTHT,C21_R_CHP_DS_F_a,C21_R_CHP_DS_OD,C21_R_CHP_DS_NS,C21_R_CHP_Tot,C21_R_PNISH_DS_Sep_house,C21_R_PNISH_DS_SemDRTHT,C21_R_PNISH_DS_F_a,C21_R_PNISH_DS_OD,C21_R_PNISH_DS_NS,C21_R_PNISH_Tot,C21_R_OLT_DS_Sep_house,C21_R_OLT_DS_SemDRTHT,C21_R_OLT_DS_F_a,C21_R_OLT_DS_OD,C21_R_OLT_DS_NS,C21_R_OLT_Tot,C21_R_LT_NS_DS_Sep_house,C21_R_LT_NS_DS_SemDRTHT,C21_R_LT_NS_DS_F_a,C21_R_LT_NS_DS_OD,C21_R_LT_NS_DS_NS,C21_R_LT_NS_Tot,C21_R_Tot_DS_Sep_house,C21_R_Tot_DS_SemiDRTHT,C21_R_Tot_DS_F_a,C21_R_Tot_DS_OD,C21_R_Tot_DS_NS,C21_R_Tot_Tot,C21_OTT_DS_Sep_house,C21_OTT_DS_SemiDRTHT
101,28172,1390,897,758,59,31268,23600,1179,850,164,26,25818,5428,1643,2491,63,20,9647,1632,277,326,4,0,2241,247,140,88,0,0,478,3594,519,590,110,10,4826,840,68,92,243,6,1252,65,28,28,8,0,127,11811,2677,3612,434,46,18573,1614,221,147,90,20,2090,3551,454,674,472,464,5612,68749,5913,6173,1915,611,83360,28984,1818,740,713,233,32493,24647,1268,635,154,183,26876,5916,2300,2525,79,57,10875,1439,386,254,3,6,2080,192,184,102,0,3,482,3587,579,505,68,75,4825,703,102,102,187,64,1153,85,36,17,4,0,146,11926,3582,3508,344,202,19563,1576,289,110,83,85,2140,5438,781,1104,497,260,8082,72565,7730,6093,1799,965,89151,33575,2031,917,642,132,37304,27779,1701,822,58,58,30426,6876,2418,2732,74,32,12126,1349,412,179,10,6,1957,337,304,121,4,4,769,4152,639,652,69,54,5576,1115,143,190,229,103,1775,91,33,23,4,3,155,13923,3956,3889,399,199,22358,1634,387
102,33776,4470,1959,707,17,40937,37219,2193,878,66,37,40394,12387,3463,3060,119,52,19073,1407,1177,930,4,0,3519,181,198,222,0,0,609,4499,705,507,81,20,5806,498,90,67,345,0,998,89,59,36,12,5,202,19060,5687,4822,554,82,30209,1115,780,400,33,7,2331,4541,1105,987,278,23,6931,95718,14229,9051,1648,160,120799,34673,5139,2152,376,120,42460,37963,2066,1131,120,57,41342,13013,3549,3540,345,137,20587,1230,1332,797,9,12,3377,139,264,181,0,9,597,4054,654,533,90,43,5374,523,97,58,174,31,878,104,50,28,5,0,189,19056,5950,5141,621,236,31000,1059,1081,356,31,30,2561,5586,1547,1152,460,160,8903,98332,15785,9929,1607,604,126265,37951,5093,2570,372,57,46044,40724,2494,1709,64,38,45024,16117,3815,4689,313,87,25025,1247,1312,789,5,14,3358,362,380,371,5,3,1117,4340,658,664,66,33,5760,676,146,63,137,16,1033,120,45,44,29,0,232,22858,6352,6612,547,154,36531,1282,1521
103,26656,664,323,334,20,27992,22200,362,166,89,23,22834,6899,1420,1543,80,7,9950,2137,265,462,11,0,2877,234,96,109,0,0,449,3376,254,259,55,7,3953,626,45,59,112,0,847,98,13,20,0,0,140,13376,2098,2455,262,18,18209,1795,114,81,37,6,2046,3736,348,411,382,58,4935,67765,3587,3434,1098,127,76022,26335,806,253,437,231,28052,22501,370,116,195,149,23330,7776,1924,1233,62,61,11057,1850,474,298,0,6,2626,232,82,90,0,67,465,3544,287,195,42,54,4126,514,38,54,99,27,732,82,22,24,4,0,141,13997,2820,1904,206,220,19152,1552,100,59,54,59,1821,6356,614,518,341,225,8053,70741,4707,2853,1237,881,80414,29125,1018,241,314,93,30793,24623,487,113,121,47,25396,9092,2489,1205,79,25,12893,1883,475,253,0,6,2613,341,241,112,4,7,704,3843,374,157,42,44,4457,748,105,67,114,50,1090,123,27,20,6,0,176,16039,3705,1813,242,132,21926,1570,270
104,17636,964,686,1495,3,20788,13411,490,297,110,6,14308,4604,1223,1699,39,8,7572,850,320,377,0,0,1551,200,90,83,5,4,392,2533,351,458,103,3,3450,279,38,59,327,0,709,65,15,26,7,0,111,8535,2031,2700,487,19,13779,778,147,109,93,8,1139,1817,236,359,415,3,2828,42172,3870,4151,2612,46,52842,18074,1262,720,1548,190,21798,13324,574,336,118,94,14449,4615,1463,1741,48,73,7934,752,381,341,0,8,1483,171,149,48,5,0,372,2467,393,392,71,50,3375,271,57,44,291,28,693,67,21,17,8,0,118,8340,2466,2575,418,165,13967,763,126,68,68,33,1064,3138,535,541,525,103,4839,43643,4970,4239,2678,590,56117,20511,1326,848,1217,123,24027,14769,761,391,114,23,16063,5045,1661,1916,50,42,8711,625,291,255,0,0,1178,312,257,149,0,0,724,2799,437,445,63,35,3783,383,68,72,304,49,877,74,33,21,10,3,138,9238,2750,2859,423,128,15399,710,213
105,15425,149,263,741,76,16644,11666,107,128,70,20,11998,3071,476,844,35,5,4425,1389,101,292,3,12,1801,495,33,135,0,0,662,2218,101,233,64,5,2627,919,60,201,123,10,1316,71,5,26,3,0,113,8165,780,1732,234,33,10942,1649,33,133,112,8,1940,2548,120,272,473,11,3418,39451,1189,2529,1629,156,44952,14398,204,206,747,141,15692,11317,124,64,138,76,11720,3422,610,743,51,28,4859,1255,138,264,0,18,1675,528,62,129,0,11,729,2346,118,158,44,23,2690,826,51,172,86,25,1161,90,11,23,0,3,123,8460,999,1492,186,110,11245,1284,47,154,90,43,1614,3921,210,369,523,104,5133,39382,1582,2282,1686,473,45409,14589,349,102,446,231,15722,11962,145,44,45,57,12256,4032,807,851,31,16,5737,1078,206,217,7,11,1512,504,139,103,4,10,753,2599,127,117,52,28,2923,950,121,143,149,83,1445,79,23,25,6,3,137,9241,1421,1460,241,150,12515,1161,203
106,27996,1306,562,602,14,30482,30009,824,304,103,8,31256,9079,2342,1685,62,29,13194,2346,421,547,0,0,3321,205,120,60,0,0,384,3168,337,279,62,6,3844,990,108,55,340,5,1500,84,16,14,7,0,123,15878,3347,2642,475,32,22372,1553,195,111,52,3,1915,3852,491,467,252,15,5077,79288,6154,4095,1492,79,91104,28413,2022,399,548,266,31639,31342,973,172,105,105,32701,11442,3570,1199,66,84,16363,2003,743,327,4,10,3086,126,162,43,0,6,335,3260,464,172,34,30,3963,950,113,33,185,24,1307,88,27,16,3,3,138,17867,5084,1788,295,150,25179,1341,316,57,34,105,1845,5753,1037,386,452,259,7885,84709,9430,2799,1431,884,99257,33103,2450,505,564,119,36742,37028,1345,219,46,43,38677,13426,4201,1184,78,26,18919,1859,631,228,4,5,2722,532,397,127,7,0,1060,3795,541,157,45,28,4568,1231,148,32,275,39,1733,87,46,11,8,0,158,20935,5962,1738,416,113,29159,1804,691
107,30956,2744,2060,710,12,36491,28829,2384,1780,49,9,33048,6176,2814,5113,145,14,14264,3430,1779,1895,3,5,7116,151,125,168,0,4,440,2968,741,1204,75,6,4996,297,62,145,135,0,637,84,28,59,0,0,167,13110,5542,8588,361,32,27631,849,216,452,36,0,1555,3066,678,1311,232,0,5290,76808,11562,14196,1392,55,104016,31287,3289,2392,520,183,37665,29442,2553,1896,73,85,34049,6927,3536,5808,122,87,16478,3127,1899,1588,11,10,6624,115,172,166,6,4,459,2632,810,1001,64,34,4542,220,85,113,103,10,523,68,36,57,3,4,172,13088,6531,8731,306,149,28808,763,392,395,43,81,1673,3962,1068,1782,414,207,7430,78537,13827,15201,1357,704,109628,33851,3592,3298,518,41,41302,32596,3292,2632,85,26,38631,9166,4275,7176,174,62,20856,3250,2019,1552,7,3,6825,208,303,251,3,8,777,2992,781,1088,65,34,4959,304,74,124,79,14,602,85,40,47,0,0,173,16001,7482,10244,334,126,34194,804,486
108,30019,2564,1412,1450,9,35459,19547,819,519,133,14,21039,7029,1752,2831,114,16,11739,1343,421,520,5,0,2292,362,187,138,4,0,686,3254,469,545,95,14,4364,365,59,88,391,0,904,62,19,31,6,0,113,12409,2906,4154,607,29,20110,1222,356,204,155,5,1947,3110,512,777,432,5,4830,66306,7161,7067,2779,65,83383,31343,2946,1423,1732,257,37699,19907,834,481,127,117,21463,7301,2133,2772,127,89,12419,1151,514,609,5,3,2282,257,229,147,0,0,637,3236,466,467,80,48,4299,318,91,72,317,33,832,88,23,32,12,0,161,12350,3450,4102,542,181,20627,1176,422,269,89,41,1997,4978,826,928,603,139,7473,69755,8480,7202,3082,736,89260,36844,3102,1708,1050,144,42845,21874,1036,581,73,35,23600,8248,2439,3140,135,40,14009,742,312,335,0,0,1394,693,475,416,5,10,1592,3565,500,506,67,33,4666,518,120,106,256,60,1056,88,51,38,5,3,190,13855,3897,4539,469,147,22904,1311,507
109,14440,395,647,484,25,15981,12984,222,421,63,13,13703,3298,617,2097,26,8,6056,822,28,256,0,0,1098,193,74,90,3,0,361,1996,141,389,37,7,2569,425,17,67,122,0,629,68,11,14,5,0,100,6804,895,2914,186,13,10815,1083,53,58,61,10,1267,2080,147,461,182,3,2879,37393,1700,4506,968,71,44637,15104,659,234,486,85,16561,12982,385,77,52,47,13544,4101,2065,788,44,32,7026,693,184,52,0,12,953,164,95,56,0,0,313,1979,304,117,38,20,2460,368,46,49,89,10,559,62,8,23,0,0,96,7354,2697,1094,179,74,11398,1096,88,33,58,21,1303,3419,523,369,245,49,4601,39952,4353,1801,1020,282,47403,16942,1040,76,205,92,18356,14186,455,21,30,26,14718,4814,2960,266,30,7,8078,719,228,19,0,0,966,205,179,13,0,0,406,2099,410,26,12,16,2569,551,86,16,95,35,789,63,39,10,0,0,114,8455,3897,349,144,67,12916,1154,205
110,23839,425,375,505,36,25162,18503,184,171,115,23,18997,5886,703,2233,35,4,8862,1700,224,470,0,0,2397,386,89,192,0,3,667,3458,136,438,70,12,4117,857,30,135,190,8,1217,71,13,49,6,0,144,12354,1196,3523,306,24,17406,2278,105,62,68,9,2516,3227,250,565,310,13,4365,60199,2152,4694,1304,103,68446,23244,496,155,513,178,24585,18180,238,77,124,118,18733,7091,1893,1268,103,62,10421,1357,292,382,100,13,2151,375,109,149,3,3,640,3545,228,235,52,43,4101,736,39,81,134,31,1026,120,32,25,6,0,181,13223,2595,2145,401,156,18515,2101,91,37,60,84,2380,5714,506,526,564,96,7411,62461,3924,2940,1663,635,71633,24962,647,80,358,126,26184,19242,317,44,60,31,19693,8249,2926,783,50,29,12038,1274,339,161,0,3,1778,572,293,156,6,11,1044,3721,312,80,37,32,4182,938,97,31,189,56,1314,117,60,17,7,0,203,14875,4030,1234,281,138,20559,2029,225
