SA4_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
101,230,151,142,292,257,221,476,272,566,841,237,584,813,363,635,997,7,8,18,10,16,29,10,13,20,399,696,1091,395,741,1142,631,868,1492,7859,6868,14720,9984,9342,19328,8553,7528,16078,29724,30083,59812,31604,32175,63776,32989,33174,66161
102,370,211,319,532,261,315,572,430,974,1404,434,958,1389,494,816,1321,13,18,33,4,24,27,13,10,17,601,1209,1808,656,1296,1949,762,1145,1908,10291,10973,21261,10228,11299,21524,8904,9881,18787,44608,47838,92445,45482,48879,94368,47474,50795,98266
103,143,76,123,197,134,151,275,184,412,595,209,437,644,222,428,646,11,18,27,3,11,17,4,13,17,250,507,759,292,574,860,355,584,943,8288,6801,15082,10915,9681,20594,8918,7356,16270,30136,30081,60219,32665,33194,65858,32101,32224,64322
104,168,102,122,222,99,115,216,164,355,521,156,334,490,163,321,483,3,9,12,11,10,23,10,9,16,237,464,702,264,471,731,273,450,725,4271,4162,8425,5715,5730,11447,5766,5039,10807,18172,19493,37667,18955,20302,39256,20168,20819,40983
105,112,64,82,139,104,92,194,115,258,366,100,215,316,136,222,356,10,14,23,5,7,14,4,3,11,172,323,497,171,304,473,242,310,559,5272,4595,9861,6594,5993,12587,7225,6566,13792,16917,17260,34175,17511,17962,35475,18352,18886,37242
106,248,164,187,350,277,246,522,273,657,931,274,699,970,395,701,1097,8,15,23,15,20,31,20,14,28,396,810,1206,450,901,1352,690,964,1649,8728,7836,16563,10724,9885,20610,9360,7198,16560,35575,36037,71609,38865,39865,78728,41937,42247,84188
107,355,232,273,507,295,304,595,349,772,1119,380,860,1241,444,713,1159,8,21,30,5,18,22,12,12,19,523,976,1498,622,1153,1772,752,1026,1776,8133,7968,16097,8659,9043,17700,7103,7335,14434,42637,42905,85538,44843,45810,90650,45107,47547,92649
108,202,84,138,225,121,151,269,197,466,659,192,500,692,215,444,656,9,15,21,10,18,28,15,10,25,271,616,884,287,658,944,343,605,950,7137,6923,14054,8960,9208,18169,8349,7938,16285,26542,27808,54349,27985,30118,58108,28839,30910,59748
109,116,64,91,146,117,109,223,113,243,360,139,290,432,178,323,500,3,8,17,10,8,15,6,3,12,187,311,495,208,386,591,302,436,733,3891,3731,7623,5175,5311,10482,4837,4561,9397,15451,16609,32056,16427,17902,34328,17186,18255,35441
110,156,96,115,210,124,153,282,141,386,533,176,352,530,174,352,524,6,4,4,17,5,23,8,5,12,228,465,696,281,481,763,306,512,813,6600,6386,12989,8874,9019,17898,9179,9009,18188,26275,27536,53809,27843,29750,57594,28439,30332,58770
