SOSR_CODE_2021,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
SOSR101,3003,764,1345,31,5140,65,23,83,5224,448,10,5684,175,53,37,328,592,12,0,16,610,84,40,737,53784,9963,4752,716,69215,1292,229,1522,70739,5859,141,76737,648,119,57,14,843,171,23,190,1034,138,0,1173,679,172,57,23,937,114,72,187,1122,156,0,1278,1325,293,118,43,1779,289,97,383,2163,287,0,2454,55106,10257,4875,756,70996,1578,323,1905,72897,6151,144,79188,11751,3126,1808,387,17069,592,217,813,17884,9369,73,27324,65,15,13,81,182,3,0,3,186,46,197,420,66922,13393,6696,1225,88239,2175,543,2724,90962,15564,410,106936,17139,2507,1118,93,20856,441,101,546,21404,1959,16,23375,11188,3056,941,75,15259,268,65,340,15598,1494,7,17098,1810,456,924,27,3218,45,14,56,3276,348,0,3626,101,39,20,216,374,8,3,17,391,59,19,466,30235,6053,3010,415,39713,768,191,956,40662,3866,43,44569,376,80,44,3,503,134,12,146,654,90,0,739,357,113,61,5,535,78,55,139
SOSR102,684,141,147,7,978,16,5,15,991,66,0,1060,48,3,6,52,110,0,0,0,107,9,4,125,13233,2223,733,139,16329,198,59,256,16586,939,28,17547,77,21,3,3,102,17,0,19,126,8,0,133,149,33,4,0,186,15,0,16,206,12,0,216,226,53,10,0,293,32,9,37,333,17,0,347,13458,2276,742,139,16621,237,61,296,16916,958,28,17898,1765,381,107,40,2289,52,31,82,2371,635,10,3016,11,4,0,6,23,0,0,0,23,3,20,49,15233,2658,850,191,18935,289,93,377,19308,1590,61,20960,2713,348,128,4,3195,38,10,46,3241,212,4,3464,2276,418,91,10,2792,26,3,34,2828,185,0,3012,230,35,54,0,318,3,0,5,325,21,0,347,13,4,0,15,28,0,0,0,28,4,3,35,5235,805,276,31,6338,69,13,86,6427,425,11,6857,25,3,0,0,33,3,0,3,39,5,0,45,52,11,3,0,67,4,4,8
SOSR111,50,11,12,0,67,0,0,0,67,0,0,74,6,0,0,13,25,0,0,0,25,0,0,27,2472,352,70,32,2920,26,3,34,2954,126,3,3083,15,3,5,0,19,3,0,3,26,3,0,29,27,3,0,0,34,0,0,0,40,0,0,41,35,11,5,3,51,10,0,10,62,7,0,61,2509,361,74,37,2977,37,3,46,3015,131,3,3148,266,72,14,9,358,7,4,16,374,108,0,486,7,0,0,0,4,0,0,0,8,0,0,12,2779,430,86,45,3338,43,15,55,3396,240,6,3640,380,43,10,0,433,5,0,5,438,18,0,453,322,42,7,0,374,0,0,0,371,17,0,389,13,0,0,0,19,0,0,0,19,0,0,17,0,3,0,0,4,0,0,0,4,0,0,4,720,87,21,0,827,7,0,7,832,32,0,861,6,0,0,0,3,3,0,3,5,0,0,5,7,0,0,0,7,0,0,0
SOSR112,177,31,31,0,235,3,0,3,236,19,0,265,29,8,0,33,66,4,0,4,73,9,8,84,6345,907,171,72,7501,55,20,75,7579,418,14,8008,31,11,0,0,46,11,0,11,57,5,0,61,39,4,0,0,45,5,8,14,60,20,0,77,70,16,0,0,87,16,8,28,111,23,0,141,6418,928,176,71,7594,70,31,105,7698,439,14,8146,736,165,38,19,958,32,12,47,1001,339,0,1350,3,0,3,6,16,0,0,0,16,0,10,27,7157,1094,217,98,8564,105,46,151,8710,782,24,9516,894,92,19,3,1012,6,0,4,1017,56,0,1079,612,130,12,6,756,8,0,8,762,39,5,806,46,9,10,0,62,0,0,0,60,3,0,65,3,0,0,10,14,0,0,0,14,0,0,14,1552,229,43,13,1837,18,0,14,1856,101,3,1964,8,0,0,0,9,8,0,8,15,0,0,19,7,0,0,0,9,0,0,0
SOSR113,66,20,4,0,91,0,0,0,91,8,5,104,15,3,0,14,36,0,0,0,37,4,0,42,2351,359,85,31,2824,28,3,32,2856,213,8,3076,18,6,0,0,27,3,0,5,27,0,0,28,25,4,0,0,33,0,0,4,36,0,0,38,42,9,0,0,56,5,3,11,68,0,0,69,2394,365,86,32,2882,36,8,42,2924,214,8,3144,309,67,12,16,397,19,9,19,419,152,3,574,0,0,0,0,0,0,0,0,0,0,3,5,2705,429,103,49,3286,46,16,61,3342,363,15,3722,300,39,18,5,361,4,0,4,364,22,0,390,222,58,5,0,287,3,0,9,294,21,0,318,14,7,4,0,24,0,0,0,24,0,0,24,4,0,0,0,9,0,0,0,9,0,0,7,535,106,27,6,680,14,0,12,692,42,0,734,4,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,4,0,0,0
SOSR114,84,8,18,0,111,4,0,4,109,4,0,117,4,0,0,16,25,0,0,0,25,3,4,32,2823,408,102,39,3373,28,9,34,3406,225,11,3645,9,0,3,0,17,8,0,8,21,0,0,21,28,5,0,0,38,7,3,8,48,0,0,47,39,8,0,0,54,8,3,10,68,0,0,66,2861,409,109,44,3426,38,10,48,3478,224,11,3709,316,61,12,11,398,9,0,11,411,152,3,562,0,0,0,0,4,0,0,0,4,3,4,12,3182,468,123,50,3825,45,14,63,3887,382,19,4283,368,49,11,0,426,4,0,4,430,24,3,459,243,66,8,0,317,0,0,5,322,32,0,351,22,4,3,0,30,0,0,0,30,0,0,31,5,0,0,3,9,0,0,0,9,0,0,12,638,118,23,6,782,6,0,6,793,56,3,854,4,0,0,0,4,0,0,0,4,0,0,4,6,0,0,0,6,4,0,4
SOSR115,125,27,29,0,182,0,0,0,183,13,0,193,15,0,0,27,45,0,0,0,45,4,0,48,3885,635,175,74,4770,40,17,59,4830,293,10,5130,22,4,0,0,25,10,0,8,37,4,0,47,18,12,5,0,38,0,0,8,37,5,0,48,41,17,5,0,64,12,5,16,79,15,0,91,3930,651,179,77,4837,50,24,74,4908,307,10,5224,460,100,33,18,602,27,5,31,639,184,3,819,7,0,0,6,8,0,0,0,8,0,6,14,4395,755,205,98,5450,73,30,104,5550,492,20,6064,540,69,20,4,625,5,0,8,635,54,0,694,347,101,16,5,470,11,6,13,481,36,0,516,39,5,16,0,58,0,0,0,58,3,0,60,3,0,0,16,19,0,0,0,19,0,0,20,925,173,53,21,1175,14,9,22,1193,93,3,1296,8,0,0,0,8,0,0,0,8,0,0,8,3,0,0,0,3,0,0,0
SOSR121,35,9,4,0,51,0,0,0,51,3,0,51,8,3,0,9,18,0,0,0,18,0,0,20,1317,250,42,20,1631,16,6,19,1655,114,0,1768,4,0,0,0,3,3,0,3,8,0,0,8,11,0,0,0,13,0,0,0,13,3,0,14,19,0,0,0,20,3,0,3,26,3,0,28,1331,252,43,16,1653,21,6,28,1681,118,0,1793,141,47,5,4,201,7,0,8,208,45,0,254,0,0,0,0,5,0,0,0,5,0,0,3,1468,302,49,26,1850,25,11,41,1885,164,3,2054,193,22,13,0,226,0,0,3,225,10,0,235,133,40,4,0,177,0,0,0,183,15,0,197,10,0,0,0,12,0,0,0,12,0,0,12,0,0,0,4,0,0,0,0,0,0,0,0,342,62,19,3,418,3,3,6,424,23,0,445,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0
SOSR122,15,3,3,0,30,0,0,0,30,0,0,30,4,0,0,5,9,0,0,0,9,0,0,9,494,75,26,9,607,9,0,9,611,46,3,663,0,0,0,0,6,3,0,6,9,0,0,14,8,4,0,0,10,0,0,0,7,0,0,7,9,7,0,0,14,4,4,4,16,0,0,20,505,78,25,9,617,13,4,15,628,46,3,678,57,14,8,0,78,4,0,4,82,38,0,117,0,0,0,0,0,0,0,0,0,0,6,6,561,90,34,9,694,15,4,16,712,82,7,800,64,4,0,0,66,0,0,0,72,13,0,78,50,12,0,0,61,0,0,0,61,3,0,69,7,0,0,0,6,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,116,18,5,0,144,0,0,0,147,17,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR131,259,67,80,15,415,0,0,0,415,28,5,452,55,11,4,94,162,3,0,3,165,9,14,186,9430,1449,367,184,11433,95,17,114,11545,585,30,12165,47,12,0,0,54,16,0,19,72,9,0,82,57,27,0,0,81,8,0,10,88,9,0,94,102,33,0,4,138,21,3,25,163,16,0,183,9532,1485,367,189,11565,117,20,138,11709,607,30,12342,1066,237,73,44,1422,26,10,34,1454,462,5,1918,13,0,0,3,15,0,0,0,15,5,40,61,10616,1723,433,231,13002,141,35,169,13180,1071,72,14320,1391,159,47,10,1615,12,5,19,1632,90,0,1725,1120,235,36,8,1395,19,3,18,1411,78,0,1493,59,35,31,5,126,0,0,0,128,11,0,140,13,3,0,24,39,0,0,0,36,3,4,46,2581,432,110,48,3172,31,9,38,3209,185,7,3399,11,0,0,0,11,3,0,3,10,4,0,17,15,3,0,4,17,0,0,0
