SOSR_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SOSR101,4303,8061,5944,4418,5854,3084,1768,33430,1673,2048,1508,1089,1487,883,613,9305,309,445,309,218,257,176,111,1825,10685,20864,16354,12646,17628,9841,5834,93854,428,761,553,465,639,351,220,3418,593,891,604,436,521,250,172,3465,1025,1652,1158,899,1164,598,393,6886,11709,22516,17510,13549,18789,10437,6225,100739,14759,16746,10115,7025,8699,4579,2753,64672,365,454,303,192,153,71,44,1579,26837,39711,27929,20765,27636,15086,9019,166990
SOSR102,1999,3723,2571,1825,2163,628,282,13194,581,712,429,316,329,115,49,2544,109,134,86,69,64,20,16,504,3740,7404,5811,4346,5521,1915,927,29667,115,225,180,130,156,32,12,862,200,309,191,120,136,38,8,1000,316,532,369,249,296,75,26,1858,4058,7934,6181,4592,5820,1988,949,31526,4347,4451,2590,1886,1778,416,227,15702,73,103,74,56,40,7,5,359,8474,12486,8844,6536,7641,2415,1181,47579
SOSR111,538,963,578,398,420,85,38,3021,99,94,62,37,44,10,12,353,43,47,32,12,9,0,0,145,972,1849,1245,926,1151,294,111,6549,22,61,35,43,36,9,0,206,78,100,70,36,45,0,0,333,99,159,108,77,86,10,4,538,1073,2006,1352,1002,1238,305,114,7089,1096,1036,606,417,355,74,34,3613,21,19,17,15,8,0,0,82,2195,3065,1973,1428,1595,380,144,10773
SOSR112,1375,2441,1595,1112,1196,221,71,8008,269,271,164,97,115,18,12,939,96,145,73,47,42,5,3,418,2554,4672,3388,2458,3006,633,237,16939,99,174,129,82,83,22,4,586,192,267,154,109,93,16,0,830,292,436,284,184,179,33,3,1411,2847,5101,3667,2646,3182,665,248,18353,3221,2946,1627,1109,950,159,72,10102,82,96,55,47,24,3,0,307,6147,8146,5347,3807,4158,835,318,28758
SOSR113,545,1143,762,583,555,91,19,3694,118,142,107,74,57,16,3,519,48,65,27,17,24,3,0,194,995,2078,1563,1228,1277,253,63,7460,39,112,81,38,52,8,5,341,74,116,61,51,22,10,0,323,114,229,144,83,78,13,3,659,1109,2310,1707,1313,1345,270,70,8123,1524,1506,858,583,481,63,25,5034,33,51,40,29,17,0,0,172,2665,3866,2607,1928,1846,331,93,13333
SOSR114,630,1110,796,573,582,100,27,3820,158,143,89,44,44,10,8,498,30,49,29,30,28,0,0,162,1164,2141,1648,1220,1434,283,84,7984,36,118,75,49,52,0,0,326,94,162,54,34,30,0,0,378,135,274,130,81,77,9,3,709,1299,2417,1776,1299,1512,287,90,8690,1522,1412,804,507,402,58,21,4731,57,57,44,28,21,4,0,207,2877,3891,2624,1833,1933,357,113,13628
SOSR115,883,1650,1135,744,853,139,42,5446,160,171,114,96,78,15,8,649,44,61,59,36,31,4,0,226,1478,2949,2286,1672,1979,342,104,10810,60,104,84,62,40,8,3,374,114,156,70,60,49,8,6,453,172,260,154,119,95,19,6,825,1656,3204,2440,1790,2072,364,114,11639,1868,1762,966,662,614,93,33,6004,66,78,51,46,23,6,0,261,3583,5046,3462,2507,2706,458,144,17901
SOSR121,198,413,287,187,180,32,7,1307,37,35,26,18,21,9,0,152,12,15,9,6,9,5,0,62,360,693,555,402,447,100,23,2587,5,22,17,18,12,4,0,78,20,35,27,18,14,0,0,112,26,56,41,36,25,4,0,190,387,751,600,438,476,98,23,2775,412,441,242,175,184,22,11,1480,13,21,11,6,3,0,0,62,816,1211,850,622,658,118,43,4315
SOSR122,86,173,130,82,106,22,6,601,8,18,19,12,18,9,0,88,3,14,11,3,9,0,0,36,133,317,274,187,226,49,13,1201,6,16,10,11,3,3,0,55,11,20,13,0,4,0,0,57,16,34,20,16,12,5,0,110,149,351,299,199,240,57,13,1310,215,210,143,88,85,10,6,762,14,18,5,4,4,0,0,48,374,583,443,298,330,70,19,2119
SOSR131,614,1137,916,691,678,160,60,4262,169,156,111,74,102,25,11,654,45,67,56,22,38,3,3,237,1230,2295,2013,1497,1767,457,186,9446,48,79,62,40,41,10,3,283,81,93,70,41,36,4,0,325,126,174,136,76,74,15,3,604,1358,2468,2148,1577,1844,472,191,10055,1433,1445,869,589,566,93,43,5036,59,68,69,44,21,5,3,265,2843,3976,3086,2209,2434,570,233,15351
