SOSR_CODE_2021,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
SOSR101,150514,8822,503,159836,1907,269,116,51,2343,376,35,417,2758,235,10,3003,2124,418,156,58,2756,299,101,402,3163,289,8,3454,4033,683,276,108,5098,680,139,820,5918,524,22,6462,120192,21007,9875,1963,153031,2879,523,3401,156429,9349,524,166301,31882,8288,4430,1271,45871,1855,541,2396,48259,18854,302,67414,316,77,52,519,965,8,4,15,978,147,1076,2206,152398,29370,14353,3748,199861,4746,1065,5809,205669,28342,1903,235919,36543,4634,2017,203,43394,806,142,949,44346,3020,64,47433,26774,6163,1813,211,34970,508,102,607,35573,2325,55,37954,3715,989,1576,42,6327,92,15,106,6434,467,13,6916,272,69,41,463,845,15,3,18,863,110,101,1066,67302,11855,5456,922,85531,1417,266,1681,87211,5918,239,93373,1047,162,58,25,1291,224,30,252,1544,153,6,1705,1097,236,99,23,1455,183,69,252,1712,169,4,1879,2144,397,159,50,2741,407,96,508,3255,319,7,3580,69444,12253,5611,968,88276,1824,360,2185,90461,6241,251,96952,16285,4326,2198,593
SOSR102,34521,1359,94,35977,169,37,12,4,221,37,0,38,259,22,4,287,391,91,19,10,517,16,19,36,552,37,0,587,558,132,30,15,735,54,19,74,811,66,4,874,28086,4938,1466,360,34848,376,108,481,35330,1423,95,36850,5105,1128,373,132,6738,181,59,242,6975,1280,23,8278,40,5,3,56,104,0,0,0,104,7,133,244,33229,6072,1844,547,41692,553,167,725,42415,2706,252,45368,7230,1139,313,37,8721,95,17,111,8832,486,8,9325,8205,1529,359,69,10167,97,28,120,10288,399,21,10717,866,195,193,13,1268,16,0,19,1286,59,4,1341,72,15,3,92,179,4,3,7,189,17,21,230,16377,2880,873,209,20332,206,44,259,20594,962,58,21613,104,26,0,3,129,16,5,22,152,25,0,171,206,56,11,3,270,14,5,15,291,12,0,303,305,72,12,6,401,26,13,36,442,42,0,477,16681,2955,885,218,20735,232,61,295,21032,1001,56,22088,2541,552,168,63
SOSR111,6500,236,16,6753,41,5,3,0,48,12,0,12,58,6,0,68,99,12,4,0,109,6,3,6,118,14,0,131,141,12,10,0,161,14,3,16,178,18,0,198,5559,801,146,64,6567,79,27,108,6672,259,16,6950,1029,247,57,36,1361,47,18,64,1424,265,10,1704,6,5,0,7,16,0,0,0,16,0,28,44,6593,1052,202,109,7950,125,43,167,8115,522,57,8697,1487,182,38,9,1713,20,10,29,1748,81,8,1834,1605,258,34,16,1913,15,4,16,1931,78,0,2003,66,19,18,0,98,3,0,0,99,6,0,110,19,5,0,12,31,0,0,0,31,5,3,37,3179,463,89,27,3761,39,12,47,3808,164,8,3981,24,4,0,0,25,11,0,11,39,4,0,44,49,3,0,0,58,0,0,0,59,8,0,70,71,12,0,0,91,13,0,13,99,13,0,112,3250,474,88,28,3844,52,12,64,3906,183,8,4092,484,105,24,19
SOSR112,15961,660,61,16677,85,11,0,0,103,21,0,20,124,11,0,131,181,39,0,3,228,21,6,25,251,15,0,274,270,54,0,3,335,41,7,44,374,24,0,403,13497,2045,403,171,16117,165,52,218,16340,683,62,17080,2390,543,90,97,3128,119,44,162,3294,715,7,4012,22,8,0,10,47,0,0,0,47,4,61,108,15916,2597,496,283,19292,291,92,377,19676,1405,124,21205,3930,439,98,16,4487,36,8,46,4529,206,5,4741,3734,605,106,42,4485,37,16,56,4540,223,8,4768,206,56,52,3,322,0,0,0,321,26,0,351,30,5,0,33,70,0,0,0,72,6,15,95,7907,1106,256,98,9361,80,25,108,9472,461,24,9957,39,7,8,0,52,17,5,18,67,10,0,72,80,20,0,0,101,15,8,17,121,17,0,135,115,32,8,0,154,26,11,37,190,23,0,210,8022,1132,263,95,9511,103,41,144,9655,485,24,10169,1084,251,51,47
SOSR113,6114,301,12,6434,42,11,0,4,53,10,3,14,64,11,0,72,79,16,3,0,96,15,0,15,118,9,0,126,118,24,3,4,149,24,8,32,184,24,0,203,5125,796,179,77,6185,97,24,118,6295,327,12,6633,1099,224,68,37,1425,57,13,71,1493,330,4,1832,8,5,0,8,23,0,0,0,23,0,31,54,6233,1025,243,127,7632,148,32,183,7810,658,49,8523,1315,184,48,16,1560,16,4,18,1576,93,4,1672,1591,272,48,8,1928,19,12,27,1953,118,0,2070,93,23,25,3,150,0,0,0,151,9,0,159,14,4,0,24,40,0,0,0,40,9,5,60,3019,486,124,51,3672,39,11,50,3726,229,9,3962,18,12,3,5,27,6,4,4,36,5,0,42,37,0,0,0,41,8,0,12,51,4,0,57,51,8,0,4,70,13,6,13,86,14,0,97,3070,492,122,58,3747,45,16,60,3808,238,9,4060,492,109,26,23
SOSR114,7918,340,22,8283,32,11,5,0,51,23,0,23,71,0,0,74,113,17,0,0,129,11,5,9,144,16,0,152,141,25,3,3,179,31,5,33,211,16,0,224,6678,1005,231,105,8017,92,20,114,8128,352,22,8504,1239,232,60,43,1572,31,14,47,1619,361,9,1986,10,3,0,10,16,0,0,0,18,0,44,60,7920,1237,293,155,9607,125,36,162,9764,716,71,10556,1876,279,63,14,2226,18,9,28,2247,131,4,2384,1932,327,50,12,2323,16,6,28,2345,113,5,2470,148,28,24,4,205,5,0,0,208,9,0,212,20,0,6,34,61,0,0,0,61,4,5,72,3978,638,136,68,4818,35,15,51,4867,255,16,5133,23,5,0,0,30,9,0,9,41,0,0,42,51,3,0,8,62,5,0,9,69,9,0,71,67,15,3,10,93,15,0,12,108,8,0,115,4049,647,142,69,4905,50,13,67,4972,264,16,5249,638,125,23,14
SOSR115,10938,442,25,11417,60,13,3,0,82,17,4,15,91,13,0,108,122,21,3,3,150,5,4,5,157,8,0,169,184,33,3,0,226,19,7,26,254,25,0,277,8966,1489,380,189,11030,130,37,161,11191,468,25,11688,1704,350,108,82,2246,65,23,91,2337,467,6,2816,25,4,3,22,54,0,0,0,55,4,62,117,10695,1844,496,296,13329,192,61,251,13585,943,96,14620,2429,357,68,13,2866,32,7,37,2906,150,4,3056,2643,528,114,31,3319,30,14,44,3357,164,4,3527,184,36,74,3,302,9,0,3,304,14,3,330,24,0,0,51,72,0,0,0,76,12,3,93,5274,925,253,108,6562,64,20,84,6651,345,16,7007,41,11,3,0,49,10,0,10,60,8,0,73,58,10,5,0,70,0,4,4,69,7,0,82,97,17,4,0,113,10,4,18,128,21,0,150,5375,945,256,104,6675,70,27,101,6777,358,16,7157,777,182,44,36
SOSR121,3172,147,8,3334,9,0,0,0,15,3,0,4,18,0,0,21,40,6,6,0,42,0,5,8,45,4,0,45,49,3,0,0,54,3,5,8,64,4,0,68,2667,398,83,40,3196,29,11,39,3236,152,12,3400,512,132,16,25,687,15,0,18,706,128,0,827,5,0,0,12,10,0,0,0,10,10,13,29,3181,535,96,74,3890,47,12,59,3953,277,29,4259,721,123,28,4,872,8,4,8,883,51,0,929,889,172,18,14,1094,9,3,11,1114,71,6,1181,53,20,18,0,89,0,0,0,91,3,0,92,9,3,0,14,27,0,0,0,27,0,0,29,1674,317,63,30,2086,17,7,21,2107,118,3,2231,15,0,0,0,19,0,0,0,20,0,0,23,17,3,0,0,15,0,0,0,19,4,0,25,31,4,0,0,34,0,0,4,42,4,0,49,1705,319,64,30,2124,16,11,31,2148,124,9,2280,220,69,9,8
SOSR122,1394,65,3,1468,11,0,5,0,9,0,0,4,17,0,0,16,11,4,0,0,17,0,0,0,17,5,0,17,19,0,3,0,27,0,0,4,28,7,0,30,1149,197,34,23,1404,17,4,18,1424,71,3,1505,187,52,14,8,272,4,0,9,282,99,0,377,0,0,0,7,10,0,0,0,10,0,6,8,1341,249,57,38,1688,20,5,31,1715,168,13,1893,345,52,10,0,407,5,0,4,411,29,0,436,331,52,13,14,411,0,4,0,415,25,0,439,13,3,3,0,20,0,0,0,20,7,0,28,5,0,0,11,16,0,0,0,16,0,0,16,695,109,25,27,853,6,3,8,863,52,0,915,0,0,0,0,0,0,0,4,8,0,0,8,4,0,0,0,11,0,0,0,11,0,0,11,4,0,0,0,11,3,0,4,13,0,0,13,698,110,29,27,866,6,3,13,879,52,0,936,103,35,14,0
SOSR131,20093,734,51,20876,48,8,9,3,69,22,5,25,91,11,0,97,162,32,5,9,203,11,11,18,220,14,0,235,207,40,10,13,268,32,5,40,311,17,0,329,17008,2230,671,322,20227,124,57,172,20401,754,51,21207,2834,596,155,127,3710,61,32,95,3807,797,18,4620,24,11,0,27,62,0,0,0,61,4,120,184,19867,2834,831,474,24001,184,84,267,24274,1557,188,26017,5463,573,143,46,6226,31,14,46,6271,278,9,6557,5749,920,193,56,6924,54,15,63,6991,289,22,7299,309,91,121,18,531,3,0,3,537,34,0,576,92,11,8,110,215,0,0,0,222,12,11,243,11616,1592,465,228,13900,96,27,122,14022,613,46,14677,48,9,0,0,57,14,0,14,71,7,0,77,110,15,0,0,128,10,9,14,144,5,0,151,152,25,0,0,183,20,9,28,214,18,0,232,11773,1620,468,232,14089,113,41,150,14236,628,46,14909,1595,354,95,80
