SOSR_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
SOSR101,41123,5039,2701,260,49126,829,168,994,50116,2907,100,53119,44434,10105,3299,362,58205,661,152,812,59020,2685,87,61793,20842,3865,5272,261,30241,304,45,343,30588,1163,37,31784,814,190,127,939,2064,33,3,41,2103,162,250,2508,107216,19200,11397,1819,139631,1824,367,2186,141823,6905,474,149203,1853,300,136,43,2332,331,30,363,2693,176,3,2872,2264,498,194,51,3013,286,74,362,3374,262,15,3649,4117,797,331,98,5340,618,103,726,6064,438,20,6523,111338,19994,11727,1915,144976,2441,472,2909,147891,7347,492,155728,38397,10551,6017,1564,56530,2575,588,3166,59699,18830,341,78866,341,107,51,556,1057,16,3,21,1074,123,1144,2336,150072,30658,17795,4035,202561,5035,1063,6095,208656,26296,1975,236930,58744,7362,3266,350,69721,1203,206,1406,71132,4372,111,75616,48646,10905,3267,409,63229,817,151,962,64189,3546,127,67864,8213,1941,2974,128,13255,153,27,175,13435,725,28,14185,558,117,93,962,1721,27,6,33,1752,172,236,2167,116154,20323,9597,1853,147932,2202,382,2584
SOSR102,5744,1049,254,41,7087,79,45,122,7216,351,16,7582,14307,2608,632,96,17640,127,30,159,17799,462,25,18284,5436,932,934,64,7365,46,14,59,7421,171,5,7599,217,34,10,157,413,6,0,0,417,10,42,466,25704,4623,1833,357,32509,254,91,348,32857,995,84,33933,152,39,11,0,195,19,3,26,225,10,0,236,395,81,23,4,502,14,4,22,527,27,3,552,542,120,36,8,705,41,12,45,751,34,6,791,26246,4738,1869,364,33207,298,96,394,33606,1026,85,34724,6668,1544,580,208,9002,231,83,314,9318,1264,32,10612,53,7,0,62,130,0,0,0,126,9,137,269,32966,6291,2447,638,42338,524,180,706,43049,2304,255,45608,9848,1560,439,62,11909,145,47,193,12100,613,17,12737,15672,2786,577,106,19145,157,35,193,19330,604,31,19974,1845,433,414,29,2729,15,4,21,2748,106,0,2856,151,26,9,144,334,3,3,3,338,26,43,408,27521,4808,1434,345,34111,321,90,406
SOSR111,1252,170,38,8,1469,24,8,29,1499,86,0,1583,3015,415,68,29,3519,20,7,30,3549,93,5,3650,910,109,98,6,1129,10,0,11,1135,25,0,1160,34,4,0,19,53,0,0,0,53,4,8,62,5211,693,205,60,6170,49,20,66,6240,203,15,6456,38,12,5,3,49,4,0,4,57,0,0,59,94,15,3,0,111,6,5,13,121,6,0,131,129,23,3,3,162,11,5,17,183,7,0,189,5341,720,205,60,6338,65,23,84,6414,214,15,6643,1433,319,74,65,1892,60,20,83,1973,239,8,2220,21,4,0,7,33,0,0,0,33,0,21,57,6796,1046,279,140,8259,126,41,166,8421,455,41,8916,2073,276,41,12,2404,26,10,44,2448,130,7,2580,3112,470,57,33,3667,29,11,42,3712,94,8,3814,217,36,39,5,292,4,0,7,303,12,0,315,21,3,0,18,37,0,0,0,37,0,9,46,5417,786,144,63,6406,62,24,88
SOSR112,3241,500,76,20,3828,52,19,72,3904,198,5,4104,6867,1023,156,69,8121,41,14,59,8179,226,15,8427,1989,265,272,27,2541,14,9,20,2565,57,5,2616,109,12,7,56,177,4,0,4,182,8,26,222,12205,1802,502,162,14672,112,38,154,14822,487,53,15363,76,14,0,3,95,11,3,15,106,21,0,129,171,37,10,13,222,15,10,24,250,14,3,268,251,47,9,8,317,33,13,41,358,31,5,394,12452,1846,515,173,14994,142,47,191,15181,521,59,15757,3757,763,190,127,4841,187,43,235,5074,685,13,5767,20,5,0,20,53,0,0,0,52,10,86,147,16230,2617,704,323,19882,335,88,425,20308,1210,151,21668,5365,766,123,34,6284,58,24,87,6375,298,14,6685,7210,1091,160,66,8527,62,12,75,8602,309,15,8916,581,113,114,12,817,5,4,8,825,49,0,871,79,16,8,63,159,4,0,4,161,11,35,203,13230,1989,402,169,15785,127,44,171
SOSR113,1035,145,27,6,1220,16,3,21,1242,82,9,1333,2518,479,76,24,3098,14,4,24,3118,116,0,3232,760,110,100,5,978,5,0,5,990,27,6,1019,53,8,3,32,89,0,0,0,89,3,5,100,4368,743,208,68,5386,43,9,54,5440,227,21,5687,30,7,0,0,32,8,0,8,43,0,0,42,89,14,0,0,106,12,4,18,120,9,0,136,114,17,0,5,136,17,4,22,162,11,0,172,4486,760,205,74,5525,61,15,73,5602,236,21,5862,1598,307,116,69,2094,78,32,104,2196,308,12,2515,14,0,0,12,25,0,0,0,25,0,20,49,6098,1073,322,150,7639,139,42,184,7822,547,50,8425,1791,279,46,17,2133,29,9,36,2167,118,3,2289,2930,458,86,24,3495,39,9,44,3543,156,4,3704,252,37,39,5,340,0,0,0,339,23,0,360,27,0,0,33,64,0,0,0,64,10,4,81,5007,768,176,76,6028,67,20,86
SOSR114,1595,248,58,18,1913,19,6,27,1936,110,6,2051,3437,567,95,24,4117,27,9,34,4152,112,10,4270,1114,164,170,16,1469,10,0,13,1478,21,0,1507,65,5,5,40,105,0,0,0,105,5,10,121,6212,979,326,90,7607,57,14,66,7672,249,25,7948,33,7,0,0,43,11,0,11,49,3,0,52,96,20,5,0,116,16,0,16,128,8,0,139,128,22,0,0,159,25,0,25,183,10,0,188,6338,1008,327,88,7760,74,14,89,7851,262,25,8139,1858,391,93,54,2400,64,31,91,2487,315,12,2819,13,0,3,12,25,0,3,3,23,3,40,61,8209,1393,428,151,10183,138,45,188,10368,578,73,11015,2595,351,67,21,3035,26,8,34,3068,139,9,3217,3579,557,102,28,4267,23,10,39,4305,175,11,4492,318,62,53,5,439,4,0,8,440,18,0,465,39,4,0,44,96,3,0,3,99,3,10,108,6538,973,228,106,7840,60,18,81
SOSR115,1944,309,77,22,2345,20,10,30,2370,109,4,2479,4667,772,149,44,5630,27,15,46,5681,174,11,5860,1400,230,195,20,1849,12,7,17,1867,54,3,1928,92,3,13,84,181,4,0,4,185,9,12,208,8098,1308,436,166,10005,64,33,96,10104,348,25,10478,35,12,0,0,46,10,0,10,62,6,3,72,136,18,3,0,163,0,9,11,168,16,0,190,174,28,7,6,213,12,9,22,231,29,3,262,8273,1342,442,172,10221,77,40,114,10333,376,32,10740,2414,541,168,105,3223,96,21,116,3344,412,10,3759,21,0,0,12,36,0,0,0,42,7,58,101,10697,1889,602,291,13483,178,56,232,13716,789,102,14600,3304,465,103,34,3905,47,10,55,3961,174,8,4145,4976,880,157,71,6085,51,19,71,6156,228,16,6397,449,108,108,5,671,7,0,12,683,34,0,722,58,7,0,76,136,6,0,4,144,7,7,152,8781,1454,376,190,10802,110,30,141
SOSR121,526,63,19,7,614,0,0,0,616,62,3,679,1303,218,28,14,1565,12,3,16,1581,43,0,1626,342,55,35,8,438,0,0,0,438,7,0,448,18,5,0,20,51,0,0,0,51,0,0,51,2197,341,90,48,2670,15,3,19,2683,116,9,2808,7,0,0,0,7,0,0,0,12,0,0,13,46,0,0,0,42,0,0,0,48,0,0,47,50,0,0,0,56,5,0,7,61,0,0,58,2243,339,84,46,2719,18,6,19,2742,114,5,2864,683,140,29,35,882,16,9,18,906,98,3,1006,0,0,0,9,9,0,0,0,9,3,19,37,2929,481,117,91,3619,30,9,39,3659,216,30,3907,947,129,34,0,1107,14,0,14,1121,48,0,1172,1529,247,34,19,1826,13,4,17,1845,91,4,1940,140,20,11,0,170,0,0,0,170,8,3,178,8,0,0,16,33,0,0,0,33,3,5,40,2626,392,76,39,3133,28,7,35
SOSR122,193,38,11,3,247,3,0,3,244,13,0,260,554,96,14,0,662,3,0,3,673,23,3,694,136,30,13,0,181,4,4,10,187,5,0,192,10,0,0,6,14,0,0,0,14,0,0,13,891,162,44,13,1104,9,4,17,1119,48,5,1173,3,0,0,0,4,3,0,3,8,0,0,8,9,0,0,0,9,0,0,0,9,0,0,9,10,0,0,0,17,3,0,3,19,0,0,19,907,159,44,13,1118,16,4,16,1136,48,5,1186,294,57,32,17,395,18,3,19,417,69,0,485,0,0,0,0,4,0,0,0,4,0,3,7,1198,221,67,32,1518,33,9,39,1556,116,8,1686,415,60,12,4,487,0,0,4,496,33,0,531,648,117,17,8,790,8,3,11,797,30,4,829,59,14,6,0,83,0,0,0,83,3,0,86,7,6,0,14,22,0,0,0,21,3,0,25,1131,193,31,20,1380,11,0,17
SOSR131,3071,314,90,23,3496,12,3,20,3516,149,7,3677,7351,997,194,58,8598,34,8,39,8636,211,7,8855,2058,278,281,26,2644,13,3,19,2654,83,0,2738,145,20,10,128,298,0,0,0,298,10,13,318,12613,1606,575,235,15031,66,16,82,15110,449,27,15589,27,0,8,3,36,11,0,11,44,6,0,54,115,27,8,5,154,13,3,15,169,6,3,180,140,26,17,12,189,22,3,24,215,12,3,230,12751,1634,592,248,15222,85,16,104,15327,463,27,15820,3598,642,211,137,4586,96,44,132,4722,641,16,5376,27,0,0,22,59,0,0,0,59,3,97,158,16375,2279,800,408,19866,178,62,239,20105,1114,144,21359,6529,660,162,51,7394,41,16,60,7455,300,8,7759,9393,1339,272,92,11093,35,23,66,11155,359,15,11530,739,178,227,20,1156,8,0,10,1167,71,0,1229,139,15,3,157,316,3,0,3,320,12,29,355,16798,2187,663,312,19961,89,44,131
