SOSR_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
SOSR101,19,28,488,4156,18955,16285,17893,12321,2996,2997,3684,4948,1555,299,1540,88160,418,379,500,929,3873,1250,1334,963,241,251,232,217,75,21,274,10964,30,153,413,1181,1942,1656,3093,1675,492,487,492,461,353,142,218,12798,35,138,613,2910,5907,7504,9702,3687,1170,1063,1105,1305,728,261,504,36632,19,85,438,1147,5030,6256,7561,3989,701,652,676,827,338,141,463,28308,0,3,36,191,2255,2806,2337,2072,566,600,646,742,253,40,284,12831,3,12,93,527,2458,3082,7198,5481,1659,1136,1026,1211,404,100,766,25159,2641,7727,23553,17898,17220,16188,29289,18730,3892,3702,3822,4047,1873,634,3462,154682,69,134,822,1560,2014,2993,5276,3974,1059,1112,1274,1620,1083,404,521,23913,14,40,189,12545,26513,16542,12546,9753,2462,2430,2293,2577,1313,380,3369,92967,3311,7968,20529,36693,41963,46041,50901,36613,14108,13753,13491,14629,5273,1340,7505,314118,11922,42384,105667,139654,246176,280155,416580,269613,75433,79561,85264,93629,35310,9754,44581,1935675
SOSR102,0,4,52,313,1379,990,1302,1266,271,293,331,385,160,46,172,6971,112,61,114,143,513,132,156,74,10,10,10,12,3,0,48,1406,7,17,47,114,80,58,151,106,28,38,29,20,15,3,9,735,6,35,134,416,577,753,1513,542,184,131,129,169,130,30,62,4824,0,12,67,85,176,121,248,164,43,50,35,53,27,6,36,1131,0,0,3,5,24,69,89,83,19,15,20,26,12,0,8,384,0,0,10,53,127,295,876,628,178,110,127,141,54,20,69,2688,1283,4451,12134,6793,4891,3340,6274,3064,422,357,355,448,241,116,1471,45638,18,41,180,394,374,507,903,619,114,118,113,151,122,59,68,3776,3,0,8,353,377,182,348,448,121,115,108,132,57,13,93,2357,667,1869,3867,4614,2954,2971,4438,3038,1008,731,945,1066,412,101,799,29485,3692,12653,24992,20760,18702,16221,28213,19021,4643,4562,4759,5256,2366,705,4890,171437
SOSR111,0,0,8,25,205,161,286,305,69,47,83,66,23,11,29,1315,18,7,11,12,39,13,12,9,0,0,0,0,0,0,3,127,0,3,10,6,9,9,12,12,0,11,0,0,0,0,4,82,0,0,15,42,66,110,311,107,24,15,32,42,26,6,10,815,0,4,4,9,22,10,40,52,25,14,14,5,4,4,0,205,0,0,0,0,0,6,21,30,7,8,21,23,0,0,5,125,0,0,0,10,19,42,104,82,33,37,31,16,9,5,26,407,194,588,1382,749,573,324,742,310,42,46,54,47,28,9,165,5269,3,9,22,51,45,61,117,63,11,11,13,11,20,3,12,452,0,0,0,19,22,17,47,66,9,15,20,23,14,0,4,250,79,198,305,327,308,230,855,750,173,175,199,309,80,79,91,4164,536,1519,2378,1947,2175,1736,4459,3483,797,878,1008,1059,346,150,589,23074
SOSR112,0,0,15,84,414,317,676,987,199,226,326,372,121,37,115,3890,40,21,40,28,115,29,44,20,5,5,0,5,0,0,17,376,5,12,22,43,31,33,60,33,0,7,10,7,11,0,13,281,6,16,70,175,183,292,576,214,64,50,64,71,39,38,40,1886,4,8,20,17,59,70,176,227,32,48,75,74,26,7,12,863,0,0,5,4,12,29,57,82,31,36,77,121,20,0,15,475,0,0,0,13,75,101,303,217,59,42,51,58,22,5,56,994,639,1883,4359,2574,1492,1099,1582,732,105,108,116,161,60,27,692,15631,8,16,125,216,152,200,311,223,33,34,41,51,41,5,51,1511,0,0,0,40,61,51,153,186,73,144,138,93,49,7,77,1066,258,612,978,1009,933,784,1605,1155,341,285,382,454,196,138,413,9549,1617,4630,7753,6351,5943,5210,10559,8573,2460,2747,3346,4031,1376,485,2637,67723
SOSR113,0,0,7,36,225,170,256,336,88,73,93,107,50,18,56,1520,10,11,16,20,59,11,13,4,0,0,11,0,6,0,4,168,3,4,9,24,16,6,18,11,9,3,0,0,5,3,0,114,0,5,55,86,77,99,259,79,7,9,13,21,25,18,8,767,3,4,5,8,25,9,25,16,8,4,4,0,0,0,4,119,0,0,0,0,3,10,12,20,6,4,3,0,0,0,4,65,0,0,5,16,28,42,148,110,26,35,29,36,24,3,34,533,296,971,2324,1347,812,454,841,413,72,69,78,85,87,27,353,8236,8,14,47,70,96,74,158,101,18,28,39,32,33,12,24,752,0,4,0,22,35,24,52,60,6,9,9,12,8,3,30,266,132,329,530,506,368,307,521,409,158,120,190,272,119,19,140,4125,729,2336,4056,3214,2806,2013,3764,2587,679,659,815,1009,531,172,1079,26453
SOSR114,0,0,6,32,157,140,296,507,95,96,98,132,41,30,45,1680,14,8,3,11,38,9,14,14,9,0,3,0,0,3,7,135,3,5,16,30,23,12,19,14,13,3,3,3,0,0,3,141,0,16,37,77,104,134,322,135,18,33,40,46,22,13,12,994,0,9,7,13,15,25,51,61,19,20,13,21,7,0,5,265,0,0,0,0,4,7,18,12,5,12,27,21,6,0,3,112,0,0,0,9,22,48,152,106,25,22,12,26,19,12,19,479,331,1003,2351,1213,783,486,845,486,79,59,56,63,41,21,343,8160,3,9,47,68,86,86,144,91,22,24,13,31,18,6,12,670,0,0,0,16,34,19,39,35,8,10,9,23,8,3,5,215,116,294,441,496,365,306,656,422,84,95,102,234,91,53,113,3872,797,2287,3886,3042,2811,2226,4597,3440,730,852,854,1238,541,286,988,28568
SOSR115,0,0,18,53,232,150,234,271,79,72,85,127,43,18,40,1418,28,23,18,18,88,15,8,16,0,0,0,0,0,0,3,227,0,8,17,37,23,12,26,8,0,0,0,3,0,0,9,147,5,12,67,164,166,178,348,125,20,21,23,56,22,9,13,1230,5,6,19,12,26,34,31,40,15,8,14,14,0,0,3,228,0,0,0,0,9,10,19,22,9,12,30,49,14,0,10,183,0,0,3,6,40,38,166,92,35,30,30,24,10,10,24,510,538,1698,4044,2287,1520,884,1357,639,92,86,74,89,53,7,580,13953,8,22,79,182,124,147,247,159,25,29,33,38,13,8,41,1159,0,0,0,24,44,34,45,38,23,3,23,49,25,10,13,346,208,524,884,823,595,502,737,508,104,114,124,297,107,50,222,5804,1250,3787,6690,5257,4651,3306,5233,3211,756,774,900,1280,478,199,1513,39285
SOSR121,0,0,4,10,73,41,41,55,13,15,22,19,11,6,25,334,5,6,5,7,24,0,8,4,0,0,0,0,0,0,0,66,0,4,9,8,0,0,5,9,0,0,0,0,0,0,3,44,0,10,14,25,48,42,92,33,26,0,0,3,7,0,4,313,0,7,0,5,7,0,5,6,0,0,0,0,0,0,7,37,0,0,0,0,5,6,6,8,0,0,3,6,0,0,3,44,0,0,0,5,11,9,29,28,3,0,0,9,0,0,5,101,115,428,1059,598,434,261,335,180,7,29,19,12,13,5,144,3633,0,7,21,60,42,30,75,53,11,8,10,0,18,4,7,348,0,0,0,9,8,3,4,5,5,5,3,7,0,0,6,58,42,119,234,271,182,120,182,102,24,26,38,30,9,8,48,1430,274,920,1780,1444,1301,870,1245,738,146,158,171,160,82,25,384,9711
SOSR122,0,0,7,4,39,26,25,27,11,7,7,16,12,6,8,193,4,0,3,0,9,0,5,0,0,0,0,0,0,0,0,26,3,0,5,3,0,0,3,0,0,0,0,0,0,0,0,17,0,4,11,24,16,23,47,11,0,9,0,5,3,0,0,155,0,3,0,5,0,0,4,3,0,0,0,0,0,0,0,18,0,0,0,0,0,5,3,3,0,0,3,14,4,0,9,39,0,0,5,0,6,9,22,18,3,0,3,4,0,0,6,66,52,203,535,317,184,120,168,70,7,10,5,17,6,0,71,1778,0,0,17,30,26,13,33,19,0,0,0,10,0,0,0,153,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,15,26,65,143,114,80,55,63,31,8,8,10,29,4,6,47,687,139,462,956,779,661,415,538,303,73,62,77,145,47,10,198,4880
SOSR131,0,0,12,65,252,183,246,255,59,57,45,109,22,11,80,1399,9,27,36,36,132,26,26,10,0,3,0,3,0,0,18,331,3,22,40,48,40,53,44,16,3,8,0,5,5,3,19,300,6,22,97,214,271,343,628,204,42,37,62,62,35,17,43,2066,0,10,25,41,49,27,30,22,7,5,3,7,4,3,6,235,0,0,0,4,36,57,37,24,4,12,15,39,9,0,13,244,0,0,9,27,46,79,162,147,25,14,30,40,22,12,48,675,521,1851,5000,2952,2241,1459,2017,704,98,79,82,116,77,25,792,18010,10,28,181,279,279,273,464,202,55,51,39,38,58,10,56,2028,0,4,4,52,79,50,39,50,15,7,4,10,10,0,96,424,306,982,1700,1727,1276,857,1041,549,123,116,152,215,124,51,505,9722,1448,5404,10319,8580,8231,6068,7670,3630,730,686,758,1060,537,206,2911,58228
