SOSR_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
SOSR101,43,1898,3033,9496,4780,3867,2026,863,225,26235,25,288,342,5855,1813,1220,835,536,155,11062,25,142,272,3609,1377,2476,4084,4215,2519,18726,85,361,436,1382,864,472,270,103,29,4001,103,863,1891,9636,4299,2992,1647,926,224,22597,138,547,956,7461,6409,6791,5326,2815,645,31098,77,476,1474,6821,2483,2046,2062,929,178,16535,0,5,11,152,169,614,1709,1385,427,4478,0,8,79,592,329,522,482,239,63,2317,6,46,236,1419,568,477,332,142,52,3283,54,350,10332,19820,1427,289,153,35,0,32455,21,131,146,727,512,476,778,629,290,3711,277,2256,4672,13982,7373,6122,3436,1221,284,39626,0,45,85,889,811,1264,1546,790,210,5644,224,1679,2243,9674,1992,1241,512,109,25,17702,0,22,65,269,456,316,179,77,33,1429,183,1556,3173,15617,6232,5219,3472,872,155,36469,11,68,63,1394,669,748,1164,371,223,4705,18,214,434,1226,931,1022,505,133,15,4496,9,157,240,1692,1379,1573,1422,953,278,7703
SOSR102,0,53,43,115,50,38,16,13,0,334,0,88,68,346,239,172,195,175,41,1334,8,13,26,162,129,341,724,642,440,2490,6,48,61,97,38,22,29,4,0,303,7,53,88,351,162,83,48,26,6,821,7,16,13,123,106,129,106,60,14,562,3,26,108,277,122,160,108,42,10,854,0,3,8,18,24,102,318,215,62,750,0,0,5,29,25,34,36,19,7,154,0,9,12,89,30,23,19,16,4,206,6,27,152,932,33,6,0,0,0,1159,0,21,19,71,89,110,447,397,134,1287,45,282,475,1988,1563,1378,1060,477,116,7387,4,6,17,171,320,627,845,440,136,2559,19,64,147,669,50,28,23,8,0,1011,0,4,15,74,116,73,37,8,0,333,22,219,254,972,323,172,104,31,5,2096,0,0,7,125,64,82,173,81,34,575,0,6,11,65,34,34,19,5,0,168,5,46,72,250,319,607,630,510,157,2592
SOSR111,3,78,28,60,12,8,3,0,0,200,0,13,0,43,26,13,12,18,5,125,0,5,0,27,11,13,42,34,14,147,3,12,0,7,4,0,0,3,0,32,0,0,4,58,9,5,3,0,0,75,0,0,0,6,4,3,5,0,0,30,13,36,14,70,28,14,6,0,0,185,0,0,0,0,0,3,16,4,0,30,0,0,0,7,3,0,0,0,0,12,0,11,39,106,28,8,9,0,0,211,0,20,80,152,6,0,0,0,0,267,0,4,0,6,6,17,78,71,20,205,7,40,70,314,214,203,156,74,23,1101,0,0,0,0,0,0,4,0,0,6,0,11,19,65,11,8,3,3,0,129,0,0,5,4,18,16,0,0,0,47,5,41,82,187,62,20,13,5,0,407,0,0,0,6,0,4,14,10,7,45,0,0,0,14,9,4,0,0,0,33,0,3,8,35,40,71,79,58,19,321
SOSR112,18,180,183,212,66,30,18,6,0,715,0,22,17,114,80,65,74,68,10,462,0,15,4,71,36,98,232,194,124,765,3,12,10,28,10,3,13,3,0,80,0,13,21,160,24,21,12,3,0,246,0,0,6,42,45,31,25,21,0,171,8,48,47,175,84,68,33,3,0,462,0,0,0,4,5,17,63,43,12,145,0,0,6,25,6,10,24,5,3,81,0,13,19,134,26,16,3,3,3,202,0,22,126,1135,39,6,4,0,0,1330,0,5,5,33,26,75,181,185,55,558,17,110,201,675,543,573,492,279,52,2941,0,0,0,7,4,15,6,7,0,39,13,46,34,338,58,18,6,0,0,516,0,4,4,28,45,50,13,0,3,160,22,183,204,745,216,71,29,0,0,1478,0,7,4,25,17,24,48,27,10,151,0,4,29,70,25,18,15,4,0,172,3,26,21,98,84,165,255,177,57,890
SOSR113,0,0,0,13,0,0,3,3,0,16,3,8,0,56,25,23,41,35,7,194,0,4,9,78,10,41,94,74,35,340,0,8,15,27,7,0,0,0,0,57,0,0,0,39,8,0,0,0,0,49,0,0,0,7,10,10,8,3,0,42,3,6,9,52,27,35,10,0,0,139,0,0,0,0,0,17,59,33,8,120,0,0,0,3,6,6,14,7,0,35,0,0,0,7,0,3,0,0,5,11,0,0,23,139,3,0,3,0,0,175,0,0,8,18,21,21,108,91,21,288,6,51,74,361,285,290,240,126,19,1442,0,0,0,0,3,4,11,12,0,32,0,4,8,47,8,5,3,0,0,68,0,3,0,18,30,11,15,0,0,79,7,70,72,189,82,16,13,4,0,454,0,5,0,13,4,13,40,9,0,78,0,0,0,3,5,4,3,3,0,20,4,0,0,15,37,91,137,103,24,414
SOSR114,0,6,8,10,15,6,0,0,0,43,0,14,8,71,24,24,32,28,12,209,3,3,5,46,17,26,82,64,48,291,0,5,6,26,5,0,5,0,0,52,0,3,6,50,5,6,3,0,0,67,0,0,0,11,18,15,8,6,0,57,5,5,15,92,44,22,9,7,0,206,0,0,0,0,4,10,41,37,7,101,0,3,0,7,0,8,4,0,0,29,0,0,0,0,3,0,0,0,0,5,0,3,11,199,5,3,0,0,0,221,0,4,8,26,12,37,105,92,32,305,4,50,70,347,267,289,253,128,31,1438,0,0,0,10,10,6,3,3,0,39,0,15,10,71,6,4,5,0,0,117,0,0,7,19,35,23,21,0,0,107,6,95,96,246,92,39,10,0,0,587,0,4,0,12,3,8,12,10,4,51,0,0,3,42,12,5,0,0,0,59,0,3,10,33,48,94,136,108,25,459
SOSR115,0,0,0,18,4,8,0,3,0,37,0,11,9,90,61,60,72,57,8,367,0,0,8,57,33,46,120,84,43,392,0,10,5,25,9,6,5,0,0,59,0,3,13,59,10,3,0,0,0,83,0,0,0,11,25,17,20,7,0,82,0,10,19,106,55,34,19,5,3,246,0,0,0,7,4,43,95,59,15,222,0,0,0,7,5,6,19,10,0,47,0,0,0,7,4,0,0,0,0,16,5,3,13,150,10,4,0,0,0,183,3,3,9,34,38,42,170,160,51,508,14,61,81,418,370,425,456,164,31,2021,0,0,0,3,3,10,22,7,0,46,3,6,5,54,6,4,0,5,0,87,0,10,5,17,47,26,14,6,0,126,12,53,44,170,54,22,12,4,3,379,0,0,0,22,5,16,36,19,8,110,0,0,0,8,4,0,5,0,0,20,0,12,17,60,71,143,209,149,39,706
SOSR121,0,0,0,6,0,3,0,0,0,10,0,0,4,13,12,23,16,7,0,79,0,0,3,11,5,22,44,17,15,115,0,3,0,5,7,0,0,0,0,16,0,0,0,6,0,0,4,0,0,15,0,0,0,8,5,10,0,0,0,19,0,0,4,16,11,8,3,0,0,49,0,0,0,0,0,8,24,15,0,55,0,0,0,3,0,0,6,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,7,13,0,0,0,0,0,20,0,0,0,6,13,15,53,34,3,133,0,16,17,119,123,112,120,51,13,566,0,0,0,0,0,3,4,0,0,9,0,0,0,6,3,0,0,0,0,10,0,0,0,7,12,7,3,0,0,37,6,13,9,29,7,5,7,0,0,68,0,0,0,4,7,3,12,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,5,19,17,47,49,31,9,159
SOSR122,0,0,0,0,0,0,0,0,0,4,0,0,0,5,9,4,13,4,0,33,0,0,0,5,0,15,17,17,3,61,0,0,0,4,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,7,0,0,0,0,4,4,0,0,0,12,0,0,4,18,5,8,3,3,0,37,0,0,0,5,0,3,12,9,0,27,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,7,5,3,5,9,21,7,4,56,0,7,11,52,52,89,69,24,3,312,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,3,0,0,0,3,3,4,0,0,0,19,0,8,4,22,4,0,0,0,0,46,0,0,0,0,0,0,8,0,0,13,0,0,0,3,0,0,0,0,0,4,0,0,0,3,11,18,29,19,5,83
SOSR131,0,4,3,35,22,28,27,11,4,129,0,16,13,150,98,94,123,60,11,567,0,6,7,54,48,181,453,337,138,1231,0,11,9,31,18,11,20,0,4,99,0,0,16,45,17,23,8,8,0,117,0,4,15,105,143,166,103,58,13,607,0,14,23,92,42,79,37,23,5,316,0,3,5,17,32,130,361,219,46,816,0,0,5,17,5,10,10,0,3,57,0,0,0,3,8,7,0,8,0,28,0,4,6,21,10,0,0,0,0,41,0,7,11,54,51,124,311,199,38,789,3,61,135,596,629,861,716,225,26,3250,0,0,0,9,20,22,21,3,0,80,0,3,6,38,13,14,4,6,0,86,0,5,0,31,57,52,28,0,0,170,4,52,51,113,59,22,10,6,0,317,0,0,0,33,19,31,35,15,5,143,0,0,7,43,8,9,12,0,0,75,4,10,19,60,100,206,215,137,33,774
