SOSR_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
SOSR101,0,0,0,1790,1962,99104,3969,2869,629,511,403,987,488,45,4777,113784,10441,162,90,15,16,15,29,14,4,780,11561,11450,157,72,7,8,9,28,22,4,733,12492,14885,693,417,113,68,43,120,58,9,1165,17567,144,4,0,0,0,0,3,0,0,113,263,26482,854,494,124,78,49,152,82,9,2007,30329,126,6,4,0,0,0,0,0,0,2745,2879,37047,1020,587,137,89,64,176,96,11,5528,44759,320642,61338,57339,13188,13263,14241,15048,7271,2669,10024,515023,497732,188530,173698,50540,53985,58925,60759,20942,4935,16125,1126185,137634,34139,38029,11549,12094,11772,17404,6850,2017,8610,280102,1273,251,292,102,133,178,282,192,95,589,3384,636634,222924,212025,62186,66215,70883,78450,27975,7054,25325,1409663,791,199,254,64,83,141,135,55,37,9234,10990,958071,284462,269613,75433,79561,85264,93629,35310,9754,44581,1935675
SOSR102,0,0,0,258,326,18189,300,185,38,26,22,50,27,3,917,19758,4010,40,19,3,5,0,10,6,0,356,4450,1638,0,3,0,0,0,0,0,0,130,1787,1069,8,16,5,0,3,3,0,0,109,1215,29,0,0,0,0,0,0,0,0,19,46,2738,6,20,5,0,4,6,0,0,260,3045,59,0,0,0,0,0,0,0,0,346,414,6811,52,40,6,3,3,20,9,4,970,7911,72587,9656,7208,1257,1160,1126,1333,796,334,2541,97989,26914,9213,10582,2928,3022,3187,3185,1328,264,1025,61644,5681,850,1197,441,371,426,726,240,100,431,10461,121,16,23,11,10,11,11,10,5,43,254,32714,10075,11803,3382,3397,3622,3922,1568,369,1498,72356,193,16,12,5,5,9,6,0,3,850,1095,105496,19741,19021,4643,4562,4759,5256,2366,705,4890,171437
SOSR111,0,0,0,14,16,1888,40,30,6,4,0,9,5,0,87,2074,463,3,4,0,0,0,0,0,0,44,515,130,0,0,0,0,0,0,0,0,7,140,37,5,4,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,171,5,4,0,0,0,0,0,0,12,193,0,0,0,0,0,0,0,0,0,10,17,641,9,4,0,0,0,0,0,0,68,723,8935,1319,998,191,153,180,171,88,34,339,12402,2101,1852,2053,513,580,637,568,171,93,136,8710,288,230,430,92,150,190,307,83,12,45,1835,6,5,3,0,0,0,0,0,13,14,43,2405,2089,2481,609,727,830,884,258,116,194,10588,12,3,0,6,0,0,0,0,0,55,81,11343,3411,3483,797,878,1008,1059,346,150,589,23074
SOSR112,0,0,0,37,65,6486,106,40,11,11,9,21,14,5,353,7053,1729,12,9,0,0,0,0,0,0,193,1948,383,0,0,0,0,0,3,0,0,53,446,164,0,0,0,0,0,4,0,0,26,196,4,0,0,0,0,0,0,0,0,6,7,549,0,0,0,0,0,8,0,0,85,642,8,0,0,0,0,0,0,0,0,44,50,2287,12,13,0,0,0,4,0,0,319,2643,26832,2901,2412,463,472,443,563,297,139,1277,35808,6572,4386,5626,1761,1964,2399,2514,770,277,471,26736,879,385,514,233,310,486,926,295,62,167,4259,30,13,22,3,4,12,9,9,5,24,134,7480,4783,6159,1996,2275,2898,3458,1074,343,655,31128,68,4,3,0,3,5,4,0,0,700,795,34378,7693,8573,2460,2747,3346,4031,1376,485,2637,67723
SOSR113,0,0,0,26,40,3231,63,21,6,7,4,8,3,3,182,3533,778,12,0,0,0,0,0,0,0,81,873,165,0,0,0,0,0,0,0,0,21,186,51,0,0,0,0,0,0,0,0,3,55,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,26,248,6,0,0,0,0,0,0,0,0,41,44,998,17,4,0,0,0,3,0,0,142,1166,13279,1480,1231,284,235,264,289,220,79,645,18004,2629,1103,1237,362,389,497,619,275,66,189,7373,301,96,114,33,33,49,99,37,24,34,804,13,0,6,0,0,3,0,0,0,5,29,2941,1203,1354,389,423,551,718,312,90,226,8212,29,0,0,0,0,0,5,0,3,197,235,16247,2684,2587,679,659,815,1009,531,172,1079,26453
SOSR114,0,0,0,21,30,3152,56,45,5,0,5,8,8,0,172,3445,822,3,4,0,0,4,0,0,0,91,927,165,0,0,0,0,0,0,0,0,13,176,46,0,0,0,0,0,0,0,0,5,59,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,25,236,0,0,0,0,0,0,0,0,0,29,33,1038,9,3,0,0,4,0,0,0,147,1201,13218,1482,1307,215,223,191,249,144,81,675,17781,2697,1693,1949,458,542,543,750,288,158,160,9249,331,165,173,56,89,115,229,98,34,47,1347,11,0,9,0,0,0,10,3,5,7,45,3044,1868,2127,515,630,660,992,396,201,210,10645,27,0,3,0,0,0,3,4,3,102,143,16291,3350,3440,730,852,854,1238,541,286,988,28568
SOSR115,0,0,0,27,53,5073,59,40,6,3,7,7,11,0,256,5463,1167,14,0,3,0,0,4,0,0,107,1290,218,0,0,0,0,0,0,0,0,31,247,66,7,0,0,0,0,0,0,0,20,93,4,0,0,0,0,0,0,0,0,4,6,288,7,0,0,0,0,3,0,0,52,344,10,0,0,0,0,0,0,0,0,35,49,1468,14,4,3,0,0,8,0,0,196,1690,22505,2112,1676,261,260,268,349,156,64,1022,28667,3640,1371,1410,440,449,523,718,250,108,204,9109,354,113,119,58,64,106,208,64,28,65,1181,22,0,3,0,0,0,8,3,0,11,56,4020,1486,1532,495,511,634,931,319,140,276,10340,53,4,3,0,0,0,0,0,0,211,281,26579,3595,3211,756,774,900,1280,478,199,1513,39285
SOSR121,0,0,0,7,13,1142,14,6,0,4,3,0,0,0,57,1230,229,0,0,0,0,0,0,0,0,16,244,41,0,0,0,0,0,0,0,0,7,49,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,7,69,3,0,0,0,0,0,0,0,0,0,3,287,0,0,0,0,0,4,0,0,23,310,5998,546,471,73,61,75,40,36,9,291,7607,926,261,243,70,83,91,99,37,10,64,1887,75,18,25,5,8,6,19,4,3,18,174,3,0,4,0,0,0,0,0,0,0,8,1004,273,272,76,90,97,123,42,12,81,2068,20,0,0,0,0,4,0,0,0,16,34,7017,820,738,146,158,171,160,82,25,384,9711
SOSR122,0,0,0,0,5,628,15,3,0,0,0,4,0,0,23,668,103,0,0,0,0,0,0,0,0,4,111,17,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,5,134,3050,273,169,24,30,23,42,11,3,134,3765,481,103,120,37,26,34,87,25,5,36,964,37,0,15,7,9,14,17,8,0,13,129,0,0,0,4,0,0,0,0,0,0,6,526,109,130,41,35,54,103,37,10,50,1100,12,0,0,0,0,0,0,0,0,7,16,3581,384,303,73,62,77,145,47,10,198,4880
SOSR131,0,0,0,31,51,6256,81,41,6,11,11,17,5,0,330,6754,885,7,6,0,0,0,0,4,0,59,967,364,0,0,0,0,0,0,0,0,26,395,182,0,3,0,0,0,0,0,0,6,196,3,0,0,0,0,0,0,0,0,0,3,551,0,6,0,0,0,0,0,0,34,596,0,0,0,0,0,0,0,0,0,15,18,1441,14,5,0,0,0,6,4,0,112,1580,32737,3093,1988,350,315,298,413,255,95,1650,41199,8616,1603,1395,314,287,344,479,239,84,404,13755,1312,257,234,65,81,107,162,41,22,97,2384,38,10,0,4,3,0,8,0,0,17,80,9960,1868,1632,382,365,457,648,279,105,525,16224,54,0,8,0,0,4,6,7,4,733,808,42751,4966,3630,730,686,758,1060,537,206,2911,58228
