SOSR_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR101,2538,6160,16290,15056,13917,10322,2978,430,22,67716,3003,10111,30242,27167,20449,13685,3987,836,182,109662,82695,200686,548628,532357,433209,298522,83445,10545,864,2190950
SOSR102,1021,2052,4102,3732,3622,2706,742,93,4,18073,873,1843,4081,3786,3550,2594,764,228,67,17779,30499,48054,103287,103173,101705,76723,18136,1989,176,483747
SOSR111,235,433,955,757,635,464,130,11,0,3626,194,384,811,742,622,477,131,42,10,3417,6097,8297,20133,19212,17929,13712,3519,346,34,89270
SOSR112,539,988,2268,1775,1711,1349,456,77,10,9162,584,875,1975,1613,1612,1238,453,183,38,8567,15287,20896,50529,45918,45267,37962,11265,1517,142,228784
SOSR113,233,384,882,732,763,595,196,29,4,3824,235,345,851,705,728,589,189,62,18,3721,6259,7871,19370,18818,19420,16922,4657,570,50,93937
SOSR114,296,472,1058,880,812,709,262,47,0,4522,300,422,928,867,786,672,263,94,30,4359,7106,9484,22614,22010,21995,19207,5533,824,91,108869
SOSR115,367,581,1251,1136,1142,984,317,55,7,5831,440,546,1155,1273,1240,1105,433,117,40,6351,9685,11728,28791,29881,31661,29101,8754,1113,112,150819
SOSR121,117,185,338,327,391,295,108,3,0,1759,132,142,304,342,389,310,136,32,9,1801,2823,3012,6943,8290,9753,8594,2544,325,29,42319
SOSR122,41,83,134,147,188,157,54,4,0,806,59,63,154,159,200,222,86,14,3,967,1130,1499,3284,3754,4525,4642,1317,185,14,20362
SOSR131,853,946,1644,1785,2223,1891,573,70,3,9992,912,893,1620,1951,2650,2351,1064,478,81,11997,17786,18723,36665,47243,63617,59369,23286,5252,658,272591
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,5,8,19,21,11,13,0,0,0,68,10,13,47,34,29,22,8,0,0,166,123,245,809,492,412,338,86,6,0,2511
