SOSR_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SOSR101,54,20,50,47,16,123,10,94,98,3164,42,3709,13,13,8,11,4,32,8,60,36,524,3,703,4,18,10,11,3,29,9,151,81,984,9,1310,5,12,6,7,3,41,3,220,102,866,12,1268,16,49,32,15,4,113,29,450,192,2173,42,3108,20,65,33,49,12,237,23,968,391,2792,55,4636,48,198,105,109,26,830,99,1648,761,5387,67,9274,78,459,205,233,72,2083,213,2339,1210,5797,101,12783,245,972,460,782,209,4661,469,3394,1790,8121,126,21232,577,1882,863,2368,711,6511,968,3989,2138,8159,154,28309,866,1595,760,3284,1018,7209,1037,3167,1733,5975,92,26744,1900,1937,802,4641,1415,7330,1169,2701,1486,5351,115,28844,8922,4407,1927,13731,4538,18124,2827,5026,2536,9018,214,71282,12750,3736,1650,16470,5385,8347,2312,3196,1542,5617,131,61140,15441,2931,1184,16401,5073,9302,1777,2379,1105,4049,118,59762,15744,2022,789,11924,4052,4377,1185,1454,647,2148,71,44408,78972,6045,1978,48086,13568,26961,2550,4196
SOSR102,17,5,10,8,3,12,4,9,5,215,6,304,0,4,0,3,0,11,0,7,5,47,0,75,3,4,3,4,0,3,0,29,5,63,0,117,0,0,0,0,0,8,0,21,6,64,6,101,0,7,5,3,0,10,6,57,10,192,3,305,0,21,6,15,0,28,5,124,38,248,6,493,11,49,11,50,6,107,17,260,74,625,5,1208,24,109,21,64,18,295,31,364,88,675,12,1709,47,202,40,200,48,784,97,562,198,1079,16,3276,144,521,91,845,204,1269,207,723,219,1154,25,5403,213,493,97,1267,312,1376,223,624,175,861,18,5640,446,549,117,1876,413,1399,227,499,161,726,20,6449,2312,1273,261,5489,1216,3013,570,930,369,1219,34,16686,3134,974,265,6482,1395,1656,528,572,150,606,15,15767,3581,760,189,5908,1244,1512,371,393,114,407,12,14482,3469,380,137,3644,930,680,211,171,72,205,13,9903,10492,832,261,8247,1647,2682,386,434
SOSR111,5,0,0,0,0,0,0,4,0,26,3,41,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,7,4,23,0,33,0,0,0,0,0,0,0,3,0,8,0,19,0,4,0,0,0,0,0,19,0,52,0,81,3,3,0,0,0,9,0,22,4,32,0,80,3,19,0,8,0,32,4,61,3,121,6,245,7,31,0,17,4,76,0,78,15,141,4,376,11,64,0,75,5,183,19,125,29,193,0,712,44,117,8,268,25,349,22,147,30,198,6,1218,71,112,7,427,48,316,21,98,28,136,6,1273,165,114,11,540,72,311,21,73,20,110,0,1445,697,191,32,1329,218,576,68,122,44,155,11,3443,794,135,27,1311,190,247,52,72,30,79,3,2928,781,75,24,951,143,202,40,58,16,45,0,2346,676,40,15,540,104,88,19,24,11,26,3,1543,1522,89,25,982,193,286,39,33
SOSR112,9,0,3,3,0,11,0,9,3,87,4,129,0,0,0,4,0,3,0,4,0,29,0,40,0,0,5,0,0,0,0,14,0,36,0,53,0,0,0,0,0,0,0,11,8,28,0,55,0,4,0,4,0,3,0,36,6,101,0,166,0,8,0,14,5,25,0,60,7,117,0,241,10,40,0,26,5,87,12,139,26,313,6,662,15,70,5,70,6,233,12,234,41,354,9,1045,45,143,11,214,24,494,44,316,92,579,5,1971,130,285,33,707,86,808,73,346,88,563,19,3151,213,238,43,982,125,802,53,264,69,307,18,3110,478,266,46,1252,175,707,77,200,51,276,13,3532,1930,476,92,3035,434,1333,170,299,110,406,15,8299,2037,327,56,2835,475,576,158,160,59,179,16,6871,1935,207,58,2095,360,464,81,91,41,116,6,5448,1661,100,33,1254,223,160,48,40,22,57,3,3606,3721,210,73,2333,376,694,76,87
SOSR113,0,4,0,3,0,6,0,6,4,40,0,62,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,6,0,22,0,28,0,0,0,0,0,0,0,3,4,14,0,26,0,3,0,3,0,0,0,17,3,58,0,89,4,3,0,6,0,12,4,28,4,55,4,117,9,8,0,11,4,28,6,67,16,176,0,324,7,26,4,14,6,83,9,92,23,173,0,436,25,80,11,77,17,224,15,155,40,288,9,940,58,132,21,285,58,340,30,174,42,279,7,1428,75,122,12,380,55,321,38,130,37,164,4,1340,160,100,7,516,62,306,28,83,33,139,3,1435,633,212,26,1234,188,575,71,148,55,215,14,3374,737,130,26,1142,180,282,57,73,24,87,10,2756,691,102,27,839,124,201,49,42,22,45,7,2145,547,59,19,468,100,87,14,17,11,28,4,1358,1211,91,32,934,174,313,52,51
SOSR114,3,0,0,7,0,5,0,7,4,44,4,73,0,0,0,0,0,0,0,0,4,14,0,21,0,3,0,0,0,0,0,6,3,16,0,31,0,0,0,0,0,5,0,0,0,17,0,24,8,0,0,3,0,4,0,12,3,42,0,83,0,7,3,8,0,8,0,25,3,64,4,124,0,17,0,16,0,33,8,70,15,173,3,343,17,38,3,42,3,105,3,110,26,165,6,516,26,73,13,106,22,224,17,158,31,276,9,951,76,150,15,424,62,403,39,179,47,267,13,1672,127,99,22,486,77,391,33,130,31,161,9,1569,240,125,28,616,99,363,34,99,28,141,8,1763,925,215,46,1545,247,622,108,128,47,200,12,4092,914,205,47,1397,288,297,57,74,24,96,3,3402,962,113,31,1028,176,233,48,49,13,49,8,2720,739,70,23,562,122,116,25,19,7,26,0,1710,1657,100,45,1030,245,313,49,50
SOSR115,3,0,0,8,0,7,0,11,3,74,0,107,0,0,0,0,0,0,0,0,0,16,0,29,3,0,0,3,0,5,4,6,0,31,0,57,0,0,0,3,0,3,0,8,0,30,0,46,4,6,0,5,0,0,0,21,3,58,0,101,8,6,0,8,0,15,0,41,16,65,0,160,7,17,0,33,4,45,4,109,21,223,4,468,19,53,4,58,12,145,14,139,37,256,9,738,45,103,16,142,19,331,25,198,56,433,9,1371,113,214,37,515,50,520,54,271,91,403,13,2276,133,187,20,681,85,492,53,198,54,268,6,2172,270,179,31,835,148,465,61,171,55,217,12,2453,1076,403,97,2143,348,907,128,220,67,280,9,5681,1171,287,67,1880,331,344,120,147,37,146,9,4539,1201,163,64,1425,263,332,87,64,31,98,6,3738,972,104,24,794,160,135,53,36,8,45,0,2338,2273,175,63,1421,304,445,75,69
SOSR121,5,0,0,3,0,3,0,0,0,10,0,29,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,10,0,18,0,0,0,0,0,0,0,5,0,5,0,15,4,5,0,0,0,4,0,9,0,22,0,44,0,0,0,3,0,4,0,19,3,19,0,56,3,8,0,11,0,15,4,20,4,51,0,124,4,20,3,23,0,30,4,53,10,66,4,214,16,27,8,53,3,94,0,77,18,132,3,438,32,76,4,130,28,133,8,83,12,101,4,610,44,50,4,196,27,152,16,72,18,91,0,668,64,59,14,268,37,140,21,32,15,71,4,721,273,127,12,593,84,246,33,64,18,93,4,1551,316,111,13,560,90,124,42,43,15,39,3,1355,382,50,15,412,65,102,23,28,14,35,5,1135,294,39,7,269,38,37,14,14,0,9,0,724,752,63,16,487,96,133,25,33
SOSR122,3,0,0,0,0,0,0,0,0,14,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,4,3,0,9,0,0,0,0,0,0,0,3,0,14,0,21,0,0,0,0,0,4,0,3,3,11,0,30,5,0,0,3,0,12,0,16,3,31,0,82,3,6,0,10,0,24,7,25,8,39,0,115,6,8,4,33,0,50,4,27,10,70,0,214,25,27,3,86,8,64,11,40,4,64,0,331,19,16,0,85,17,76,12,32,12,48,0,319,43,24,0,102,17,59,6,25,5,26,0,313,148,50,5,243,35,106,16,27,14,53,0,700,149,32,10,237,38,52,17,19,12,22,3,598,154,26,6,188,20,21,15,8,6,16,0,462,111,14,4,98,19,23,5,7,6,6,0,286,298,26,9,180,42,72,11,16
SOSR131,82,3,10,42,8,25,0,3,10,128,5,317,18,0,0,10,5,13,0,7,0,32,0,93,18,3,0,16,5,8,0,20,0,66,3,154,10,9,0,15,4,13,0,19,5,53,0,122,24,16,6,30,0,18,9,43,10,118,0,285,28,21,3,56,8,50,6,87,19,138,3,417,77,50,10,105,18,109,12,175,36,336,7,937,99,123,22,187,25,232,19,218,48,351,13,1338,189,201,28,432,55,447,45,306,74,575,29,2377,356,340,56,950,112,669,95,358,97,526,26,3591,340,229,65,1083,128,727,85,281,103,434,20,3498,565,283,73,1326,187,617,106,231,75,347,20,3823,1808,542,154,3111,435,1232,228,398,133,533,24,8615,1945,466,127,2919,481,657,167,238,94,312,22,7425,2100,326,94,2463,366,586,159,163,71,197,5,6531,1831,201,74,1595,281,308,111,96,37,137,4,4673,5964,557,167,4084,700,1341,221,255
