SOSR_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
SOSR101,38,317,839,4176,1128,731,402,136,28,7789,134216,246299,205603,320662,136506,106226,73059,38633,13883,1275083,67,662,1169,8754,2290,1319,562,80,3,14901,0,19,39,1044,530,755,476,248,59,3171,32,223,503,6774,641,294,88,35,14,8597,11,106,315,1548,1251,1219,872,320,81,5737,80,233,266,1758,958,626,300,140,20,4379,14,79,147,1695,1047,979,946,612,75,5591,316,3417,9062,42152,12940,17359,11575,4557,2385,103755,0,29,28,692,567,1193,1302,1461,500,5759,48,534,500,2625,1056,1593,1796,1262,406,9828,405,3096,3807,19190,13294,12528,9204,6283,1907,69715,20,263,726,5282,3278,3132,1840,714,154,15402,31,232,305,3013,816,460,273,144,49,5328,39,186,308,1869,1122,915,1302,1349,352,7434,14,142,248,786,691,1624,2717,3980,2024,12222,161,1140,1775,7072,2770,4035,3481,761,213,21406,1148,7010,8622,58851,11569,5738,3615,1661,483,98698,63,307,2065,7261,2208,1356,1449,555,135,15404,32,522,826,6972,1932,1530,1031,452,146,13440
SOSR102,3,34,32,106,18,12,0,0,0,201,28640,59848,56844,100991,49935,47122,37811,20917,6916,409025,6,36,44,330,35,23,12,3,0,481,0,0,0,107,47,84,61,42,12,356,3,26,32,440,71,15,11,3,0,605,0,4,11,44,28,20,18,3,0,125,14,60,90,290,216,132,93,45,11,952,3,4,18,107,132,107,126,96,12,598,8,99,306,1165,306,307,303,100,40,2625,0,0,4,86,74,184,168,257,83,855,10,41,17,131,45,55,108,75,39,515,65,599,778,2713,2631,3973,3737,3054,1044,18586,3,11,37,212,105,98,55,24,3,552,7,30,24,155,81,65,67,34,4,467,0,32,48,194,169,233,664,512,152,2005,3,8,12,23,39,115,236,227,127,788,6,29,69,150,55,96,78,21,4,510,41,236,566,3041,517,228,149,138,45,4959,11,33,89,249,95,50,47,19,11,599,0,20,28,276,73,54,31,11,5,500
SOSR111,0,4,7,16,6,0,0,0,0,26,5861,11820,9991,19525,9067,8768,7581,3980,1218,77812,0,4,9,44,21,0,0,0,0,69,0,0,0,0,0,3,0,0,0,13,0,0,0,17,4,0,0,0,0,24,0,0,0,0,7,0,0,0,0,10,0,9,4,39,24,25,16,8,3,137,0,0,4,18,8,4,8,4,0,40,0,8,13,88,32,30,25,7,0,205,0,0,0,0,6,7,8,17,0,46,0,5,9,11,4,3,7,7,0,41,3,54,69,265,320,442,494,385,112,2138,0,4,4,48,19,18,9,4,0,103,0,0,0,15,10,6,6,5,5,44,5,0,6,24,23,47,137,97,21,353,0,0,4,3,0,9,12,9,6,48,0,5,9,19,4,10,16,0,3,69,16,65,98,883,107,37,43,12,4,1268,0,3,0,18,5,7,0,0,0,32,0,3,3,21,8,3,0,0,0,41
SOSR112,0,4,12,55,23,6,0,0,0,101,14879,29754,26966,48291,23387,23873,21505,12465,4320,205448,0,25,16,237,25,6,11,0,0,330,0,0,0,11,3,12,9,0,0,34,0,5,7,73,13,4,0,0,0,111,0,3,3,21,9,3,0,0,0,49,6,14,33,103,78,48,37,20,3,342,0,0,0,28,20,24,26,16,5,124,8,52,48,419,121,105,74,38,7,876,0,0,0,7,9,32,33,40,14,145,0,21,17,72,24,32,30,27,9,232,11,137,165,655,797,1282,1610,1372,466,6501,0,10,49,235,85,52,33,13,8,487,0,8,16,61,40,30,40,19,0,220,0,12,10,57,64,90,225,205,65,732,0,5,8,15,6,23,44,41,13,156,0,12,6,57,21,33,32,5,0,167,43,218,254,2273,362,197,123,57,22,3550,0,7,15,92,16,15,12,8,9,181,0,15,9,104,32,4,9,4,0,177
SOSR113,0,0,0,0,0,0,0,0,0,5,5934,13134,11264,20812,10734,12028,11441,6365,2090,93798,0,3,0,24,5,0,0,0,0,37,0,0,0,7,0,5,8,3,0,20,0,3,5,97,9,5,3,3,0,124,0,0,4,10,0,0,0,0,0,18,7,10,9,58,38,22,24,16,6,174,0,0,0,40,9,9,17,6,0,74,3,9,16,80,49,39,29,13,4,236,0,0,0,0,3,16,35,40,16,107,0,3,0,10,10,8,18,6,0,56,9,76,80,351,375,683,898,713,193,3386,0,3,4,38,20,12,18,5,0,112,0,0,10,59,10,20,14,8,5,128,0,4,13,27,20,72,135,104,26,412,0,0,3,6,9,17,30,35,16,113,0,9,3,14,12,14,8,4,0,57,9,38,35,338,50,26,23,16,4,546,4,3,0,16,10,0,12,3,3,58,0,0,0,11,6,3,0,3,0,29
SOSR114,0,7,3,18,14,6,0,0,0,37,7384,15002,12176,22192,11486,12696,12519,7535,2577,103563,0,0,3,29,3,8,0,0,0,44,0,0,0,8,0,0,0,3,0,16,0,4,7,45,10,7,6,0,0,85,0,0,0,11,5,0,0,0,0,24,7,9,5,48,22,29,24,9,4,153,0,0,0,24,15,11,17,0,0,63,3,33,33,179,44,45,31,8,0,375,0,0,3,6,0,13,13,16,7,60,0,5,0,13,0,5,15,3,0,44,12,79,85,373,384,641,816,702,226,3329,0,4,30,155,27,13,16,6,4,252,0,0,4,43,15,15,14,6,5,107,0,3,12,33,30,46,119,129,28,395,0,0,0,0,0,11,21,13,6,52,3,8,9,20,14,8,9,6,0,63,19,78,70,734,113,76,73,24,20,1200,0,6,9,32,6,5,7,3,9,72,0,3,3,22,12,9,3,4,0,54
SOSR115,0,0,3,11,0,0,0,0,0,17,9724,20918,16653,30757,16742,19558,20037,10737,3297,148422,0,0,3,22,8,0,0,0,0,37,0,0,0,8,3,3,4,3,0,25,0,0,0,47,11,3,4,0,0,79,0,3,0,15,4,0,0,0,0,33,0,14,16,67,43,38,41,19,4,244,0,4,0,40,20,20,13,16,0,111,0,21,22,131,61,43,24,15,3,321,0,0,0,5,10,27,47,45,18,151,0,0,5,26,3,7,31,12,3,92,9,108,130,553,666,1235,1583,1198,309,5782,0,12,14,98,32,24,23,8,0,213,4,5,6,70,24,34,24,16,0,180,0,11,9,59,42,106,228,166,50,675,0,0,0,4,8,7,41,34,8,106,0,3,0,23,15,11,15,6,4,70,9,35,38,467,58,47,35,28,8,724,0,11,12,41,4,7,18,13,0,99,0,0,0,17,12,0,3,5,0,41
SOSR121,0,0,0,0,0,0,0,0,0,0,2549,6051,4678,8140,5115,5865,5490,2521,599,41014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,0,3,0,20,0,0,3,0,0,0,0,0,0,3,0,3,0,26,14,13,16,4,0,72,0,0,0,9,0,5,3,0,0,16,0,6,3,9,7,4,12,4,0,42,0,0,0,0,4,8,6,7,0,20,0,0,0,4,0,0,6,0,0,9,0,23,22,134,197,383,441,297,58,1558,0,4,0,10,0,8,6,0,0,29,0,0,6,16,8,16,14,0,0,54,3,4,0,18,14,34,71,41,16,196,0,0,0,0,0,6,7,12,0,21,0,0,0,9,3,4,7,0,0,23,5,6,9,83,18,11,16,8,4,149,0,5,0,4,0,0,7,0,0,21,0,0,0,3,3,0,0,0,0,13
SOSR122,0,0,0,0,0,0,0,0,0,0,1106,2843,2206,3944,2577,3292,2956,1304,305,20548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,10,10,0,0,33,0,0,0,3,0,0,0,0,0,9,0,6,0,5,4,4,5,0,0,26,0,0,0,0,0,7,4,3,0,13,0,0,0,0,0,0,0,0,0,12,0,12,15,60,83,219,213,162,33,799,0,0,4,7,3,7,3,0,0,24,0,0,0,4,0,0,3,4,0,18,0,3,0,3,5,17,41,34,7,115,0,0,0,0,0,0,9,3,5,14,0,0,0,0,0,0,3,0,0,11,0,3,0,28,7,0,0,9,3,53,0,0,0,3,0,4,6,0,0,14,0,0,0,5,0,0,0,0,0,3
SOSR131,0,0,0,20,4,6,7,0,0,32,13031,35155,29690,46654,33509,37861,30715,12753,2697,242069,0,0,6,22,9,5,0,0,0,49,0,0,6,16,7,9,7,12,0,49,0,3,5,58,11,3,0,0,0,83,0,0,0,25,16,3,9,0,0,57,3,17,15,77,74,84,74,31,6,386,0,0,3,30,29,20,32,12,0,120,0,21,31,231,148,170,100,39,3,745,0,0,0,8,19,73,89,65,23,277,0,3,3,26,8,34,44,26,0,147,9,132,225,644,1049,2027,2121,1254,229,7702,0,5,15,71,68,49,34,10,0,250,3,6,15,80,26,55,48,18,5,259,0,18,14,95,112,213,376,239,41,1116,0,0,0,13,7,45,86,48,26,226,0,5,11,34,24,29,21,7,0,143,4,22,49,274,103,106,86,41,9,681,0,10,14,45,16,18,25,8,8,136,0,4,5,52,35,33,18,8,0,154
