POA_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
POA2000,0,53,0,55,..,1035,136,1165,10,1170,..,52,0,59,0,59,..,178,21,195,0,195,..,1318,157,1479,10,1483,..,281,23,301,0,303,..,40,0,40,0,40,..,754,534,1294,4,1297,..,45,3,53,0,53,..,176,11,187,0,190,..,247,38,283,12,291,..,6369,1474,7840,46,7891,..,89,44,132,1094,1222,5110,6454,1517,7974,1137,14223,3638,..,..,..,..,3638,..,3,0,3,0,3,..,50,0,52,0,52,..,0,0,0,0,0,..,518,156,671,4,679,..,1818,582,2400,9,2408,..,96,22,117,0,117,..,2431,755,3189,11,3204,..,4,0,4,0,6,..,82,0,79,0,79,..,21,0,21,0,24,..,44,0,42,0,42,..,27,0,27,0,27,..,19,0,25,0,25,..,155,0,155,0,156,..,18,0,18,0,18,..,9,0,9,0,9,..,5,0,5,0,5,..,21,0,24,0,24,..,15,0,22
POA2007,0,18,0,18,..,99,10,104,0,104,..,11,0,11,0,11,..,31,0,29,0,32,..,151,10,168,0,168,..,126,20,144,0,144,..,21,0,21,0,21,..,111,84,195,0,197,..,22,3,30,0,30,..,47,6,51,0,51,..,70,14,79,5,88,..,1618,379,2003,14,2019,..,19,6,24,261,285,1460,1638,393,2026,280,3763,1093,..,..,..,..,1093,..,4,0,4,0,4,..,23,0,21,0,21,..,5,0,5,0,5,..,168,89,258,6,260,..,570,168,739,0,738,..,29,9,36,0,36,..,765,264,1032,10,1037,..,0,0,0,0,0,..,36,3,36,0,36,..,13,0,13,0,13,..,7,0,7,0,7,..,12,0,12,0,12,..,11,0,11,0,11,..,51,0,51,0,51,..,7,0,7,0,7,..,4,0,4,0,4,..,8,0,8,0,8,..,0,0,0,0,3,..,16,0,16
POA2008,0,15,0,15,..,165,10,169,0,169,..,15,0,15,0,15,..,31,0,32,0,32,..,221,12,234,0,234,..,87,6,94,0,94,..,15,0,15,0,15,..,72,29,98,0,98,..,16,0,16,0,16,..,68,9,70,0,70,..,102,8,113,0,114,..,2069,190,2260,5,2266,..,17,4,21,404,426,2625,2088,193,2281,414,5315,2072,..,..,..,..,2072,..,0,0,0,0,0,..,24,3,27,0,27,..,7,0,7,0,7,..,217,25,241,0,241,..,1028,115,1151,0,1154,..,30,3,37,0,37,..,1276,144,1421,0,1423,..,4,0,4,0,4,..,36,0,39,0,39,..,25,0,25,0,25,..,14,0,16,0,16,..,23,0,21,0,21,..,7,0,7,0,7,..,40,0,40,0,40,..,0,0,0,0,0,..,6,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,13,0,13
POA2009,0,26,0,25,..,84,5,92,3,92,..,30,0,30,0,27,..,19,3,21,0,21,..,159,12,166,3,171,..,191,15,204,0,205,..,23,0,23,0,26,..,79,44,125,0,123,..,18,3,26,0,26,..,68,14,81,0,81,..,121,11,138,9,140,..,2009,290,2295,28,2323,..,22,8,25,475,504,3565,2026,295,2322,505,6391,3093,..,..,..,..,3093,..,0,0,0,0,0,..,31,4,31,0,31,..,0,0,0,0,0,..,235,73,308,0,311,..,410,120,522,0,526,..,27,9,35,0,35,..,672,192,867,3,872,..,3,0,3,0,3,..,51,4,57,0,57,..,21,0,28,0,28,..,42,0,42,0,42,..,7,0,7,0,7,..,12,0,14,0,14,..,87,3,91,7,98,..,13,0,11,0,11,..,12,0,12,0,12,..,5,0,5,0,5,..,17,0,17,0,17,..,15,0,17
POA2010,3,39,0,39,..,104,3,109,0,108,..,49,0,49,0,49,..,33,8,43,0,43,..,229,16,241,0,240,..,319,19,339,3,343,..,30,0,30,0,33,..,176,111,287,0,290,..,33,6,42,0,43,..,107,8,121,0,121,..,286,23,304,3,306,..,2846,408,3255,23,3276,..,58,10,65,1185,1252,10836,2901,418,3321,1202,15356,7354,..,..,..,..,7354,..,13,0,13,0,13,..,47,8,56,0,55,..,4,0,4,0,4,..,156,86,243,0,244,..,289,92,386,0,386,..,16,8,32,0,28,..,466,191,658,3,656,..,22,0,20,0,20,..,147,0,150,0,151,..,60,0,60,0,60,..,92,17,105,0,107,..,17,0,17,0,17,..,10,0,10,0,10,..,41,0,41,0,41,..,25,0,25,0,25,..,11,0,11,0,11,..,9,0,9,0,9,..,3,0,3,0,3,..,4,0,4
POA2011,0,15,0,15,..,29,4,31,0,31,..,34,0,33,0,33,..,13,0,13,0,13,..,81,6,87,0,87,..,227,14,236,3,242,..,5,0,5,0,5,..,36,10,43,0,43,..,24,9,30,0,30,..,36,14,49,0,49,..,151,6,158,4,158,..,1532,117,1649,10,1662,..,28,0,26,934,968,7128,1561,120,1679,946,9758,5999,..,..,..,..,5999,..,5,0,5,0,5,..,20,0,20,0,20,..,0,0,3,0,3,..,74,10,85,0,85,..,122,26,153,0,153,..,16,4,15,0,15,..,216,41,251,0,251,..,13,0,13,0,13,..,140,4,144,0,145,..,56,0,56,0,62,..,56,3,57,0,57,..,6,0,8,0,8,..,9,0,9,0,9,..,21,0,21,0,21,..,14,0,14,0,14,..,0,0,0,0,0,..,6,0,6,0,6,..,4,0,4,0,4,..,5,0,5
POA2015,0,13,0,13,..,64,4,72,0,66,..,18,0,18,0,18,..,12,3,18,0,18,..,111,8,122,0,123,..,108,3,117,0,113,..,13,0,16,0,16,..,35,0,41,0,41,..,6,0,10,0,10,..,46,6,47,0,51,..,103,14,115,9,120,..,1118,88,1208,15,1227,..,19,0,27,274,301,4381,1144,90,1231,294,5906,3958,..,..,..,..,3958,..,10,0,10,0,10,..,24,0,25,0,25,..,6,0,6,0,6,..,103,23,136,0,134,..,174,30,203,0,206,..,12,0,12,0,12,..,294,58,350,7,358,..,5,0,5,0,5,..,53,0,53,0,53,..,25,0,27,0,25,..,30,4,35,0,35,..,10,0,10,0,10,..,0,0,0,0,0,..,22,0,20,0,20,..,3,0,3,0,3,..,3,0,3,0,3,..,4,0,4,0,4,..,4,0,4,0,4,..,9,0,9
POA2016,0,11,0,11,..,45,0,51,0,51,..,17,0,17,0,17,..,17,0,17,0,17,..,91,0,98,0,98,..,197,20,220,0,223,..,14,0,14,0,14,..,37,19,59,0,59,..,27,6,29,0,30,..,42,3,48,0,48,..,169,7,175,0,178,..,1474,266,1736,18,1751,..,30,11,41,582,619,4754,1501,275,1774,595,7123,3747,..,..,..,..,3747,..,11,0,11,0,11,..,58,13,65,0,65,..,12,0,15,0,13,..,63,80,150,0,150,..,177,92,263,0,267,..,8,5,13,0,13,..,256,179,427,0,428,..,10,3,10,0,10,..,87,0,91,0,91,..,41,0,42,0,42,..,62,29,87,4,94,..,7,0,4,0,4,..,0,0,0,0,0,..,26,0,26,0,26,..,8,0,8,0,8,..,7,0,7,0,7,..,7,0,7,0,7,..,12,0,12,0,12,..,4,0,4
POA2017,0,36,0,40,..,182,10,199,3,199,..,35,0,35,0,35,..,28,4,30,0,30,..,288,17,303,3,301,..,402,37,436,6,443,..,26,0,26,0,26,..,63,11,77,0,77,..,31,12,44,0,44,..,101,34,132,0,134,..,354,85,439,8,444,..,5255,836,6090,54,6144,..,55,17,73,1052,1119,8067,5310,851,6161,1107,15333,6131,..,..,..,..,6131,..,20,0,20,0,20,..,96,13,108,0,108,..,4,0,4,0,4,..,450,136,578,6,586,..,2053,419,2474,29,2504,..,64,25,89,0,90,..,2569,578,3145,34,3180,..,11,3,12,0,12,..,86,5,97,0,93,..,59,3,56,0,63,..,56,6,68,0,68,..,28,0,26,0,26,..,3,0,3,0,3,..,106,3,105,0,105,..,11,0,11,0,11,..,20,0,24,0,24,..,9,0,7,0,7,..,11,0,11,0,11,..,20,0,20
POA2018,0,35,0,35,..,217,32,255,4,254,..,71,0,72,0,72,..,45,0,49,0,49,..,375,36,406,4,410,..,232,25,258,0,265,..,14,0,10,0,16,..,22,12,36,0,36,..,152,41,203,0,199,..,46,14,56,0,56,..,288,44,337,4,335,..,3870,581,4453,47,4500,..,49,7,60,547,607,4849,3921,590,4511,589,9958,4335,..,..,..,..,4335,..,4,0,4,0,4,..,140,11,154,4,159,..,0,0,0,0,0,..,234,65,302,5,304,..,775,144,920,3,925,..,30,6,32,0,36,..,1039,218,1255,12,1262,..,31,5,32,0,31,..,42,0,43,0,43,..,25,0,24,0,24,..,501,177,679,4,679,..,245,49,294,3,300,..,5,0,5,0,5,..,74,0,79,0,79,..,8,0,8,0,8,..,4,0,6,0,6,..,19,0,19,0,19,..,33,3,37,0,37,..,12,0,12
