POA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2000,3,27,100,80,42,25,9,5,0,291,15,121,418,212,69,56,17,6,0,904,180,1798,6747,3602,1579,1059,452,102,11,15520
POA2007,0,8,29,19,13,10,5,0,0,83,3,34,103,44,25,8,0,0,0,218,91,599,1688,908,401,201,57,6,0,3957
POA2008,3,27,44,14,13,16,4,0,0,117,0,65,135,61,12,10,3,0,0,294,136,1148,2639,1031,467,299,79,5,0,5805
POA2009,0,14,58,40,31,15,14,0,0,175,4,28,121,78,42,36,15,0,0,326,83,463,2370,2095,1068,764,313,49,0,7204
POA2010,8,29,159,102,74,47,12,0,0,443,8,72,357,204,81,56,17,0,0,794,139,1442,6815,4174,2454,1557,445,63,4,17102
POA2011,0,13,91,83,42,37,10,4,0,294,0,24,211,122,62,39,23,5,0,487,58,636,4111,2742,1762,1276,549,93,11,11250
POA2015,0,8,73,59,38,16,9,0,0,195,3,29,133,90,41,19,7,0,0,325,91,537,3136,2123,1220,614,152,13,0,7880
POA2016,0,14,62,47,39,14,3,0,0,184,0,31,127,67,48,33,9,0,0,319,91,704,2847,1782,1082,706,183,27,3,7428
POA2017,3,38,235,127,39,26,9,0,0,474,8,99,453,188,71,32,10,0,0,869,151,1651,8565,4093,1488,786,220,19,4,16966
POA2018,17,25,88,83,60,31,13,0,0,312,16,62,205,108,67,45,16,6,0,523,276,962,3743,2542,1632,975,285,31,7,10450
POA2019,9,21,71,72,47,37,10,0,0,260,3,20,78,71,73,39,9,0,0,290,262,550,1824,1923,1563,927,212,20,0,7271
POA2020,7,27,120,69,49,43,8,0,0,334,3,90,360,122,51,41,14,6,0,693,233,1638,5452,2528,1385,843,194,13,0,12287
POA2021,7,22,54,46,36,32,10,0,0,205,0,31,118,82,66,41,11,6,0,352,141,711,2857,2031,1652,1106,469,76,3,9055
POA2022,4,12,82,46,31,17,10,0,0,208,9,23,148,84,59,23,13,8,0,362,117,530,2514,1760,1265,770,301,53,9,7311
POA2023,0,8,43,21,16,27,9,0,0,136,0,23,77,62,59,52,30,9,0,318,154,375,1304,1152,1060,855,509,123,11,5536
POA2024,9,13,51,28,34,16,3,0,0,153,6,13,85,77,45,28,3,3,0,272,180,339,1601,1465,1348,833,249,37,3,6055
POA2025,0,5,15,19,11,15,8,5,0,79,5,13,39,44,30,24,12,3,0,169,72,257,978,824,671,531,304,83,10,3734
POA2026,7,37,225,124,84,42,19,4,0,547,16,63,527,293,151,70,23,7,3,1158,336,1026,7826,4789,3032,1624,535,91,7,19258
POA2027,0,4,20,18,10,7,13,4,0,84,5,10,61,61,41,27,28,7,0,239,52,242,1059,839,665,614,435,173,26,4104
POA2028,0,0,15,8,6,12,6,0,0,51,0,11,35,26,17,11,13,8,0,129,41,211,874,517,385,321,203,77,7,2643
POA2029,9,15,33,33,38,18,7,0,0,149,7,17,87,66,60,32,8,13,9,292,123,371,1206,1169,1050,709,349,97,15,5093
POA2030,9,11,23,25,35,27,5,0,0,153,9,27,74,76,123,62,26,16,0,411,264,538,983,1305,1724,1235,581,138,20,6778
POA2031,20,40,177,96,95,56,17,5,0,508,18,54,276,215,133,71,33,7,0,807,486,1347,6090,4603,3588,2210,704,99,12,19133
POA2032,4,22,56,43,28,26,8,0,0,194,13,41,86,47,39,38,17,3,0,282,224,908,1895,1506,1257,827,267,33,5,6915
POA2033,4,16,48,43,24,23,4,0,0,167,11,29,75,57,40,25,8,0,0,241,233,844,1815,1323,948,673,205,31,3,6080
POA2034,11,26,116,64,50,46,3,0,0,322,6,43,185,129,73,49,19,0,3,515,286,772,3872,2759,2068,1369,401,62,6,11596
POA2035,9,34,118,130,103,82,22,3,0,514,14,80,224,196,161,83,25,9,0,796,571,1332,4001,4104,3619,2464,667,93,8,16846
POA2036,17,43,146,127,130,81,27,6,0,586,6,56,179,189,138,83,40,9,0,697,571,1349,3458,3642,3387,2327,713,79,0,15522
POA2037,4,26,72,50,46,34,13,3,0,241,0,35,160,96,65,40,13,6,0,406,168,963,2939,2101,1458,1026,354,55,3,9072
POA2038,0,8,40,42,30,20,12,0,0,152,7,18,54,49,37,33,5,0,0,196,142,400,1327,1349,1190,714,249,26,3,5403
POA2039,0,3,33,30,24,30,19,0,0,140,0,10,39,52,57,22,10,3,0,197,95,243,1135,1383,1130,688,258,31,0,4964
POA2040,14,27,83,91,73,47,26,0,0,356,9,28,89,111,98,48,21,0,0,410,344,837,2716,3450,2962,1628,485,39,4,12468
POA2041,6,16,37,39,42,39,18,4,0,196,0,11,60,81,79,33,22,6,0,295,181,413,1523,2070,2085,1423,592,109,3,8397
POA2042,12,55,151,94,60,38,15,0,0,419,9,50,192,97,53,34,8,0,0,451,233,1237,4338,2744,2010,1161,269,25,5,12016
POA2043,3,6,54,42,32,10,4,0,0,148,6,11,115,71,37,16,0,0,0,272,78,348,2738,1962,1039,538,91,13,0,6805
POA2044,3,6,56,45,32,18,10,0,0,170,3,17,75,48,27,29,6,0,0,202,70,317,1581,1417,863,499,131,13,0,4893
POA2045,4,3,14,18,18,22,3,0,0,91,4,6,26,31,33,27,3,0,0,134,177,290,418,537,863,671,192,25,3,3171
POA2046,13,22,77,109,118,94,36,0,0,465,13,35,118,163,149,79,29,4,0,596,464,845,2626,3452,3369,2248,778,92,5,13877
POA2047,0,7,33,29,46,27,16,0,0,162,8,20,63,57,49,38,18,10,4,256,179,424,1466,1514,1398,1047,370,66,11,6474
POA2048,0,11,41,41,39,18,3,0,0,157,4,3,63,25,40,14,5,6,0,162,116,396,1412,1043,970,510,148,21,0,4604
