POA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
POA2000,586,536,1121,380,404,788,3,3,13,121,122,244,11,21,36,870,323,1192,51,126,174,9,0,9,109,18,123,176,38,218,90,46,129,1431,1183,2618,3842,2821,6660,177,208,384,6,0,6,21,19,37,8,6,13,3,10,16,20,8,30,231,253,485,3,0,3,18,25,39,3,0,5,3,8,8,10,9,13,30,35,66,26,17,41,287,302,590,60,43,102,3,6,12,0,4,7,62,58,118,3381,2735,6112,892,1053,1945,43,48,85,8507,7013,15520
POA2007,112,84,194,87,113,195,0,0,0,13,21,34,13,12,16,251,119,374,10,42,52,3,0,3,33,10,44,92,26,121,17,17,28,252,267,523,887,705,1594,38,48,84,4,0,4,4,4,10,0,0,0,0,0,3,6,0,7,57,47,103,0,0,0,7,5,13,0,0,0,0,0,0,0,4,4,7,10,19,11,3,14,74,68,139,15,10,24,3,0,3,0,0,0,21,10,28,864,761,1615,239,318,561,3,12,17,2087,1865,3957
POA2008,165,140,301,87,108,198,0,0,0,22,12,34,11,17,26,357,197,551,26,44,62,3,6,3,34,5,43,80,24,102,19,20,38,296,259,556,1093,823,1919,40,53,94,0,0,0,4,8,10,0,0,0,4,4,5,7,4,7,56,63,118,0,0,0,4,0,6,0,0,0,0,0,0,5,4,11,10,10,22,5,9,10,75,83,155,12,12,23,0,0,3,0,0,0,22,13,33,1486,1431,2908,341,428,770,14,6,18,3023,2777,5805
POA2009,48,35,84,60,112,171,0,0,0,29,31,59,12,0,18,578,344,925,32,75,104,4,0,4,51,5,59,73,33,104,20,18,41,416,372,784,1323,1027,2355,38,30,68,0,0,0,0,4,6,0,0,3,0,0,0,5,0,3,46,35,84,0,0,0,7,10,15,0,0,0,0,0,0,0,0,4,14,15,28,21,3,24,82,58,135,24,13,36,3,3,10,0,0,0,30,20,44,1977,1795,3776,404,474,879,12,5,20,3827,3379,7204
POA2010,356,214,566,230,238,465,4,0,4,61,43,104,38,30,69,1076,522,1601,55,93,152,8,0,8,101,17,111,191,51,238,50,43,93,1305,752,2054,3471,1992,5467,104,52,163,0,0,0,11,5,11,9,0,5,0,0,4,19,0,24,148,65,212,0,0,0,14,0,18,6,0,3,5,4,6,9,5,17,28,14,41,32,8,41,206,88,295,22,16,41,3,6,12,0,0,0,27,22,53,5526,4086,9608,804,813,1622,26,30,59,10060,7034,17102
POA2011,317,204,524,71,83,152,5,0,5,0,0,0,43,20,58,739,383,1126,41,58,100,3,0,3,62,13,75,96,20,113,102,44,144,833,528,1359,2315,1352,3665,88,83,167,4,0,4,6,0,8,4,0,10,7,3,7,14,9,23,113,100,214,0,0,4,3,0,5,0,0,0,0,3,4,0,0,9,5,8,22,13,5,15,131,114,247,15,9,28,0,0,0,6,0,6,20,9,29,3252,3006,6254,517,498,1013,25,13,36,6250,4998,11250
POA2015,159,121,275,47,50,98,0,0,0,0,0,0,13,17,26,780,507,1285,34,67,103,6,0,6,60,7,69,100,49,148,25,17,45,185,199,386,1408,1035,2440,41,43,87,0,0,0,4,4,5,0,6,7,5,4,4,9,6,10,60,60,117,0,0,0,0,0,0,0,0,0,0,3,3,3,4,9,9,4,13,10,12,22,79,74,152,11,12,16,0,0,0,0,0,0,11,10,23,2270,2223,4491,326,427,751,17,6,20,4107,3776,7880
POA2016,227,143,376,70,60,128,0,0,0,9,12,22,19,4,25,580,361,937,37,46,80,3,0,3,52,5,54,139,56,191,18,13,30,286,222,511,1439,920,2366,58,46,106,0,0,0,9,0,8,5,4,4,0,6,6,8,7,17,82,60,139,0,0,0,5,0,3,0,5,5,0,4,4,5,0,5,8,9,22,18,11,19,106,74,186,22,0,22,3,0,0,0,0,4,23,4,29,2125,1908,4038,398,402,796,11,9,21,4107,3325,7428
POA2017,272,207,477,315,341,657,0,0,0,0,0,3,28,25,49,1933,972,2903,91,177,268,42,0,42,149,23,177,219,76,293,68,42,110,405,389,798,3529,2255,5780,122,99,223,0,0,0,4,3,9,15,4,14,3,6,12,18,5,24,155,122,278,0,0,0,7,9,16,10,0,14,4,10,15,13,11,26,33,30,65,39,14,58,234,169,401,28,24,55,4,0,9,0,0,3,35,26,69,4608,4219,8824,824,1014,1835,34,22,60,9266,7704,16966
POA2018,66,50,118,178,244,423,0,0,0,4,0,4,13,24,42,1946,1082,3036,111,257,372,35,0,35,77,11,93,81,26,102,27,28,60,204,199,401,2750,1928,4674,76,67,138,0,4,4,0,0,0,3,0,7,0,6,4,12,0,13,90,76,160,4,0,4,0,3,5,12,3,12,6,16,22,4,9,14,22,32,59,29,9,40,143,111,257,9,15,31,4,5,7,0,0,0,12,23,36,1957,2272,4228,551,678,1226,16,14,37,5431,5024,10450
