POA_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
POA2000,..,9,7,0,5,10,7,9,17,3,65,..,5,46,8,13,19,27,20,13,13,158,..,0,0,0,0,0,11,3,21,5,43,..,0,0,0,0,0,0,5,0,0,7,..,5,44,8,9,19,31,27,33,23,206,..,0,0,0,0,0,0,0,0,0,0,..,18,56,7,19,31,41,37,46,23,276,38,40,27,27,28,41,63,32,22,11,340,84,90,272,246,320,380,564,226,27,56,2258,16,6,9,31,38,58,92,35,0,12,305,0,0,0,0,0,0,0,0,0,0,5,106,97,282,271,362,434,661,260,29,71,2572,0,0,0,0,0,4,0,0,0,6,9,147,134,311,297,391,474,722,291,48,91,2921,190,109,253,110,102,134,226,98,36,33,1287,375,657,1704,563,578,615,831,267,74,115,5786,46,60,391,149,183,157,189,57,9,49,1286,4,4,0,0,0,0,0,0,0,0,12,432,728
POA2007,..,3,5,0,0,0,0,5,0,0,25,..,0,17,4,6,4,13,0,0,0,52,..,0,0,0,0,0,6,0,3,0,15,..,0,0,0,0,0,0,0,0,0,0,..,0,17,4,6,4,19,9,0,0,58,..,0,0,0,0,0,0,0,0,0,0,..,3,22,4,7,6,18,4,0,5,86,25,22,9,5,15,10,22,19,7,6,131,20,32,69,68,84,137,200,124,11,19,757,5,0,0,3,16,7,27,10,0,3,72,0,0,0,0,0,0,0,0,0,0,0,23,27,69,69,101,147,230,131,11,22,832,0,0,0,0,0,0,0,0,0,0,6,40,54,76,75,119,159,254,148,13,31,965,63,34,70,35,27,48,75,24,0,8,387,61,92,304,127,148,190,278,100,6,18,1333,3,18,33,26,23,21,64,17,0,14,219,0,0,0,5,0,0,0,0,0,0,0,69,112
POA2008,..,0,4,0,0,0,3,0,3,3,17,..,0,7,0,6,4,4,4,0,5,26,..,0,0,0,0,0,0,4,0,0,6,..,0,0,0,0,0,0,0,0,0,0,..,0,7,0,6,4,5,3,0,5,32,..,0,0,0,0,0,0,0,0,0,0,..,0,9,0,6,4,13,5,0,9,49,54,36,21,15,18,22,44,29,31,9,281,46,59,197,155,216,245,394,197,57,19,1571,0,0,10,9,10,22,32,18,3,4,106,0,0,0,0,0,0,0,0,0,0,0,51,56,207,156,220,263,429,217,60,22,1674,0,0,0,0,0,0,0,0,0,0,0,102,93,226,174,244,286,476,244,83,29,1961,132,57,106,26,55,65,67,29,7,7,543,107,166,421,164,161,193,275,104,13,21,1627,5,0,17,9,20,32,34,12,0,5,131,0,0,0,0,0,0,0,0,0,0,0,111,167
POA2009,..,8,16,7,0,3,5,4,0,0,47,..,5,25,11,11,7,22,8,0,0,96,..,0,3,0,0,4,3,3,3,0,22,..,0,0,0,0,0,0,0,0,0,4,..,5,27,12,16,10,30,12,6,0,117,..,0,0,0,0,0,0,0,0,0,0,..,9,45,18,16,15,28,16,12,0,159,19,25,16,0,3,9,30,16,9,5,139,14,30,41,17,32,29,54,18,5,0,248,0,0,0,0,3,0,7,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,18,30,41,17,38,29,60,20,5,0,258,0,0,0,0,0,0,0,0,0,0,0,37,57,60,20,42,38,87,37,8,10,400,100,41,150,44,51,56,75,32,12,10,563,106,142,279,119,119,172,266,69,12,12,1305,3,3,12,11,7,11,36,4,0,3,91,0,0,0,0,0,0,0,0,0,0,0,108,144
POA2010,..,8,14,4,3,6,13,5,6,6,71,..,0,21,7,5,7,10,9,5,3,63,..,0,0,0,0,0,5,3,0,3,6,..,0,0,0,0,0,3,0,0,0,3,..,0,21,7,5,7,7,11,4,3,75,..,0,0,0,0,0,0,0,0,0,0,..,16,37,11,10,11,22,20,10,18,145,99,60,30,12,11,24,47,28,19,6,331,20,22,35,29,40,58,65,39,0,8,327,0,0,0,0,5,5,9,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,20,22,37,31,49,63,77,42,0,8,352,0,0,0,0,0,0,0,0,0,0,5,122,85,68,40,58,84,122,71,12,15,684,335,136,384,170,170,238,285,121,49,28,1920,158,122,429,178,199,216,296,91,21,22,1730,9,9,38,16,15,17,42,16,0,9,180,0,0,0,0,0,0,0,0,0,0,6,167,133
POA2011,..,0,5,0,5,3,5,6,0,0,17,..,6,7,7,0,0,0,3,0,3,27,..,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,6,7,7,0,0,4,3,0,3,28,..,0,0,0,0,0,0,0,0,0,0,..,5,10,9,3,3,8,5,5,7,48,30,36,13,9,8,8,14,4,3,0,127,5,9,11,9,14,27,35,9,0,0,121,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,9,11,9,14,28,39,15,0,0,132,0,0,0,0,0,0,0,0,0,0,0,34,41,20,17,23,34,53,24,8,0,258,236,100,258,71,103,113,128,58,22,8,1092,91,81,206,107,110,132,145,54,3,10,936,5,0,6,4,5,4,20,9,0,0,44,0,0,0,0,0,0,0,0,0,0,7,100,84
POA2015,..,0,20,0,7,3,9,4,3,0,47,..,0,13,11,0,4,6,9,0,0,37,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,13,11,0,4,6,9,0,0,35,..,0,0,0,0,0,0,0,0,0,0,..,3,27,9,8,3,10,13,3,7,85,28,23,10,4,7,14,7,3,0,3,105,8,6,20,14,16,18,16,7,0,6,109,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,6,20,14,16,18,22,9,0,6,114,0,0,0,0,0,0,0,0,0,0,0,42,28,32,17,19,32,33,15,0,7,216,175,66,171,45,65,67,62,16,11,9,677,99,71,166,59,74,70,63,33,4,13,641,6,0,5,0,0,8,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,99,71
POA2016,..,0,17,0,6,4,3,3,3,0,37,..,0,9,3,7,0,5,3,4,6,36,..,0,0,0,0,0,0,0,0,4,9,..,0,0,0,0,0,0,0,0,0,0,..,0,9,3,7,5,5,4,3,9,48,..,0,0,0,0,0,0,0,0,0,0,..,0,24,8,14,9,10,10,6,5,86,50,18,10,7,13,10,18,4,4,3,142,11,16,22,24,23,50,83,36,0,0,268,0,0,0,0,0,3,6,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,15,15,29,29,25,52,84,37,0,3,285,0,0,0,0,0,0,0,0,0,0,0,59,36,37,36,36,67,105,45,6,8,422,181,45,156,46,51,89,98,41,13,19,729,78,61,147,71,82,100,157,45,6,15,755,0,3,5,0,9,3,13,5,0,0,48,0,0,0,0,0,0,0,0,0,0,0,82,65
POA2017,..,5,15,11,4,8,5,5,6,3,62,..,7,41,26,24,27,30,0,15,9,172,..,0,0,0,3,5,16,5,7,3,43,..,0,0,0,0,0,0,0,0,0,4,..,7,40,26,23,35,44,14,18,15,222,..,0,0,0,0,0,0,0,0,0,0,..,11,54,26,29,38,54,23,23,18,283,66,58,37,18,29,49,105,46,17,8,424,61,62,289,224,341,326,426,143,11,29,1918,7,4,14,12,34,45,66,26,3,4,211,0,0,0,0,0,0,0,0,0,0,0,66,64,302,240,372,371,495,171,14,36,2126,0,0,0,0,0,0,0,0,0,0,0,134,118,344,257,402,421,591,218,25,39,2551,326,181,685,313,330,395,437,134,31,34,2868,298,634,1144,400,438,499,520,163,30,40,4173,6,12,47,16,19,39,69,15,4,9,252,0,0,0,0,0,0,0,0,0,0,4,308,644
POA2018,..,9,13,8,4,0,11,8,3,7,67,..,8,40,14,23,19,34,11,0,7,160,..,0,0,0,0,0,7,4,0,6,15,..,0,0,0,0,0,0,5,0,0,5,..,8,40,14,28,28,39,23,0,9,182,..,0,0,0,0,0,0,0,0,0,0,..,17,50,27,28,21,52,31,5,17,253,29,37,21,8,13,18,24,8,4,3,169,41,61,125,84,89,102,97,34,6,11,648,5,0,7,7,10,3,15,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,39,61,130,93,99,102,109,38,4,11,702,0,0,0,0,0,0,0,0,0,0,0,75,101,153,100,117,121,132,48,10,14,867,149,79,312,95,91,119,109,41,3,14,1014,153,268,529,152,186,171,182,58,9,18,1724,0,9,20,4,10,13,29,6,0,0,95,0,0,0,0,0,0,0,0,0,0,0,158,275
