POA_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
POA2000,80,23,158,91,9,437,448,934,292,6,427,346,71,77,859,48,973,21362,409,25283,4,11,0,0,3,5,0,3,3,0,8,137,2060,2219,530,959,337,43,480,409,88,92,949,69,1148,21589,2477,27936,11,8,3,0,0,0,0,0,8,0,8,130,6,167,14,11,11,3,8,23,5,5,21,5,16,86,3,154,23,15,19,3,14,23,5,4,29,4,21,217,9,323,504,916,318,38,468,389,83,94,910,66,1099,19888,353,23936,0,0,3,0,3,3,0,0,0,0,4,233,2005,2253,530,935,337,43,482,412,88,92,934,69,1122,20336,2372,26520
POA2007,36,7,49,27,0,148,125,328,60,0,97,62,21,22,376,11,357,5472,103,6710,0,0,0,0,0,0,0,0,0,0,0,27,523,555,155,344,71,13,116,75,28,30,419,12,405,5532,630,7410,0,0,0,0,0,0,0,0,0,0,0,34,0,34,5,0,0,0,0,0,0,0,3,0,7,17,0,32,5,0,0,0,0,0,0,0,3,0,7,50,0,71,146,325,67,11,113,68,23,25,405,12,382,5036,101,6327,0,3,4,0,0,0,0,0,0,0,0,36,487,533,155,326,71,13,116,75,28,30,415,12,385,5127,582,6930
POA2008,56,7,54,17,6,134,169,578,96,3,103,86,18,45,821,15,533,7364,159,9444,3,3,0,0,0,0,0,0,6,0,0,39,772,828,206,603,101,14,111,108,28,55,883,22,596,7419,941,10400,0,0,0,0,0,0,0,0,0,0,4,24,3,31,6,7,0,0,9,4,0,3,3,0,4,17,3,45,7,7,0,0,9,4,0,3,5,0,4,46,4,77,197,586,94,10,109,97,24,49,867,21,579,6948,154,9078,4,7,0,0,0,0,0,0,4,0,4,70,757,837,206,590,101,14,111,104,28,55,871,22,584,7063,916,9989
POA2009,83,16,123,46,3,323,472,680,256,3,297,251,53,76,637,35,736,8537,212,11354,8,7,5,0,4,0,0,0,9,0,7,51,907,979,566,727,292,20,346,303,70,114,728,51,869,8630,1120,12658,3,0,0,0,0,0,0,0,3,0,6,38,4,56,14,11,16,0,8,13,4,6,8,3,7,57,4,111,19,14,13,0,8,16,4,6,17,3,14,91,9,173,534,662,271,18,335,277,72,104,697,46,821,7407,201,10325,12,5,4,3,5,3,0,3,4,0,4,42,797,863,566,678,292,20,346,297,70,114,710,51,844,7547,1004,11362
POA2010,283,52,330,83,16,832,918,1792,467,28,462,510,102,179,2378,92,1798,16501,550,23584,9,5,9,3,12,6,6,4,18,0,8,114,1871,2030,1145,1893,548,182,592,657,138,268,2679,143,2140,16693,2435,26443,10,6,0,0,0,0,0,0,11,0,3,106,4,131,35,20,13,7,13,29,7,10,33,8,29,115,5,232,41,22,9,7,13,29,7,10,41,8,37,218,8,366,1068,1788,529,135,559,599,130,238,2557,127,2007,15165,532,22617,33,15,7,42,19,26,4,21,55,9,60,102,1787,2035,1140,1827,548,182,593,655,138,260,2656,143,2101,15485,2321,25009
POA2011,197,52,278,43,12,644,813,1192,469,14,340,407,102,166,1661,80,1221,10647,362,15750,8,11,7,0,4,6,0,0,12,0,8,76,1665,1796,999,1289,557,144,421,531,127,226,1875,132,1515,10767,2041,18187,11,21,3,0,0,6,0,0,16,0,20,346,8,418,31,20,21,3,10,21,10,8,32,7,26,98,3,220,44,37,26,3,12,34,14,14,48,7,48,444,13,639,934,1200,521,102,400,459,112,207,1780,122,1402,9642,337,15017,21,3,11,41,8,36,3,3,24,3,47,62,1605,1758,995,1246,557,145,422,531,126,226,1849,131,1495,10150,1963,17415
POA2015,66,13,82,35,8,217,352,910,184,7,174,149,35,47,1023,19,736,7549,239,10633,9,3,3,0,5,4,0,0,8,0,6,34,528,572,406,944,209,22,205,181,42,65,1092,29,819,7616,769,11422,4,5,3,0,0,0,0,0,12,0,11,123,5,150,13,10,6,0,3,11,0,0,6,3,7,53,0,96,21,16,10,0,3,11,0,0,18,3,20,172,3,245,385,861,206,18,196,162,46,66,1058,25,766,6307,213,9363,0,0,0,0,0,4,0,0,3,0,7,24,475,512,406,870,209,22,204,180,46,65,1078,29,787,6501,694,10120
POA2016,184,38,229,48,4,592,561,941,251,17,331,267,65,145,1341,47,875,7700,278,11387,42,14,14,9,16,19,9,5,15,3,15,59,953,1091,801,1022,329,74,461,409,117,203,1541,87,1117,7809,1227,13072,0,3,0,0,0,0,0,0,6,0,0,19,3,32,18,11,14,5,7,14,3,8,30,0,19,51,0,114,18,14,9,5,9,14,3,8,32,0,20,77,4,145,728,953,301,66,427,371,110,186,1477,83,1061,6771,256,10811,52,12,15,4,25,25,5,10,13,0,11,60,888,1038,801,971,329,74,460,409,115,203,1522,87,1092,6907,1143,11997
POA2017,263,58,339,92,12,875,738,1681,314,25,534,371,110,179,1847,71,1465,20066,524,26038,17,13,8,0,9,10,0,3,13,3,9,117,1919,2089,1021,1811,411,70,697,528,160,249,2124,129,1816,20279,2448,29003,9,8,0,0,0,0,0,0,20,0,16,241,8,290,37,13,13,4,20,17,4,7,39,3,35,99,3,199,41,25,11,4,21,17,4,7,58,3,43,338,8,493,952,1690,395,63,656,494,151,226,2012,114,1702,17855,476,24227,23,22,0,4,18,14,9,8,27,3,12,126,1786,1983,1019,1740,411,68,698,526,158,239,2091,127,1753,18319,2268,26706
POA2018,182,64,310,118,12,945,716,1060,261,11,604,303,80,100,969,50,973,13483,408,17755,19,13,3,4,7,10,3,7,10,0,8,99,1032,1178,1043,1164,364,114,798,461,138,175,1158,115,1291,13698,1454,19878,4,11,0,0,0,0,0,0,8,0,5,100,10,125,21,6,0,5,5,12,4,7,9,6,10,60,4,117,26,20,0,5,5,12,4,6,12,6,18,161,10,241,1008,1020,363,104,785,447,136,163,1110,108,1200,11236,367,16018,9,3,0,0,3,11,0,0,9,0,5,58,889,979,1046,1042,362,114,793,460,140,175,1136,112,1229,11454,1266,17240
