POA_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
POA2000,36,126,20,10,17,10,11,10,0,228,133,473,73,21,29,29,21,36,5,831,195,334,118,16,42,29,29,59,12,830,38,68,53,12,7,15,6,14,3,226,14,8,3,3,0,3,3,13,0,52,18,239,8,19,9,0,0,3,0,301,17,29,4,13,6,5,3,12,0,90,577,798,250,136,239,191,90,252,59,2593,156,400,21,57,70,24,20,31,12,802,48,116,36,23,11,24,17,25,3,312,54,7,237,50,23,19,24,48,6,459,4,0,5,0,0,0,0,9,0,19,25,25,8,5,4,0,8,6,7,89,16,19,32,13,13,7,8,24,53,185,1325,2653,869,382,475,355,244,544,167,7017,31,63,12,19,21,15,0,16,0,177,37,137,14,17,29,15,3,10,3,271,29,92,16,14,11,8,5,16,0,187,18,55,11,8,7,8,0,4,0,113,0,9,6,8,0,3,0,3,0,27
POA2007,8,42,7,7,0,0,0,3,0,76,39,157,23,3,4,9,6,16,6,263,27,101,43,14,17,16,21,13,0,253,7,21,20,4,0,0,4,6,0,55,6,0,4,0,0,0,0,0,0,3,5,39,0,13,3,0,0,0,0,55,0,16,0,5,4,4,0,5,0,34,85,141,44,25,52,38,20,43,10,458,25,81,11,21,13,9,0,16,3,182,13,75,8,13,7,4,3,11,0,138,9,3,41,11,8,3,0,7,0,85,0,0,0,0,0,0,0,0,0,4,8,9,0,4,0,0,4,4,0,30,0,3,5,0,0,7,3,0,11,44,231,691,208,114,117,101,76,119,30,1692,13,35,4,11,9,0,0,7,0,77,5,48,0,8,12,7,3,7,0,79,9,35,0,3,11,11,0,8,0,75,0,20,9,6,5,4,0,0,0,38,0,3,0,0,0,0,0,0,0,8
POA2008,17,87,10,8,5,3,4,0,0,138,30,192,22,6,11,5,7,5,5,289,43,130,34,9,6,23,5,14,3,267,15,56,32,0,9,4,3,5,0,116,3,6,3,0,0,0,0,3,0,18,11,105,0,13,4,4,0,0,0,139,3,20,6,4,0,3,0,0,0,36,146,250,26,51,73,46,22,32,4,650,59,191,10,27,30,15,3,9,4,351,39,172,22,15,10,19,10,7,0,293,21,0,38,16,9,0,4,4,0,91,0,0,0,0,0,0,0,0,0,6,9,17,7,7,4,7,0,5,0,47,3,11,8,3,0,0,3,0,6,37,397,1228,221,161,170,127,58,89,25,2473,12,62,12,14,20,13,0,0,5,131,9,41,0,3,8,0,0,0,0,63,3,42,6,6,11,4,0,0,0,74,10,45,14,7,10,0,0,4,0,87,0,5,3,0,0,0,0,0,0,18
POA2009,32,91,9,5,0,3,3,0,0,145,83,272,17,3,14,13,12,4,7,419,112,199,71,17,22,11,23,31,0,492,32,26,37,0,10,7,0,13,4,125,3,4,5,0,3,0,3,3,0,14,13,87,5,17,0,3,0,0,0,128,10,30,0,3,0,0,0,0,0,45,316,366,47,44,110,69,26,32,24,1040,81,219,10,21,24,16,11,12,10,404,33,81,8,18,6,13,0,9,0,174,29,5,75,15,6,6,8,8,3,150,0,0,0,0,0,0,0,0,0,3,10,10,0,4,0,4,0,3,0,36,14,9,12,4,0,4,0,6,7,63,762,1406,294,161,194,137,94,123,56,3243,29,58,8,3,18,4,0,0,0,115,31,71,10,7,12,7,0,5,0,145,19,45,5,10,12,0,0,7,0,99,13,31,4,0,5,0,0,0,0,65,0,5,0,0,0,5,0,0,0,5
POA2010,71,220,17,6,25,7,7,11,7,367,104,351,24,14,11,8,4,16,5,541,178,311,101,18,28,22,25,33,7,724,67,233,80,4,13,5,4,10,0,420,20,26,8,6,9,4,3,3,0,75,32,444,14,47,17,10,8,10,5,577,39,120,4,12,19,3,3,5,3,206,816,1028,66,95,246,189,30,73,42,2591,298,859,26,94,116,48,21,17,19,1502,167,500,43,38,63,67,7,23,7,927,53,13,148,42,24,10,8,23,9,326,0,3,6,0,0,0,0,0,0,10,33,70,9,11,11,12,7,3,12,162,25,28,10,7,11,9,3,10,34,146,1903,4209,564,391,584,397,126,242,150,8569,31,111,8,10,23,12,5,9,3,208,19,72,4,11,8,5,3,4,0,123,22,70,12,4,11,5,0,7,0,135,32,131,22,5,9,4,0,3,4,207,4,21,0,0,3,4,0,0,0,37
POA2011,46,103,3,3,20,7,0,3,0,191,51,144,24,9,13,5,9,3,0,258,120,220,111,18,33,10,9,27,10,555,44,143,67,6,0,3,0,10,0,289,5,5,12,5,8,8,0,3,0,50,24,195,3,32,12,3,3,4,5,285,25,67,0,7,7,4,0,4,0,122,478,586,41,62,143,137,18,35,33,1533,234,646,19,69,80,39,12,19,22,1142,104,293,27,36,42,18,10,9,4,545,46,9,90,19,13,13,6,12,4,211,0,0,0,0,0,0,0,0,0,0,30,38,3,6,14,4,0,7,5,105,13,22,6,3,0,6,0,3,14,69,1241,2470,407,281,393,247,76,133,98,5353,25,77,11,8,15,7,0,3,0,143,21,27,4,3,12,4,0,6,0,72,14,39,11,6,7,4,0,4,0,81,22,104,10,0,9,3,0,0,0,153,3,6,4,3,7,0,0,4,0,24
POA2015,23,109,6,3,10,6,5,4,7,166,58,188,18,7,7,6,3,3,4,302,103,188,94,12,26,5,15,9,5,452,21,63,69,0,13,5,5,10,0,182,7,7,12,0,3,4,0,3,0,42,18,131,5,15,4,0,4,0,0,186,11,61,0,5,5,4,0,0,0,97,294,349,31,26,88,67,20,14,10,893,88,238,11,50,52,22,6,5,4,472,69,215,39,11,11,26,0,10,0,385,26,3,48,9,4,5,5,12,0,111,3,0,0,0,0,0,0,0,0,3,23,20,6,4,10,5,3,5,0,69,9,18,10,0,6,5,4,0,11,63,749,1596,329,144,235,160,73,77,46,3413,23,85,8,11,17,8,0,4,0,157,18,36,6,0,11,3,4,0,0,74,21,61,3,3,7,4,0,0,0,100,10,45,5,6,6,3,0,0,0,75,10,10,7,0,5,0,0,0,0,30
POA2016,31,109,8,8,11,6,5,13,6,186,35,147,12,9,7,3,5,10,9,245,54,188,67,10,24,8,19,21,8,400,38,90,49,0,4,3,3,4,7,201,8,13,7,0,9,0,0,0,0,40,20,165,3,14,4,8,0,5,0,218,12,63,0,6,9,3,0,4,0,93,243,310,30,38,100,65,18,38,23,863,79,327,10,41,47,18,11,9,11,553,55,199,27,21,20,23,6,9,8,371,24,8,56,7,13,5,4,3,0,117,0,0,0,0,0,0,0,0,0,0,9,26,8,10,7,0,0,3,3,60,9,18,0,3,0,10,0,6,11,54,614,1662,284,167,250,151,74,126,74,3401,18,70,9,3,19,6,0,3,0,131,5,24,0,0,10,3,0,0,0,40,6,45,9,7,4,0,0,4,0,79,11,54,12,4,10,7,0,0,0,96,3,14,0,6,9,0,0,0,0,27
POA2017,49,195,18,7,20,12,7,7,4,324,125,572,40,14,34,17,14,13,11,847,144,502,275,37,66,33,36,64,15,1163,57,141,213,6,27,16,6,38,13,510,3,11,15,0,9,7,3,3,0,49,45,254,17,33,10,10,3,6,4,393,28,87,4,10,16,5,3,9,0,158,622,853,96,69,252,208,69,81,38,2285,160,368,35,97,79,39,10,33,13,840,103,348,48,20,41,25,11,16,7,629,65,23,149,27,14,14,10,10,0,315,3,0,0,0,0,3,0,0,0,8,24,39,19,9,11,8,7,4,3,118,22,29,25,6,10,11,14,16,38,163,1453,3418,959,336,590,408,202,291,141,7792,35,147,18,7,30,11,0,4,0,258,32,138,11,8,8,12,0,0,4,204,34,132,10,7,28,13,0,14,0,241,22,119,25,5,14,5,0,5,0,187,13,11,4,3,6,6,0,0,0,34
POA2018,25,81,14,5,20,0,13,3,4,168,50,209,33,9,33,17,9,9,0,367,116,281,250,20,33,23,61,43,10,841,51,51,184,7,21,12,18,28,5,381,7,0,15,0,4,3,3,0,0,36,14,141,8,18,6,3,0,7,4,211,11,58,3,9,4,0,3,0,6,92,289,338,44,53,150,115,61,45,14,1107,85,139,17,65,41,19,25,14,3,414,40,128,12,13,15,17,3,3,0,229,26,4,79,12,4,7,16,20,0,169,0,0,3,0,0,0,0,0,0,6,0,18,13,0,7,3,7,5,0,56,21,21,23,5,3,3,9,19,23,118,740,1467,711,229,343,224,223,205,72,4211,26,66,15,19,26,11,0,3,0,163,18,63,5,8,15,5,0,0,0,125,20,73,10,3,28,11,7,5,0,159,17,52,18,0,16,9,0,0,0,115,5,8,3,5,7,0,0,0,0,28
