POA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
POA2000,0,0,0,12,0,0,0,0,0,10,0,0,6,38,9,7,3,4,0,66,0,0,15,104,9,12,6,5,0,150,0,5,11,93,43,19,7,0,0,179,0,0,26,273,23,8,5,0,0,347,0,0,4,16,8,10,4,4,0,45,0,4,60,221,35,17,19,7,3,366,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,0,0,0,11,0,0,8,9,3,0,0,0,0,18,0,0,22,46,0,0,0,0,0,67,0,0,0,13,7,0,0,4,0,23,0,0,27,104,40,47,24,10,0,245,0,0,0,4,0,0,0,0,0,8,0,0,7,34,0,3,0,0,0,43,0,0,0,0,7,0,0,0,0,7,0,0,12,121,23,13,7,0,0,177,0,0,0,20,0,6,5,0,0,31,0,0,0,4,0,0,0,0,0,4,0,0,0,24,10,12,0,0,0,45
POA2007,0,0,0,6,0,0,0,0,0,6,0,0,0,8,0,0,3,0,0,11,0,0,4,28,6,0,0,0,0,41,0,0,7,14,5,0,0,0,0,33,0,0,10,45,6,0,0,0,0,55,0,0,0,3,0,0,0,0,0,8,0,0,23,55,7,8,12,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,12,0,0,0,0,0,9,0,0,4,7,0,0,0,0,0,14,0,0,0,3,3,0,0,0,0,7,0,0,6,30,8,14,5,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,8,33,6,3,0,0,0,56,0,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,5,3,0,11
POA2008,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,15,0,0,0,29,0,0,0,3,0,36,0,0,8,25,4,0,0,0,0,40,0,0,14,45,4,0,0,0,0,66,0,0,0,3,0,0,0,0,0,7,0,0,30,47,8,8,3,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,15,0,0,12,9,0,0,4,0,0,20,0,0,0,6,3,3,0,4,0,13,0,0,54,58,12,14,11,3,0,150,0,0,0,0,0,0,0,0,0,4,0,0,7,10,0,0,0,0,0,21,0,0,0,3,4,0,0,0,0,5,0,0,3,39,0,3,0,0,0,50,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,20
POA2009,0,0,0,4,0,0,4,0,0,7,0,0,0,41,5,3,0,3,0,51,0,0,4,91,6,13,8,4,0,126,0,5,3,21,9,4,0,0,0,39,0,0,5,52,19,4,0,0,0,80,0,0,0,8,5,3,3,0,0,18,0,0,4,44,14,11,14,5,0,98,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,3,3,0,0,0,0,0,11,0,0,3,7,0,0,0,0,0,7,0,0,0,13,0,0,3,0,0,22,0,0,14,57,34,24,17,4,0,153,0,0,0,5,0,4,0,0,0,9,0,0,5,16,0,0,0,0,0,24,0,0,0,0,3,0,0,0,0,6,0,0,3,49,8,6,13,0,0,77,0,0,0,6,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,12,7,8,3,3,0,36
POA2010,0,0,0,8,0,0,0,0,0,8,0,0,0,107,32,10,5,3,0,159,0,0,10,119,19,12,14,7,8,178,0,0,12,41,21,7,6,0,0,87,0,0,4,51,12,3,3,0,0,71,0,0,0,14,0,7,4,4,3,31,0,0,7,76,26,18,16,0,0,145,0,0,0,3,0,0,0,5,5,17,0,0,0,3,8,6,0,0,0,13,0,0,0,4,0,4,0,0,0,11,0,0,24,25,6,0,0,0,0,49,0,4,0,37,14,3,3,0,0,56,0,3,29,265,121,125,63,21,0,619,0,0,0,3,0,3,3,0,0,13,0,0,4,15,3,0,0,0,0,22,0,0,0,4,0,3,0,0,0,13,0,0,13,103,36,15,7,3,0,164,0,0,0,20,3,4,6,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,6,50,21,16,12,3,0,115
POA2011,0,0,0,0,0,0,0,0,0,3,0,0,0,61,12,6,4,8,0,89,0,0,5,64,14,10,9,8,0,107,0,0,6,13,17,3,5,0,0,45,0,0,4,21,3,0,0,0,0,32,0,0,0,5,3,9,0,0,0,20,0,0,4,30,19,9,7,0,0,64,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,25,0,0,0,11,0,8,3,3,0,31,0,0,7,161,88,81,51,14,4,414,0,0,0,3,0,0,0,0,0,3,0,0,0,11,3,0,0,0,0,15,0,0,0,0,0,3,0,0,0,9,0,0,0,47,12,13,4,0,0,81,0,0,0,19,0,4,9,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,15,15,5,3,71
POA2015,0,0,0,4,0,4,0,0,0,7,0,0,0,44,11,9,0,0,0,67,0,0,0,32,0,0,0,0,0,41,0,0,0,3,6,0,0,0,0,7,0,0,5,12,4,0,0,0,0,25,0,0,0,5,0,4,0,0,0,10,0,0,0,39,6,4,0,0,0,58,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,0,0,6,0,0,3,0,0,13,0,3,9,98,44,25,11,0,0,185,0,0,0,6,3,0,0,0,0,7,0,0,6,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,35,10,3,0,0,0,58,0,0,0,16,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,9,0,0,0,50
POA2016,0,0,0,0,0,0,3,0,0,5,0,0,0,41,14,9,5,0,0,71,0,0,0,38,6,3,0,4,0,55,0,0,0,16,8,5,0,0,0,29,0,0,5,16,3,0,5,4,0,32,0,0,0,0,10,6,12,8,3,44,0,0,13,28,9,8,10,0,0,74,0,0,0,0,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,4,0,0,5,4,0,3,0,0,0,10,0,0,15,11,0,0,0,0,0,30,0,0,0,7,0,0,8,0,0,17,0,3,8,98,42,46,30,10,3,234,0,0,0,0,0,4,0,0,0,8,0,0,0,14,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,3,0,0,5,33,4,5,6,0,0,50,0,0,0,10,3,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,10,0,0,0,34
POA2017,0,0,0,11,3,0,0,0,0,21,0,0,5,403,14,9,4,0,0,432,0,0,11,133,8,10,6,3,0,173,0,0,6,20,13,4,3,0,0,54,0,0,3,81,20,8,8,3,0,128,0,0,0,17,8,0,7,3,0,33,0,6,21,125,26,14,5,6,0,207,0,0,0,0,0,6,4,0,0,9,0,0,0,9,4,0,0,0,0,22,0,0,17,10,0,0,0,0,0,34,0,0,5,14,0,0,0,0,0,19,0,0,0,16,3,3,0,5,0,35,0,4,24,214,63,51,33,6,0,402,0,0,0,5,0,0,4,0,0,10,0,0,4,28,3,0,0,0,0,38,0,0,0,5,0,0,0,0,0,5,0,0,13,99,16,10,3,0,0,141,0,0,0,38,7,5,3,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,8,75,13,7,7,8,0,115
POA2018,0,0,3,21,19,20,6,3,0,75,0,0,6,184,13,7,5,4,0,219,0,0,0,47,16,8,18,17,4,117,0,0,6,11,3,0,0,0,0,19,4,0,3,21,8,7,0,3,0,53,0,0,0,3,6,6,12,10,0,42,0,0,10,52,0,8,11,3,0,98,0,0,0,0,0,3,5,6,0,17,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,3,16,0,0,0,0,0,19,0,0,0,10,0,0,0,0,0,11,0,6,19,87,29,26,9,7,0,189,0,0,0,7,0,0,0,0,0,11,3,7,3,46,0,0,5,0,0,67,0,0,0,4,0,4,0,0,0,5,0,4,11,76,29,17,7,4,0,149,0,0,0,14,3,0,3,0,0,26,0,0,0,5,0,0,0,0,0,4,0,0,0,26,3,10,0,0,0,47
