POA_CODE_2021,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
POA2000,162,16,0,180,0,0,4,0,3,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,4,0,0,4,3,0,4,0,4,0,0,0,4,0,0,4,115,42,16,0,170,3,0,3,171,16,0,189,51,19,8,0,78,0,0,3,76,24,0,101,0,0,0,0,0,0,0,0,0,0,0,0,166,61,19,0,242,3,0,3,253,41,4,293,31,0,0,0,37,0,0,0,36,3,0,37,11,8,4,0,22,0,0,0,22,4,0,26,5,3,3,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,48,16,8,0,65,0,0,0,71,5,0,78,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,3,5,0,0,0,5,0,0,0,5,0,0,3,48,16,8,0,67,0,0,0,70,10,0,80,18,5,0,0
POA2007,73,3,0,78,6,0,0,0,6,0,0,0,6,0,0,6,4,0,0,0,4,0,0,0,4,0,0,4,9,0,0,0,3,0,0,0,3,0,0,3,50,21,8,0,75,7,0,7,79,3,0,84,14,4,3,0,20,0,0,0,25,8,0,39,0,0,0,0,0,0,0,0,0,0,0,0,64,25,13,0,99,6,0,6,107,14,0,119,3,3,3,0,7,0,0,0,7,0,0,7,3,0,0,0,12,0,0,0,12,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,4,0,21,0,0,0,21,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,4,0,21,0,0,0,21,3,0,29,8,0,0,0
POA2008,50,4,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,42,9,0,0,51,0,0,0,55,4,0,57,10,3,0,0,17,0,0,0,17,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,52,13,5,0,65,0,0,0,71,4,0,76,8,0,0,0,8,0,0,0,8,0,0,8,9,0,0,0,12,0,0,0,12,0,0,10,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,8,4,0,22,0,0,0,22,0,0,26,0,0,0,0,0,4,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,4,19,8,4,0,22,4,0,4,24,0,0,28,6,0,0,0
POA2009,169,3,0,180,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,9,0,0,0,9,0,0,0,11,0,0,11,147,23,4,0,171,3,0,5,178,3,0,190,43,5,0,0,49,0,0,0,49,21,0,65,0,0,0,0,0,0,0,0,0,0,0,0,196,25,4,0,225,3,0,5,228,19,0,252,37,10,0,0,43,0,0,3,48,4,0,52,19,4,0,0,22,0,0,0,22,5,0,27,5,0,5,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,57,9,3,0,73,0,0,3,78,6,0,88,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,65,9,3,0,78,0,0,3,80,6,0,87,15,3,0,0
POA2010,232,14,0,248,3,0,0,0,3,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,7,0,0,0,7,0,5,11,185,38,8,0,236,4,0,4,241,19,5,256,23,4,0,0,23,0,0,0,23,11,0,39,0,0,0,0,0,0,0,0,0,0,7,8,206,41,9,0,260,4,0,4,267,27,8,298,53,9,3,0,63,0,0,0,67,0,0,68,29,10,0,0,41,0,0,0,39,7,0,45,3,0,4,0,5,0,0,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,86,24,9,0,113,3,5,0,115,8,0,124,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,84,24,9,0,114,3,5,9,116,8,0,122,11,0,0,0
POA2011,93,13,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,77,17,3,0,96,0,0,0,95,14,0,107,19,0,0,0,24,0,0,0,24,13,0,33,0,0,0,0,0,0,0,0,0,0,0,0,95,22,3,0,122,0,0,5,121,21,0,145,20,4,0,0,25,0,0,0,26,7,0,30,6,5,0,0,14,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,0,0,38,0,0,0,36,7,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,0,0,38,0,0,0,36,8,0,46,6,4,0,0
POA2015,277,16,0,291,8,0,0,0,9,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,7,226,44,15,0,278,0,0,0,286,13,0,300,17,3,0,0,19,0,0,0,23,4,0,24,0,3,0,0,3,0,0,0,3,0,0,3,241,48,15,0,305,0,0,3,312,17,0,325,52,14,0,0,64,0,0,0,62,0,0,64,28,11,0,0,41,0,0,0,41,0,0,42,4,0,3,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,80,22,9,0,110,0,0,0,111,0,0,121,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,82,22,9,0,117,0,0,0,121,0,0,121,5,4,0,4
POA2016,187,14,0,200,8,0,0,0,7,0,0,0,7,0,0,7,6,0,0,0,6,0,0,0,6,4,0,9,11,0,0,0,10,0,0,0,10,4,0,16,158,27,3,0,185,3,0,10,196,16,0,214,23,7,0,0,30,0,0,0,30,6,0,35,0,0,0,0,3,0,0,0,3,0,0,3,179,34,3,0,220,3,0,10,225,20,0,252,25,9,3,0,38,0,0,0,45,5,0,48,26,3,0,0,26,0,0,0,29,0,0,30,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,50,20,3,0,72,0,0,4,75,3,0,81,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,58,20,3,0,70,0,0,4,79,3,0,86,6,0,0,0
POA2017,244,21,0,272,4,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,5,0,0,0,4,0,0,4,7,3,0,0,8,0,0,3,10,0,0,16,179,47,22,6,247,7,5,12,261,27,0,288,47,23,5,0,76,5,0,5,80,45,0,125,0,0,0,0,0,0,0,0,0,0,4,0,226,69,30,4,325,10,5,13,341,70,4,415,36,11,0,0,52,5,0,5,52,3,0,57,19,10,0,0,32,0,0,0,32,5,0,30,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,59,22,0,5,85,5,0,5,91,6,0,97,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,3,0,0,10,65,22,0,5,87,7,0,7,96,7,0,96,13,13,3,0
POA2018,404,22,0,426,9,0,0,0,7,0,3,5,10,0,0,10,8,3,0,0,9,0,0,0,9,0,0,8,13,4,0,0,13,0,3,5,20,0,0,21,297,86,16,4,408,14,4,16,421,25,0,446,89,21,6,3,123,10,0,7,129,42,0,172,3,0,0,4,10,0,0,0,10,0,0,8,386,113,27,12,533,18,5,19,558,64,5,624,91,23,3,0,121,3,0,3,119,10,0,134,59,19,6,0,84,0,0,0,86,4,0,87,12,11,0,0,17,0,0,0,17,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,153,54,4,0,217,8,0,8,223,18,0,244,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,7,0,0,0,7,0,0,0,7,0,0,7,168,54,4,0,228,8,0,8,237,18,0,253,47,18,3,0
